진료과,순위,상명코드,상병명,건수,지역,년도
통증클리닉,10,M77,기타 골부착부병증,10,광주,2019
통증클리닉,11,M17,윤충증,7,광주,2019
통증클리닉,12,G51,얼굴신경 장애,3,광주,2019
통증클리닉,13,S46,어깨 및 팔죽지 부위에서의 근육 및 힘줄의 손상,3,광주,2019
통증클리닉,14,M51,기타 추간판장애,2,광주,2019
통증클리닉,15,M89,뼈의 기타 장애,2,광주,2019
통증클리닉,16,G54,신경뿌리 및 신경총 장애,2,광주,2019
통증클리닉,17,G44,기타 두통증후군,2,광주,2019
통증클리닉,18,B02,대상포진,1,광주,2019
통증클리닉,19,M25,달리 분류되지 않은 기타 관절장애,1,광주,2019
통증클리닉,20,G83,기타 마비증후군,1,광주,2019
피부과,1,L23,앨러지성 접촉피부염,6175,광주,2019
피부과,2,B35,피부사상균증,5415,광주,2019
피부과,3,L21,지루피부염,2650,광주,2019
피부과,4,L85,기타 표피의 비후,1304,광주,2019
피부과,5,L28,만성 단순태선 및 양진,1090,광주,2019
피부과,6,L30,기타 피부염,1050,광주,2019
피부과,7,L29,소양증,986,광주,2019
피부과,8,L50,두드러기,865,광주,2019
피부과,9,B02,대상포진,490,광주,2019
피부과,10,L24,자극성 접촉피부염,439,광주,2019
피부과,11,B00,헤르페스바이러스[단순헤르페스] 감염,425,광주,2019
피부과,12,B07,바이러스성 사마귀,400,광주,2019
피부과,13,L84,티눈 및 굳은살,382,광주,2019
피부과,14,T14,상세불명의 신체부위의 손상,299,광주,2019
피부과,15,G53,달리 분류된 질환에서의 뇌신경장애,283,광주,2019
피부과,16,L40,건선,268,광주,2019
피부과,17,L20,질병이환 및 사망의 외인,198,광주,2019
피부과,18,H22,달리 분류된 질환에서의 홍채 및 섬모체의 장애,161,광주,2019
피부과,19,L57,비전리성 방사선에 만성 노출에 의한 피부 변화,152,광주,2019
피부과,20,L82,지루각화증,152,광주,2019
한의과,1,U23,,2655,광주,2019
한의과,2,M79,달리 분류되지 않은 기타 연조직장애,1049,광주,2019
한의과,3,U24,,1028,광주,2019
한의과,4,M54,배통,564,광주,2019
한의과,5,M25,달리 분류되지 않은 기타 관절장애,425,광주,2019
한의과,6,U66,심허증(心虛證),163,광주,2019
한의과,7,G19,,137,광주,2019
한의과,8,R53,병감 및 피로,134,광주,2019
한의과,9,K30,소화불량,126,광주,2019
한의과,10,J30,혈관운동성 및 앨러지성 비염,75,광주,2019
한의과,11,R05,기침,64,광주,2019
한의과,12,R51,두통,46,광주,2019
한의과,13,R61,다한증,35,광주,2019
한의과,14,U30,근골격계 및 결합조직의 질환,30,광주,2019
한의과,15,G47,수면장애,27,광주,2019
한의과,16,K59,기타 기능적 창자 장애,25,광주,2019
한의과,17,H93,달리 분류되지 않은 귀의 기타 장애,24,광주,2019
한의과,18,M17,윤충증,21,광주,2019
한의과,19,S92,발목을 제외한 발의 골절,21,광주,2019
한의과,20,S33,"허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",21,광주,2019
핵의학과,1,C50,유방의 악성 신생물,140,광주,2019
핵의학과,2,E05,갑상선독증[갑상선기능항진증],2,광주,2019
핵의학과,3,R07,인후 및 흉곽의 동통,1,광주,2019
핵의학과,4,E21,부갑상선기능항진증 및 부갑상선의 기타장애,1,광주,2019
핵의학과,5,C18,결장의 악성 신생물,1,광주,2019
핵의학과,6,S32,허리뼈 및 골반의 골절,1,광주,2019
핵의학과,7,I20,협심증,1,광주,2019
혈액종양내과,1,D46,골수형성이상증후군,1728,광주,2019
혈액종양내과,2,D64,기타 빈혈,882,광주,2019
혈액종양내과,3,D47,림프. 조혈 및 관련조직의 행동양식 불명 또는 미상의 기타 신생,869,광주,2019
혈액종양내과,4,D72,백혈구의 기타 장애,817,광주,2019
혈액종양내과,5,C16,위의 악성 신생물,252,광주,2019
혈액종양내과,6,D69,자색반증 및 기타 출혈성 병태,220,광주,2019
혈액종양내과,7,D50,철결핍성 빈혈,201,광주,2019
혈액종양내과,8,R53,병감 및 피로,199,광주,2019
혈액종양내과,9,C18,결장의 악성 신생물,147,광주,2019
혈액종양내과,10,C22,간 및 간내담관의 악성 신생물,138,광주,2019
혈액종양내과,11,R63,음식 및 수액섭취에 관계된 증상 및 징후,134,광주,2019
혈액종양내과,12,C90,다발성 골수종 및 악성 형질세포신생물,119,광주,2019
혈액종양내과,13,C34,기관지 및 폐의 악성 신생물,110,광주,2019
혈액종양내과,14,D61,기타 무형성빈혈,106,광주,2019
혈액종양내과,15,D53,기타 영양성 빈혈,102,광주,2019
혈액종양내과,16,K63,창자의 기타 질환,100,광주,2019
혈액종양내과,17,C61,전립선의 악성 신생물,93,광주,2019
혈액종양내과,18,D68,기타 응고결함,79,광주,2019
혈액종양내과,19,C85,기타 및 상세불명 형의 비호지킨 림프종,75,광주,2019
혈액종양내과,20,D75,혈액 및 조혈기관의 기타 질환,70,광주,2019
호흡기내과,1,J44,기타 만성 폐쇄성 폐질환,6526,광주,2019
호흡기내과,2,J00,급성 코인두염 [감기],2778,광주,2019
호흡기내과,3,J45,천식,2413,광주,2019
호흡기내과,4,J40,급성인지 만성인지 명시되지 않은 기관지염,1940,광주,2019
호흡기내과,5,J18,상세불명 병원체의 폐렴,1718,광주,2019
호흡기내과,6,C34,기관지 및 폐의 악성 신생물,865,광주,2019
호흡기내과,7,I10,본태성(원발성) 고혈압,667,광주,2019
호흡기내과,8,J84,기타 사이질성 폐질환,586,광주,2019
호흡기내과,9,J69,고체 및 액체에 의한 폐염,427,광주,2019
호흡기내과,10,J47,기관지확장증,410,광주,2019
호흡기내과,11,J01,급성 부비동염,397,광주,2019
호흡기내과,12,R05,기침,366,광주,2019
호흡기내과,13,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,269,광주,2019
호흡기내과,14,J30,혈관운동성 및 앨러지성 비염,265,광주,2019
호흡기내과,15,A16,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,258,광주,2019
호흡기내과,16,J42,상세불명의 만성 기관지염,251,광주,2019
호흡기내과,17,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,227,광주,2019
호흡기내과,18,K21,위-식도역류병,207,광주,2019
호흡기내과,19,Z20,전염성 질환에 접촉 및 노출,197,광주,2019
호흡기내과,20,J98,기타 호흡장애,183,광주,2019
가정의학과,1,R53,병감 및 피로,6289,광주,2019
가정의학과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3981,광주,2019
가정의학과,3,J30,혈관운동성 및 앨러지성 비염,3744,광주,2019
가정의학과,4,J00,급성 코인두염 [감기],3394,광주,2019
가정의학과,5,F48,기타 신경성 장애,1508,광주,2019
가정의학과,6,I10,본태성(원발성) 고혈압,1382,광주,2019
가정의학과,7,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,813,광주,2019
가정의학과,8,R05,기침,764,광주,2019
가정의학과,9,E78,지질단백질대사장애 및 기타 지질증,627,광주,2019
가정의학과,10,K59,기타 기능적 창자 장애,522,광주,2019
가정의학과,11,E11,인슐린-비의존 당뇨병,327,광주,2019
가정의학과,12,J06,다발성 및 상세불명 부위의 급성 상기도감염,259,광주,2019
가정의학과,13,B35,피부사상균증,240,광주,2019
가정의학과,14,K29,위염 및 십이지장염,233,광주,2019
가정의학과,15,K50,크론병[국한성 장염],207,광주,2019
가정의학과,16,K52,기타 비감염성 위장염 및 대장염(큰창자염),198,광주,2019
가정의학과,17,C22,간 및 간내담관의 악성 신생물,193,광주,2019
가정의학과,18,J31,만성비염. 비인두염 및 인두염,178,광주,2019
가정의학과,19,J02,급성 인두염,176,광주,2019
가정의학과,20,M79,달리 분류되지 않은 기타 연조직장애,164,광주,2019
감염내과,1,R50,원인 미상의 열,86,광주,2019
감염내과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,63,광주,2019
감염내과,3,T14,상세불명의 신체부위의 손상,54,광주,2019
감염내과,4,L03,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애,37,광주,2019
감염내과,5,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,21,광주,2019
감염내과,6,N10,급성 세뇨관-사이질성 신염,16,광주,2019
감염내과,7,N39,비뇨기계통의 기타 장애,16,광주,2019
감염내과,8,J03,급성 편도염,15,광주,2019
감염내과,9,N30,방광염,12,광주,2019
감염내과,10,M46,기타 염증성 척추병증,12,광주,2019
감염내과,11,A41,기타 패혈증,11,광주,2019
감염내과,12,K75,기타 염증성 간질환,9,광주,2019
감염내과,13,R59,림프절비대,9,광주,2019
감염내과,14,A52,만기매독,8,광주,2019
감염내과,15,J18,상세불명 병원체의 폐렴,8,광주,2019
감염내과,16,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,7,광주,2019
감염내과,17,B66,기타 흡충감염,7,광주,2019
감염내과,18,J02,급성 인두염,7,광주,2019
감염내과,19,A77,홍반열[진드기매개 리케차병],7,광주,2019
감염내과,20,C34,기관지 및 폐의 악성 신생물,6,광주,2019
내분비내과,1,E11,인슐린-비의존 당뇨병,18772,광주,2019
내분비내과,2,E03,기타 갑상선기능저하증,1363,광주,2019
내분비내과,3,E14,상세불명의 당뇨병,1094,광주,2019
내분비내과,4,E04,기타 비중독성 갑상선종,723,광주,2019
내분비내과,5,E78,지질단백질대사장애 및 기타 지질증,652,광주,2019
내분비내과,6,E05,갑상선독증[갑상선기능항진증],310,광주,2019
내분비내과,7,I10,본태성(원발성) 고혈압,290,광주,2019
내분비내과,8,E10,인슐린-의존 당뇨병,252,광주,2019
내분비내과,9,E06,갑상선염,221,광주,2019
내분비내과,10,E13,기타 명시된 당뇨병,78,광주,2019
내분비내과,11,G63,달리 분류된 질환에서의 다발신경병증,74,광주,2019
내분비내과,12,E23,뇌하수체의 기능저하증 및 기타 장애,63,광주,2019
내분비내과,13,M81,병적골절이 없는 골다공증,57,광주,2019
내분비내과,14,K29,위염 및 십이지장염,47,광주,2019
내분비내과,15,E27,부신의 기타 장애,46,광주,2019
내분비내과,16,D35,기타 및 상세불명의 내분비선의 양성 신생물,46,광주,2019
내분비내과,17,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,41,광주,2019
내분비내과,18,I11,고혈압성 심장병,41,광주,2019
내분비내과,19,C73,갑상선의 악성 신생물,29,광주,2019
내분비내과,20,R53,병감 및 피로,27,광주,2019
비뇨의학과,1,N40,전립선증식증,29720,광주,2019
비뇨의학과,2,C61,전립선의 악성 신생물,3418,광주,2019
비뇨의학과,3,N31,달리 분류되지 않은 방광의 신경근육기능장애,1313,광주,2019
비뇨의학과,4,N20,콩팥(신장)및 요관의 결석,1007,광주,2019
비뇨의학과,5,C67,방광의 악성 신생물,860,광주,2019
비뇨의학과,6,N30,방광염,778,광주,2019
비뇨의학과,7,N39,비뇨기계통의 기타 장애,483,광주,2019
비뇨의학과,8,N45,고환염 및 부고환염,221,광주,2019
비뇨의학과,9,N41,전립선의 염증성 질환,190,광주,2019
비뇨의학과,10,R31,상세불명의 혈뇨,168,광주,2019
비뇨의학과,11,N48,음경의 기타 장애,163,광주,2019
비뇨의학과,12,C64,콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물,153,광주,2019
비뇨의학과,13,N43,음낭수종 및 정액류,148,광주,2019
비뇨의학과,14,N35,요도협착,148,광주,2019
비뇨의학과,15,N28,달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애,92,광주,2019
비뇨의학과,16,N32,방광의 기타 장애,81,광주,2019
비뇨의학과,17,N21,하부요로의 결석,64,광주,2019
비뇨의학과,18,N10,급성 세뇨관-사이질성 신염,45,광주,2019
비뇨의학과,19,D09,기타 및 상세불명 부위의 제자리암종,30,광주,2019
비뇨의학과,20,N13,폐쇄성 및 역류성 요로병증,29,광주,2019
산부인과,1,N95,폐경기 및 기타 폐경기전후 장애,420,광주,2019
산부인과,2,N76,질 및 외음부의 기타 염증,185,광주,2019
산부인과,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,118,광주,2019
산부인과,4,N64,유방의 기타 장애,88,광주,2019
산부인과,5,D25,자궁의 평활근종,88,광주,2019
산부인과,6,N30,방광염,80,광주,2019
산부인과,7,Z01,호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사,58,광주,2019
산부인과,8,M81,병적골절이 없는 골다공증,40,광주,2019
산부인과,9,L24,자극성 접촉피부염,37,광주,2019
산부인과,10,N83,난소. 난관 및 광 인대의 비염증성 장애,35,광주,2019
산부인과,11,B37,칸디다증,31,광주,2019
산부인과,12,N93,기타 이상 자궁 및 질 출혈,28,광주,2019
산부인과,13,R10,복부 및 골반통증,22,광주,2019
산부인과,14,N94,여성생식기관 및 월경주기와 관련된 통증 및 기타 병태,22,광주,2019
산부인과,15,N31,달리 분류되지 않은 방광의 신경근육기능장애,20,광주,2019
산부인과,16,N80,자궁내막증,19,광주,2019
산부인과,17,N91,무월경. 소량 및 희발 월경,18,광주,2019
산부인과,18,E30,달리 분류되지 않은 사춘기의 장애,17,광주,2019
산부인과,19,R92,유방의 진단적 영상이상소견,13,광주,2019
산부인과,20,A60,항문성기의 헤르페스바이러스[단순 헤르페스]감염,13,광주,2019
소아청소년과,1,E30,달리 분류되지 않은 사춘기의 장애,10069,광주,2019
소아청소년과,2,J20,급성 기관지염,3898,광주,2019
소아청소년과,3,E34,기타 내분비장애,1935,광주,2019
소아청소년과,4,J00,급성 코인두염 [감기],1928,광주,2019
소아청소년과,5,J21,급성 세기관지염,1316,광주,2019
소아청소년과,6,J03,급성 편도염,921,광주,2019
소아청소년과,7,J02,급성 인두염,726,광주,2019
소아청소년과,8,B08,달리 분류되지 않은 피부 및 점막병터가 특징인 기타 바이러스 감염,596,광주,2019
소아청소년과,9,J30,혈관운동성 및 앨러지성 비염,545,광주,2019
소아청소년과,10,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,537,광주,2019
소아청소년과,11,J09,확인된 조류 인플루엔자 바이러스에 의한 인플루엔자,474,광주,2019
소아청소년과,12,J11,바이러스가 확인되지 않은 인플루엔자,381,광주,2019
소아청소년과,13,J18,상세불명 병원체의 폐렴,344,광주,2019
소아청소년과,14,L20,질병이환 및 사망의 외인,333,광주,2019
소아청소년과,15,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,288,광주,2019
소아청소년과,16,K52,기타 비감염성 위장염 및 대장염(큰창자염),251,광주,2019
소아청소년과,17,R50,원인 미상의 열,246,광주,2019
소아청소년과,18,L50,두드러기,218,광주,2019
소아청소년과,19,P05,태아성장지연 및 태아영양실조,176,광주,2019
소아청소년과,20,Z51,기타의료,171,광주,2019
소화기내과,1,K21,위-식도역류병,7049,광주,2019
소화기내과,2,K29,위염 및 십이지장염,4508,광주,2019
소화기내과,3,K58,자극성 장증후군,2441,광주,2019
소화기내과,4,B18,만성 바이러스간염,1998,광주,2019
소화기내과,5,K59,기타 기능적 창자 장애,1526,광주,2019
소화기내과,6,K76,간의 기타 질환,1092,광주,2019
소화기내과,7,K25,위궤양,1073,광주,2019
소화기내과,8,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,988,광주,2019
소화기내과,9,K63,창자의 기타 질환,966,광주,2019
소화기내과,10,D13,기타 및 부위불명의 소화계통의 양성 신생물,966,광주,2019
소화기내과,11,C22,간 및 간내담관의 악성 신생물,904,광주,2019
소화기내과,12,K80,담석증,871,광주,2019
소화기내과,13,K26,십이지장궤양,621,광주,2019
소화기내과,14,K74,간의 섬유증 및 경화증,620,광주,2019
소화기내과,15,D12,결장. 직장. 항문 및 항문관의 양성 신생물,591,광주,2019
소화기내과,16,E78,지질단백질대사장애 및 기타 지질증,553,광주,2019
소화기내과,17,K31,위 및 십이지장의 기타 질환,539,광주,2019
소화기내과,18,C16,위의 악성 신생물,507,광주,2019
소화기내과,19,K70,알콜성 간질환,478,광주,2019
소화기내과,20,K75,기타 염증성 간질환,456,광주,2019
순환기내과,1,I20,협심증,19413,광주,2019
순환기내과,2,I10,본태성(원발성) 고혈압,18026,광주,2019
순환기내과,3,I48,심방세동 및 조동,3842,광주,2019
순환기내과,4,E11,인슐린-비의존 당뇨병,2324,광주,2019
순환기내과,5,E78,지질단백질대사장애 및 기타 지질증,1423,광주,2019
순환기내과,6,I25,만성 허혈심장병,1242,광주,2019
순환기내과,7,I70,죽상경화증,999,광주,2019
순환기내과,8,R07,인후 및 흉곽의 동통,923,광주,2019
순환기내과,9,I21,급성 심근경색증,811,광주,2019
순환기내과,10,I11,고혈압성 심장병,718,광주,2019
순환기내과,11,I50,심장기능상실(심부전),654,광주,2019
순환기내과,12,I42,심장근육병증,494,광주,2019
순환기내과,13,I49,기타 심장성 부정맥,457,광주,2019
순환기내과,14,R00,심장박동의 이상,404,광주,2019
순환기내과,15,I35,비류마티스성 대동맥판장애,333,광주,2019
순환기내과,16,E14,상세불명의 당뇨병,312,광주,2019
순환기내과,17,K21,위-식도역류병,296,광주,2019
순환기내과,18,I71,대동맥류 및 박리,256,광주,2019
순환기내과,19,I44,심방실 차단 및 좌각 차단,214,광주,2019
순환기내과,20,N18,만성 콩팥(신장)기능상실,208,광주,2019
신경과,1,F00,알츠하이머병에서의 치매(G30.-+),5211,광주,2019
신경과,2,R41,인지기능 및 자각에 관한 기타 증상 및 징후,3768,광주,2019
신경과,3,I63,뇌경색증,3310,광주,2019
신경과,4,R51,두통,2862,광주,2019
신경과,5,I69,대뇌혈관 질환의 후유증,2860,광주,2019
신경과,6,R42,현기 및 어지러움,2324,광주,2019
신경과,7,G20,파킨슨병,1663,광주,2019
신경과,8,G25,기타 추체외로 및 운동 장애,1339,광주,2019
신경과,9,I65,대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착,1008,광주,2019
신경과,10,G43,편두통,992,광주,2019
신경과,11,I67,기타 대뇌혈관 질환,767,광주,2019
신경과,12,F01,혈관성 치매,741,광주,2019
신경과,13,I10,본태성(원발성) 고혈압,733,광주,2019
신경과,14,G44,기타 두통증후군,697,광주,2019
신경과,15,R25,이상적 불수의적 운동,651,광주,2019
신경과,16,H81,전정기능의 장애,552,광주,2019
신경과,17,I66,대뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착,532,광주,2019
신경과,18,G40,뇌전증,453,광주,2019
신경과,19,G45,일과성 대뇌허혈발작 및 관련 증후군,360,광주,2019
신경과,20,F51,비기질적 수면 장애,327,광주,2019
신경외과,1,M48,기타 척추병증,13330,광주,2019
신경외과,2,M47,척추증,2971,광주,2019
신경외과,3,M54,배통,2967,광주,2019
신경외과,4,M51,기타 추간판장애,1433,광주,2019
신경외과,5,M50,목뼈원판 장애,1041,광주,2019
신경외과,6,M96,달리 분류되지 않은 처치후 근육골격 장애,989,광주,2019
신경외과,7,S32,허리뼈 및 골반의 골절,611,광주,2019
신경외과,8,I67,기타 대뇌혈관 질환,559,광주,2019
신경외과,9,S06,머리내 손상,481,광주,2019
신경외과,10,M43,기타 변형성 배병증,328,광주,2019
신경외과,11,S22,늑골. 흉골 및 흉추골의 골절,319,광주,2019
신경외과,12,G44,기타 두통증후군,220,광주,2019
신경외과,13,I63,뇌경색증,207,광주,2019
신경외과,14,S33,"허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",190,광주,2019
신경외과,15,R51,두통,177,광주,2019
신경외과,16,S13,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",153,광주,2019
신경외과,17,G95,척수의 기타질환,150,광주,2019
신경외과,18,I61,뇌내출혈,147,광주,2019
신경외과,19,S00,머리의 표재성 손상,122,광주,2019
신경외과,20,I60,지주막하출혈,87,광주,2019
신장내과,1,N18,만성 콩팥(신장)기능상실,8254,광주,2019
신장내과,2,E11,인슐린-비의존 당뇨병,1846,광주,2019
신장내과,3,I10,본태성(원발성) 고혈압,1756,광주,2019
신장내과,4,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,626,광주,2019
신장내과,5,R60,달리 분류되지 않은 부종,376,광주,2019
신장내과,6,N17,급성 콩팥(신장)기능상실,287,광주,2019
신장내과,7,E78,지질단백질대사장애 및 기타 지질증,191,광주,2019
신장내과,8,R80,고립성 단백뇨증,184,광주,2019
신장내과,9,N28,달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애,122,광주,2019
신장내과,10,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,112,광주,2019
신장내과,11,N10,급성 세뇨관-사이질성 신염,107,광주,2019
신장내과,12,R31,상세불명의 혈뇨,94,광주,2019
신장내과,13,E87,수분. 전해질 및 산-염기균형의 기타장애,83,광주,2019
신장내과,14,K29,위염 및 십이지장염,65,광주,2019
신장내과,15,N20,콩팥(신장)및 요관의 결석,64,광주,2019
신장내과,16,N39,비뇨기계통의 기타 장애,64,광주,2019
신장내과,17,I12,고혈압성 콩팥(신장)병,58,광주,2019
신장내과,18,E14,상세불명의 당뇨병,56,광주,2019
신장내과,19,Q61,낭성 콩팥(신장)병,51,광주,2019
신장내과,20,N05,상세불명의 신염증후군,49,광주,2019
안과,1,H25,노인성 백내장,10693,광주,2019
안과,2,H04,눈물기관의 장애,3331,광주,2019
안과,3,H10,결막염,1287,광주,2019
안과,4,H52,굴절 및 조절의 장애,1033,광주,2019
안과,5,Z96,기타 기능적 삽입물의 존재,862,광주,2019
안과,6,H35,기타 망막장애,705,광주,2019
안과,7,H40,녹내장,613,광주,2019
안과,8,H36,달리 분류된 질환에서의 망막장애,529,광주,2019
안과,9,H01,안검의 기타 염증,375,광주,2019
안과,10,H11,결막의 기타 장애,306,광주,2019
안과,11,H26,기타 백내장,295,광주,2019
안과,12,E14,상세불명의 당뇨병,176,광주,2019
안과,13,H16,각막염,161,광주,2019
안과,14,H43,초자체의 장애,151,광주,2019
안과,15,H00,맥립종 및 콩다래끼,133,광주,2019
안과,16,H02,안검의 기타 장애,113,광주,2019
안과,17,H47,시[제2]신경 및 시각로의 기타 장애,102,광주,2019
안과,18,H34,망막혈관폐쇄,85,광주,2019
안과,19,B00,헤르페스바이러스[단순헤르페스] 감염,43,광주,2019
안과,20,B30,바이러스결막염,42,광주,2019
외과,1,C73,갑상선의 악성 신생물,991,광주,2019
외과,2,C16,위의 악성 신생물,978,광주,2019
외과,3,K64,치핵 및 항문주위정맥혈전증,619,광주,2019
외과,4,C18,결장의 악성 신생물,619,광주,2019
외과,5,I83,하지의 정맥류,463,광주,2019
외과,6,L72,피부 및 피하조직의 모낭성 낭,452,광주,2019
외과,7,C20,직장의 악성 신생물,428,광주,2019
외과,8,K40,서혜헤르니아,320,광주,2019
외과,9,K80,담석증,265,광주,2019
외과,10,E04,기타 비중독성 갑상선종,238,광주,2019
외과,11,S23,흉곽의 관절 및 인대의 탈구. 염좌 및 긴장,229,광주,2019
외과,12,D34,갑상선의 양성 신생물,226,광주,2019
외과,13,L89,욕창성 및 압박부위 궤양,207,광주,2019
외과,14,S22,늑골. 흉골 및 흉추골의 골절,196,광주,2019
외과,15,T14,상세불명의 신체부위의 손상,195,광주,2019
외과,16,D17,양성 지방종성 신생물,188,광주,2019
외과,17,K62,항문 및 직장의 기타 질환,173,광주,2019
외과,18,K35,급성 충수염,170,광주,2019
외과,19,N64,유방의 기타 장애,168,광주,2019
외과,20,S20,흉부의 표재성 손상,153,광주,2019
응급실,1,M79,달리 분류되지 않은 기타 연조직장애,2855,광주,2019
응급실,2,R52,달리 분류되지 않은 통증,1224,광주,2019
응급실,3,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1198,광주,2019
응급실,4,L50,두드러기,828,광주,2019
응급실,5,G56,팔의 단일신경병증,804,광주,2019
응급실,6,J06,다발성 및 상세불명 부위의 급성 상기도감염,618,광주,2019
응급실,7,Z02,행정적 목적을 위한 검사,579,광주,2019
응급실,8,M54,배통,537,광주,2019
응급실,9,T14,상세불명의 신체부위의 손상,536,광주,2019
응급실,10,R50,원인 미상의 열,476,광주,2019
응급실,11,R42,현기 및 어지러움,471,광주,2019
응급실,12,J00,급성 코인두염 [감기],418,광주,2019
응급실,13,Y83,처치 당시에는 재난의 언급이 없었으나 환자에게 이상반응이나 후에 합병증을 일으키게 한 외과적 수술 및 기타 외과적 처치,388,광주,2019
응급실,14,J18,상세불명 병원체의 폐렴,359,광주,2019
응급실,15,R10,복부 및 골반통증,355,광주,2019
응급실,16,J03,급성 편도염,320,광주,2019
응급실,17,G54,신경뿌리 및 신경총 장애,300,광주,2019
응급실,18,K29,위염 및 십이지장염,283,광주,2019
응급실,19,D64,기타 빈혈,267,광주,2019
응급실,20,M10,활막 및 건 장애,257,광주,2019
이비인후과,1,J30,혈관운동성 및 앨러지성 비염,1472,광주,2019
이비인후과,2,H90,전음성 및 감각신경성 청력소실,1405,광주,2019
이비인후과,3,H93,달리 분류되지 않은 귀의 기타 장애,1364,광주,2019
이비인후과,4,J32,만성 부비동염,1162,광주,2019
이비인후과,5,J37,만성후두염 및 후두기관염,1123,광주,2019
이비인후과,6,K21,위-식도역류병,962,광주,2019
이비인후과,7,H60,외이염,742,광주,2019
이비인후과,8,H81,전정기능의 장애,687,광주,2019
이비인후과,9,J34,코 및 코옆굴의 기타 장애,582,광주,2019
이비인후과,10,H61,외이의 기타장애,446,광주,2019
이비인후과,11,J04,급성 후두염 및 기관염,444,광주,2019
이비인후과,12,H66,화농성 및 상세불명의 중이염,443,광주,2019
이비인후과,13,K12,입안염 및 관련 병터,359,광주,2019
이비인후과,14,J06,다발성 및 상세불명 부위의 급성 상기도감염,335,광주,2019
이비인후과,15,J01,급성 부비동염,299,광주,2019
이비인후과,16,H65,비화농성 중이염,231,광주,2019
이비인후과,17,J03,급성 편도염,163,광주,2019
이비인후과,18,H91,기타 청력소실,160,광주,2019
이비인후과,19,J38,달리 분류되지 않은 성대및 후두의 질환,153,광주,2019
이비인후과,20,J02,급성 인두염,147,광주,2019
일반검진,1,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,2442,광주,2019
일반검진,2,K29,위염 및 십이지장염,352,광주,2019
일반검진,3,K25,위궤양,21,광주,2019
일반검진,4,K21,위-식도역류병,16,광주,2019
일반검진,5,K30,소화불량,15,광주,2019
일반검진,6,K26,십이지장궤양,13,광주,2019
일반검진,7,D13,기타 및 부위불명의 소화계통의 양성 신생물,8,광주,2019
일반검진,8,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,2,광주,2019
일반검진,9,K52,기타 비감염성 위장염 및 대장염(큰창자염),2,광주,2019
일반검진,10,A04,기타 세균성 창자 감염,2,광주,2019
일반검진,11,E78,지질단백질대사장애 및 기타 지질증,2,광주,2019
일반검진,12,B37,칸디다증,2,광주,2019
일반검진,13,K05,치은염(잇몸염)및 치주 질환,2,광주,2019
일반검진,14,R69,미상 및 상세불명의 병인,1,광주,2019
일반내과,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,5545,광주,2019
일반내과,2,K29,위염 및 십이지장염,234,광주,2019
일반내과,3,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,188,광주,2019
일반내과,4,K25,위궤양,145,광주,2019
일반내과,5,K63,창자의 기타 질환,101,광주,2019
일반내과,6,K21,위-식도역류병,83,광주,2019
일반내과,7,K26,십이지장궤양,73,광주,2019
일반내과,8,K59,기타 기능적 창자 장애,54,광주,2019
일반내과,9,A04,기타 세균성 창자 감염,27,광주,2019
일반내과,10,I10,본태성(원발성) 고혈압,25,광주,2019
일반내과,11,D12,결장. 직장. 항문 및 항문관의 양성 신생물,24,광주,2019
일반내과,12,F48,기타 신경성 장애,16,광주,2019
일반내과,13,E11,인슐린-비의존 당뇨병,14,광주,2019
일반내과,14,E78,지질단백질대사장애 및 기타 지질증,9,광주,2019
일반내과,15,D13,기타 및 부위불명의 소화계통의 양성 신생물,9,광주,2019
