연령대,순위,상병코드,상병명,건수,지역,년도
70대,14,R41,인지기능 및 자각에 관한 기타 증상 및 징후,3315,광주,2023
70대,15,M75,어깨병변,3128,광주,2023
70대,16,B35,피부사상균증,2625,광주,2023
70대,17,K02,치아우식증,2578,광주,2023
70대,18,K04,치수 및 치근단주위조직의 질환,2577,광주,2023
70대,19,R63,음식 및 수액섭취에 관계된 증상 및 징후,2551,광주,2023
70대,20,J30,혈관운동성 및 앨러지성 비염,2242,광주,2023
80대,1,N40,전립선증식증,5084,광주,2023
80대,2,I10,본태성(원발성) 고혈압,3275,광주,2023
80대,3,M48,기타 척추병증,3268,광주,2023
80대,4,I20,협심증,3025,광주,2023
80대,5,E11,인슐린-비의존 당뇨병,2865,광주,2023
80대,6,F00,알츠하이머병에서의 치매(G30.-+),2281,광주,2023
80대,7,M17,윤충증,2137,광주,2023
80대,8,I63,뇌경색증,1961,광주,2023
80대,9,N18,만성 콩팥(신장)기능상실,1910,광주,2023
80대,10,H25,노인성 백내장,1786,광주,2023
80대,11,K05,치은염(잇몸염)및 치주 질환,1774,광주,2023
80대,12,M75,어깨병변,1469,광주,2023
80대,13,C61,전립선의 악성 신생물,1459,광주,2023
80대,14,K21,위-식도역류병,1376,광주,2023
80대,15,R41,인지기능 및 자각에 관한 기타 증상 및 징후,1185,광주,2023
80대,16,R53,병감 및 피로,1057,광주,2023
80대,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,1022,광주,2023
80대,18,J30,혈관운동성 및 앨러지성 비염,851,광주,2023
80대,19,I48,심방세동 및 조동,809,광주,2023
80대,20,J44,기타 만성 폐쇄성 폐질환,789,광주,2023
90세 이상,1,F00,알츠하이머병에서의 치매(G30.-+),1914,광주,2023
90세 이상,2,N40,전립선증식증,1383,광주,2023
90세 이상,3,I10,본태성(원발성) 고혈압,926,광주,2023
90세 이상,4,I63,뇌경색증,570,광주,2023
90세 이상,5,M48,기타 척추병증,555,광주,2023
90세 이상,6,R53,병감 및 피로,523,광주,2023
90세 이상,7,I20,협심증,463,광주,2023
90세 이상,8,E11,인슐린-비의존 당뇨병,419,광주,2023
90세 이상,9,M17,윤충증,415,광주,2023
90세 이상,10,C61,전립선의 악성 신생물,325,광주,2023
90세 이상,11,I48,심방세동 및 조동,317,광주,2023
90세 이상,12,F03,상세불명의 치매,286,광주,2023
90세 이상,13,R42,현기 및 어지러움,241,광주,2023
90세 이상,14,H25,노인성 백내장,237,광주,2023
90세 이상,15,R63,음식 및 수액섭취에 관계된 증상 및 징후,235,광주,2023
90세 이상,16,N18,만성 콩팥(신장)기능상실,231,광주,2023
90세 이상,17,J44,기타 만성 폐쇄성 폐질환,227,광주,2023
90세 이상,18,K59,기타 기능적 창자 장애,223,광주,2023
90세 이상,19,R41,인지기능 및 자각에 관한 기타 증상 및 징후,222,광주,2023
90세 이상,20,F51,비기질적 수면 장애,211,광주,2023
59세 이하,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3005,대구,2019
59세 이하,2,I10,본태성(일차성)고혈압,1236,대구,2019
59세 이하,3,K05,치은염(잇몸염)및 치주 질환,1014,대구,2019
59세 이하,4,E11,인슐린-비의존 당뇨병,981,대구,2019
59세 이하,5,N18,만성 콩팥(신장)기능상실,920,대구,2019
59세 이하,6,M51,기타 추간판장애,757,대구,2019
59세 이하,7,K02,치아우식증,586,대구,2019
59세 이하,8,K29,위염 및 십이지장염,508,대구,2019
59세 이하,9,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,507,대구,2019
59세 이하,10,K21,위-식도역류병,454,대구,2019
59세 이하,11,N39,비뇨기계통의 기타 장애,421,대구,2019
59세 이하,12,B18,만성 바이러스간염,392,대구,2019
59세 이하,13,R07,인후 및 흉곽의 동통,386,대구,2019
59세 이하,14,M13,추 락,381,대구,2019
59세 이하,15,N40,전립선증식증,368,대구,2019
59세 이하,16,M17,윤충증,362,대구,2019
59세 이하,17,J30,혈관운동성 및 앨러지성 비염,351,대구,2019
59세 이하,18,M75,어깨병변,348,대구,2019
59세 이하,19,S33,"허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",335,대구,2019
59세 이하,20,M54,배통,330,대구,2019
60대,1,I10,본태성(일차성)고혈압,3388,대구,2019
60대,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3215,대구,2019
60대,3,N40,전립선증식증,2796,대구,2019
60대,4,E11,인슐린-비의존 당뇨병,2607,대구,2019
60대,5,M81,병적골절이 없는 골다공증,1387,대구,2019
60대,6,K05,치은염(잇몸염)및 치주 질환,1346,대구,2019
60대,7,M13,추 락,1267,대구,2019
60대,8,M17,윤충증,1194,대구,2019
60대,9,K21,위-식도역류병,1152,대구,2019
60대,10,I20,협심증,1134,대구,2019
60대,11,K29,위염 및 십이지장염,1062,대구,2019
60대,12,M51,기타 추간판장애,1045,대구,2019
60대,13,M48,기타 척추병증,1037,대구,2019
60대,14,I63,뇌경색증,970,대구,2019
60대,15,K08,치아 및 지지구조의 기타 장애,868,대구,2019
60대,16,E78,지질단백질대사장애 및 기타 지질증,782,대구,2019
60대,17,M75,어깨병변,778,대구,2019
60대,18,H25,노인성 백내장,685,대구,2019
60대,19,R07,인후 및 흉곽의 동통,671,대구,2019
60대,20,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,580,대구,2019
70대,1,N40,전립선증식증,27183,대구,2019
70대,2,I10,본태성(일차성)고혈압,14755,대구,2019
70대,3,E11,인슐린-비의존 당뇨병,13203,대구,2019
70대,4,I20,협심증,9896,대구,2019
70대,5,M48,기타 척추병증,9298,대구,2019
70대,6,M13,추 락,7905,대구,2019
70대,7,K08,치아 및 지지구조의 기타 장애,7118,대구,2019
70대,8,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,6898,대구,2019
70대,9,H25,노인성 백내장,6898,대구,2019
70대,10,I63,뇌경색증,6777,대구,2019
70대,11,M51,기타 추간판장애,6752,대구,2019
70대,12,K05,치은염(잇몸염)및 치주 질환,5971,대구,2019
70대,13,M17,윤충증,5392,대구,2019
70대,14,M75,어깨병변,5213,대구,2019
70대,15,N18,만성 콩팥(신장)기능상실,3974,대구,2019
70대,16,B35,피부사상균증,3895,대구,2019
70대,17,K29,위염 및 십이지장염,3712,대구,2019
70대,18,K21,위-식도역류병,3601,대구,2019
70대,19,H93,달리 분류되지 않은 귀의 기타 장애,3460,대구,2019
70대,20,K04,치수 및 치근단주위조직의 질환,3385,대구,2019
80대,1,N40,전립선증식증,5613,대구,2019
80대,2,I10,본태성(일차성)고혈압,3779,대구,2019
80대,3,I63,뇌경색증,2470,대구,2019
80대,4,F00,알츠하이머병에서의 치매(G30.-+),2391,대구,2019
80대,5,E11,인슐린-비의존 당뇨병,2333,대구,2019
80대,6,M48,기타 척추병증,2015,대구,2019
80대,7,I20,협심증,1913,대구,2019
80대,8,C61,전립선의 악성 신생물,1357,대구,2019
80대,9,H25,노인성 백내장,1331,대구,2019
80대,10,M51,기타 추간판장애,1091,대구,2019
80대,11,K08,치아 및 지지구조의 기타 장애,1086,대구,2019
80대,12,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1062,대구,2019
80대,13,K29,위염 및 십이지장염,1000,대구,2019
80대,14,M17,윤충증,874,대구,2019
80대,15,M13,추 락,860,대구,2019
80대,16,J44,기타 만성 폐쇄성 폐질환,793,대구,2019
80대,17,N18,만성 콩팥(신장)기능상실,753,대구,2019
80대,18,K05,치은염(잇몸염)및 치주 질환,751,대구,2019
80대,19,F32,우울증 에피소드,666,대구,2019
80대,20,K21,위-식도역류병,617,대구,2019
90세 이상,1,N40,전립선증식증,1992,대구,2019
90세 이상,2,I10,본태성(일차성)고혈압,1132,대구,2019
90세 이상,3,F00,알츠하이머병에서의 치매(G30.-+),930,대구,2019
90세 이상,4,I63,뇌경색증,792,대구,2019
90세 이상,5,E11,인슐린-비의존 당뇨병,662,대구,2019
90세 이상,6,M48,기타 척추병증,480,대구,2019
90세 이상,7,N18,만성 콩팥(신장)기능상실,347,대구,2019
90세 이상,8,K08,치아 및 지지구조의 기타 장애,317,대구,2019
90세 이상,9,K29,위염 및 십이지장염,314,대구,2019
90세 이상,10,H25,노인성 백내장,301,대구,2019
90세 이상,11,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,286,대구,2019
90세 이상,12,C61,전립선의 악성 신생물,281,대구,2019
90세 이상,13,M17,윤충증,280,대구,2019
90세 이상,14,I20,협심증,241,대구,2019
90세 이상,15,L29,소양증,211,대구,2019
90세 이상,16,F03,상세불명의 치매,198,대구,2019
90세 이상,17,M51,기타 추간판장애,186,대구,2019
90세 이상,18,K21,위-식도역류병,182,대구,2019
90세 이상,19,C67,방광의 악성 신생물,181,대구,2019
90세 이상,20,J18,상세불명 병원체의 폐렴,175,대구,2019
59세 이하,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3962,대구,2020
59세 이하,2,I10,본태성(일차성)고혈압,901,대구,2020
59세 이하,3,N18,만성 콩팥(신장)기능상실,873,대구,2020
59세 이하,4,E11,인슐린-비의존 당뇨병,803,대구,2020
59세 이하,5,M51,기타 추간판장애,759,대구,2020
59세 이하,6,K05,치은염(잇몸염)및 치주 질환,518,대구,2020
59세 이하,7,N40,전립선증식증,380,대구,2020
59세 이하,8,K29,위염 및 십이지장염,377,대구,2020
59세 이하,9,K02,치아우식증,357,대구,2020
59세 이하,10,K21,위-식도역류병,341,대구,2020
59세 이하,11,B18,만성 바이러스간염,328,대구,2020
59세 이하,12,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,323,대구,2020
59세 이하,13,N39,비뇨기계통의 기타 장애,313,대구,2020
59세 이하,14,F32,우울증 에피소드,286,대구,2020
59세 이하,15,B35,피부사상균증,263,대구,2020
59세 이하,16,M54,배통,251,대구,2020
59세 이하,17,E78,지질단백질대사장애 및 기타 지질증,247,대구,2020
59세 이하,18,G82,하반신마비 및 사지마비,247,대구,2020
59세 이하,19,E03,기타 갑상선기능저하증,245,대구,2020
59세 이하,20,J30,혈관운동성 및 앨러지성 비염,241,대구,2020
60대,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3673,대구,2020
60대,2,I10,본태성(일차성)고혈압,2791,대구,2020
60대,3,N40,전립선증식증,2191,대구,2020
60대,4,E11,인슐린-비의존 당뇨병,2097,대구,2020
60대,5,M81,병적골절이 없는 골다공증,971,대구,2020
60대,6,I20,협심증,944,대구,2020
60대,7,M48,기타 척추병증,884,대구,2020
60대,8,I63,뇌경색증,822,대구,2020
60대,9,M51,기타 추간판장애,809,대구,2020
60대,10,K05,치은염(잇몸염)및 치주 질환,797,대구,2020
60대,11,K21,위-식도역류병,782,대구,2020
60대,12,M17,윤충증,737,대구,2020
60대,13,K29,위염 및 십이지장염,734,대구,2020
60대,14,K08,치아 및 지지구조의 기타 장애,663,대구,2020
60대,15,N18,만성 콩팥(신장)기능상실,623,대구,2020
60대,16,M75,어깨병변,615,대구,2020
60대,17,E78,지질단백질대사장애 및 기타 지질증,610,대구,2020
60대,18,M13,추 락,567,대구,2020
60대,19,M54,배통,527,대구,2020
60대,20,H25,노인성 백내장,520,대구,2020
70대,1,N40,전립선증식증,25841,대구,2020
70대,2,I10,본태성(일차성)고혈압,12375,대구,2020
70대,3,E11,인슐린-비의존 당뇨병,10875,대구,2020
70대,4,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,9830,대구,2020
70대,5,I20,협심증,9364,대구,2020
70대,6,M48,기타 척추병증,8752,대구,2020
70대,7,M51,기타 추간판장애,7474,대구,2020
70대,8,H25,노인성 백내장,6778,대구,2020
70대,9,I63,뇌경색증,6247,대구,2020
70대,10,K08,치아 및 지지구조의 기타 장애,5858,대구,2020
70대,11,K05,치은염(잇몸염)및 치주 질환,4712,대구,2020
70대,12,N18,만성 콩팥(신장)기능상실,4466,대구,2020
70대,13,M17,윤충증,4066,대구,2020
70대,14,M75,어깨병변,3740,대구,2020
70대,15,M13,추 락,3506,대구,2020
70대,16,B35,피부사상균증,3427,대구,2020
70대,17,C61,전립선의 악성 신생물,3114,대구,2020
70대,18,K21,위-식도역류병,2937,대구,2020
70대,19,H93,달리 분류되지 않은 귀의 기타 장애,2683,대구,2020
70대,20,K04,치수 및 치근단주위조직의 질환,2657,대구,2020
80대,1,N40,전립선증식증,4522,대구,2020
80대,2,I10,본태성(일차성)고혈압,2895,대구,2020
80대,3,I63,뇌경색증,2213,대구,2020
80대,4,F00,알츠하이머병에서의 치매(G30.-+),1975,대구,2020
80대,5,E11,인슐린-비의존 당뇨병,1935,대구,2020
80대,6,M48,기타 척추병증,1886,대구,2020
80대,7,I20,협심증,1542,대구,2020
80대,8,C61,전립선의 악성 신생물,1190,대구,2020
80대,9,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1171,대구,2020
80대,10,H25,노인성 백내장,1055,대구,2020
80대,11,K08,치아 및 지지구조의 기타 장애,940,대구,2020
80대,12,M51,기타 추간판장애,768,대구,2020
80대,13,M17,윤충증,751,대구,2020
80대,14,N18,만성 콩팥(신장)기능상실,667,대구,2020
80대,15,K29,위염 및 십이지장염,633,대구,2020
80대,16,F32,우울증 에피소드,567,대구,2020
80대,17,M13,추 락,564,대구,2020
80대,18,R41,인지기능 및 자각에 관한 기타 증상 및 징후,549,대구,2020
80대,19,N31,달리 분류되지 않은 방광의 신경근육기능장애,523,대구,2020
80대,20,I48,심방세동 및 조동,512,대구,2020
90세 이상,1,N40,전립선증식증,2073,대구,2020
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1126,대구,2020
90세 이상,3,I10,본태성(일차성)고혈압,880,대구,2020
90세 이상,4,I63,뇌경색증,813,대구,2020
90세 이상,5,N18,만성 콩팥(신장)기능상실,744,대구,2020
90세 이상,6,E11,인슐린-비의존 당뇨병,668,대구,2020
90세 이상,7,M48,기타 척추병증,584,대구,2020
90세 이상,8,C61,전립선의 악성 신생물,339,대구,2020
90세 이상,9,I20,협심증,328,대구,2020
90세 이상,10,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,298,대구,2020
90세 이상,11,H25,노인성 백내장,291,대구,2020
90세 이상,12,J18,상세불명 병원체의 폐렴,262,대구,2020
90세 이상,13,F03,상세불명의 치매,251,대구,2020
90세 이상,14,K08,치아 및 지지구조의 기타 장애,219,대구,2020
90세 이상,15,K29,위염 및 십이지장염,216,대구,2020
90세 이상,16,J44,기타 만성 폐쇄성 폐질환,213,대구,2020
90세 이상,17,M17,윤충증,210,대구,2020
90세 이상,18,M51,기타 추간판장애,187,대구,2020
90세 이상,19,C67,방광의 악성 신생물,186,대구,2020
90세 이상,20,L29,소양증,184,대구,2020
59세 이하,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3649,대구,2021
59세 이하,2,U07,U07의 응급사용,3408,대구,2021
59세 이하,3,E11,인슐린-비의존 당뇨병,1126,대구,2021
59세 이하,4,I10,본태성(일차성)고혈압,1018,대구,2021
59세 이하,5,M51,기타 추간판장애,925,대구,2021
59세 이하,6,N18,만성 콩팥(신장)기능상실,794,대구,2021
59세 이하,7,K05,치은염(잇몸염)및 치주 질환,560,대구,2021
59세 이하,8,K02,치아우식증,490,대구,2021
59세 이하,9,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,471,대구,2021
59세 이하,10,G82,하반신마비 및 사지마비,451,대구,2021
59세 이하,11,N40,전립선증식증,373,대구,2021
59세 이하,12,K21,위-식도역류병,352,대구,2021
59세 이하,13,B18,만성 바이러스간염,345,대구,2021
59세 이하,14,E78,지질단백질대사장애 및 기타 지질증,328,대구,2021
59세 이하,15,M75,어깨병변,325,대구,2021
59세 이하,16,M54,배통,306,대구,2021
59세 이하,17,F32,우울증 에피소드,276,대구,2021
59세 이하,18,N39,비뇨기계통의 기타 장애,275,대구,2021
59세 이하,19,I20,협심증,263,대구,2021
59세 이하,20,E03,기타 갑상선기능저하증,256,대구,2021
60대,1,I10,본태성(일차성)고혈압,2941,대구,2021
60대,2,E11,인슐린-비의존 당뇨병,2802,대구,2021
60대,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2598,대구,2021
60대,4,N40,전립선증식증,1983,대구,2021
60대,5,M51,기타 추간판장애,1281,대구,2021
60대,6,M48,기타 척추병증,1088,대구,2021
60대,7,M81,병적골절이 없는 골다공증,927,대구,2021
60대,8,I20,협심증,897,대구,2021
60대,9,K05,치은염(잇몸염)및 치주 질환,869,대구,2021
60대,10,E78,지질단백질대사장애 및 기타 지질증,849,대구,2021
60대,11,M17,윤충증,787,대구,2021
60대,12,K08,치아 및 지지구조의 기타 장애,757,대구,2021
60대,13,K21,위-식도역류병,752,대구,2021
60대,14,N18,만성 콩팥(신장)기능상실,750,대구,2021
60대,15,I63,뇌경색증,709,대구,2021
60대,16,M75,어깨병변,645,대구,2021
60대,17,M50,목뼈원판 장애,580,대구,2021
60대,18,M54,배통,528,대구,2021
60대,19,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,491,대구,2021
60대,20,H25,노인성 백내장,479,대구,2021
70대,1,N40,전립선증식증,24391,대구,2021
70대,2,E11,인슐린-비의존 당뇨병,15542,대구,2021
70대,3,I10,본태성(일차성)고혈압,14220,대구,2021
70대,4,M51,기타 추간판장애,11185,대구,2021
70대,5,I20,협심증,9574,대구,2021
70대,6,M48,기타 척추병증,9362,대구,2021
70대,7,H25,노인성 백내장,6986,대구,2021
70대,8,K08,치아 및 지지구조의 기타 장애,6599,대구,2021
70대,9,I63,뇌경색증,6383,대구,2021
70대,10,N18,만성 콩팥(신장)기능상실,4928,대구,2021
70대,11,K05,치은염(잇몸염)및 치주 질환,4632,대구,2021
70대,12,M17,윤충증,4272,대구,2021
70대,13,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,4136,대구,2021
70대,14,K21,위-식도역류병,3981,대구,2021
70대,15,M75,어깨병변,3828,대구,2021
70대,16,G62,기타 다발신경병증,3695,대구,2021
70대,17,B35,피부사상균증,3634,대구,2021
70대,18,C61,전립선의 악성 신생물,3279,대구,2021
70대,19,I48,심방세동 및 조동,3276,대구,2021
70대,20,K04,치수 및 치근단주위조직의 질환,3059,대구,2021
80대,1,N40,전립선증식증,4101,대구,2021
80대,2,I10,본태성(일차성)고혈압,3269,대구,2021
80대,3,E11,인슐린-비의존 당뇨병,2923,대구,2021
80대,4,F00,알츠하이머병에서의 치매(G30.-+),2173,대구,2021
80대,5,M48,기타 척추병증,2039,대구,2021
80대,6,I63,뇌경색증,2007,대구,2021
80대,7,I20,협심증,1630,대구,2021
80대,8,M51,기타 추간판장애,1237,대구,2021
80대,9,C61,전립선의 악성 신생물,1074,대구,2021
80대,10,H25,노인성 백내장,1064,대구,2021
80대,11,K08,치아 및 지지구조의 기타 장애,885,대구,2021
80대,12,M17,윤충증,778,대구,2021
80대,13,I48,심방세동 및 조동,718,대구,2021
80대,14,N18,만성 콩팥(신장)기능상실,711,대구,2021
80대,15,R41,인지기능 및 자각에 관한 기타 증상 및 징후,633,대구,2021
80대,16,F03,상세불명의 치매,592,대구,2021
80대,17,K21,위-식도역류병,547,대구,2021
80대,18,M13,추 락,542,대구,2021
80대,19,K05,치은염(잇몸염)및 치주 질환,536,대구,2021
80대,20,F32,우울증 에피소드,531,대구,2021
90세 이상,1,N40,전립선증식증,2430,대구,2021
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1465,대구,2021
90세 이상,3,I10,본태성(일차성)고혈압,1461,대구,2021
90세 이상,4,I63,뇌경색증,1047,대구,2021
90세 이상,5,E11,인슐린-비의존 당뇨병,1017,대구,2021
90세 이상,6,M48,기타 척추병증,905,대구,2021
90세 이상,7,N18,만성 콩팥(신장)기능상실,787,대구,2021
90세 이상,8,I20,협심증,621,대구,2021
90세 이상,9,C61,전립선의 악성 신생물,530,대구,2021
90세 이상,10,K08,치아 및 지지구조의 기타 장애,473,대구,2021
90세 이상,11,F03,상세불명의 치매,407,대구,2021
90세 이상,12,I48,심방세동 및 조동,377,대구,2021
90세 이상,13,H25,노인성 백내장,372,대구,2021
90세 이상,14,M51,기타 추간판장애,336,대구,2021
90세 이상,15,J44,기타 만성 폐쇄성 폐질환,293,대구,2021
90세 이상,16,L29,소양증,283,대구,2021
90세 이상,17,M54,배통,241,대구,2021
90세 이상,18,K59,기타 기능적 창자 장애,239,대구,2021
90세 이상,19,M17,윤충증,234,대구,2021
90세 이상,20,R41,인지기능 및 자각에 관한 기타 증상 및 징후,227,대구,2021
59세 이하,1,U07,U07의 응급사용,7693,대구,2022
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2499,대구,2022
59세 이하,3,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,1556,대구,2022
59세 이하,4,E11,인슐린-비의존 당뇨병,1114,대구,2022
59세 이하,5,M51,기타 추간판장애,988,대구,2022
59세 이하,6,I10,본태성(일차성)고혈압,959,대구,2022
59세 이하,7,N18,만성 콩팥(신장)기능상실,958,대구,2022
59세 이하,8,K05,치은염(잇몸염)및 치주 질환,513,대구,2022
59세 이하,9,K02,치아우식증,464,대구,2022
59세 이하,10,G82,하반신마비 및 사지마비,376,대구,2022
59세 이하,11,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,354,대구,2022
59세 이하,12,K21,위-식도역류병,339,대구,2022
59세 이하,13,R07,인후 및 흉곽의 동통,328,대구,2022
59세 이하,14,E78,지질단백질대사장애 및 기타 지질증,314,대구,2022
59세 이하,15,B18,만성 바이러스간염,314,대구,2022
59세 이하,16,I20,협심증,310,대구,2022
59세 이하,17,N40,전립선증식증,292,대구,2022
59세 이하,18,M50,목뼈원판 장애,288,대구,2022
59세 이하,19,M54,배통,284,대구,2022
59세 이하,20,K04,치수 및 치근단주위조직의 질환,280,대구,2022
60대,1,U07,U07의 응급사용,6526,대구,2022
60대,2,E11,인슐린-비의존 당뇨병,2787,대구,2022
60대,3,I10,본태성(일차성)고혈압,2405,대구,2022
60대,4,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1877,대구,2022
60대,5,N40,전립선증식증,1597,대구,2022
60대,6,M51,기타 추간판장애,1234,대구,2022
60대,7,N18,만성 콩팥(신장)기능상실,1067,대구,2022
60대,8,I20,협심증,1035,대구,2022
60대,9,M48,기타 척추병증,929,대구,2022
60대,10,K05,치은염(잇몸염)및 치주 질환,856,대구,2022
60대,11,E78,지질단백질대사장애 및 기타 지질증,822,대구,2022
60대,12,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,796,대구,2022
60대,13,K08,치아 및 지지구조의 기타 장애,773,대구,2022
60대,14,M81,병적골절이 없는 골다공증,766,대구,2022
60대,15,M75,어깨병변,642,대구,2022
60대,16,I63,뇌경색증,639,대구,2022
60대,17,M17,윤충증,631,대구,2022
60대,18,M50,목뼈원판 장애,576,대구,2022
60대,19,K21,위-식도역류병,572,대구,2022
60대,20,E03,기타 갑상선기능저하증,460,대구,2022
70대,1,N40,전립선증식증,20729,대구,2022
70대,2,E11,인슐린-비의존 당뇨병,15598,대구,2022
70대,3,M51,기타 추간판장애,14515,대구,2022
70대,4,I10,본태성(일차성)고혈압,11595,대구,2022
70대,5,I20,협심증,9357,대구,2022
70대,6,M48,기타 척추병증,7810,대구,2022
70대,7,U07,U07의 응급사용,6635,대구,2022
70대,8,I63,뇌경색증,6297,대구,2022
70대,9,K08,치아 및 지지구조의 기타 장애,5822,대구,2022
70대,10,N18,만성 콩팥(신장)기능상실,5635,대구,2022
70대,11,H25,노인성 백내장,5500,대구,2022
70대,12,K05,치은염(잇몸염)및 치주 질환,4483,대구,2022
70대,13,G62,기타 다발신경병증,4219,대구,2022
70대,14,M17,윤충증,3987,대구,2022
70대,15,K21,위-식도역류병,3814,대구,2022
70대,16,K04,치수 및 치근단주위조직의 질환,3333,대구,2022
70대,17,B35,피부사상균증,3164,대구,2022
70대,18,C61,전립선의 악성 신생물,3137,대구,2022
70대,19,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3060,대구,2022
70대,20,M75,어깨병변,3046,대구,2022
80대,1,N40,전립선증식증,4592,대구,2022
80대,2,E11,인슐린-비의존 당뇨병,3724,대구,2022
80대,3,I10,본태성(일차성)고혈압,2979,대구,2022
80대,4,M51,기타 추간판장애,2496,대구,2022
80대,5,U07,U07의 응급사용,2331,대구,2022
80대,6,I20,협심증,2289,대구,2022
80대,7,I63,뇌경색증,2220,대구,2022
80대,8,M48,기타 척추병증,2159,대구,2022
80대,9,F00,알츠하이머병에서의 치매(G30.-+),2025,대구,2022
80대,10,N18,만성 콩팥(신장)기능상실,1318,대구,2022
80대,11,H25,노인성 백내장,1271,대구,2022
80대,12,C61,전립선의 악성 신생물,1208,대구,2022
80대,13,K08,치아 및 지지구조의 기타 장애,1172,대구,2022
80대,14,M17,윤충증,993,대구,2022
80대,15,I48,심방세동 및 조동,872,대구,2022
80대,16,K21,위-식도역류병,789,대구,2022
80대,17,R41,인지기능 및 자각에 관한 기타 증상 및 징후,766,대구,2022
80대,18,B35,피부사상균증,700,대구,2022
80대,19,K04,치수 및 치근단주위조직의 질환,694,대구,2022
80대,20,F32,우울증 에피소드,676,대구,2022
90세 이상,1,N40,전립선증식증,2200,대구,2022
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1438,대구,2022
90세 이상,3,I10,본태성(일차성)고혈압,1376,대구,2022
90세 이상,4,I63,뇌경색증,1144,대구,2022
90세 이상,5,E11,인슐린-비의존 당뇨병,1041,대구,2022
90세 이상,6,M48,기타 척추병증,948,대구,2022
90세 이상,7,N18,만성 콩팥(신장)기능상실,787,대구,2022
90세 이상,8,I20,협심증,583,대구,2022
90세 이상,9,F03,상세불명의 치매,562,대구,2022
90세 이상,10,U07,U07의 응급사용,527,대구,2022
90세 이상,11,C61,전립선의 악성 신생물,524,대구,2022
90세 이상,12,I48,심방세동 및 조동,403,대구,2022
90세 이상,13,M51,기타 추간판장애,388,대구,2022
90세 이상,14,K08,치아 및 지지구조의 기타 장애,352,대구,2022
90세 이상,15,J44,기타 만성 폐쇄성 폐질환,343,대구,2022
90세 이상,16,H25,노인성 백내장,284,대구,2022
90세 이상,17,K59,기타 기능적 창자 장애,243,대구,2022
90세 이상,18,L29,소양증,243,대구,2022
90세 이상,19,F32,우울증 에피소드,243,대구,2022
90세 이상,20,I50,심장기능상실(심부전),232,대구,2022
59세 이하,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2363,대구,2023
59세 이하,2,E11,인슐린-비의존 당뇨병,994,대구,2023
59세 이하,3,I10,본태성(일차성)고혈압,905,대구,2023
59세 이하,4,M51,기타 추간판장애,810,대구,2023
59세 이하,5,Z10,한정된 소인구집단에 대한 정례적인 일반 건강점검,626,대구,2023
59세 이하,6,N18,만성 콩팥(신장)기능상실,550,대구,2023
59세 이하,7,K05,치은염(잇몸염)및 치주 질환,499,대구,2023
59세 이하,8,K02,치아우식증,434,대구,2023
59세 이하,9,K04,치수 및 치근단주위조직의 질환,377,대구,2023
59세 이하,10,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,371,대구,2023
59세 이하,11,G80,유아성 뇌성마비,365,대구,2023
59세 이하,12,U07,U07의 응급사용,345,대구,2023
59세 이하,13,G82,하반신마비 및 사지마비,326,대구,2023
59세 이하,14,B18,만성 바이러스간염,316,대구,2023
59세 이하,15,E78,지질단백질대사장애 및 기타 지질증,303,대구,2023
59세 이하,16,R07,인후 및 흉곽의 동통,296,대구,2023
59세 이하,17,K08,치아 및 지지구조의 기타 장애,290,대구,2023
59세 이하,18,J34,코 및 코옆굴의 기타 장애,280,대구,2023
59세 이하,19,I20,협심증,276,대구,2023
