"월","퇴원과","퇴원결과","건수","지역","년도","진료과","주상병코드","주상병명"
"2023-05",NA,"경쾌","1","대구",2023,"순환기내과","I49","기타 심장부정맥"
"2023-06",NA,"호전","2","대구",2023,"소화기내과","I10","본태성(원발성) 고혈압"
"2023-07",NA,"경쾌","1","대구",2023,"순환기내과","T82","심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증"
"2023-11",NA,"호전","2","대구",2023,"순환기내과","R07","목구멍 및 가슴의 통증"
"2023-07",NA,"호전","1","대구",2023,"정형외과","M19","기타 관절증"
"2023-04",NA,"호전","1","대구",2023,"재활의학과","Z50","재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람"
"2023-08",NA,"경쾌","1","대구",2023,"순환기내과","R11","구역 및 구토"
"2023-08",NA,"호전","1","대구",2023,"내분비내과","N10","급성 세뇨관-간질신장염"
"2023-08",NA,"경쾌","1","대구",2023,"외과","S39","복부, 아래등 및 골반의 기타 및 상세불명의 손상"
"2023-09",NA,"경쾌","1","대구",2023,"순환기내과","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염"
"2023-07",NA,"경쾌","1","대구",2023,"순환기내과","R60","달리 분류되지 않은 부종"
"2023-07",NA,"48시간 후 사망","1","대구",2023,"내분비내과","U07","U07의 응급사용"
"2023-10",NA,"호전","1","대구",2023,"정형외과","S92","발목을 제외한 발의 골절"
"2023-11",NA,"호전","1","대구",2023,"순환기내과","I95","저혈압"
"2023-07",NA,"호전","1","대구",2023,"순환기내과","I49","기타 심장부정맥"
"2023-11",NA,"호전","1","대구",2023,"재활의학과","G95","척수의 기타 질환"
"2023-06",NA,"호전","1","대구",2023,"정형외과","T81","달리 분류되지 않은 처치의 합병증"
"2023-07",NA,"호전","2","대구",2023,"비뇨의학과","Z03","의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된"
"2023-09",NA,"호전","1","대구",2023,"비뇨의학과","N20","신장 및 요관의 결석"
"2023-06",NA,"경쾌","1","대구",2023,"순환기내과","I31","심장막의 기타 질환"
"2023-11",NA,"호전","2","대구",2023,"신장내과","R50","기타 및 원인미상의 열"
"2023-11",NA,"호전","2","대구",2023,"소화기내과","R53","병감 및 피로"
"2023-10",NA,"경쾌","1","대구",2023,"순환기내과","E11","2형 당뇨병"
"2023-10",NA,"경쾌","1","대구",2023,"순환기내과","E10","1형 당뇨병"
"2023-10",NA,"호전","1","대구",2023,"신장내과","L03","연조직염"
"2023-10",NA,"경쾌","2","대구",2023,"신장내과","E11","2형 당뇨병"
"2023-11",NA,"호전","1","대구",2023,"신경외과","M54","등통증"
"2023-09",NA,"호전","1","대구",2023,"정형외과","M23","무릎의 내부장애"
"2023-11",NA,"경쾌","1","대구",2023,"신경외과","G82","하반신마비 및 사지마비"
"2023-04",NA,"경쾌","1","대구",2023,"신경외과","S32","요추 및 골반의 골절"
"2023-08",NA,"호전","1","대구",2023,"내분비내과","J18","상세불명 병원체의 폐렴"
"2023-06",NA,"호전","1","대구",2023,"재활의학과","G60","유전성 및 특발성 신경병증"
"2023-09",NA,"경쾌","1","대구",2023,"소화기내과","R10","복부 및 골반 통증"
"2023-10",NA,"불변(호전안됨)","2","대구",2023,"비뇨의학과","N39","비뇨계통의 기타 장애"
"2023-07",NA,"호전","1","대구",2023,"정형외과","S70","엉덩이 및 대퇴의 표재성 손상"
"2023-10",NA,"호전","2","대구",2023,"신경외과","S22","늑골, 흉골 및 흉추의 골절"
"2023-06",NA,"호전","1","대구",2023,"정형외과","T14","상세불명의 신체부위의 손상"
"2023-08",NA,"호전","1","대구",2023,"비뇨의학과","N45","고환염 및 부고환염"
"2023-07",NA,"호전","1","대구",2023,"재활의학과","I63","뇌경색증"
"2023-07",NA,"호전","1","대구",2023,"외과","K64","치핵 및 항문주위정맥혈전증"
"2023-11",NA,"호전","1","대구",2023,"순환기내과","I35","비류마티스성 대동맥판장애"
"2023-06",NA,"호전","1","대구",2023,"소화기내과","K85","급성 췌장염"
"2023-10",NA,"48시간 후 사망","1","대구",2023,"신경외과","I61","뇌내출혈"
"2023-07",NA,"경쾌","1","대구",2023,"순환기내과","I71","대동맥동맥류 및 박리"
"2023-10",NA,"호전","1","대구",2023,"안과","H26","기타 백내장"
"2023-05",NA,"호전","17","대구",2023,"정형외과","M17","무릎관절증"
"2023-01",NA,"경쾌","2","대구",2023,"소화기내과","J44","기타 만성 폐쇄성 폐질환"
"2023-04",NA,"호전","7","대구",2023,"비뇨의학과","N40","전립선증식증"
"2023-04",NA,"호전","10","대구",2023,"정형외과","M17","무릎관절증"
"2023-05",NA,"호전","22","대구",2023,"순환기내과","I20","협심증"
"2023-05",NA,"호전","2","대구",2023,"순환기내과","I73","기타 말초혈관질환"
"2023-02",NA,"호전","2","대구",2023,"신경외과","S06","두개내손상"
"2023-02",NA,"호전","1","대구",2023,"정형외과","S92","발목을 제외한 발의 골절"
"2023-03",NA,"호전","2","대구",2023,"재활의학과","M48","기타 척추병증"
"2023-03",NA,"호전","6","대구",2023,"내분비내과","E11","2형 당뇨병"
"2023-01",NA,"호전","4","대구",2023,"정형외과","Z47","기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람"
"2023-03",NA,"호전","1","대구",2023,"정형외과","M13","기타 관절염"
"2023-04",NA,"호전","1","대구",2023,"비뇨의학과","R31","상세불명의 혈뇨"
"2023-04",NA,"호전","1","대구",2023,"외과","K80","담석증"
"2023-02",NA,"호전","1","대구",2023,"소화기내과","J44","기타 만성 폐쇄성 폐질환"
"2023-03",NA,"호전","3","대구",2023,"안과","H40","녹내장"
"2023-02",NA,"호전","1","대구",2023,"소화기내과","I20","협심증"
"2023-03",NA,"불변(호전안됨)","1","대구",2023,"신장내과","J69","고체 및 액체에 의한 폐렴"
"2023-03",NA,"호전","1","대구",2023,"비뇨의학과","C61","전립선의 악성 신생물"
"2023-01",NA,"경쾌","2","대구",2023,"순환기내과","I44","방실차단 및 좌각차단"
"2023-03",NA,"호전","1","대구",2023,"신장내과","I12","고혈압성 신장병"
"2023-03",NA,"경쾌","3","대구",2023,"신경외과","S32","요추 및 골반의 골절"
"2023-03",NA,"호전","4","대구",2023,"소화기내과","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염"
"2023-03",NA,"호전","3","대구",2023,"정형외과","M20","손가락 및 발가락의 후천변형"
"2023-04",NA,"불변(호전안됨)","1","대구",2023,"정형외과","S97","발목 및 발의 으깸손상"
"2023-04",NA,"경쾌","6","대구",2023,"외과","K80","담석증"
"2023-04",NA,"48시간 후 사망","1","대구",2023,"소화기내과","K74","간의 섬유증 및 경변증"
"2023-04",NA,"경쾌","4","대구",2023,"순환기내과","I50","심부전"
"2023-04",NA,"호전","3","대구",2023,"순환기내과","I70","죽상경화증"
"2023-04",NA,"호전","2","대구",2023,"소화기내과","E11","2형 당뇨병"
"2023-03",NA,"호전","2","대구",2023,"정형외과","Z47","기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람"
"2023-04",NA,"경쾌","3","대구",2023,"순환기내과","J90","달리 분류되지 않은 흉막삼출액"
"2023-04",NA,"경쾌","3","대구",2023,"외과","K35","급성 충수염"
"2023-01",NA,"경쾌","1","대구",2023,"신장내과","I12","고혈압성 신장병"
"2023-03",NA,"48시간 전 사망","1","대구",2023,"소화기내과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-04",NA,"호전","3","대구",2023,"소화기내과","R53","병감 및 피로"
"2023-04",NA,"48시간 전 사망","1","대구",2023,"가정의학과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-03",NA,"호전","2","대구",2023,"비뇨의학과","R31","상세불명의 혈뇨"
"2023-01",NA,"경쾌","2","대구",2023,"재활의학과","M51","기타 추간판장애"
"2023-01",NA,"불변(호전안됨)","2","대구",2023,"신장내과","N18","만성 신장병"
"2023-02",NA,"경쾌","5","대구",2023,"외과","K40","사타구니탈장"
"2023-04",NA,"경쾌","1","대구",2023,"외과","K60","항문 및 직장부의 열창 및 누공"
"2023-02",NA,"진단만실시","1","대구",2023,"안과","H25","노년백내장"
"2023-03",NA,"불변(호전안됨)","1","대구",2023,"정형외과","M75","어깨병변"
"2023-02",NA,"경쾌","6","대구",2023,"신경외과","M51","기타 추간판장애"
"2023-04",NA,"진단만실시","7","대구",2023,"비뇨의학과","C61","전립선의 악성 신생물"
"2023-04",NA,"호전","1","대구",2023,"정형외과","M87","골괴사"
"2023-01",NA,"경쾌","3","대구",2023,"외과","K40","사타구니탈장"
"2023-02",NA,"호전","1","대구",2023,"정형외과","M86","골수염"
"2023-04",NA,"호전","1","대구",2023,"소화기내과","K58","과민대장증후군"
"2023-05",NA,"경쾌","2","대구",2023,"외과","S22","늑골, 흉골 및 흉추의 골절"
"2023-05",NA,"호전","1","대구",2023,"순환기내과","I10","본태성(원발성) 고혈압"
"2023-01",NA,"호전","2","대구",2023,"소화기내과","K25","위궤양"
"2023-04",NA,"치료안함","1","대구",2023,"정형외과","M17","무릎관절증"
"2023-03",NA,"호전","2","대구",2023,"순환기내과","J18","상세불명 병원체의 폐렴"
"2023-05",NA,"불변(호전안됨)","1","대구",2023,"신경외과","S32","요추 및 골반의 골절"
"2023-05",NA,"불변(호전안됨)","2","대구",2023,"순환기내과","N10","급성 세뇨관-간질신장염"
"2023-03",NA,"경쾌","1","대구",2023,"외과","M79","달리 분류되지 않은 기타 연조직장애"
"2023-02",NA,"경쾌","3","대구",2023,"신경외과","M48","기타 척추병증"
"2023-04",NA,"호전","1","대구",2023,"정형외과","S92","발목을 제외한 발의 골절"
"2023-01",NA,"경쾌","1","대구",2023,"소화기내과","K85","급성 췌장염"
"2023-01",NA,"경쾌","1","대구",2023,"소화기내과","R11","구역 및 구토"
"2023-03",NA,"호전","2","대구",2023,"순환기내과","I49","기타 심장부정맥"
"2023-01",NA,"경쾌","1","대구",2023,"순환기내과","I42","심근병증"
"2023-01",NA,"호전","2","대구",2023,"신장내과","U07","U07의 응급사용"
"2023-01",NA,"호전","1","대구",2023,"순환기내과","I26","폐색전증"
"2023-02",NA,"진단만실시","1","대구",2023,"재활의학과","M96","달리 분류되지 않은 처치후 근골격장애"
"2023-02",NA,"호전","1","대구",2023,"정형외과","S82","발목을 포함한 아래다리의 골절"
"2023-02",NA,"경쾌","1","대구",2023,"신장내과","E11","2형 당뇨병"
"2023-03",NA,"호전","1","대구",2023,"소화기내과","R53","병감 및 피로"
"2023-03",NA,"불변(호전안됨)","1","대구",2023,"순환기내과","I21","급성 심근경색증"
"2023-03",NA,"호전","1","대구",2023,"소화기내과","G91","수두증"
"2023-02",NA,"호전","1","대구",2023,"정형외과","M10","통풍"
"2023-03",NA,"경쾌","1","대구",2023,"가정의학과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-03",NA,"불변(호전안됨)","1","대구",2023,"신장내과","R06","호흡의 이상"
"2023-03",NA,"경쾌","1","대구",2023,"신경외과","M54","등통증"
"2023-03",NA,"경쾌","1","대구",2023,"외과","K65","복막염"
"2023-03",NA,"경쾌","2","대구",2023,"외과","D13","기타 및 부위불명의 소화계통의 양성 신생물"
"2023-04",NA,"경쾌","1","대구",2023,"재활의학과","G21","이차성 파킨슨증"
"2023-03",NA,"호전","1","대구",2023,"재활의학과","S06","두개내손상"
"2023-04",NA,"호전","1","대구",2023,"정형외과","M05","혈청검사양성 류마티스관절염"
"2023-03",NA,"호전","1","대구",2023,"비뇨의학과","N40","전립선증식증"
"2023-03",NA,"호전","1","대구",2023,"순환기내과","I42","심근병증"
"2023-01",NA,"호전","1","대구",2023,"내분비내과","J69","고체 및 액체에 의한 폐렴"
"2023-03",NA,"호전","2","대구",2023,"순환기내과","J90","달리 분류되지 않은 흉막삼출액"
"2023-04",NA,"호전","1","대구",2023,"내분비내과","N39","비뇨계통의 기타 장애"
"2023-03",NA,"호전","1","대구",2023,"소화기내과","J15","달리 분류되지 않은 세균성 폐렴"
"2023-01",NA,"호전","1","대구",2023,"정형외과","M87","골괴사"
"2023-01",NA,"호전","1","대구",2023,"비뇨의학과","N40","전립선증식증"
"2023-04",NA,"호전","1","대구",2023,"소화기내과","K21","위-식도역류병"
"2023-03",NA,"호전","1","대구",2023,"외과","K66","복막의 기타 장애"
"2023-06",NA,"불변(호전안됨)","2","대구",2023,"순환기내과","D64","기타 빈혈"
"2023-11",NA,"경쾌","3","대구",2023,"순환기내과","U07","U07의 응급사용"
"2023-12",NA,"경쾌","22","대구",2023,"순환기내과","I20","협심증"
"2023-05",NA,"호전","1","대구",2023,"정형외과","S52","아래팔의 골절"
"2023-09",NA,"호전","36","대구",2023,"안과","H25","노년백내장"
"2023-09",NA,"호전","3","대구",2023,"정형외과","S42","어깨 및 위팔의 골절"
"2023-12",NA,"경쾌","3","대구",2023,"순환기내과","J44","기타 만성 폐쇄성 폐질환"
"2023-06",NA,"호전","15","대구",2023,"정형외과","M17","무릎관절증"
"2023-08",NA,"경쾌","2","대구",2023,"순환기내과","I50","심부전"
"2023-12",NA,"진단만실시","5","대구",2023,"비뇨의학과","Z03","의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된"
"2023-12",NA,"48시간 후 사망","1","대구",2023,"신장내과","N18","만성 신장병"
"2023-11",NA,"호전","4","대구",2023,"정형외과","M75","어깨병변"
"2023-09",NA,"경쾌","4","대구",2023,"순환기내과","I48","심방세동 및 조동"
"2023-12",NA,"호전","6","대구",2023,"순환기내과","I48","심방세동 및 조동"
"2023-11",NA,"경쾌","27","대구",2023,"순환기내과","I20","협심증"
"2023-08",NA,"호전","1","대구",2023,"정형외과","M19","기타 관절증"
"2023-12",NA,"호전","3","대구",2023,"재활의학과","M50","경추간판장애"
"2023-07",NA,"호전","4","대구",2023,"소화기내과","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염"
"2023-07",NA,"불변(호전안됨)","1","대구",2023,"신장내과","A93","달리 분류되지 않은 기타 절지동물매개바이러스열"
"2023-12",NA,"호전","3","대구",2023,"순환기내과","J44","기타 만성 폐쇄성 폐질환"
"2023-08",NA,"호전","10","대구",2023,"정형외과","M17","무릎관절증"
"2023-06",NA,"호전","1","대구",2023,"정형외과","M70","사용, 과용 및 압박에 관련된 연조직장애"
"2023-08",NA,"호전","2","대구",2023,"신장내과","U07","U07의 응급사용"
"2023-11",NA,"경쾌","1","대구",2023,"순환기내과","I35","비류마티스성 대동맥판장애"
"2023-12",NA,"48시간 후 사망","2","대구",2023,"신장내과","E11","2형 당뇨병"
"2023-06",NA,"호전","2","대구",2023,"신경과","I63","뇌경색증"
"2023-08",NA,"경쾌","4","대구",2023,"외과","K40","사타구니탈장"
"2023-09",NA,"호전","1","대구",2023,"소화기내과","C25","췌장의 악성 신생물"
"2023-05",NA,"호전","1","대구",2023,"정형외과","S97","발목 및 발의 으깸손상"
"2023-12",NA,"호전","1","대구",2023,"소화기내과","J44","기타 만성 폐쇄성 폐질환"
"2023-06",NA,"경쾌","1","대구",2023,"신경외과","M43","기타 변형성 등병증"
"2023-12",NA,"경쾌","2","대구",2023,"순환기내과","I47","발작성 빈맥"
"2023-06",NA,"호전","3","대구",2023,"정형외과","E11","2형 당뇨병"
"2023-07",NA,"호전","5","대구",2023,"정형외과","Z47","기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람"
"2023-11",NA,"호전","1","대구",2023,"순환기내과","F10","알코올사용에 의한 정신 및 행동 장애"
"2023-12",NA,"경쾌","1","대구",2023,"외과","T81","달리 분류되지 않은 처치의 합병증"
"2023-05",NA,"불변(호전안됨)","1","대구",2023,"순환기내과","I70","죽상경화증"
"2023-06",NA,"호전","3","대구",2023,"소화기내과","J44","기타 만성 폐쇄성 폐질환"
"2023-11",NA,"호전","22","대구",2023,"순환기내과","I20","협심증"
"2023-11",NA,"호전","9","대구",2023,"재활의학과","M51","기타 추간판장애"
"2023-08",NA,"경쾌","1","대구",2023,"순환기내과","M79","달리 분류되지 않은 기타 연조직장애"
"2023-09",NA,"경쾌","3","대구",2023,"신장내과","N18","만성 신장병"
"2023-06",NA,"호전","1","대구",2023,"순환기내과","E87","수분, 전해질 및 산-염기균형의 기타 장애"
"2023-06",NA,"호전","1","대구",2023,"소화기내과","C22","간 및 간내 담관의 악성 신생물"
"2023-05",NA,"호전","1","대구",2023,"내분비내과","R50","기타 및 원인미상의 열"
"2023-08",NA,"경쾌","3","대구",2023,"신장내과","E11","2형 당뇨병"
"2023-12",NA,"호전","3","대구",2023,"정형외과","S83","무릎의 관절 및 인대의 탈구, 염좌 및 긴장"
"2023-05",NA,"호전","1","대구",2023,"소화기내과","J42","상세불명의 만성 기관지염"
"2023-08",NA,"호전","1","대구",2023,"정형외과","G56","팔의 단일신경병증"
"2023-08",NA,"불변(호전안됨)","1","대구",2023,"안과","H20","홍채섬모체염"
"2023-09",NA,"호전","3","대구",2023,"비뇨의학과","C61","전립선의 악성 신생물"
"2023-10",NA,"48시간 전 사망","2","대구",2023,"가정의학과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-05",NA,"경쾌","1","대구",2023,"외과","J93","기흉"
"2023-08",NA,"진단만실시","1","대구",2023,"순환기내과","I73","기타 말초혈관질환"
"2023-09",NA,"호전","1","대구",2023,"소화기내과","K86","췌장의 기타 질환"
"2023-11",NA,"호전","5","대구",2023,"정형외과","M23","무릎의 내부장애"
"2023-12",NA,"호전","1","대구",2023,"정형외과","S32","요추 및 골반의 골절"
"2023-06",NA,"호전","1","대구",2023,"순환기내과","J69","고체 및 액체에 의한 폐렴"
"2023-09",NA,"호전","1","대구",2023,"재활의학과","I63","뇌경색증"
"2023-08",NA,"경쾌","2","대구",2023,"소화기내과","J18","상세불명 병원체의 폐렴"
"2023-08",NA,"호전","1","대구",2023,"정형외과","S32","요추 및 골반의 골절"
"2023-10",NA,"48시간 후 사망","1","대구",2023,"소화기내과","J18","상세불명 병원체의 폐렴"
"2023-12",NA,"경쾌","3","대구",2023,"순환기내과","U07","U07의 응급사용"
"2023-12",NA,"호전","1","대구",2023,"소화기내과","J12","달리 분류되지 않은 바이러스폐렴"
"2023-12",NA,"호전","1","대구",2023,"소화기내과","J13","폐렴연쇄알균에 의한 폐렴"
"2023-05",NA,"호전","1","대구",2023,"소화기내과","K59","기타 기능성 장장애"
"2023-07",NA,"경쾌","3","대구",2023,"순환기내과","I10","본태성(원발성) 고혈압"
"2023-09",NA,"불변(호전안됨)","1","대구",2023,"내분비내과","C24","담도의 기타 및 상세불명 부분의 악성 신생물"
"2023-09",NA,"호전","5","대구",2023,"정형외과","M75","어깨병변"
"2023-07",NA,"호전","1","대구",2023,"재활의학과","S72","대퇴골의 골절"
"2023-10",NA,"호전","1","대구",2023,"소화기내과","J84","기타 간질성 폐질환"
"2023-11",NA,"호전","7","대구",2023,"신경외과","M51","기타 추간판장애"
"2023-08",NA,"불변(호전안됨)","1","대구",2023,"소화기내과","J69","고체 및 액체에 의한 폐렴"
"2023-10",NA,"호전","5","대구",2023,"재활의학과","M48","기타 척추병증"
"2023-05",NA,"경쾌","1","대구",2023,"재활의학과","M96","달리 분류되지 않은 처치후 근골격장애"
"2023-07",NA,"경쾌","1","대구",2023,"외과","K35","급성 충수염"
"2023-10",NA,"경쾌","10","대구",2023,"순환기내과","I48","심방세동 및 조동"
"2023-11",NA,"진단만실시","1","대구",2023,"신장내과","E87","수분, 전해질 및 산-염기균형의 기타 장애"
"2023-07",NA,"호전","1","대구",2023,"재활의학과","G83","기타 마비증후군"
"2023-08",NA,"경쾌","2","대구",2023,"순환기내과","I10","본태성(원발성) 고혈압"
"2023-07",NA,"경쾌","2","대구",2023,"신경외과","M48","기타 척추병증"
"2023-06",NA,"호전","4","대구",2023,"순환기내과","E11","2형 당뇨병"
"2023-12",NA,"호전","1","대구",2023,"정형외과","G56","팔의 단일신경병증"
"2023-11",NA,"호전","1","대구",2023,"신장내과","U07","U07의 응급사용"
"2023-09",NA,"경쾌","1","대구",2023,"신경외과","A04","기타 세균성 장감염"
"2023-07",NA,"경쾌","1","대구",2023,"순환기내과","I95","저혈압"
"2023-09",NA,"호전","1","대구",2023,"신경외과","I63","뇌경색증"
"2023-09",NA,"불변(호전안됨)","2","대구",2023,"비뇨의학과","N39","비뇨계통의 기타 장애"
"2023-09",NA,"호전","1","대구",2023,"소화기내과","C22","간 및 간내 담관의 악성 신생물"
"2023-10",NA,"호전","1","대구",2023,"신장내과","N39","비뇨계통의 기타 장애"
"2023-06",NA,"호전","1","대구",2023,"재활의학과","M50","경추간판장애"
"2023-10",NA,"불변(호전안됨)","4","대구",2023,"가정의학과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-12",NA,"호전","1","대구",2023,"신경외과","M96","달리 분류되지 않은 처치후 근골격장애"
"2023-06",NA,"경쾌","1","대구",2023,"순환기내과","I45","기타 전도장애"
"2023-06",NA,"48시간 후 사망","1","대구",2023,"소화기내과","A41","기타 패혈증"
"2023-10",NA,"경쾌","1","대구",2023,"소화기내과","K21","위-식도역류병"
"2023-10",NA,"불변(호전안됨)","1","대구",2023,"소화기내과","I63","뇌경색증"
"2023-10",NA,"불변(호전안됨)","1","대구",2023,"순환기내과","I48","심방세동 및 조동"
"2023-06",NA,"48시간 후 사망","1","대구",2023,"신경외과","S32","요추 및 골반의 골절"
"2023-07",NA,"호전","1","대구",2023,"소화기내과","J69","고체 및 액체에 의한 폐렴"
"2023-10",NA,"경쾌","1","대구",2023,"외과","D17","양성 지방종성 신생물"
"2023-06",NA,"경쾌","1","대구",2023,"소화기내과","C22","간 및 간내 담관의 악성 신생물"
"2023-07",NA,"호전","2","대구",2023,"외과","K80","담석증"
"2023-10",NA,"호전","2","대구",2023,"재활의학과","G62","기타 다발신경병증"
"2023-11",NA,"호전","1","대구",2023,"소화기내과","J47","기관지확장증"
"2023-09",NA,"경쾌","3","대구",2023,"신경외과","S22","늑골, 흉골 및 흉추의 골절"
"2023-09",NA,"경쾌","2","대구",2023,"신경외과","M43","기타 변형성 등병증"
"2023-10",NA,"호전","1","대구",2023,"신장내과","E11","2형 당뇨병"
"2023-12",NA,"호전","1","대구",2023,"소화기내과","E11","2형 당뇨병"
"2023-07",NA,"호전","1","대구",2023,"정형외과","M20","손가락 및 발가락의 후천변형"
"2023-06",NA,"경쾌","2","대구",2023,"신장내과","J18","상세불명 병원체의 폐렴"
"2023-08",NA,"호전","2","대구",2023,"내분비내과","E10","1형 당뇨병"
"2023-07",NA,"호전","1","대구",2023,"신장내과","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염"
"2023-07",NA,"경쾌","2","대구",2023,"순환기내과","J44","기타 만성 폐쇄성 폐질환"
"2023-09",NA,"경쾌","1","대구",2023,"외과","C20","직장의 악성 신생물"
"2023-07",NA,"호전","3","대구",2023,"신경외과","M43","기타 변형성 등병증"
"2023-09",NA,"호전","1","대구",2023,"소화기내과","E11","2형 당뇨병"
"2023-11",NA,"호전","4","대구",2023,"정형외과","L03","연조직염"
"2023-06",NA,"경쾌","1","대구",2023,"소화기내과","C34","기관지 및 폐의 악성 신생물"
"2023-09",NA,"불변(호전안됨)","1","대구",2023,"가정의학과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-11",NA,"호전","1","대구",2023,"정형외과","S62","손목 및 손부위의 골절"
"2023-04",NA,"경쾌","1","대구",2023,"소화기내과","K30","기능성 소화불량"
"2023-06",NA,"48시간 후 사망","1","대구",2023,"신장내과","U07","U07의 응급사용"
"2023-09",NA,"호전","1","대구",2023,"순환기내과","I80","정맥염 및 혈전정맥염"
"2023-10",NA,"호전","1","대구",2023,"소화기내과","J15","달리 분류되지 않은 세균성 폐렴"
"2023-10",NA,"호전","1","대구",2023,"재활의학과","I63","뇌경색증"
"2023-12",NA,"호전","1","대구",2023,"정형외과","T87","재부착 및 절단에 특이한 합병증"
"2023-08",NA,"경쾌","1","대구",2023,"가정의학과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-08",NA,"호전","1","대구",2023,"정형외과","M70","사용, 과용 및 압박에 관련된 연조직장애"
"2023-09",NA,"48시간 후 사망","1","대구",2023,"신장내과","C25","췌장의 악성 신생물"
"2023-06",NA,"불변(호전안됨)","1","대구",2023,"내분비내과","D70","무과립구증"
"2023-07",NA,"경쾌","1","대구",2023,"신장내과","E11","2형 당뇨병"
"2023-11",NA,"불변(호전안됨)","1","대구",2023,"소화기내과","C64","신우를 제외한 신장의 악성 신생물"
"2023-07",NA,"불변(호전안됨)","1","대구",2023,"소화기내과","K92","소화계통의 기타 질환"
"2023-11",NA,"불변(호전안됨)","1","대구",2023,"신장내과","E11","2형 당뇨병"
"2023-07",NA,"불변(호전안됨)","1","대구",2023,"순환기내과","J18","상세불명 병원체의 폐렴"
"2023-10",NA,"경쾌","1","대구",2023,"순환기내과","I42","심근병증"
"2023-06",NA,"호전","1","대구",2023,"소화기내과","N39","비뇨계통의 기타 장애"
"2023-11",NA,"호전","1","대구",2023,"소화기내과","J15","달리 분류되지 않은 세균성 폐렴"
"2023-09",NA,"호전","1","대구",2023,"재활의학과","G20","파킨슨병"
"2023-12",NA,"48시간 후 사망","1","대구",2023,"가정의학과","C34","기관지 및 폐의 악성 신생물"
"2023-08",NA,"호전","1","대구",2023,"정형외과","L84","티눈 및 굳은살"
"2023-08",NA,"48시간 후 사망","1","대구",2023,"소화기내과","I71","대동맥동맥류 및 박리"
"2023-10",NA,"호전","1","대구",2023,"신장내과","N10","급성 세뇨관-간질신장염"
"2023-04",NA,"경쾌","1","대구",2023,"소화기내과","R05","기침"
"2023-07",NA,"경쾌","1","대구",2023,"외과","S22","늑골, 흉골 및 흉추의 골절"
"2023-10",NA,"불변(호전안됨)","1","대구",2023,"순환기내과","J18","상세불명 병원체의 폐렴"
"2023-06",NA,"호전","1","대구",2023,"정형외과","S56","아래팔 부위의 근육 및 힘줄의 손상"
"2023-08",NA,"호전","1","대구",2023,"정형외과","S62","손목 및 손부위의 골절"
"2023-05",NA,"경쾌","1","대구",2023,"순환기내과","J18","상세불명 병원체의 폐렴"
"2023-10",NA,"경쾌","1","대구",2023,"외과","K64","치핵 및 항문주위정맥혈전증"
"2023-02",NA,"경쾌","1","대구",2023,"신경외과","M43","기타 변형성 등병증"
"2023-05",NA,"호전","2","대구",2023,"정형외과","S42","어깨 및 위팔의 골절"
"2023-02",NA,"호전","1","대구",2023,"정형외과","M71","기타 윤활낭병증"
"2023-02",NA,"48시간 후 사망","15","대구",2023,"가정의학과","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람"
"2023-01",NA,"경쾌","7","대구",2023,"신경외과","M51","기타 추간판장애"
"2023-04",NA,"경쾌","37","대구",2023,"순환기내과","I20","협심증"
"2023-02",NA,"경쾌","1","대구",2023,"소화기내과","D12","결장, 직장, 항문 및 항문관의 양성 신생물"
"2023-02",NA,"경쾌","3","대구",2023,"신장내과","N18","만성 신장병"
"2023-02",NA,"경쾌","2","대구",2023,"순환기내과","J18","상세불명 병원체의 폐렴"
"2023-04",NA,"호전","4","대구",2023,"재활의학과","I63","뇌경색증"
"2023-05",NA,"경쾌","1","대구",2023,"외과","K64","치핵 및 항문주위정맥혈전증"
"2023-05",NA,"경쾌","4","대구",2023,"순환기내과","I70","죽상경화증"
"2023-05",NA,"경쾌","5","대구",2023,"외과","K40","사타구니탈장"
"2023-02",NA,"경쾌","1","대구",2023,"순환기내과","T82","심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증"
"2023-02",NA,"호전","3","대구",2023,"순환기내과","I70","죽상경화증"
"2023-02",NA,"경쾌","1","대구",2023,"소화기내과","R05","기침"
