년도,지역,구분,코드,상병명,연령별.합계,X59이하,X60.64,X65.69,X70.79,X80.89,X90이상
2022,대전,외래,"G00~G37, G43~G83",신경계질환,8133,819,173,464,5638,788,251
2022,대전,외래,"C00~C97, D00~D09",악성신생물,6872,399,166,336,4186,1409,376
2022,대전,외래,E00~E07,갑상선의 장애,2021,293,130,248,1183,147,20
2022,대전,외래,"B18, B19, K70~K77",간의 질환,3329,746,240,386,1698,214,45
2022,대전,외래,N18,만성신부전증,8090,794,600,260,4510,1351,575
2022,대구,입원(실인원),"I10~I13, I15",고혈압,36,2,0,4,18,8,4
2022,대구,입원(실인원),E10~E14,당뇨병,208,10,7,6,159,22,4
2022,대구,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,3,0,0,0,1,2,0
2022,대구,입원(실인원),"A15, A16, A19",호흡기결핵,7,0,0,0,3,0,4
2022,대구,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,985,30,30,53,683,131,58
2022,대구,입원(실인원),I60~I69,대뇌혈관질환,54,2,2,4,31,13,2
2022,대구,입원(실인원),"G00~G37, G43~G83",신경계질환,61,2,1,1,53,4,0
2022,대구,입원(실인원),"C00~C97, D00~D09",악성신생물,206,1,3,11,151,29,11
2022,대구,입원(실인원),E00~E07,갑상선의 장애,1,0,0,0,1,0,0
2022,대구,입원(실인원),"B18, B19, K70~K77",간의 질환,27,1,0,1,15,4,6
2022,대구,입원(실인원),N18,만성신부전증,85,2,1,9,47,20,6
2022,대구,입원(연인원),"I10~I13, I15",고혈압,1136,4,0,35,720,261,116
2022,대구,입원(연인원),E10~E14,당뇨병,9472,354,332,89,6466,2167,64
2022,대구,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,109,0,0,0,24,85,0
2022,대구,입원(연인원),"A15, A16, A19",호흡기결핵,242,0,0,0,75,0,167
2022,대구,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,10797,80,171,187,7347,1848,1164
2022,대구,입원(연인원),I60~I69,대뇌혈관질환,1961,21,19,60,1476,325,60
2022,대구,입원(연인원),"G00~G37, G43~G83",신경계질환,3690,841,7,7,2519,316,0
2022,대구,입원(연인원),"C00~C97, D00~D09",악성신생물,5222,1,11,338,3580,996,296
2022,대구,입원(연인원),E00~E07,갑상선의 장애,1,0,0,0,1,0,0
2022,대구,입원(연인원),"B18, B19, K70~K77",간의 질환,992,16,0,9,566,55,346
2022,대구,입원(연인원),N18,만성신부전증,5824,163,43,244,2822,961,1591
2022,대구,외래,"I10~I13, I15",고혈압,19513,1081,1133,1969,12035,2377,918
2022,대구,외래,E10~E14,당뇨병,25068,1395,1277,2203,16739,2777,677
2022,대구,외래,"F00~F99, G40~G41",정신 및 행동장애,15437,953,495,934,7559,3650,1846
2022,대구,외래,"A15, A16, A19",호흡기결핵,43,0,0,0,19,20,4
2022,대구,외래,"I05~I09, I20~I27, I30~I52",심장질환,23358,746,698,1364,16450,3138,962
2022,대구,외래,I60~I69,대뇌혈관질환,13569,308,367,906,8938,2255,795
2022,대구,외래,"G00~G37, G43~G83",신경계질환,16923,1280,596,829,12393,1475,350
2022,대구,외래,"C00~C97, D00~D09",악성신생물,9269,178,97,437,6599,1474,484
2022,대구,외래,E00~E07,갑상선의 장애,5575,505,349,720,3448,416,137
2022,대구,외래,"B18, B19, K70~K77",간의 질환,3397,639,292,382,1876,189,19
2022,대구,외래,N18,만성신부전증,9759,977,598,579,5962,1064,579
2023,광주,입원(실인원),"I10~I13, I15",고혈압,121,11,5,7,69,26,3
2023,광주,입원(실인원),E10~E14,당뇨병,140,9,8,4,104,13,2
2023,광주,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,56,2,1,4,27,8,14
2023,광주,입원(실인원),"A15, A16, A19",호흡기결핵,5,0,0,0,2,2,1
2023,광주,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,1055,31,41,54,691,173,65
2023,광주,입원(실인원),I60~I69,대뇌혈관질환,341,19,12,23,212,49,26
2023,광주,입원(실인원),"G00~G37, G43~G83",신경계질환,208,25,14,12,134,21,2
2023,광주,입원(실인원),"C00~C97, D00~D09",악성신생물,1059,96,54,56,590,227,36
2023,광주,입원(실인원),E00~E07,갑상선의 장애,7,0,0,0,7,0,0
2023,광주,입원(실인원),"B18, B19, K70~K77",간의 질환,74,12,4,4,41,9,4
2023,광주,입원(실인원),N18,만성신부전증,87,9,6,6,41,21,4
2023,광주,입원(연인원),"I10~I13, I15",고혈압,1103,84,26,34,583,353,23
2023,광주,입원(연인원),E10~E14,당뇨병,2362,57,235,48,1684,274,64
2023,광주,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,1203,22,4,67,700,99,311
2023,광주,입원(연인원),"A15, A16, A19",호흡기결핵,147,0,0,0,117,15,15
2023,광주,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,8944,119,184,466,5455,1814,906
2023,광주,입원(연인원),I60~I69,대뇌혈관질환,13985,1008,751,1312,8786,1186,942
2023,광주,입원(연인원),"G00~G37, G43~G83",신경계질환,8538,829,570,442,5699,976,22
2023,광주,입원(연인원),"C00~C97, D00~D09",악성신생물,23183,1755,1404,1304,11398,5752,1570
2023,광주,입원(연인원),E00~E07,갑상선의 장애,103,0,0,0,103,0,0
2023,광주,입원(연인원),"B18, B19, K70~K77",간의 질환,1172,217,89,28,673,108,57
2023,광주,입원(연인원),N18,만성신부전증,2356,226,179,93,1414,369,75
2023,광주,외래,"I10~I13, I15",고혈압,18943,1676,1003,1687,11558,2290,729
2023,광주,외래,E10~E14,당뇨병,17153,1348,904,1456,11072,2049,324
2023,광주,외래,"F00~F99, G40~G41",정신 및 행동장애,20642,2729,977,1195,8891,4797,2053
2023,광주,외래,"A15, A16, A19",호흡기결핵,23,0,0,1,18,4,0
2023,광주,외래,"I05~I09, I20~I27, I30~I52",심장질환,22781,1086,1026,1338,15153,3233,945
2023,광주,외래,I60~I69,대뇌혈관질환,13300,1252,585,771,7817,2237,638
2023,광주,외래,"G00~G37, G43~G83",신경계질환,13520,1561,1062,1165,7938,1512,282
2023,광주,외래,"C00~C97, D00~D09",악성신생물,14256,878,492,617,9345,2362,562
2023,광주,외래,E00~E07,갑상선의 장애,2343,398,184,245,1237,235,44
2023,광주,외래,"B18, B19, K70~K77",간의 질환,4294,854,351,401,2321,325,42
2023,광주,외래,N18,만성신부전증,8791,1494,488,885,4134,1614,176
2023,서울,입원(실인원),,고혈압,4,,,1,3,,
2023,서울,입원(실인원),,당뇨병,240,15,5,4,170,32,14
2023,서울,입원(실인원),,정신및행동장애,201,78,21,22,65,15,
2023,서울,입원(실인원),,호흡기결핵,21,,,,15,3,3
2023,서울,입원(실인원),,심장질환,1511,46,30,56,941,334,104
2023,서울,입원(실인원),,대뇌혈관질환,759,25,27,45,515,112,35
2023,서울,입원(실인원),,신경계질환,403,34,15,24,228,79,23
2023,서울,입원(실인원),,악성신생물,2126,54,36,78,1477,357,124
2023,서울,입원(실인원),,갑상선의장애,18,4,1,,12,,1
2023,서울,입원(실인원),,간의질환,88,5,,1,57,19,6
2023,서울,입원(실인원),,만성신부전증,203,13,8,3,126,39,14
2023,서울,입원(연인원),,고혈압,182,,,6,176,,
2023,서울,입원(연인원),,당뇨병,4076,259,168,62,2884,618,85
2023,서울,입원(연인원),,정신및행동장애,13351,6009,1887,1815,3115,525,
2023,서울,입원(연인원),,호흡기결핵,405,,,,337,28,40
2023,서울,입원(연인원),,심장질환,16045,283,366,490,9759,3851,1296
2023,서울,입원(연인원),,대뇌혈관질환,9940,792,276,367,6971,1063,471
2023,서울,입원(연인원),,신경계질환,30609,4490,737,2171,16501,5136,1574
2023,서울,입원(연인원),,악성신생물,31498,560,604,1130,22557,5004,1643
2023,서울,입원(연인원),,갑상선의장애,156,23,9,,73,51,
2023,서울,입원(연인원),,간의질환,1266,80,,25,895,169,97
2023,서울,입원(연인원),,만성신부전증,3229,260,133,75,2191,492,78
2023,서울,외래,,고혈압,39131,1784,1594,3068,24751,6333,1601
2023,서울,외래,,당뇨병,61006,2954,2404,4225,41363,8643,1417
2023,서울,외래,,정신및행동장애,34942,4431,1282,1949,17388,7338,2554
2023,서울,외래,,호흡기결핵,553,17,2,21,340,74,99
2023,서울,외래,,심장질환,56322,1244,1244,2542,38085,10463,2744
2023,서울,외래,,대뇌혈관질환,34393,1047,751,1928,22930,5923,1814
2023,서울,외래,,신경계질환,57347,6965,2623,4282,34392,7512,1573
2023,서울,외래,,악성신생물,59752,1548,1014,2617,42637,9768,2168
2023,서울,외래,,갑상선의장애,9012,784,474,980,5380,1238,156
2023,서울,외래,,간의질환,7528,813,560,654,4706,701,94
2023,서울,외래,,만성신부전증,21985,1175,499,779,13566,4666,1300
2023,인천,입원(실인원),"I10~I13, I15",고혈압,0,,,,,,
2023,인천,입원(실인원),E10~E14,당뇨병,0,,,,,,
2023,인천,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,0,,,,,,
2023,인천,입원(실인원),"A15, A16, A19",호흡기결핵,0,,,,,,
2023,인천,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,0,,,,,,
2023,인천,입원(실인원),I60~I69,대뇌혈관질환,0,,,,,,
2023,인천,입원(실인원),"G00~G37, G43~G83",신경계질환,0,,,,,,
2023,인천,입원(실인원),"C00~C97, D00~D09",악성신생물,0,,,,,,
2023,인천,입원(실인원),E00~E07,갑상선의 장애,0,,,,,,
2023,인천,입원(실인원),"B18, B19, K70~K77",간의 질환,0,,,,,,
2023,인천,입원(실인원),N18,만성신부전증,0,,,,,,
2023,인천,입원(연인원),"I10~I13, I15",고혈압,0,,,,,,
2023,인천,입원(연인원),E10~E14,당뇨병,0,,,,,,
2023,인천,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,0,,,,,,
2023,인천,입원(연인원),"A15, A16, A19",호흡기결핵,0,,,,,,
2023,인천,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,0,,,,,,
2023,인천,입원(연인원),I60~I69,대뇌혈관질환,0,,,,,,
2023,인천,입원(연인원),"G00~G37, G43~G83",신경계질환,0,,,,,,
2023,인천,입원(연인원),"C00~C97, D00~D09",악성신생물,0,,,,,,
2023,인천,입원(연인원),E00~E07,갑상선의 장애,0,,,,,,
2023,인천,입원(연인원),"B18, B19, K70~K77",간의 질환,0,,,,,,
2023,인천,입원(연인원),N18,만성신부전증,0,,,,,,
2023,인천,외래,"I10~I13, I15",고혈압,0,,,,,,
2023,인천,외래,E10~E14,당뇨병,0,,,,,,
2023,인천,외래,"F00~F99, G40~G41",정신 및 행동장애,0,,,,,,
2023,인천,외래,"A15, A16, A19",호흡기결핵,0,,,,,,
2023,인천,외래,"I05~I09, I20~I27, I30~I52",심장질환,0,,,,,,
2023,인천,외래,I60~I69,대뇌혈관질환,0,,,,,,
2023,인천,외래,"G00~G37, G43~G83",신경계질환,0,,,,,,
2023,인천,외래,"C00~C97, D00~D09",악성신생물,0,,,,,,
2023,인천,외래,E00~E07,갑상선의 장애,0,,,,,,
2023,인천,외래,"B18, B19, K70~K77",간의 질환,0,,,,,,
2023,인천,외래,N18,만성신부전증,0,,,,,,
2023,부산,입원(실인원),"I10~I13, I15",고혈압,58,1,4,,40,11,2
2023,부산,입원(실인원),E10~E14,당뇨병,58,2,3,1,46,6,
2023,부산,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,5,,,,4,1,
2023,부산,입원(실인원),"A15, A16, A19",호흡기결핵,14,,,,12,,2
2023,부산,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,1017,18,11,28,761,142,57
2023,부산,입원(실인원),I60~I69,대뇌혈관질환,160,10,4,3,110,30,3
2023,부산,입원(실인원),"G00~G37, G43~G83",신경계질환,132,13,,8,99,12,
2023,부산,입원(실인원),"C00~C97, D00~D09",악성신생물,479,22,13,14,307,94,29
2023,부산,입원(실인원),E00~E07,갑상선의 장애,0,,,,,,
2023,부산,입원(실인원),"B18, B19, K70~K77",간의 질환,53,6,1,3,36,7,
2023,부산,입원(실인원),N18,만성신부전증,62,2,,,45,9,6
2023,부산,입원(연인원),"I10~I13, I15",고혈압,651,2,82,,388,161,18
2023,부산,입원(연인원),E10~E14,당뇨병,2214,124,56,13,1866,155,
2023,부산,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,218,,,,202,16,
2023,부산,입원(연인원),"A15, A16, A19",호흡기결핵,340,,,,294,,46
2023,부산,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,8555,72,43,230,5987,1505,718
2023,부산,입원(연인원),I60~I69,대뇌혈관질환,9591,666,291,168,6263,2092,111
2023,부산,입원(연인원),"G00~G37, G43~G83",신경계질환,8997,720,,610,6913,754,
2023,부산,입원(연인원),"C00~C97, D00~D09",악성신생물,11838,693,413,496,6929,2151,1156
2023,부산,입원(연인원),E00~E07,갑상선의 장애,0,,,,,,
2023,부산,입원(연인원),"B18, B19, K70~K77",간의 질환,3032,276,1,126,976,137,1516
2023,부산,입원(연인원),N18,만성신부전증,3059,29,,,2299,578,153
2023,부산,외래,"I10~I13, I15",고혈압,15424,729,513,984,10685,2040,473
2023,부산,외래,E10~E14,당뇨병,23495,845,766,1225,17485,2794,380
2023,부산,외래,"F00~F99, G40~G41",정신 및 행동장애,21966,1487,553,1109,14294,3491,1032
2023,부산,외래,"A15, A16, A19",호흡기결핵,122,15,,,94,2,11
2023,부산,외래,"I05~I09, I20~I27, I30~I52",심장질환,22835,440,472,973,16903,3299,748
2023,부산,외래,I60~I69,대뇌혈관질환,13357,682,262,523,9567,1964,359
2023,부산,외래,"G00~G37, G43~G83",신경계질환,10785,904,479,555,7567,1089,191
2023,부산,외래,"C00~C97, D00~D09",악성신생물,14828,219,127,213,11931,2037,301
2023,부산,외래,E00~E07,갑상선의 장애,2499,218,119,238,1601,276,47
2023,부산,외래,"B18, B19, K70~K77",간의 질환,3836,518,211,356,2420,313,18
2023,부산,외래,N18,만성신부전증,13928,768,393,217,10250,1746,554
2023,대전,입원(실인원),"I10~I13, I15",고혈압,36,1,,,23,5,7
2023,대전,입원(실인원),E10~E14,당뇨병,221,8,2,10,147,52,2
2023,대전,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,11,2,,,6,1,2
2023,대전,입원(실인원),"A15, A16, A19",호흡기결핵,91,1,3,6,61,9,11
2023,대전,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,108,3,2,2,58,33,10
2023,대전,입원(실인원),I60~I69,대뇌혈관질환,106,14,5,4,68,14,1
2023,대전,입원(실인원),"G00~G37, G43~G83",신경계질환,406,36,15,60,165,96,34
2023,대전,입원(실인원),"C00~C97, D00~D09",악성신생물,4,2,,,1,,1
2023,대전,입원(실인원),E00~E07,갑상선의 장애,33,4,2,1,25,1,
2023,대전,입원(실인원),"B18, B19, K70~K77",간의 질환,4460,249,148,243,2905,703,212
2023,대전,입원(실인원),N18,만성신부전증,129,6,2,3,74,35,9
2023,대전,입원(연인원),"I10~I13, I15",고혈압,781,5,,,430,18,328
2023,대전,입원(연인원),E10~E14,당뇨병,4336,66,59,260,2995,943,13
2023,대전,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,345,21,,,254,39,31
2023,대전,입원(연인원),"A15, A16, A19",호흡기결핵,639,1,7,11,227,41,352
2023,대전,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,5675,245,137,106,3048,1954,185
2023,대전,입원(연인원),I60~I69,대뇌혈관질환,5578,1064,150,85,3329,946,4
2023,대전,입원(연인원),"G00~G37, G43~G83",신경계질환,8466,712,277,1050,2808,2514,1105
2023,대전,입원(연인원),"C00~C97, D00~D09",악성신생물,119,11,,,105,,3
2023,대전,입원(연인원),E00~E07,갑상선의 장애,200,32,5,3,159,1,
2023,대전,입원(연인원),"B18, B19, K70~K77",간의 질환,62771,2858,2299,2656,37572,12368,5018
2023,대전,입원(연인원),N18,만성신부전증,2132,10,2,9,1518,332,261
2023,대전,외래,"I10~I13, I15",고혈압,14595,925,698,1197,9109,2008,658
2023,대전,외래,E10~E14,당뇨병,20674,1175,1051,1443,14118,2522,365
2023,대전,외래,"F00~F99, G40~G41",정신 및 행동장애,16034,1273,373,807,9105,3378,1098
2023,대전,외래,"A15, A16, A19",호흡기결핵,45,6,,,29,,10
2023,대전,외래,"I05~I09, I20~I27, I30~I52",심장질환,8514,224,167,379,5987,1317,440
2023,대전,외래,I60~I69,대뇌혈관질환,14721,412,314,751,10104,2531,609
2023,대전,외래,"G00~G37, G43~G83",신경계질환,8538,1347,378,500,5181,898,234
2023,대전,외래,"C00~C97, D00~D09",악성신생물,7021,305,248,506,4101,1534,327
2023,대전,외래,E00~E07,갑상선의 장애,1965,315,125,180,1093,202,50
2023,대전,외래,"B18, B19, K70~K77",간의 질환,3692,816,284,385,1844,320,43
2023,대전,외래,N18,만성신부전증,8878,884,655,418,4529,1702,690
2023,대구,입원(실인원),"I10~I13, I15",고혈압,50,3,1,,25,10,11
2023,대구,입원(실인원),E10~E14,당뇨병,227,14,11,6,151,39,6
2023,대구,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,2,,,,2,,
2023,대구,입원(실인원),"A15, A16, A19",호흡기결핵,8,,,,4,2,2
2023,대구,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,921,23,31,48,626,135,58
2023,대구,입원(실인원),I60~I69,대뇌혈관질환,53,,,2,34,9,8
2023,대구,입원(실인원),"G00~G37, G43~G83",신경계질환,73,3,,3,57,9,1
2023,대구,입원(실인원),"C00~C97, D00~D09",악성신생물,182,2,2,10,114,33,21
2023,대구,입원(실인원),E00~E07,갑상선의 장애, ,,,,,,
2023,대구,입원(실인원),"B18, B19, K70~K77",간의 질환,14,1,,1,7,3,2
2023,대구,입원(실인원),N18,만성신부전증,74,4,1,3,54,8,4
2023,대구,입원(연인원),"I10~I13, I15",고혈압,1600,111,12,,789,134,554
2023,대구,입원(연인원),E10~E14,당뇨병,10762,538,251,116,8317,1255,285
2023,대구,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,31,,,,31,,
2023,대구,입원(연인원),"A15, A16, A19",호흡기결핵,261,,,,90,57,114
2023,대구,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,11027,42,95,274,6706,2570,1340
2023,대구,입원(연인원),I60~I69,대뇌혈관질환,2228,,,17,1506,280,425
2023,대구,입원(연인원),"G00~G37, G43~G83",신경계질환,3178,77,,147,2600,259,95
2023,대구,입원(연인원),"C00~C97, D00~D09",악성신생물,4003,14,2,244,1801,1236,706
2023,대구,입원(연인원),E00~E07,갑상선의 장애, ,,,,,,
2023,대구,입원(연인원),"B18, B19, K70~K77",간의 질환,614,13,,8,115,162,316
2023,대구,입원(연인원),N18,만성신부전증,4667,223,64,53,3850,385,92
2023,대구,외래,"I10~I13, I15",고혈압,18169,1085,851,1740,10852,2604,1037
2023,대구,외래,E10~E14,당뇨병,21975,1199,1089,1783,14331,2864,709
2023,대구,외래,"F00~F99, G40~G41",정신 및 행동장애,16304,964,583,780,7361,4260,2356
2023,대구,외래,"A15, A16, A19",호흡기결핵,40,,,,28,12,
2023,대구,외래,"I05~I09, I20~I27, I30~I52",심장질환,23401,745,696,1266,16209,3358,1127
2023,대구,외래,I60~I69,대뇌혈관질환,12605,271,364,863,8089,2156,862
2023,대구,외래,"G00~G37, G43~G83",신경계질환,17729,1284,444,998,12962,1697,344
2023,대구,외래,"C00~C97, D00~D09",악성신생물,9157,218,79,307,6353,1570,630
2023,대구,외래,E00~E07,갑상선의 장애,5121,405,322,524,3234,516,120
2023,대구,외래,"B18, B19, K70~K77",간의 질환,3210,602,301,322,1711,247,27
2023,대구,외래,N18,만성신부전증,10858,621,410,907,7060,1156,704
