년도,지역,구분,순위,상병코드,상병명,실인원,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비(천원)
2022,부산,입원(실인원),11.0, I63 , 뇌경색증 ,87,4759,4,1,2,62,14,4,1325422.0
2022,부산,입원(실인원),12.0, K63 , 장의 기타 질환 ,86,458,4,1,4,74,2,1,196428.0
2022,부산,입원(실인원),13.0, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,76,3441,7,4,4,60,1,,1248558.0
2022,부산,입원(실인원),14.0, C34 , 기관지 및 폐의 악성 신생물 ,69,2329,2,2,5,40,18,2,1011117.0
2022,부산,입원(실인원),15.0, K29 , 위염 및 십이지장염 ,68,1238,,1,2,54,9,2,323214.0
2022,부산,입원(실인원),16.0, I73 , 기타 말초혈관질환 ,63,498,,,2,52,8,1,492446.0
2022,부산,입원(실인원),17.0, K40 , 사타구니탈장 ,57,356,1,,2,44,9,1,130539.0
2022,부산,입원(실인원),18.0, E11 , 2형 당뇨병 ,55,2497,,1,1,49,4,,545543.0
2022,부산,입원(실인원),19.0, S32 , 요추 및 골반의 골절 ,54,1950,1,1,3,32,12,5,495413.0
2022,부산,입원(실인원),20.0, M75 , 어깨병변 ,54,2324,3,3,4,44,,,691320.0
2022,부산,입원(연인원),1.0, M48 , 기타 척추병증 ,267,12912,138,206,411,11414,646,97,3794079.0
2022,부산,입원(연인원),2.0, M51 , 기타 추간판장애 ,157,5938,486,,567,4509,376,,1812237.0
2022,부산,입원(연인원),3.0, M17 , 무릎관절증 ,129,5203,,223,541,4150,219,70,1782880.0
2022,부산,입원(연인원),4.0, I63 , 뇌경색증 ,87,4759,348,32,12,3409,870,88,1325422.0
2022,부산,입원(연인원),5.0, U07 , 코로나바이러스 질환 2019 ,654,4730,724,306,356,2098,951,295,1732179.0
2022,부산,입원(연인원),6.0, J18 , 상세불명 병원체의 폐렴 ,181,4618,104,85,129,2746,889,665,1683207.0
2022,부산,입원(연인원),7.0, M96 , 달리 분류되지 않은 처치후 근골격장애 ,90,4452,174,17,81,3784,396,,1255811.0
2022,부산,입원(연인원),8.0, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,76,3441,166,75,142,3029,29,,1248558.0
2022,부산,입원(연인원),9.0, I20 , 협심증 ,591,3032,29,24,122,2585,232,40,2610095.0
2022,부산,입원(연인원),10.0, G81 , 편마비 ,44,2902,67,48,89,2466,168,64,823921.0
2022,부산,입원(연인원),11.0, E11 , 2형 당뇨병 ,55,2497,,17,13,2365,102,,545543.0
2022,부산,입원(연인원),12.0, C34 , 기관지 및 폐의 악성 신생물 ,69,2329,56,40,139,1524,487,83,1011117.0
2022,부산,입원(연인원),13.0, M75 , 어깨병변 ,54,2324,38,54,60,2172,,,691320.0
2022,부산,입원(연인원),14.0, I50 , 심부전 ,180,2270,8,,18,1320,615,309,793286.0
2022,부산,입원(연인원),15.0, C16 , 위의 악성 신생물 ,103,2235,51,83,75,1644,266,116,703462.0
2022,부산,입원(연인원),16.0, I69 , 뇌혈관질환의 후유증 ,34,2017,,4,90,1660,263,,582828.0
2022,부산,입원(연인원),17.0, S32 , 요추 및 골반의 골절 ,54,1950,47,14,83,1385,302,119,495413.0
2022,부산,입원(연인원),18.0, N18 , 만성 신장병 ,47,1879,53,,3,1538,145,140,588709.0
2022,부산,입원(연인원),19.0, S06 , 두개내손상 ,33,1777,353,104,,925,293,102,505687.0
2022,부산,입원(연인원),20.0, M50 , 경추간판장애 ,34,1519,121,,193,1093,112,,476027.0
2022,부산,외래,1.0, N40 , 전립선증식증 ,28597,28597,316,465,1040,22644,3109,1023,2331293.0
2022,부산,외래,2.0, E11 , 2형 당뇨병 ,22845,22845,861,817,1480,17080,2258,349,2155582.0
2022,부산,외래,3.0, U07 , 코로나바이러스 질환 2019 ,22771,22771,13578,2412,1666,3772,1150,193,1711673.0
2022,부산,외래,4.0, L30 , 기타 피부염 ,18226,18226,763,472,895,13841,1864,391,707040.0
2022,부산,외래,5.0, M17 , 무릎관절증 ,16286,16286,490,598,1883,11565,1516,234,2476727.0
2022,부산,외래,6.0, I20 , 협심증 ,14956,14956,214,318,772,11939,1419,294,1750251.0
2022,부산,외래,7.0, M48 , 기타 척추병증 ,14638,14638,329,384,554,11520,1614,237,3073947.0
2022,부산,외래,8.0, I10 , 본태성(원발성) 고혈압 ,14087,14087,615,536,957,10024,1581,374,825945.0
2022,부산,외래,9.0, N18 , 만성 신장병 ,12812,12812,716,466,589,8872,1635,534,3035632.0
2022,부산,외래,10.0, K05 , 치은염 및 치주질환 ,11608,11608,607,383,833,8761,914,110,1783414.0
2022,부산,외래,11.0, Z11 , 감염성 및 기생충성 질환에 대한 특수선별검사 ,11209,11209,5888,582,899,3380,386,74,637376.0
2022,부산,외래,12.0, M54 , 등통증 ,8089,8089,541,209,316,6116,875,32,625796.0
2022,부산,외래,13.0, K08 , 치아 및 지지구조의 기타 장애 ,7767,7767,214,159,510,6187,572,125,1784340.0
2022,부산,외래,14.0, K02 , 치아우식 ,7266,7266,532,189,537,5346,577,85,1252744.0
2022,부산,외래,15.0, I63 , 뇌경색증 ,7054,7054,175,212,170,5507,789,201,1044321.0
2022,부산,외래,16.0, K21 , 위-식도역류병 ,6533,6533,323,208,445,4932,536,89,866313.0
2022,부산,외래,17.0, N31 , 달리 분류되지 않은 방광의 신경근육기능장애 ,6417,6417,285,147,284,4756,790,155,672652.0
2022,부산,외래,18.0, M75 , 어깨병변 ,5689,5689,380,219,538,4231,277,44,1046953.0
2022,부산,외래,19.0, R53 , 병감 및 피로 ,5331,5331,282,131,349,3879,583,107,181796.0
2022,부산,외래,20.0,H25,노년백내장,5228,5228,12,56,184,4252,610,114,420786.0
2023,부산,입원(실인원),1.0, I20 , 협심증 ,696,4355,14,8,23,579,67,5,3343042.0
2023,부산,입원(실인원),2.0, N40 , 전립선증식증 ,339,2228,4,7,23,264,39,2,826226.0
2023,부산,입원(실인원),3.0, M48 , 기타 척추병증 ,294,15276,10,9,13,229,31,2,4704472.0
2023,부산,입원(실인원),4.0, J18 , 상세불명 병원체의 폐렴 ,281,6182,5,1,8,194,47,26,2261993.0
2023,부산,입원(실인원),5.0, I50 , 심부전 ,194,2691,1,1,2,90,60,40,949228.0
2023,부산,입원(실인원),6.0, M51 , 기타 추간판장애 ,183,8169,8,5,2,147,21,,2593604.0
2023,부산,입원(실인원),7.0, H25 , 노년백내장 ,119,119,,,3,112,4,,148274.0
2023,부산,입원(실인원),8.0, M17 , 무릎관절증 ,113,5073,2,3,7,86,11,4,1811293.0
2023,부산,입원(실인원),9.0, M96 , 달리 분류되지 않은 처치후 근골격장애 ,112,5683,6,3,5,84,14,,1623770.0
2023,부산,입원(실인원),10.0, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,96,4659,7,4,11,66,8,,1803782.0
2023,부산,입원(실인원),11.0, I63 , 뇌경색증 ,85,5281,6,,,51,25,3,1460683.0
2023,부산,입원(실인원),12.0, C16 , 위의 악성 신생물 ,84,1900,1,,3,59,14,7,724665.0
2023,부산,입원(실인원),13.0, M75 , 어깨병변 ,82,3312,8,2,5,63,4,,1124944.0
2023,부산,입원(실인원),14.0, K40 , 사타구니탈장 ,80,401,,,,71,7,2,168622.0
2023,부산,입원(실인원),15.0, S32 , 요추 및 골반의 골절 ,71,2931,,,3,45,19,4,681850.0
2023,부산,입원(실인원),16.0, K63 , 장의 기타 질환 ,67,647,,1,3,53,10,,212691.0
2023,부산,입원(실인원),17.0, G81 , 편마비 ,66,4895,,,5,56,5,,1372684.0
2023,부산,입원(실인원),18.0, C61 , 전립선의 악성 신생물 ,63,1286,,,1,46,13,3,473253.0
2023,부산,입원(실인원),19.0, N18 , 만성 신장병 ,62,3059,2,,,45,9,6,1019435.0
2023,부산,입원(실인원),19.0, C34 , 기관지 및 폐의 악성 신생물 ,62,2066,3,4,4,34,13,4,887463.0
2023,부산,입원(연인원),1.0, M48 , 기타 척추병증 ,294,15276,280,350,511,12557,1449,129,4704472.0
2023,부산,입원(연인원),2.0, M51 , 기타 추간판장애 ,183,8169,279,38,124,6732,996,,2593604.0
2023,부산,입원(연인원),3.0, J18 , 상세불명 병원체의 폐렴 ,281,6182,108,21,343,3966,1210,534,2261993.0
2023,부산,입원(연인원),4.0, M96 , 달리 분류되지 않은 처치후 근골격장애 ,112,5683,279,198,330,3996,880,,1623770.0
2023,부산,입원(연인원),5.0, I63 , 뇌경색증 ,85,5281,430,,,2939,1801,111,1460683.0
2023,부산,입원(연인원),6.0, M17 , 무릎관절증 ,113,5073,140,204,318,3656,509,246,1811293.0
2023,부산,입원(연인원),7.0, G81 , 편마비 ,66,4895,,,410,4167,318,,1372684.0
2023,부산,입원(연인원),8.0, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,96,4659,238,151,336,3433,501,,1803782.0
2023,부산,입원(연인원),9.0, I20 , 협심증 ,696,4355,43,25,136,3736,393,22,3343042.0
2023,부산,입원(연인원),10.0, M75 , 어깨병변 ,82,3312,308,90,147,2435,332,,1124944.0
2023,부산,입원(연인원),11.0, N18 , 만성 신장병 ,62,3059,29,,,2299,578,153,1019435.0
2023,부산,입원(연인원),12.0, I69 , 뇌혈관질환의 후유증 ,48,3046,49,119,135,2476,267,,921669.0
2023,부산,입원(연인원),13.0, S32 , 요추 및 골반의 골절 ,71,2931,,,107,1959,737,128,681850.0
2023,부산,입원(연인원),14.0, I50 , 심부전 ,194,2691,8,8,32,1141,983,519,949228.0
2023,부산,입원(연인원),15.0, N40 , 전립선증식증 ,339,2228,29,29,94,1645,427,4,826226.0
2023,부산,입원(연인원),16.0, M43 , 기타 변형성 등병증 ,41,2089,,,162,1687,240,,714753.0
2023,부산,입원(연인원),17.0, C34 , 기관지 및 폐의 악성 신생물 ,62,2066,85,128,229,1010,442,172,887463.0
2023,부산,입원(연인원),18.0, G82 , 하반신마비 및 사지마비 ,23,1960,478,,173,1309,,,553110.0
2023,부산,입원(연인원),19.0, M54 , 등통증 ,38,1956,,,,1716,240,,493166.0
2023,부산,입원(연인원),20.0, C16 , 위의 악성 신생물 ,84,1900,16,,74,1122,244,444,724665.0
2023,부산,외래,1.0, N40 , 전립선증식증 ,29435,29435,323,448,1020,22297,4195,1152,2509272.0
2023,부산,외래,2.0, E11 , 2형 당뇨병 ,22656,22656,817,751,1207,16832,2671,378,1980131.0
2023,부산,외래,3.0, L30 , 기타 피부염 ,21747,21747,920,550,878,16215,2765,419,897897.0
2023,부산,외래,4.0, M17 , 무릎관절증 ,17450,17450,463,543,1582,12662,1987,213,2991075.0
2023,부산,외래,5.0, I20 , 협심증 ,17077,17077,268,315,710,13309,2086,389,2205978.0
2023,부산,외래,6.0, M48 , 기타 척추병증 ,16763,16763,272,558,647,12806,2200,280,3479842.0
2023,부산,외래,7.0, N18 , 만성 신장병 ,13928,13928,768,393,217,10250,1746,554,3119807.0
2023,부산,외래,8.0, K05 , 치은염 및 치주질환 ,12407,12407,655,431,784,9076,1266,195,2191664.0
2023,부산,외래,9.0, I10 , 본태성(원발성) 고혈압 ,11643,11643,490,388,694,8188,1515,368,592413.0
2023,부산,외래,10.0, K08 , 치아 및 지지구조의 기타 장애 ,8535,8535,174,197,527,6480,891,266,1899055.0
2023,부산,외래,11.0, M54 , 등통증 ,8504,8504,294,381,245,6135,1369,80,674998.0
2023,부산,외래,12.0, K02 , 치아우식 ,7810,7810,485,241,455,5667,839,123,1413117.0
2023,부산,외래,13.0, N31 , 달리 분류되지 않은 방광의 신경근육기능장애 ,7558,7558,278,161,373,5471,1093,182,778712.0
2023,부산,외래,14.0, F06 ," 뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애 ",7422,7422,4,59,306,5900,1011,142,517768.0
2023,부산,외래,15.0, H35 , 기타 망막장애 ,7056,7056,102,86,235,5497,941,195,1027093.0
2023,부산,외래,16.0, I63 , 뇌경색증 ,7001,7001,138,136,175,5139,1168,245,1075103.0
2023,부산,외래,17.0, H36 , 달리 분류된 질환에서의 망막장애 ,6995,6995,136,152,326,5497,771,113,701233.0
2023,부산,외래,18.0, M75 , 어깨병변 ,6706,6706,771,301,673,4522,394,45,1422206.0
2023,부산,외래,19.0, C61 , 전립선의 악성 신생물 ,6406,6406,8,12,34,5406,780,166,1190444.0
2023,부산,외래,20.0,K21,위-식도역류병,6301,6301,313,186,391,4594,699,118,782946.0
2021,인천,입원(실인원),1.0, H25 , 노인성 백내장 ,264,448,4,12,18,208,20,2,544945.0
2021,인천,입원(실인원),2.0, E11 , 인슐린-비의존 당뇨병 ,184,2993,15,5,18,103,33,10,723447.0
2021,인천,입원(실인원),3.0, M48 , 기타 척추병증 ,138,1946,4,2,9,90,27,6,718612.0
2021,인천,입원(실인원),4.0, N31 , 달리 분류되지 않은 방광의 신경근육기능장애 ,93,2443,0,0,0,59,21,13,524355.0
2021,인천,입원(실인원),5.0, N40 , 전립선증식증 ,79,1317,1,1,3,65,4,5,306321.0
2021,인천,입원(실인원),6.0, K08 , 치아 및 지지구조의 기타 장애 ,79,154,3,2,3,70,1,0,197132.0
2021,인천,입원(실인원),7.0, M17 , 윤충증 ,64,2292,2,3,3,48,7,1,910136.0
2021,인천,입원(실인원),8.0, J44 , 기타 만성 폐쇄성 폐질환 ,53,1424,4,0,6,34,2,7,345166.0
2021,인천,입원(실인원),9.0, M75 , 어깨병변 ,46,903,1,3,8,31,3,0,370505.0
2021,인천,입원(실인원),10.0, M19 , 기타관절증 ,46,1587,1,8,4,25,8,0,515792.0
2021,인천,입원(실인원),11.0, J21 , 급성 세기관지염 ,41,526,1,0,0,18,19,3,146585.0
2021,인천,입원(실인원),12.0, I10 , 본태성(일차성)고혈압 ,38,772,2,0,1,7,12,16,161420.0
2021,인천,입원(실인원),13.0, C67 , 방광의 악성 신생물 ,36,767,1,0,0,13,20,2,187054.0
2021,인천,입원(실인원),14.0, C61 , 전립선의 악성 신생물 ,30,1013,0,0,0,16,11,3,240299.0
2021,인천,입원(실인원),15.0, M96 , 달리 분류되지 않은 처치후 근육골격 장애 ,27,502,2,0,4,20,1,0,135751.0
2021,인천,입원(실인원),16.0, J45 , 천식 ,23,549,0,0,1,19,0,3,132476.0
2021,인천,입원(실인원),17.0, K56 , 헤르니아가 없는 마비성 장폐색증 및 창자폐쇄 ,23,602,2,0,0,11,6,4,125347.0
2021,인천,입원(실인원),18.0, K29 , 위염 및 십이지장염 ,21,367,1,1,3,8,5,3,98917.0
2021,인천,입원(실인원),19.0, D41 , 비뇨기관의 행동양식 불명 또는 미상의 신생물 ,19,146,0,0,2,12,4,1,51916.0
2021,인천,입원(실인원),20.0, A09 , 감염성 및 상세불명 기원의 기타 위장염 및 대장염 ,18,200,5,0,0,8,5,0,46245.0
2021,인천,입원(연인원),1.0, E11 , 인슐린-비의존 당뇨병 ,184,2993,157,29,281,1752,563,211,723447.0
2021,인천,입원(연인원),2.0, N31 , 달리 분류되지 않은 방광의 신경근육기능장애 ,93,2443,0,0,0,1537,605,301,524355.0
2021,인천,입원(연인원),3.0, M17 , 윤충증 ,64,2292,60,106,90,1754,256,26,910136.0
2021,인천,입원(연인원),4.0, M48 , 기타 척추병증 ,138,1946,22,36,54,1198,583,53,718612.0
2021,인천,입원(연인원),5.0, M19 , 기타관절증 ,46,1587,18,213,169,898,289,0,515792.0
2021,인천,입원(연인원),6.0, J44 , 기타 만성 폐쇄성 폐질환 ,53,1424,127,0,133,749,14,401,345166.0
2021,인천,입원(연인원),7.0, N40 , 전립선증식증 ,79,1317,21,7,8,1093,82,106,306321.0
2021,인천,입원(연인원),8.0, C61 , 전립선의 악성 신생물 ,30,1013,0,0,0,470,470,73,240299.0
2021,인천,입원(연인원),9.0, M75 , 어깨병변 ,46,903,35,46,200,562,60,0,370505.0
2021,인천,입원(연인원),10.0, I10 , 본태성(일차성)고혈압 ,38,772,5,0,1,120,203,443,161420.0
2021,인천,입원(연인원),11.0, C67 , 방광의 악성 신생물 ,36,767,3,0,0,186,529,49,187054.0
2021,인천,입원(연인원),12.0, K56 , 헤르니아가 없는 마비성 장폐색증 및 창자폐쇄 ,23,602,23,0,0,175,172,232,125347.0
2021,인천,입원(연인원),13.0, J45 , 천식 ,23,549,0,0,7,455,0,87,132476.0
2021,인천,입원(연인원),14.0, J21 , 급성 세기관지염 ,41,526,7,0,0,201,261,57,146585.0
2021,인천,입원(연인원),15.0, J18 ," 상세불명 병원체의 폐렴, 제외: 보통간질(J84.1) ",12,518,0,0,0,251,214,53,142812.0
2021,인천,입원(연인원),16.0, G81 , 편마비 ,10,506,0,44,0,304,142,16,101753.0
2021,인천,입원(연인원),17.0, M96 , 달리 분류되지 않은 처치후 근육골격 장애 ,27,502,26,0,66,387,23,0,135751.0
2021,인천,입원(연인원),18.0, H25 , 노인성 백내장 ,264,448,5,18,30,353,38,4,544945.0
2021,인천,입원(연인원),19.0, K81 , 담낭염 ,3,402,0,0,0,7,0,395,112787.0
2021,인천,입원(연인원),20.0, K59 , 기타 기능적 창자 장애 ,10,373,0,0,0,22,351,0,99208.0
2021,인천,외래,1.0, N40 , 전립선증식증 ,2172,0,160,100,169,1529,170,44,808529.0
2021,인천,외래,2.0, Z26 , 기타 단일 감염성 질환에 대한 예방접종의 필요 ,6555,0,478,341,638,4086,848,164,421245.0
2021,인천,외래,3.0, I10 , 본태성(일차성)고혈압 ,4035,0,303,226,308,2547,508,143,734597.0
2021,인천,외래,4.0, K05 , 치은염(잇몸염)및 치주 질환 ,3138,0,68,142,281,2357,251,39,1053060.0
2021,인천,외래,5.0, E11 , 인슐린-비의존 당뇨병 ,1816,0,46,50,54,1241,347,78,615718.0
2021,인천,외래,6.0, M48 , 기타 척추병증 ,10461,0,591,679,883,6153,1630,525,660695.0
2021,인천,외래,7.0, H04 , 눈물기관의 장애 ,2096,0,13,43,74,1545,342,79,261023.0
2021,인천,외래,8.0, M19 ," 연기, 불 및 화염에 노출 ",1942,0,218,30,88,1498,96,12,577122.0
2021,인천,외래,9.0, H25 , 노인성 백내장 ,2422,0,189,109,144,1776,158,46,264370.0
2021,인천,외래,10.0, M54 , 배통 ,8292,0,667,386,675,5647,787,130,92629.0
2021,인천,외래,11.0, L24 , 자극성 접촉피부염 ,1800,0,122,71,121,1283,173,30,61807.0
2021,인천,외래,12.0, K04 , 치수 및 치근단주위조직의 질환 ,2077,0,180,130,177,1334,210,46,459074.0
2021,인천,외래,13.0, B35 , 피부사상균증 ,2517,0,197,95,153,1718,301,53,75233.0
2021,인천,외래,14.0, I63 , 뇌경색증 ,3298,0,216,250,285,2139,331,77,303895.0
2021,인천,외래,15.0, K29 , 위염 및 십이지장염 ,4512,0,153,122,362,3003,702,170,197367.0
2021,인천,외래,16.0, R52 , 달리 분류되지 않은 통증 ,2984,0,151,218,167,2187,237,24,248360.0
2021,인천,외래,17.0, K02 , 치아우식증 ,1663,0,190,94,191,1066,117,5,317502.0
2021,인천,외래,18.0, H90 , 전음성 및 감각신경성 청력소실 ,16228,0,273,444,780,11694,2356,681,105192.0
2021,인천,외래,19.0, K21 , 위-식도역류병 ,1967,0,267,172,174,1101,198,55,94475.0
2021,인천,외래,20.0, M75 , 어깨병변 ,12292,0,5154,1528,1347,3718,452,93,134659.0
2022,인천,입원(실인원),1.0, N40 , 전립선증식증 ,71,1584,0,1,2,43,19,6,382206.0
2022,인천,입원(실인원),2.0, U07 , U07의 응급사용 ,67,466,25,6,13,14,7,2,137462.0
2022,인천,입원(실인원),3.0, M48 , 기타 척추병증 ,62,813,0,1,0,48,11,2,267384.0
2022,인천,입원(실인원),4.0, E11 , 인슐린-비의존 당뇨병 ,56,864,4,1,4,36,11,0,201127.0
2022,인천,입원(실인원),5.0, N31 , 달리 분류되지 않은 방광의 신경근육기능장애 ,45,1243,1,0,1,22,17,4,290216.0
2022,인천,입원(실인원),6.0, C67 , 방광의 악성 신생물 ,41,626,1,0,0,23,11,6,185275.0
2022,인천,입원(실인원),7.0, C61 , 전립선의 악성 신생물 ,17,534,0,0,0,2,8,7,143682.0
2022,인천,입원(실인원),8.0, M54 , 배통 ,11,267,0,2,0,3,6,0,57679.0
2022,인천,입원(실인원),9.0, M19 ," 연기, 불 및 화염에 노출 ",10,235,0,0,2,8,0,0,93727.0
2022,인천,입원(실인원),10.0, M17 , 윤충증 ,10,237,0,0,2,6,2,0,92746.0
2022,인천,입원(실인원),11.0, C34 , 기관지 및 폐의 악성 신생물 ,10,179,0,5,0,3,2,0,47763.0
2022,인천,입원(실인원),12.0, J44 , 기타 만성 폐쇄성 폐질환 ,10,185,1,3,0,4,2,0,37132.0
2022,인천,입원(실인원),13.0, G81 , 편마비 ,9,280,0,0,1,6,2,0,75110.0
2022,인천,입원(실인원),14.0, E14 , 상세불명의 당뇨병 ,9,234,0,0,0,3,4,2,51146.0
2022,인천,입원(실인원),15.0, I63 , 뇌경색증 ,8,197,0,0,1,5,1,1,56551.0
2022,인천,입원(실인원),16.0, G95 , 척수의 기타질환 ,8,191,1,0,1,3,3,0,45630.0
2022,인천,입원(실인원),17.0, D17 , 양성 지방종성 신생물 ,8,143,1,0,1,6,0,0,32907.0
2022,인천,입원(실인원),18.0, A09 , 감염성 및 상세불명 기원의 기타 위장염 및 대장염 ,8,78,1,1,0,6,0,0,22195.0
2022,인천,입원(실인원),19.0, K29 , 위염 및 십이지장염 ,8,63,4,0,1,1,2,0,15599.0
2022,인천,입원(실인원),20.0, H25 , 노인성 백내장 ,8,8,0,1,0,5,2,0,8859.0
2022,인천,입원(연인원),1.0, N40 , 전립선증식증 ,71,1584,0,1,18,976,423,166,382206.0
2022,인천,입원(연인원),2.0, N31 , 달리 분류되지 않은 방광의 신경근육기능장애 ,45,1243,7,0,9,656,501,70,290216.0
2022,인천,입원(연인원),3.0, E11 , 인슐린-비의존 당뇨병 ,56,864,32,12,31,527,262,0,201127.0
2022,인천,입원(연인원),4.0, M48 , 기타 척추병증 ,62,813,0,1,0,583,217,12,267384.0
2022,인천,입원(연인원),5.0, C67 , 방광의 악성 신생물 ,41,626,2,0,0,235,202,187,185275.0
2022,인천,입원(연인원),6.0, C61 , 전립선의 악성 신생물 ,17,534,0,0,0,141,158,235,143682.0
2022,인천,입원(연인원),7.0, U07 , U07의 응급사용 ,67,466,151,25,73,146,64,7,137462.0
2022,인천,입원(연인원),8.0, G81 , 편마비 ,9,280,0,0,7,186,87,0,75110.0
2022,인천,입원(연인원),9.0, M54 , 배통 ,11,267,0,36,0,56,175,0,57679.0
2022,인천,입원(연인원),10.0, M17 , 윤충증 ,10,237,0,0,67,137,33,0,92746.0
2022,인천,입원(연인원),11.0, M19 ," 연기, 불 및 화염에 노출 ",10,235,0,0,33,202,0,0,93727.0
2022,인천,입원(연인원),12.0, E14 , 상세불명의 당뇨병 ,9,234,0,0,0,70,63,101,51146.0
2022,인천,입원(연인원),13.0, M51 , 기타 추간판장애 ,7,208,11,15,40,76,9,57,61251.0
2022,인천,입원(연인원),14.0, I63 , 뇌경색증 ,8,197,0,0,13,157,7,20,56551.0
2022,인천,입원(연인원),15.0, G95 , 척수의 기타질환 ,8,191,79,0,6,27,79,0,45630.0
2022,인천,입원(연인원),16.0, J44 , 기타 만성 폐쇄성 폐질환 ,10,185,14,75,0,79,17,0,37132.0
2022,인천,입원(연인원),17.0, M50 , 목뼈원판 장애 ,5,184,0,0,0,31,0,153,38509.0
2022,인천,입원(연인원),18.0, C34 , 기관지 및 폐의 악성 신생물 ,10,179,0,71,0,53,55,0,47763.0
2022,인천,입원(연인원),19.0, I10 , 본태성(일차성)고혈압 ,8,175,0,0,0,24,0,151,37855.0
2022,인천,입원(연인원),20.0, S72 , 대퇴골의 골절 ,5,158,0,0,0,58,26,74,42537.0
2022,인천,외래,1.0, N40 , 전립선증식증 ,18383,,265,504,791,13487,2374,962,984046.0
2022,인천,외래,2.0, I10 , 본태성(일차성)고혈압 ,10702,,517,608,866,6583,1530,598,805298.0
2022,인천,외래,3.0, M54 , 배통 ,9310,,775,621,953,5736,910,315,241820.0
2022,인천,외래,4.0, K05 , 치은염(잇몸염)및 치주 질환 ,7591,,563,300,516,5126,839,247,1096520.0
2022,인천,외래,5.0, E11 , 인슐린-비의존 당뇨병 ,6625,,471,338,618,4198,802,198,646091.0
2022,인천,외래,6.0, Z26 , 기타 단일 감염성 질환에 대한 예방접종의 필요 ,6359,,2185,563,650,2540,373,48,276561.0
2022,인천,외래,7.0, U07 , U07의 응급사용 ,6025,,1187,1393,1109,1639,609,88,409785.0
2022,인천,외래,8.0, M48 , 기타 척추병증 ,5575,,128,182,327,3980,721,237,677078.0
2022,인천,외래,9.0, M17 , 윤충증 ,4225,,228,223,343,3005,354,72,229407.0
2022,인천,외래,10.0, M75 , 어깨병변 ,3737,,434,236,343,2425,288,11,172092.0
2022,인천,외래,11.0, M51 , 기타 추간판장애 ,3326,,419,248,364,2030,216,49,110107.0
2022,인천,외래,12.0, I63 , 뇌경색증 ,2719,,100,85,198,1670,551,115,290804.0
2022,인천,외래,13.0, H04 , 눈물기관의 장애 ,2706,,156,145,182,1769,318,136,173130.0
2022,인천,외래,14.0, K04 , 치수 및 치근단주위조직의 질환 ,2605,,163,71,132,1983,201,55,482598.0
2022,인천,외래,15.0, M19 ," 연기, 불 및 화염에 노출 ",2526,,64,116,205,1840,236,65,292733.0
2022,인천,외래,16.0, B35 , 피부사상균증 ,2457,,163,138,161,1750,181,64,80236.0
2022,인천,외래,17.0, G81 , 편마비 ,2194,,190,2,219,1656,105,22,143291.0
2022,인천,외래,18.0, L24 , 자극성 접촉피부염 ,2119,,116,89,89,1433,311,81,53596.0
2022,인천,외래,19.0, K29 , 위염 및 십이지장염 ,1916,,147,94,138,1285,192,60,169060.0
2022,인천,외래,20.0, H25 , 노인성 백내장 ,1415,,18,44,114,1066,149,24,96176.0
2023,인천,입원(실인원),1.0,M48,기타 척추병증,309,1939,3,6,5,238,49,8,973729.965
2023,인천,입원(실인원),2.0,N40,전립선증식증,112,3027,0,1,1,83,11,16,857832.837
2023,인천,입원(실인원),3.0,M17,윤충증,59,2529,4,1,10,38,5,1,742317.371
2023,인천,입원(실인원),4.0,M75,어깨병변,74,1723,4,5,6,55,4,0,638796.708
2023,인천,입원(실인원),5.0,C67,방광의 악성 신생물,70,1366,0,1,0,36,11,22,417298.582
2023,인천,입원(실인원),6.0,C61,전립선의 악성 신생물,26,1306,0,0,0,8,6,12,369346.544
2023,인천,입원(실인원),7.0,E11,인슐린-비의존 당뇨병,72,1406,0,1,7,38,14,12,336459.804
2023,인천,입원(실인원),8.0,I63,뇌경색증,39,1098,0,0,1,25,9,4,321773.812
2023,인천,입원(실인원),9.0,N31,달리 분류되지 않은 방광의 신경근육기능장애,41,1111,1,0,0,22,9,9,273214.609
2023,인천,입원(실인원),10.0,H25,노인성 백내장,117,117,0,1,4,105,7,0,255214.848
2023,인천,입원(실인원),11.0,J18,"상세불명 병원체의 폐렴, 제외: 보통간질(J84.1)",43,778,2,0,6,21,10,4,238309.359
2023,인천,입원(실인원),12.0,G81,편마비,16,859,0,0,0,9,6,1,213927.209
2023,인천,입원(실인원),13.0,M17,알츠하이머병에서의 치매(G30.-+),36,274,0,0,0,22,12,2,127217.849
2023,인천,입원(실인원),14.0,M51,기타 추간판장애,26,385,5,0,0,16,4,1,124325.402
2023,인천,입원(실인원),15.0,M54,배통,14,412,0,0,0,6,6,2,101194.043
2023,인천,입원(실인원),16.0,S22,늑골. 흉골 및 흉추골의 골절,16,387,0,1,0,8,4,3,101176.246
2023,인천,입원(실인원),17.0,M17,기타 및 상세불명 부위의 제자리암종,17,17,0,0,0,9,5,3,72806.257
2023,인천,입원(실인원),18.0,N31,방광염,14,308,0,0,0,6,4,4,62798.684
