년도,지역,순위,질병코드,상병명,실인원,진료과
2019,서울,12,K29,위염 및 십이지장염,14,소화기내과
2019,서울,14,C24,담도의 기타 및 상세불명 부분의 악성 신생물,13,소화기내과
2019,서울,14,K25,위궤양,13,소화기내과
2019,서울,14,D00,"구강, 식도 및 위의 제자리암종",13,소화기내과
2019,서울,17,K70,알콜성 간질환,12,소화기내과
2019,서울,17,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,12,소화기내과
2019,서울,19,C18,결장의 악성 신생물,11,소화기내과
2019,서울,19,C25,췌장의 악성 신생물,11,소화기내과
2019,서울,1,I20,협심증,427,순환기내과
2019,서울,2,I50,심부전,141,순환기내과
2019,서울,3,I25,만성 허혈심장병,69,순환기내과
2019,서울,4,I48,심방세동 및 조동,61,순환기내과
2019,서울,5,I21,급성 심근경색증,53,순환기내과
2019,서울,6,R07,목구멍 및 가슴의 통증,44,순환기내과
2019,서울,7,I70,죽상경화증,25,순환기내과
2019,서울,8,I47,발작성 빈맥,21,순환기내과
2019,서울,9,I42,심근병증,20,순환기내과
2019,서울,10,I44,방실차단 및 좌각차단,17,순환기내과
2019,서울,11,I49,기타 심장부정맥,14,순환기내과
2019,서울,12,I26,폐색전증,11,순환기내과
2019,서울,13,I35,비류마티스성 대동맥판장애,9,순환기내과
2019,서울,14,I31,심장막의 기타 질환,8,순환기내과
2019,서울,14,R55,실신 및 허탈,8,순환기내과
2019,서울,16,J18,상세불명 병원체의 폐렴,7,순환기내과
2019,서울,16,J90,달리 분류되지 않은 흉막삼출액,7,순환기내과
2019,서울,16,R00,심장박동의 이상,7,순환기내과
2019,서울,19,A18,기타 기관의 결핵,6,순환기내과
2019,서울,20,I95,저혈압,5,순환기내과
2019,서울,1,Z04,기타 이유의 검사 및 관찰,316,신경과
2019,서울,2,I63,뇌경색증,289,신경과
2019,서울,3,G20,파킨슨병,32,신경과
2019,서울,4,R56,달리 분류되지 않은 경련,23,신경과
2019,서울,5,Z02,행정목적을 위한 검사,22,신경과
2019,서울,6,G45,일과성 뇌허혈발작 및 관련 증후군,21,신경과
2019,서울,7,R42,어지럼증 및 어지럼,13,신경과
2019,서울,7,H49,마비성 사시,13,신경과
2019,서울,7,R41,인지기능 및 자각에 관련된 기타 증상 및 징후,13,신경과
2019,서울,10,R51,두통,12,신경과
2019,서울,11,I95,저혈압,11,신경과
2019,서울,12,G03,기타 및 상세불명의 원인에 의한 수막염,6,신경과
2019,서울,12,G25,기타 추체외로 및 운동 장애,6,신경과
2019,서울,12,H53,시각장애,6,신경과
2019,서울,12,M54,등통증,6,신경과
2019,서울,16,R55,실신 및 허탈,5,신경과
2019,서울,16,G50,삼차신경의 장애,5,신경과
2019,서울,16,G30,알츠하이머병,5,신경과
2019,서울,16,R26,보행과 이동의 이상,5,신경과
2019,서울,16,R25,이상불수의운동,5,신경과
2019,서울,1,M48,기타 척추병증,247,신경외과
2019,서울,2,I65,뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,220,신경외과
2019,서울,3,I67,기타 뇌혈관질환,214,신경외과
2019,서울,4,S06,두개내손상,65,신경외과
2019,서울,5,G91,수두증,46,신경외과
2019,서울,6,M96,달리 분류되지 않은 처치후 근골격장애,41,신경외과
2019,서울,7,Z09,악성 신생물 이외의 병태에 대한 치료후 추적검사,36,신경외과
2019,서울,8,I61,뇌내출혈,28,신경외과
2019,서울,8,I62,기타 비외상성 두개내출혈,28,신경외과
2019,서울,10,M51,기타 추간판장애,27,신경외과
2019,서울,11,I66,뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착,25,신경외과
2019,서울,11,S32,요추 및 골반의 골절,25,신경외과
2019,서울,13,S22,"늑골, 흉골 및 흉추의 골절",20,신경외과
2019,서울,14,I72,기타 동맥류 및 박리,14,신경외과
2019,서울,15,D32,수막의 양성 신생물,11,신경외과
2019,서울,15,I63,뇌경색증,11,신경외과
2019,서울,15,I60,지주막하출혈,11,신경외과
2019,서울,18,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,10,신경외과
2019,서울,19,C71,뇌의 악성 신생물,8,신경외과
2019,서울,20,M46,기타 염증성 척추병증,7,신경외과
2019,서울,1,N18,만성 신장병,163,신장내과
2019,서울,2,N17,급성 신부전,35,신장내과
2019,서울,3,T85,"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",17,신장내과
2019,서울,3,E11,2형 당뇨병,17,신장내과
2019,서울,5,N39,비뇨계통의 기타 장애,13,신장내과
2019,서울,6,E87,"수분, 전해질 및 산-염기균형의 기타 장애",10,신장내과
2019,서울,7,A41,기타 패혈증,5,신장내과
2019,서울,7,J18,상세불명 병원체의 폐렴,5,신장내과
2019,서울,7,Q61,낭성 신장병,5,신장내과
2019,서울,7,M62,근육의 기타 장애,5,신장내과
2019,서울,11,J90,달리 분류되지 않은 흉막삼출액,4,신장내과
2019,서울,11,M31,기타 괴사성 혈관병증,4,신장내과
2019,서울,13,J69,고체 및 액체에 의한 폐렴,3,신장내과
2019,서울,13,N04,신증후군,3,신장내과
2019,서울,13,R60,달리 분류되지 않은 부종,3,신장내과
2019,서울,13,N10,급성 세뇨관-간질신장염,3,신장내과
2019,서울,13,N28,달리 분류되지 않은 신장 및 요관의 기타 장애,3,신장내과
2019,서울,18,R80,고립된 단백뇨,2,신장내과
2019,서울,18,N03,만성 신염증후군,2,신장내과
2019,서울,18,I46,심장정지,2,신장내과
2019,서울,18,K30,기능성 소화불량,2,신장내과
2019,서울,18,R57,달리 분류되지 않은 쇼크,2,신장내과
2019,서울,18,J81,폐부종,2,신장내과
2019,서울,18,N05,상세불명의 신염증후군,2,신장내과
2019,서울,1,H25,노년백내장,1660,안과
2019,서울,2,H35,기타 망막장애,200,안과
2019,서울,3,H43,유리체의 장애,54,안과
2019,서울,4,H02,눈꺼풀의 기타 장애,37,안과
2019,서울,4,H40,녹내장,37,안과
2019,서울,6,T85,"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",36,안과
2019,서울,7,H33,망막박리 및 망막열공,22,안과
2019,서울,8,H04,눈물계통의 장애,9,안과
2019,서울,9,H44,안구의 장애,6,안과
2019,서울,10,H16,각막염,5,안과
2019,서울,11,S05,눈 및 안와의 손상,3,안과
2019,서울,11,H18,각막의 기타 장애,3,안과
2019,서울,11,T81,달리 분류되지 않은 처치의 합병증,3,안과
2019,서울,11,H50,기타 사시,3,안과
2019,서울,15,H20,홍채섬모체염,2,안과
2019,서울,15,H27,수정체의 기타 장애,2,안과
2019,서울,15,S00,머리의 표재성 손상,2,안과
2019,서울,15,E11,2형 당뇨병,2,안과
2019,서울,15,H34,망막혈관폐쇄,2,안과
2019,서울,15,H05,안와의 장애,2,안과
2019,서울,15,H01,눈꺼풀의 기타 염증,2,안과
2019,서울,1,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,173,완화의료사업
2019,서울,2,C34,기관지 및 폐의 악성 신생물,55,완화의료사업
2019,서울,3,C16,위의 악성 신생물,20,완화의료사업
2019,서울,4,C22,간 및 간내 담관의 악성 신생물,19,완화의료사업
2019,서울,5,C25,췌장의 악성 신생물,9,완화의료사업
2019,서울,6,C18,결장의 악성 신생물,8,완화의료사업
2019,서울,7,C61,전립선의 악성 신생물,7,완화의료사업
2019,서울,8,C83,비소포성 림프종,6,완화의료사업
2019,서울,9,C67,방광의 악성 신생물,4,완화의료사업
2019,서울,9,C71,뇌의 악성 신생물,4,완화의료사업
2019,서울,11,C15,식도의 악성 신생물,3,완화의료사업
2019,서울,11,C79,기타 및 상세불명 부위의 이차성 악성 신생물,3,완화의료사업
2019,서울,13,C23,담낭의 악성 신생물,2,완화의료사업
2019,서울,13,C90,다발골수종 및 악성 형질세포신생물,2,완화의료사업
2019,서울,13,C19,직장구불결장접합부의 악성 신생물,2,완화의료사업
2019,서울,16,C66,요관의 악성 신생물,1,완화의료사업
2019,서울,16,C12,이상동(梨狀洞)의 악성 신생물,1,완화의료사업
2019,서울,16,A41,기타 패혈증,1,완화의료사업
2019,서울,16,C77,림프절의 이차성 및 상세불명의 악성 신생물,1,완화의료사업
2019,서울,16,C20,직장의 악성 신생물,1,완화의료사업
2019,서울,16,D46,골수형성이상증후군,1,완화의료사업
2019,서울,16,C78,호흡 및 소화기관의 이차성 악성 신생물,1,완화의료사업
2019,서울,16,C49,기타 결합조직 및 연조직의 악성 신생물,1,완화의료사업
2019,서울,16,C53,자궁경부의 악성 신생물,1,완화의료사업
2019,서울,16,D47,"림프, 조혈 및 관련 조직의 행동양식 불명 및 미상의 기타 신생물",1,완화의료사업
2019,서울,16,C17,소장의 악성 신생물,1,완화의료사업
2019,서울,16,C55,자궁의 상세불명 부분의 악성 신생물,1,완화의료사업
2019,서울,16,C64,신우를 제외한 신장의 악성 신생물,1,완화의료사업
2019,서울,16,C92,골수성 백혈병,1,완화의료사업
2019,서울,16,C45,중피종,1,완화의료사업
2019,서울,16,C73,갑상선의 악성 신생물,1,완화의료사업
2019,서울,16,C86,T/NK-세포림프종의 기타 명시된 형태,1,완화의료사업
2019,서울,16,K75,기타 염증성 간질환,1,완화의료사업
2019,서울,16,C32,후두의 악성 신생물,1,완화의료사업
2019,서울,16,C85,기타 및 상세불명 유형의 비호지킨림프종,1,완화의료사업
2019,서울,1,K40,사타구니탈장,269,외과
2019,서울,2,K80,담석증,215,외과
2019,서울,3,K64,치핵 및 항문주위정맥혈전증,93,외과
2019,서울,4,I83,하지의 정맥류,85,외과
2019,서울,5,C16,위의 악성 신생물,77,외과
2019,서울,6,C18,결장의 악성 신생물,73,외과
2019,서울,6,N18,만성 신장병,73,외과
2019,서울,8,K35,급성 충수염,68,외과
2019,서울,9,K91,달리 분류되지 않은 소화계통의 처치후 장애,67,외과
2019,서울,10,C22,간 및 간내 담관의 악성 신생물,65,외과
2019,서울,11,C20,직장의 악성 신생물,44,외과
2019,서울,11,K81,담낭염,44,외과
2019,서울,13,K56,탈장이 없는 마비성 장폐색증 및 장폐색,39,외과
2019,서울,14,C50,유방의 악성 신생물,28,외과
2019,서울,15,K43,복벽탈장,23,외과
2019,서울,16,C24,담도의 기타 및 상세불명 부분의 악성 신생물,21,외과
2019,서울,17,D17,양성 지방종성 신생물,19,외과
2019,서울,18,Z43,인공개구에 대한 관리를 위하여 보건서비스와 접하고 있는 사람,16,외과
2019,서울,18,K60,항문 및 직장부의 열창 및 누공,16,외과
2019,서울,20,C78,호흡 및 소화기관의 이차성 악성 신생물,14,외과
2019,서울,1,J18,상세불명 병원체의 폐렴,101,응급의학과
2019,서울,2,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,37,응급의학과
2019,서울,3,J44,기타 만성 폐색성 폐질환,31,응급의학과
2019,서울,4,J15,달리 분류되지 않은 세균성 폐렴,28,응급의학과
2019,서울,5,J69,고체 및 액체에 의한 폐렴,24,응급의학과
2019,서울,6,N39,비뇨계통의 기타 장애,21,응급의학과
2019,서울,7,K25,위궤양,20,응급의학과
2019,서울,8,N10,급성 세뇨관-간질신장염,18,응급의학과
2019,서울,8,N17,급성 신부전,18,응급의학과
2019,서울,10,K92,소화계통의 기타 질환,16,응급의학과
2019,서울,10,K80,담석증,16,응급의학과
2019,서울,12,E11,2형 당뇨병,15,응급의학과
2019,서울,13,E87,"수분, 전해질 및 산-염기균형의 기타 장애",12,응급의학과
2019,서울,14,C34,기관지 및 폐의 악성 신생물,10,응급의학과
2019,서울,15,N18,만성 신장병,9,응급의학과
2019,서울,15,K55,장의 혈관장애,9,응급의학과
2019,서울,17,K57,장의 게실병,7,응급의학과
2019,서울,17,K26,십이지장궤양,7,응급의학과
2019,서울,19,J45,천식,6,응급의학과
2019,서울,19,K52,기타 비감염성 위장염 및 결장염,6,응급의학과
2019,서울,19,K56,탈장이 없는 마비성 장폐색증 및 장폐색,6,응급의학과
2019,서울,19,D64,기타 빈혈,6,응급의학과
2019,서울,19,K83,담도의 기타 질환,6,응급의학과
2019,서울,1,H66,화농성 및 상세불명의 중이염,126,이비인후과
2019,서울,2,J32,만성 부비동염,65,이비인후과
2019,서울,3,J38,달리 분류되지 않은 성대 및 후두의 질환,60,이비인후과
2019,서울,4,H90,전음성 및 감각신경성 청력소실,53,이비인후과
2019,서울,5,H91,기타 청력소실,39,이비인후과
2019,서울,6,J34,코 및 비동의 기타 장애,36,이비인후과
2019,서울,7,C73,갑상선의 악성 신생물,34,이비인후과
2019,서울,8,D14,중이 및 호흡계통의 양성 신생물,23,이비인후과
2019,서울,9,D11,주침샘의 양성 신생물,21,이비인후과
2019,서울,10,G51,안면신경장애,20,이비인후과
2019,서울,11,H81,전정기능의 장애,19,이비인후과
2019,서울,12,J39,상기도의 기타 질환,15,이비인후과
2019,서울,13,C32,후두의 악성 신생물,13,이비인후과
2019,서울,14,D10,입 및 인두의 양성 신생물,12,이비인후과
2019,서울,15,C77,림프절의 이차성 및 상세불명의 악성 신생물,10,이비인후과
2019,서울,15,D17,양성 지방종성 신생물,10,이비인후과
2019,서울,17,C09,편도의 악성 신생물,9,이비인후과
2019,서울,18,D34,갑상선의 양성 신생물,8,이비인후과
2019,서울,18,J35,편도 및 아데노이드의 만성 질환,8,이비인후과
2019,서울,18,D02,중이 및 호흡계통의 제자리암종,8,이비인후과
2019,서울,1,J18,상세불명 병원체의 폐렴,181,입원전담의학과
2019,서울,2,J69,고체 및 액체에 의한 폐렴,47,입원전담의학과
2019,서울,3,J15,달리 분류되지 않은 세균성 폐렴,35,입원전담의학과
2019,서울,4,J44,기타 만성 폐색성 폐질환,34,입원전담의학과
2019,서울,5,C34,기관지 및 폐의 악성 신생물,30,입원전담의학과
2019,서울,6,K80,담석증,28,입원전담의학과
2019,서울,7,I50,심부전,26,입원전담의학과
2019,서울,8,N39,비뇨계통의 기타 장애,25,입원전담의학과
2019,서울,9,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,24,입원전담의학과
2019,서울,10,N18,만성 신장병,22,입원전담의학과
2019,서울,11,J90,달리 분류되지 않은 흉막삼출액,17,입원전담의학과
2019,서울,12,N17,급성 신부전,16,입원전담의학과
2019,서울,13,N10,급성 세뇨관-간질신장염,12,입원전담의학과
2019,서울,14,K75,기타 염증성 간질환,11,입원전담의학과
2019,서울,15,K25,위궤양,10,입원전담의학과
2019,서울,16,K55,장의 혈관장애,9,입원전담의학과
2019,서울,16,K70,알콜성 간질환,9,입원전담의학과
2019,서울,16,E11,2형 당뇨병,9,입원전담의학과
2019,서울,16,K92,소화계통의 기타 질환,9,입원전담의학과
2019,서울,20,K83,담도의 기타 질환,8,입원전담의학과
2019,서울,20,I20,협심증,8,입원전담의학과
2019,서울,20,C22,간 및 간내 담관의 악성 신생물,8,입원전담의학과
2019,서울,1,G81,편마비,226,재활의학과
2019,서울,2,G82,하반신마비 및 사지마비,164,재활의학과
2019,서울,3,R26,보행과 이동의 이상,39,재활의학과
2019,서울,4,Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,36,재활의학과
2019,서울,5,G20,파킨슨병,31,재활의학과
2019,서울,6,M51,기타 추간판장애,25,재활의학과
2019,서울,7,I63,뇌경색증,22,재활의학과
2019,서울,8,S72,대퇴골의 골절,16,재활의학과
2019,서울,9,I62,기타 비외상성 두개내출혈,10,재활의학과
2019,서울,10,M48,기타 척추병증,9,재활의학과
2019,서울,11,G95,척수의 기타 질환,7,재활의학과
2019,서울,11,M54,등통증,7,재활의학과
2019,서울,13,G23,기저핵의 기타 퇴행성 질환,6,재활의학과
2019,서울,13,M17,무릎관절증,6,재활의학과
2019,서울,15,G62,기타 다발신경병증,5,재활의학과
2019,서울,15,G61,염증성 다발신경병증,5,재활의학과
2019,서울,15,G12,척수성 근위축 및 관련 증후군,5,재활의학과
2019,서울,18,I61,뇌내출혈,4,재활의학과
2019,서울,18,M50,경추간판장애,4,재활의학과
2019,서울,18,G93,뇌의 기타 장애,4,재활의학과
2019,서울,18,M87,골괴사,4,재활의학과
2019,서울,1,F20,조현병,110,정신건강의학과
2019,서울,2,F10,알콜사용에 의한 정신 및 행동 장애,38,정신건강의학과
2019,서울,3,F31,양극성 정동장애,24,정신건강의학과
2019,서울,4,F32,우울에피소드,21,정신건강의학과
2019,서울,5,F03,상세불명의 치매,8,정신건강의학과
2019,서울,6,F06,"뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애",7,정신건강의학과
2019,서울,7,F25,조현정동장애,6,정신건강의학과
2019,서울,7,F22,지속성 망상장애,6,정신건강의학과
2019,서울,9,F33,재발성 우울장애,4,정신건강의학과
2019,서울,10,F41,기타 불안장애,3,정신건강의학과
2019,서울,10,F07,"뇌질환, 뇌손상 및 기능이상에 의한 인격 및 행동장애",3,정신건강의학과
2019,서울,10,F43,심한 스트레스에 대한 반응 및 적응장애,3,정신건강의학과
2019,서울,10,G30,알츠하이머병,3,정신건강의학과
2019,서울,14,F70,경도 정신지체,2,정신건강의학과
2019,서울,15,F63,습관 및 충동 장애,1,정신건강의학과
2019,서울,15,R41,인지기능 및 자각에 관련된 기타 증상 및 징후,1,정신건강의학과
2019,서울,15,Z03,의심되는 질병 및 병태를 위한 의학적 관찰 및 평가,1,정신건강의학과
2019,서울,15,G47,수면장애,1,정신건강의학과
2019,서울,15,F51,비기질성 수면장애,1,정신건강의학과
2019,서울,1,M17,무릎관절증,513,정형외과
2019,서울,2,M75,어깨병변,275,정형외과
2019,서울,3,M48,기타 척추병증,273,정형외과
2019,서울,4,S72,대퇴골의 골절,137,정형외과
2019,서울,5,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,78,정형외과
2019,서울,6,M96,달리 분류되지 않은 처치후 근골격장애,71,정형외과
2019,서울,7,M23,무릎의 내부장애,65,정형외과
2019,서울,8,T84,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증",61,정형외과
2019,서울,9,G56,팔의 단일신경병증,56,정형외과
2019,서울,10,S82,발목을 포함한 아래다리의 골절,49,정형외과
2019,서울,11,L03,연조직염,48,정형외과
2019,서울,12,E11,2형 당뇨병,42,정형외과
2019,서울,13,S52,아래팔의 골절,40,정형외과
2019,서울,14,S42,어깨 및 위팔의 골절,39,정형외과
2019,서울,15,M20,손가락 및 발가락의 후천변형,34,정형외과
2019,서울,16,M87,골괴사,32,정형외과
2019,서울,17,M51,기타 추간판장애,28,정형외과
2019,서울,18,M65,윤활막염 및 힘줄윤활막염,26,정형외과
2019,서울,19,E14,상세불명의 당뇨병,24,정형외과
2019,서울,20,M19,기타 관절증,23,정형외과
2019,서울,20,M72,섬유모세포장애,23,정형외과
2019,서울,1,K08,치아 및 지지구조의 기타 장애,40,치과
2019,서울,2,K05,치은염 및 치주질환,11,치과
2019,서울,3,K04,치수 및 근단주위조직의 질환,4,치과
2019,서울,4,K12,구내염 및 관련 병변,3,치과
2019,서울,5,K10,턱의 기타 질환,2,치과
2019,서울,6,K09,달리 분류되지 않은 구강영역의 낭,1,치과
2019,서울,6,K02,치아우식,1,치과
2019,서울,6,T17,기도의 이물,1,치과
2019,서울,6,M87,골괴사,1,치과
2019,서울,6,D16,골 및 관절연골의 양성 신생물,1,치과
2019,서울,1,M96,달리 분류되지 않은 처치후 근골격장애,23,통증클리닉
2019,서울,2,M89,뼈의 기타 장애,13,통증클리닉
2019,서울,3,M48,기타 척추병증,5,통증클리닉
2019,서울,4,B02,대상포진,3,통증클리닉
2019,서울,4,G56,팔의 단일신경병증,3,통증클리닉
2019,서울,6,M54,등통증,2,통증클리닉
2019,서울,6,E11,2형 당뇨병,2,통증클리닉
2019,서울,6,G62,기타 다발신경병증,2,통증클리닉
2019,서울,9,M50,경추간판장애,1,통증클리닉
2019,서울,9,Z45,이식장치의 조정 및 관리를 위하여 보건서비스와 접하고 있는 사람,1,통증클리닉
2019,서울,9,M51,기타 추간판장애,1,통증클리닉
2019,서울,9,S22,"늑골, 흉골 및 흉추의 골절",1,통증클리닉
2019,서울,9,J95,달리 분류되지 않은 처치후 호흡장애,1,통증클리닉
2019,서울,9,M47,척추증,1,통증클리닉
2019,서울,9,G58,기타 단일신경병증,1,통증클리닉
2019,서울,1,D04,피부의 제자리암종,7,피부과
2019,서울,1,C44,기타 피부의 악성 신생물,7,피부과
2019,서울,3,L72,피부 및 피하조직의 모낭낭,3,피부과
2019,서울,3,D03,제자리흑색종,3,피부과
2019,서울,5,L12,유사천포창,2,피부과
2019,서울,5,B02,대상포진,2,피부과
2019,서울,7,L40,건선,1,피부과
2019,서울,7,L02,"피부의 농양, 종기 및 큰종기",1,피부과
2019,서울,7,L51,다형홍반,1,피부과
2019,서울,7,L73,기타 모낭장애,1,피부과
2019,서울,7,N80,자궁내막증,1,피부과
2019,서울,7,L57,비이온화방사선 만성 노출에 의한 피부변화,1,피부과
2019,서울,7,B86,옴,1,피부과
2019,서울,7,C63,기타 및 상세불명의 남성생식기관의 악성 신생물,1,피부과
2019,서울,7,L94,기타 국소적 결합조직장애,1,피부과
2019,서울,7,I87,정맥의 기타 장애,1,피부과
2019,서울,7,L03,연조직염,1,피부과
2019,서울,7,L27,내부로 섭취된 물질에 의한 피부염,1,피부과
2019,서울,7,D17,양성 지방종성 신생물,1,피부과
2019,서울,7,L30,기타 피부염,1,피부과
2019,서울,1,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,664,혈액종양내과
2019,서울,2,C34,기관지 및 폐의 악성 신생물,256,혈액종양내과
2019,서울,3,J18,상세불명 병원체의 폐렴,51,혈액종양내과
2019,서울,4,C25,췌장의 악성 신생물,40,혈액종양내과
2019,서울,5,D70,무과립구증,35,혈액종양내과
2019,서울,6,C22,간 및 간내 담관의 악성 신생물,29,혈액종양내과
2019,서울,7,C16,위의 악성 신생물,28,혈액종양내과
2019,서울,8,C92,골수성 백혈병,27,혈액종양내과
2019,서울,8,C83,비소포성 림프종,27,혈액종양내과
2019,서울,10,C78,호흡 및 소화기관의 이차성 악성 신생물,24,혈액종양내과
2019,서울,10,C90,다발골수종 및 악성 형질세포신생물,24,혈액종양내과
2019,서울,10,D46,골수형성이상증후군,24,혈액종양내과
2019,서울,13,C18,결장의 악성 신생물,23,혈액종양내과
2019,서울,14,C79,기타 및 상세불명 부위의 이차성 악성 신생물,19,혈액종양내과
2019,서울,15,C24,담도의 기타 및 상세불명 부분의 악성 신생물,15,혈액종양내과
2019,서울,15,C15,식도의 악성 신생물,15,혈액종양내과
2019,서울,17,Z03,의심되는 질병 및 병태를 위한 의학적 관찰 및 평가,14,혈액종양내과
2019,서울,18,J69,고체 및 액체에 의한 폐렴,11,혈액종양내과
2019,서울,18,C23,담낭의 악성 신생물,11,혈액종양내과
2019,서울,18,N17,급성 신부전,11,혈액종양내과
2019,서울,1,J18,상세불명 병원체의 폐렴,118,호흡기내과
2019,서울,2,J15,달리 분류되지 않은 세균성 폐렴,62,호흡기내과
2019,서울,3,J69,고체 및 액체에 의한 폐렴,39,호흡기내과
2019,서울,4,J44,기타 만성 폐색성 폐질환,35,호흡기내과
2019,서울,5,C34,기관지 및 폐의 악성 신생물,34,호흡기내과
2019,서울,6,A15,세균학적 및 조직학적으로 확인된 호흡기결핵,23,호흡기내과
2019,서울,7,J84,기타 간질성 폐질환,19,호흡기내과
2019,서울,8,J96,달리 분류되지 않은 호흡부전,11,호흡기내과
2019,서울,9,J90,달리 분류되지 않은 흉막삼출액,9,호흡기내과
2019,서울,9,Z03,의심되는 질병 및 병태를 위한 의학적 관찰 및 평가,9,호흡기내과
2019,서울,11,I26,폐색전증,5,호흡기내과
2019,서울,11,J93,기흉,5,호흡기내과
2019,서울,11,N39,비뇨계통의 기타 장애,5,호흡기내과
2019,서울,11,B44,아스페르길루스증,5,호흡기내과
2019,서울,15,A41,기타 패혈증,4,호흡기내과
2019,서울,15,J45,천식,4,호흡기내과
2019,서울,15,J98,기타 호흡장애,4,호흡기내과
2019,서울,18,I50,심부전,3,호흡기내과
2019,서울,18,R04,기도출혈,3,호흡기내과
2019,서울,18,A31,기타 형태의 마이코박테리아에 의한 감염,3,호흡기내과
2019,서울,1,C34,기관지 및 폐의 악성 신생물,115,흉부외과
2019,서울,2,I70,죽상경화증,66,흉부외과
2019,서울,3,J98,기타 호흡장애,58,흉부외과
2019,서울,4,I25,만성 허혈심장병,56,흉부외과
2019,서울,5,I71,대동맥동맥류 및 박리,42,흉부외과
2019,서울,6,I20,협심증,37,흉부외과
2019,서울,7,T82,"심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증",24,흉부외과
2019,서울,8,I35,비류마티스성 대동맥판장애,21,흉부외과
2019,서울,9,J93,기흉,20,흉부외과
2019,서울,10,I65,뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,15,흉부외과
2019,서울,11,I50,심부전,9,흉부외과
2019,서울,11,C78,호흡 및 소화기관의 이차성 악성 신생물,9,흉부외과
2019,서울,13,I72,기타 동맥류 및 박리,8,흉부외과
2019,서울,14,I31,심장막의 기타 질환,6,흉부외과
2019,서울,14,S22,"늑골, 흉골 및 흉추의 골절",6,흉부외과
2019,서울,14,I08,다발판막질환,6,흉부외과
2019,서울,17,I80,정맥염 및 혈전정맥염,5,흉부외과
2019,서울,17,I05,류마티스성 승모판질환,5,흉부외과
2019,서울,17,J18,상세불명 병원체의 폐렴,5,흉부외과
2019,서울,17,C15,식도의 악성 신생물,5,흉부외과
2019,서울,17,I21,급성 심근경색증,5,흉부외과
2020,광주,1,C34,기관지 및 폐의 악성 신생물,81,가정의학과
2020,광주,2,C25,췌장의 악성 신생물,40,가정의학과
2020,광주,3,C22,간 및 간내 담관의 악성 신생물,37,가정의학과
2020,광주,4,C18,결장의 악성 신생물,31,가정의학과
2020,광주,5,C16,위의 악성 신생물,24,가정의학과
2020,광주,6,C61,전립선의 악성 신생물,11,가정의학과
2020,광주,7,C50,유방의 악성 신생물,10,가정의학과
2020,광주,7,C20,직장의 악성 신생물,10,가정의학과
2020,광주,9,E11,2형 당뇨병,8,가정의학과
2020,광주,9,C67,방광의 악성 신생물,8,가정의학과
2020,광주,11,C15,식도의 악성 신생물,7,가정의학과
2020,광주,11,C71,뇌의 악성 신생물,7,가정의학과
2020,광주,11,C23,담낭의 악성 신생물,7,가정의학과
2020,광주,14,C49,기타 결합조직 및 연조직의 악성 신생물,6,가정의학과
2020,광주,15,M48,기타 척추병증,5,가정의학과
2020,광주,15,C56,난소의 악성 신생물,5,가정의학과
2020,광주,17,C80,부위의 명시가 없는 악성 신생물,4,가정의학과
2020,광주,18,C83,비소포성 림프종,3,가정의학과
2020,광주,18,C24,담도의 기타 및 상세불명 부분의 악성 신생물,3,가정의학과
2020,광주,18,C19,직장구불결장접합부의 악성 신생물,3,가정의학과
2020,광주,1,N10,급성 세뇨관-간질신장염,3,감염내과
2020,광주,1,B00,헤르페스바이러스[단순헤르페스] 감염,3,감염내과
2020,광주,3,A48,달리 분류되지 않은 기타 세균성 질환,2,감염내과
2020,광주,3,R50,기타 및 원인미상의 열,2,감염내과
2020,광주,3,A49,상세불명 부위의 세균감염,2,감염내과
2020,광주,6,N39,비뇨계통의 기타 장애,1,감염내과
2020,광주,6,L03,연조직염,1,감염내과
2020,광주,6,A75,발진티푸스,1,감염내과
2020,광주,6,A41,기타 패혈증,1,감염내과
2020,광주,6,N41,전립선의 염증성 질환,1,감염내과
2020,광주,6,B02,대상포진,1,감염내과
2020,광주,6,A68,재귀열,1,감염내과
2020,광주,1,E11,2형 당뇨병,71,내분비내과
2020,광주,2,E23,뇌하수체의 기능저하 및 기타 장애,4,내분비내과
2020,광주,3,D35,기타 및 상세불명의 내분비선의 양성 신생물,2,내분비내과
2020,광주,3,G63,달리 분류된 질환에서의 다발신경병증,2,내분비내과
2020,광주,3,E14,상세불명의 당뇨병,2,내분비내과
