"연령대","순위","상병코드","상병명","건수","癤우뿰"
"90세 이상","6","R53","병감 및 피로","523",NA
"90세 이상","7","I20","협심증","463",NA
"90세 이상","8","E11","인슐린-비의존 당뇨병","419",NA
"90세 이상","9","M17","윤충증","415",NA
"90세 이상","10","C61","전립선의 악성 신생물","325",NA
"90세 이상","11","I48","심방세동 및 조동","317",NA
"90세 이상","12","F03","상세불명의 치매","286",NA
"90세 이상","13","R42","현기 및 어지러움","241",NA
"90세 이상","14","H25","노인성 백내장","237",NA
"90세 이상","15","R63","음식 및 수액섭취에 관계된 증상 및 징후","235",NA
"90세 이상","16","N18","만성 콩팥(신장)기능상실","231",NA
"90세 이상","17","J44","기타 만성 폐쇄성 폐질환","227",NA
"90세 이상","18","K59","기타 기능적 창자 장애","223",NA
"90세 이상","19","R41","인지기능 및 자각에 관한 기타 증상 및 징후","222",NA
"90세 이상","20","F51","비기질적 수면 장애","211",NA
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3005",NA
"59세 이하","2","I10","본태성(일차성)고혈압","1236",NA
"59세 이하","3","K05","치은염(잇몸염)및 치주 질환","1014",NA
"59세 이하","4","E11","인슐린-비의존 당뇨병","981",NA
"59세 이하","5","N18","만성 콩팥(신장)기능상실","920",NA
"59세 이하","6","M51","기타 추간판장애","757",NA
"59세 이하","7","K02","치아우식증","586",NA
"59세 이하","8","K29","위염 및 십이지장염","508",NA
"59세 이하","9","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","507",NA
"59세 이하","10","K21","위-식도역류병","454",NA
"59세 이하","11","N39","비뇨기계통의 기타 장애","421",NA
"59세 이하","12","B18","만성 바이러스간염","392",NA
"59세 이하","13","R07","인후 및 흉곽의 동통","386",NA
"59세 이하","14","M13","추 락","381",NA
"59세 이하","15","N40","전립선증식증","368",NA
"59세 이하","16","M17","윤충증","362",NA
"59세 이하","17","J30","혈관운동성 및 앨러지성 비염","351",NA
"59세 이하","18","M75","어깨병변","348",NA
"59세 이하","19","S33","허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장","335",NA
"59세 이하","20","M54","배통","330",NA
"60대","1","I10","본태성(일차성)고혈압","3388",NA
"60대","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3215",NA
"60대","3","N40","전립선증식증","2796",NA
"60대","4","E11","인슐린-비의존 당뇨병","2607",NA
"60대","5","M81","병적골절이 없는 골다공증","1387",NA
"60대","6","K05","치은염(잇몸염)및 치주 질환","1346",NA
"60대","7","M13","추 락","1267",NA
"60대","8","M17","윤충증","1194",NA
"60대","9","K21","위-식도역류병","1152",NA
"60대","10","I20","협심증","1134",NA
"60대","11","K29","위염 및 십이지장염","1062",NA
"60대","12","M51","기타 추간판장애","1045",NA
"60대","13","M48","기타 척추병증","1037",NA
"60대","14","I63","뇌경색증","970",NA
"60대","15","K08","치아 및 지지구조의 기타 장애","868",NA
"60대","16","E78","지질단백질대사장애 및 기타 지질증","782",NA
"60대","17","M75","어깨병변","778",NA
"60대","18","H25","노인성 백내장","685",NA
"60대","19","R07","인후 및 흉곽의 동통","671",NA
"60대","20","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","580",NA
"70대","1","N40","전립선증식증","27183",NA
"70대","2","I10","본태성(일차성)고혈압","14755",NA
"70대","3","E11","인슐린-비의존 당뇨병","13203",NA
"70대","4","I20","협심증","9896",NA
"70대","5","M48","기타 척추병증","9298",NA
"70대","6","M13","추 락","7905",NA
"70대","7","K08","치아 및 지지구조의 기타 장애","7118",NA
"70대","8","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","6898",NA
"70대","9","H25","노인성 백내장","6898",NA
"70대","10","I63","뇌경색증","6777",NA
"70대","11","M51","기타 추간판장애","6752",NA
"70대","12","K05","치은염(잇몸염)및 치주 질환","5971",NA
"70대","13","M17","윤충증","5392",NA
"70대","14","M75","어깨병변","5213",NA
"70대","15","N18","만성 콩팥(신장)기능상실","3974",NA
"70대","16","B35","피부사상균증","3895",NA
"70대","17","K29","위염 및 십이지장염","3712",NA
"70대","18","K21","위-식도역류병","3601",NA
"70대","19","H93","달리 분류되지 않은 귀의 기타 장애","3460",NA
"70대","20","K04","치수 및 치근단주위조직의 질환","3385",NA
"80대","1","N40","전립선증식증","5613",NA
"80대","2","I10","본태성(일차성)고혈압","3779",NA
"80대","3","I63","뇌경색증","2470",NA
"80대","4","F00","알츠하이머병에서의 치매(G30.-+)","2391",NA
"80대","5","E11","인슐린-비의존 당뇨병","2333",NA
"80대","6","M48","기타 척추병증","2015",NA
"80대","7","I20","협심증","1913",NA
"80대","8","C61","전립선의 악성 신생물","1357",NA
"80대","9","H25","노인성 백내장","1331",NA
"80대","10","M51","기타 추간판장애","1091",NA
"80대","11","K08","치아 및 지지구조의 기타 장애","1086",NA
"80대","12","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1062",NA
"80대","13","K29","위염 및 십이지장염","1000",NA
"80대","14","M17","윤충증","874",NA
"80대","15","M13","추 락","860",NA
"80대","16","J44","기타 만성 폐쇄성 폐질환","793",NA
"80대","17","N18","만성 콩팥(신장)기능상실","753",NA
"80대","18","K05","치은염(잇몸염)및 치주 질환","751",NA
"80대","19","F32","우울증 에피소드","666",NA
"80대","20","K21","위-식도역류병","617",NA
"90세 이상","1","N40","전립선증식증","1992",NA
"90세 이상","2","I10","본태성(일차성)고혈압","1132",NA
"90세 이상","3","F00","알츠하이머병에서의 치매(G30.-+)","930",NA
"90세 이상","4","I63","뇌경색증","792",NA
"90세 이상","5","E11","인슐린-비의존 당뇨병","662",NA
"90세 이상","6","M48","기타 척추병증","480",NA
"90세 이상","7","N18","만성 콩팥(신장)기능상실","347",NA
"90세 이상","8","K08","치아 및 지지구조의 기타 장애","317",NA
"90세 이상","9","K29","위염 및 십이지장염","314",NA
"90세 이상","10","H25","노인성 백내장","301",NA
"90세 이상","11","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","286",NA
"90세 이상","12","C61","전립선의 악성 신생물","281",NA
"90세 이상","13","M17","윤충증","280",NA
"90세 이상","14","I20","협심증","241",NA
"90세 이상","15","L29","소양증","211",NA
"90세 이상","16","F03","상세불명의 치매","198",NA
"90세 이상","17","M51","기타 추간판장애","186",NA
"90세 이상","18","K21","위-식도역류병","182",NA
"90세 이상","19","C67","방광의 악성 신생물","181",NA
"90세 이상","20","J18","상세불명 병원체의 폐렴","175",NA
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3962",NA
"59세 이하","2","I10","본태성(일차성)고혈압","901",NA
"59세 이하","3","N18","만성 콩팥(신장)기능상실","873",NA
"59세 이하","4","E11","인슐린-비의존 당뇨병","803",NA
"59세 이하","5","M51","기타 추간판장애","759",NA
"59세 이하","6","K05","치은염(잇몸염)및 치주 질환","518",NA
"59세 이하","7","N40","전립선증식증","380",NA
"59세 이하","8","K29","위염 및 십이지장염","377",NA
"59세 이하","9","K02","치아우식증","357",NA
"59세 이하","10","K21","위-식도역류병","341",NA
"59세 이하","11","B18","만성 바이러스간염","328",NA
"59세 이하","12","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","323",NA
"59세 이하","13","N39","비뇨기계통의 기타 장애","313",NA
"59세 이하","14","F32","우울증 에피소드","286",NA
"59세 이하","15","B35","피부사상균증","263",NA
"59세 이하","16","M54","배통","251",NA
"59세 이하","17","E78","지질단백질대사장애 및 기타 지질증","247",NA
"59세 이하","18","G82","하반신마비 및 사지마비","247",NA
"59세 이하","19","E03","기타 갑상선기능저하증","245",NA
"59세 이하","20","J30","혈관운동성 및 앨러지성 비염","241",NA
"60대","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3673",NA
"60대","2","I10","본태성(일차성)고혈압","2791",NA
"60대","3","N40","전립선증식증","2191",NA
"60대","4","E11","인슐린-비의존 당뇨병","2097",NA
"60대","5","M81","병적골절이 없는 골다공증","971",NA
"60대","6","I20","협심증","944",NA
"60대","7","M48","기타 척추병증","884",NA
"60대","8","I63","뇌경색증","822",NA
"60대","9","M51","기타 추간판장애","809",NA
"60대","10","K05","치은염(잇몸염)및 치주 질환","797",NA
"60대","11","K21","위-식도역류병","782",NA
"60대","12","M17","윤충증","737",NA
"60대","13","K29","위염 및 십이지장염","734",NA
"60대","14","K08","치아 및 지지구조의 기타 장애","663",NA
"60대","15","N18","만성 콩팥(신장)기능상실","623",NA
"60대","16","M75","어깨병변","615",NA
"60대","17","E78","지질단백질대사장애 및 기타 지질증","610",NA
"60대","18","M13","추 락","567",NA
"60대","19","M54","배통","527",NA
"60대","20","H25","노인성 백내장","520",NA
"70대","1","N40","전립선증식증","25841",NA
"70대","2","I10","본태성(일차성)고혈압","12375",NA
"70대","3","E11","인슐린-비의존 당뇨병","10875",NA
"70대","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","9830",NA
"70대","5","I20","협심증","9364",NA
"70대","6","M48","기타 척추병증","8752",NA
"70대","7","M51","기타 추간판장애","7474",NA
"70대","8","H25","노인성 백내장","6778",NA
"70대","9","I63","뇌경색증","6247",NA
"70대","10","K08","치아 및 지지구조의 기타 장애","5858",NA
"70대","11","K05","치은염(잇몸염)및 치주 질환","4712",NA
"70대","12","N18","만성 콩팥(신장)기능상실","4466",NA
"70대","13","M17","윤충증","4066",NA
"70대","14","M75","어깨병변","3740",NA
"70대","15","M13","추 락","3506",NA
"70대","16","B35","피부사상균증","3427",NA
"70대","17","C61","전립선의 악성 신생물","3114",NA
"70대","18","K21","위-식도역류병","2937",NA
"70대","19","H93","달리 분류되지 않은 귀의 기타 장애","2683",NA
"70대","20","K04","치수 및 치근단주위조직의 질환","2657",NA
"80대","1","N40","전립선증식증","4522",NA
"80대","2","I10","본태성(일차성)고혈압","2895",NA
"80대","3","I63","뇌경색증","2213",NA
"80대","4","F00","알츠하이머병에서의 치매(G30.-+)","1975",NA
"80대","5","E11","인슐린-비의존 당뇨병","1935",NA
"80대","6","M48","기타 척추병증","1886",NA
"80대","7","I20","협심증","1542",NA
"80대","8","C61","전립선의 악성 신생물","1190",NA
"80대","9","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1171",NA
"80대","10","H25","노인성 백내장","1055",NA
"80대","11","K08","치아 및 지지구조의 기타 장애","940",NA
"80대","12","M51","기타 추간판장애","768",NA
"80대","13","M17","윤충증","751",NA
"80대","14","N18","만성 콩팥(신장)기능상실","667",NA
"80대","15","K29","위염 및 십이지장염","633",NA
"80대","16","F32","우울증 에피소드","567",NA
"80대","17","M13","추 락","564",NA
"80대","18","R41","인지기능 및 자각에 관한 기타 증상 및 징후","549",NA
"80대","19","N31","달리 분류되지 않은 방광의 신경근육기능장애","523",NA
"80대","20","I48","심방세동 및 조동","512",NA
"90세 이상","1","N40","전립선증식증","2073",NA
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1126",NA
"90세 이상","3","I10","본태성(일차성)고혈압","880",NA
"90세 이상","4","I63","뇌경색증","813",NA
"90세 이상","5","N18","만성 콩팥(신장)기능상실","744",NA
"90세 이상","6","E11","인슐린-비의존 당뇨병","668",NA
"90세 이상","7","M48","기타 척추병증","584",NA
"90세 이상","8","C61","전립선의 악성 신생물","339",NA
"90세 이상","9","I20","협심증","328",NA
"90세 이상","10","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","298",NA
"90세 이상","11","H25","노인성 백내장","291",NA
"90세 이상","12","J18","상세불명 병원체의 폐렴","262",NA
"90세 이상","13","F03","상세불명의 치매","251",NA
"90세 이상","14","K08","치아 및 지지구조의 기타 장애","219",NA
"90세 이상","15","K29","위염 및 십이지장염","216",NA
"90세 이상","16","J44","기타 만성 폐쇄성 폐질환","213",NA
"90세 이상","17","M17","윤충증","210",NA
"90세 이상","18","M51","기타 추간판장애","187",NA
"90세 이상","19","C67","방광의 악성 신생물","186",NA
"90세 이상","20","L29","소양증","184",NA
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3649",NA
"59세 이하","2","U07","U07의 응급사용","3408",NA
"59세 이하","3","E11","인슐린-비의존 당뇨병","1126",NA
"59세 이하","4","I10","본태성(일차성)고혈압","1018",NA
"59세 이하","5","M51","기타 추간판장애","925",NA
"59세 이하","6","N18","만성 콩팥(신장)기능상실","794",NA
"59세 이하","7","K05","치은염(잇몸염)및 치주 질환","560",NA
"59세 이하","8","K02","치아우식증","490",NA
"59세 이하","9","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","471",NA
"59세 이하","10","G82","하반신마비 및 사지마비","451",NA
"59세 이하","11","N40","전립선증식증","373",NA
"59세 이하","12","K21","위-식도역류병","352",NA
"59세 이하","13","B18","만성 바이러스간염","345",NA
"59세 이하","14","E78","지질단백질대사장애 및 기타 지질증","328",NA
"59세 이하","15","M75","어깨병변","325",NA
"59세 이하","16","M54","배통","306",NA
"59세 이하","17","F32","우울증 에피소드","276",NA
"59세 이하","18","N39","비뇨기계통의 기타 장애","275",NA
"59세 이하","19","I20","협심증","263",NA
"59세 이하","20","E03","기타 갑상선기능저하증","256",NA
"60대","1","I10","본태성(일차성)고혈압","2941",NA
"60대","2","E11","인슐린-비의존 당뇨병","2802",NA
"60대","3","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2598",NA
"60대","4","N40","전립선증식증","1983",NA
"60대","5","M51","기타 추간판장애","1281",NA
"60대","6","M48","기타 척추병증","1088",NA
"60대","7","M81","병적골절이 없는 골다공증","927",NA
"60대","8","I20","협심증","897",NA
"60대","9","K05","치은염(잇몸염)및 치주 질환","869",NA
"60대","10","E78","지질단백질대사장애 및 기타 지질증","849",NA
"60대","11","M17","윤충증","787",NA
"60대","12","K08","치아 및 지지구조의 기타 장애","757",NA
"60대","13","K21","위-식도역류병","752",NA
"60대","14","N18","만성 콩팥(신장)기능상실","750",NA
"60대","15","I63","뇌경색증","709",NA
"60대","16","M75","어깨병변","645",NA
"60대","17","M50","목뼈원판 장애","580",NA
"60대","18","M54","배통","528",NA
"60대","19","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","491",NA
"60대","20","H25","노인성 백내장","479",NA
"70대","1","N40","전립선증식증","24391",NA
"70대","2","E11","인슐린-비의존 당뇨병","15542",NA
"70대","3","I10","본태성(일차성)고혈압","14220",NA
"70대","4","M51","기타 추간판장애","11185",NA
"70대","5","I20","협심증","9574",NA
"70대","6","M48","기타 척추병증","9362",NA
"70대","7","H25","노인성 백내장","6986",NA
"70대","8","K08","치아 및 지지구조의 기타 장애","6599",NA
"70대","9","I63","뇌경색증","6383",NA
"70대","10","N18","만성 콩팥(신장)기능상실","4928",NA
"70대","11","K05","치은염(잇몸염)및 치주 질환","4632",NA
"70대","12","M17","윤충증","4272",NA
"70대","13","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","4136",NA
"70대","14","K21","위-식도역류병","3981",NA
"70대","15","M75","어깨병변","3828",NA
"70대","16","G62","기타 다발신경병증","3695",NA
"70대","17","B35","피부사상균증","3634",NA
"70대","18","C61","전립선의 악성 신생물","3279",NA
"70대","19","I48","심방세동 및 조동","3276",NA
"70대","20","K04","치수 및 치근단주위조직의 질환","3059",NA
"80대","1","N40","전립선증식증","4101",NA
"80대","2","I10","본태성(일차성)고혈압","3269",NA
"80대","3","E11","인슐린-비의존 당뇨병","2923",NA
"80대","4","F00","알츠하이머병에서의 치매(G30.-+)","2173",NA
"80대","5","M48","기타 척추병증","2039",NA
"80대","6","I63","뇌경색증","2007",NA
"80대","7","I20","협심증","1630",NA
"80대","8","M51","기타 추간판장애","1237",NA
"80대","9","C61","전립선의 악성 신생물","1074",NA
"80대","10","H25","노인성 백내장","1064",NA
"80대","11","K08","치아 및 지지구조의 기타 장애","885",NA
"80대","12","M17","윤충증","778",NA
"80대","13","I48","심방세동 및 조동","718",NA
"80대","14","N18","만성 콩팥(신장)기능상실","711",NA
"80대","15","R41","인지기능 및 자각에 관한 기타 증상 및 징후","633",NA
"80대","16","F03","상세불명의 치매","592",NA
"80대","17","K21","위-식도역류병","547",NA
"80대","18","M13","추 락","542",NA
"80대","19","K05","치은염(잇몸염)및 치주 질환","536",NA
"80대","20","F32","우울증 에피소드","531",NA
"90세 이상","1","N40","전립선증식증","2430",NA
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1465",NA
"90세 이상","3","I10","본태성(일차성)고혈압","1461",NA
"90세 이상","4","I63","뇌경색증","1047",NA
"90세 이상","5","E11","인슐린-비의존 당뇨병","1017",NA
"90세 이상","6","M48","기타 척추병증","905",NA
"90세 이상","7","N18","만성 콩팥(신장)기능상실","787",NA
"90세 이상","8","I20","협심증","621",NA
"90세 이상","9","C61","전립선의 악성 신생물","530",NA
"90세 이상","10","K08","치아 및 지지구조의 기타 장애","473",NA
"90세 이상","11","F03","상세불명의 치매","407",NA
"90세 이상","12","I48","심방세동 및 조동","377",NA
"90세 이상","13","H25","노인성 백내장","372",NA
"90세 이상","14","M51","기타 추간판장애","336",NA
"90세 이상","15","J44","기타 만성 폐쇄성 폐질환","293",NA
"90세 이상","16","L29","소양증","283",NA
"90세 이상","17","M54","배통","241",NA
"90세 이상","18","K59","기타 기능적 창자 장애","239",NA
"90세 이상","19","M17","윤충증","234",NA
"90세 이상","20","R41","인지기능 및 자각에 관한 기타 증상 및 징후","227",NA
"59세 이하","1","U07","U07의 응급사용","7693",NA
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2499",NA
"59세 이하","3","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","1556",NA
"59세 이하","4","E11","인슐린-비의존 당뇨병","1114",NA
"59세 이하","5","M51","기타 추간판장애","988",NA
"59세 이하","6","I10","본태성(일차성)고혈압","959",NA
"59세 이하","7","N18","만성 콩팥(신장)기능상실","958",NA
"59세 이하","8","K05","치은염(잇몸염)및 치주 질환","513",NA
"59세 이하","9","K02","치아우식증","464",NA
"59세 이하","10","G82","하반신마비 및 사지마비","376",NA
"59세 이하","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","354",NA
"59세 이하","12","K21","위-식도역류병","339",NA
"59세 이하","13","R07","인후 및 흉곽의 동통","328",NA
"59세 이하","14","E78","지질단백질대사장애 및 기타 지질증","314",NA
"59세 이하","15","B18","만성 바이러스간염","314",NA
"59세 이하","16","I20","협심증","310",NA
"59세 이하","17","N40","전립선증식증","292",NA
"59세 이하","18","M50","목뼈원판 장애","288",NA
"59세 이하","19","M54","배통","284",NA
"59세 이하","20","K04","치수 및 치근단주위조직의 질환","280",NA
"60대","1","U07","U07의 응급사용","6526",NA
"60대","2","E11","인슐린-비의존 당뇨병","2787",NA
"60대","3","I10","본태성(일차성)고혈압","2405",NA
"60대","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1877",NA
"60대","5","N40","전립선증식증","1597",NA
"60대","6","M51","기타 추간판장애","1234",NA
"60대","7","N18","만성 콩팥(신장)기능상실","1067",NA
"60대","8","I20","협심증","1035",NA
"60대","9","M48","기타 척추병증","929",NA
"60대","10","K05","치은염(잇몸염)및 치주 질환","856",NA
"60대","11","E78","지질단백질대사장애 및 기타 지질증","822",NA
"60대","12","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","796",NA
"60대","13","K08","치아 및 지지구조의 기타 장애","773",NA
"60대","14","M81","병적골절이 없는 골다공증","766",NA
"60대","15","M75","어깨병변","642",NA
"60대","16","I63","뇌경색증","639",NA
"60대","17","M17","윤충증","631",NA
"60대","18","M50","목뼈원판 장애","576",NA
"60대","19","K21","위-식도역류병","572",NA
"60대","20","E03","기타 갑상선기능저하증","460",NA
"70대","1","N40","전립선증식증","20729",NA
"70대","2","E11","인슐린-비의존 당뇨병","15598",NA
"70대","3","M51","기타 추간판장애","14515",NA
"70대","4","I10","본태성(일차성)고혈압","11595",NA
"70대","5","I20","협심증","9357",NA
"70대","6","M48","기타 척추병증","7810",NA
"70대","7","U07","U07의 응급사용","6635",NA
"70대","8","I63","뇌경색증","6297",NA
"70대","9","K08","치아 및 지지구조의 기타 장애","5822",NA
"70대","10","N18","만성 콩팥(신장)기능상실","5635",NA
"70대","11","H25","노인성 백내장","5500",NA
"70대","12","K05","치은염(잇몸염)및 치주 질환","4483",NA
"70대","13","G62","기타 다발신경병증","4219",NA
"70대","14","M17","윤충증","3987",NA
"70대","15","K21","위-식도역류병","3814",NA
"70대","16","K04","치수 및 치근단주위조직의 질환","3333",NA
"70대","17","B35","피부사상균증","3164",NA
"70대","18","C61","전립선의 악성 신생물","3137",NA
"70대","19","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3060",NA
"70대","20","M75","어깨병변","3046",NA
"80대","1","N40","전립선증식증","4592",NA
"80대","2","E11","인슐린-비의존 당뇨병","3724",NA
"80대","3","I10","본태성(일차성)고혈압","2979",NA
"80대","4","M51","기타 추간판장애","2496",NA
"80대","5","U07","U07의 응급사용","2331",NA
"80대","6","I20","협심증","2289",NA
"80대","7","I63","뇌경색증","2220",NA
"80대","8","M48","기타 척추병증","2159",NA
"80대","9","F00","알츠하이머병에서의 치매(G30.-+)","2025",NA
"80대","10","N18","만성 콩팥(신장)기능상실","1318",NA
"80대","11","H25","노인성 백내장","1271",NA
"80대","12","C61","전립선의 악성 신생물","1208",NA
"80대","13","K08","치아 및 지지구조의 기타 장애","1172",NA
"80대","14","M17","윤충증","993",NA
"80대","15","I48","심방세동 및 조동","872",NA
"80대","16","K21","위-식도역류병","789",NA
"80대","17","R41","인지기능 및 자각에 관한 기타 증상 및 징후","766",NA
"80대","18","B35","피부사상균증","700",NA
"80대","19","K04","치수 및 치근단주위조직의 질환","694",NA
"80대","20","F32","우울증 에피소드","676",NA
"90세 이상","1","N40","전립선증식증","2200",NA
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1438",NA
"90세 이상","3","I10","본태성(일차성)고혈압","1376",NA
"90세 이상","4","I63","뇌경색증","1144",NA
"90세 이상","5","E11","인슐린-비의존 당뇨병","1041",NA
"90세 이상","6","M48","기타 척추병증","948",NA
"90세 이상","7","N18","만성 콩팥(신장)기능상실","787",NA
"90세 이상","8","I20","협심증","583",NA
"90세 이상","9","F03","상세불명의 치매","562",NA
"90세 이상","10","U07","U07의 응급사용","527",NA
"90세 이상","11","C61","전립선의 악성 신생물","524",NA
"90세 이상","12","I48","심방세동 및 조동","403",NA
"90세 이상","13","M51","기타 추간판장애","388",NA
"90세 이상","14","K08","치아 및 지지구조의 기타 장애","352",NA
"90세 이상","15","J44","기타 만성 폐쇄성 폐질환","343",NA
"90세 이상","16","H25","노인성 백내장","284",NA
"90세 이상","17","K59","기타 기능적 창자 장애","243",NA
"90세 이상","18","L29","소양증","243",NA
"90세 이상","19","F32","우울증 에피소드","243",NA
"90세 이상","20","I50","심장기능상실(심부전)","232",NA
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2363",NA
"59세 이하","2","E11","인슐린-비의존 당뇨병","994",NA
"59세 이하","3","I10","본태성(일차성)고혈압","905",NA
"59세 이하","4","M51","기타 추간판장애","810",NA
"59세 이하","5","Z10","한정된 소인구집단에 대한 정례적인 일반 건강점검","626",NA
"59세 이하","6","N18","만성 콩팥(신장)기능상실","550",NA
"59세 이하","7","K05","치은염(잇몸염)및 치주 질환","499",NA
"59세 이하","8","K02","치아우식증","434",NA
"59세 이하","9","K04","치수 및 치근단주위조직의 질환","377",NA
"59세 이하","10","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","371",NA
"59세 이하","11","G80","유아성 뇌성마비","365",NA
"59세 이하","12","U07","U07의 응급사용","345",NA
"59세 이하","13","G82","하반신마비 및 사지마비","326",NA
"59세 이하","14","B18","만성 바이러스간염","316",NA
"59세 이하","15","E78","지질단백질대사장애 및 기타 지질증","303",NA
"59세 이하","16","R07","인후 및 흉곽의 동통","296",NA
"59세 이하","17","K08","치아 및 지지구조의 기타 장애","290",NA
"59세 이하","18","J34","코 및 코옆굴의 기타 장애","280",NA
"59세 이하","19","I20","협심증","276",NA
"59세 이하","20","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","273",NA
"60대","1","E11","인슐린-비의존 당뇨병","2382",NA
"60대","2","I10","본태성(일차성)고혈압","2160",NA
"60대","3","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1503",NA
"60대","4","N40","전립선증식증","1400",NA
"60대","5","N18","만성 콩팥(신장)기능상실","1364",NA
"60대","6","M51","기타 추간판장애","1297",NA
"60대","7","I20","협심증","945",NA
"60대","8","K05","치은염(잇몸염)및 치주 질환","834",NA
"60대","9","K08","치아 및 지지구조의 기타 장애","722",NA
"60대","10","E78","지질단백질대사장애 및 기타 지질증","702",NA
"60대","11","M48","기타 척추병증","702",NA
"60대","12","M81","병적골절이 없는 골다공증","694",NA
"60대","13","M17","윤충증","656",NA
"60대","14","M75","어깨병변","651",NA
"60대","15","M50","목뼈원판 장애","643",NA
"60대","16","I63","뇌경색증","613",NA
"60대","17","H25","노인성 백내장","457",NA
"60대","18","K21","위-식도역류병","423",NA
"60대","19","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","413",NA
"60대","20","K04","치수 및 치근단주위조직의 질환","372",NA
"70대","1","M51","기타 추간판장애","16176",NA
"70대","2","N40","전립선증식증","15966",NA
"70대","3","E11","인슐린-비의존 당뇨병","12629",NA
"70대","4","I10","본태성(일차성)고혈압","9956",NA
"70대","5","I20","협심증","8656",NA
"70대","6","M48","기타 척추병증","6626",NA
"70대","7","N18","만성 콩팥(신장)기능상실","6287",NA
"70대","8","I63","뇌경색증","5294",NA
"70대","9","K08","치아 및 지지구조의 기타 장애","5225",NA
"70대","10","H25","노인성 백내장","5063",NA
"70대","11","G62","기타 다발신경병증","4322",NA
"70대","12","M17","윤충증","4287",NA
"70대","13","K05","치은염(잇몸염)및 치주 질환","3995",NA
"70대","14","K04","치수 및 치근단주위조직의 질환","3386",NA
"70대","15","M75","어깨병변","3042",NA
"70대","16","M50","목뼈원판 장애","2954",NA
"70대","17","B35","피부사상균증","2899",NA
"70대","18","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2792",NA
"70대","19","K21","위-식도역류병","2790",NA
"70대","20","I48","심방세동 및 조동","2771",NA
"80대","1","N40","전립선증식증","5410",NA
"80대","2","E11","인슐린-비의존 당뇨병","4337",NA
"80대","3","M51","기타 추간판장애","4003",NA
"80대","4","I10","본태성(일차성)고혈압","3673",NA
"80대","5","I20","협심증","2974",NA
"80대","6","M48","기타 척추병증","2850",NA
"80대","7","I63","뇌경색증","2502",NA
"80대","8","F00","알츠하이머병에서의 치매(G30.-+)","2304",NA
"80대","9","N18","만성 콩팥(신장)기능상실","1887",NA
"80대","10","K08","치아 및 지지구조의 기타 장애","1727",NA
"80대","11","C61","전립선의 악성 신생물","1660",NA
"80대","12","H25","노인성 백내장","1590",NA
"80대","13","M17","윤충증","1255",NA
"80대","14","G62","기타 다발신경병증","1234",NA
"80대","15","I48","심방세동 및 조동","1063",NA
"80대","16","N31","달리 분류되지 않은 방광의 신경근육기능장애","1027",NA
"80대","17","R41","인지기능 및 자각에 관한 기타 증상 및 징후","923",NA
"80대","18","K04","치수 및 치근단주위조직의 질환","918",NA
"80대","19","H90","전음성 및 감각신경성 청력소실","906",NA
"80대","20","K05","치은염(잇몸염)및 치주 질환","902",NA
"90세 이상","1","N40","전립선증식증","1905",NA
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1795",NA
"90세 이상","3","I10","본태성(일차성)고혈압","1295",NA
"90세 이상","4","I63","뇌경색증","1023",NA
"90세 이상","5","E11","인슐린-비의존 당뇨병","956",NA
