"구분","코드","상병명","연령별.합계","X59이하","X60.64","X65.69","X70.79","X80.89","X90이상","지역","년도","연령별.59이하.","연령별.60.64.","연령별.65.69.","연령별.70.79.","연령별.80.89.","연령별.90이상.","명칭","상병코드","상병명.명칭"
"외래","E10~E14","당뇨병",NA,"1472","1060","1569","12448","1795","303","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","F00~F99, G40~G41","정신 및 행동장애",NA,"3109","1083","1199","9408","4883","1584","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","A15, A16, A19","호흡기결핵",NA,"5","25","0","71","14","6","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I05~I09, I20~I27, I30~I52","심장질환",NA,"1134","1033","1503","14894","2577","694","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I60~I69","대뇌혈관질환",NA,"1487","690","812","8115","1927","654","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","G00~G37, G43~G83","신경계질환",NA,"1734","1269","1505","7752","1340","273","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","C00~C97, D00~D09","악성신생물",NA,"655","451","574","9358","1773","411","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E00~E07","갑상선의 장애",NA,"407","201","266","1160","210","33","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","B18, B19, K70~K77","간의 질환",NA,"740","353","340","1945","181","44","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","N18","만성신부전증",NA,"640","72","239","2386","969","169","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"2","0","0","2","1","0","고혈압",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"17","10","2","118","25","8","당뇨병",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"83","24","20","62","17","1","정신 및 행동장애",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"1","0","0","8","7","7","호흡기결핵",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"25","23","48","822","217","94","심장질환",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"24","22","53","546","107","29","대뇌혈관질환",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"21","12","18","170","32","4","신경계질환",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"47","56","83","1373","233","88","악성신생물",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"0","0","1","4","1","0","갑상선의 장애",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"3","1","2","57","13","1","간의 질환",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"11","9","6","131","39","8","만성신부전증",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"11","0","0","8","5","0","고혈압",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"286","164","47","2100","477","96","당뇨병",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"5663","1650","1515","3762","914","18","정신 및 행동장애",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"7","0","0","151","110","146","호흡기결핵",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"257","179","305","9563","3460","1750","심장질환",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"99","160","262","4398","1460","901","대뇌혈관질환",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"867","426","2202","7271","1384","186","신경계질환",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"456","477","1154","19611","4271","1142","악성신생물",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"0","0","14","40","3","0","갑상선의 장애",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"36","14","51","776","161","35","간의 질환",NA,NA
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"229","96","191","3943","367","65","만성신부전증",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"2161","2110","4024","32513","7694","1896","고혈압",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"3275","2687","4650","42576","7772","1354","당뇨병",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"4951","1399","2139","18869","7254","2378","정신 및 행동장애",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"30","2","0","214","93","123","호흡기결핵",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"1209","1199","2402","33548","7759","2126","심장질환",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"1198","862","2119","23055","5561","1597","대뇌혈관질환",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"7316","2496","3491","34319","5315","1540","신경계질환",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"1634","1419","2787","41932","7630","1706","악성신생물",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"712","423","880","4472","802","133","갑상선의 장애",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"1165","776","1010","6033","719","85","간의 질환",NA,NA
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",2022,"1044","697","869","12612","3907","1163","만성신부전증",NA,NA
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I10~I13, I15","고혈압"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"E10~E14","당뇨병"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"F00~F99, G40~G41","정신 및 행동장애"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"A15, A16, A19","호흡기결핵"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I05~I09, I20~I27, I30~I52","심장질환"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I60~I69","대뇌혈관질환"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"G00~G37, G43~G83","신경계질환"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"C00~C97, D00~D09","악성신생물"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"E00~E07","갑상선의 장애"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"B18, B19, K70~K77","간의 질환"
"입원(실인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"N18","만성신부전증"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I10~I13, I15","고혈압"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"E10~E14","당뇨병"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"F00~F99, G40~G41","정신 및 행동장애"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"A15, A16, A19","호흡기결핵"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I05~I09, I20~I27, I30~I52","심장질환"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I60~I69","대뇌혈관질환"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"G00~G37, G43~G83","신경계질환"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"C00~C97, D00~D09","악성신생물"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"E00~E07","갑상선의 장애"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"B18, B19, K70~K77","간의 질환"
"입원(연인원)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"N18","만성신부전증"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I10~I13, I15","고혈압"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"E10~E14","당뇨병"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"F00~F99, G40~G41","정신 및 행동장애"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"A15, A16, A19","호흡기결핵"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I05~I09, I20~I27, I30~I52","심장질환"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"I60~I69","대뇌혈관질환"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"G00~G37, G43~G83","신경계질환"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"C00~C97, D00~D09","악성신생물"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"E00~E07","갑상선의 장애"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"B18, B19, K70~K77","간의 질환"
"외래",NA,NA,NA,NA,NA,NA,NA,NA,NA,"인천",2022,NA,NA,NA,NA,NA,NA,NA,"N18","만성신부전증"
"입원(실인원)","I10~I13, I15","고혈압",NA,"5","2","2","31","12","1","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E10~E14","당뇨병",NA,"2","2","1","70","8","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애",NA,"","","","3","3","1","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","A15, A16, A19","호흡기결핵",NA,"","1","","3","","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환",NA,"18","11","38","669","107","41","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I60~I69","대뇌혈관질환",NA,"5","5","3","99","18","4","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","G00~G37, G43~G83","신경계질환",NA,"6","2","7","99","6","1","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","C00~C97, D00~D09","악성신생물",NA,"28","14","17","288","74","24","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E00~E07","갑상선의 장애",NA,"","","","1","1","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","B18, B19, K70~K77","간의 질환",NA,"4","2","6","37","4","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","N18","만성신부전증",NA,"1","","1","34","6","5","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I10~I13, I15","고혈압",NA,"16","4","15","186","100","5","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","E10~E14","당뇨병",NA,"72","18","13","3354","220","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애",NA,"","","","113","136","1","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","A15, A16, A19","호흡기결핵",NA,"","13","","43","","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환",NA,"76","34","158","4566","1023","449","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I60~I69","대뇌혈관질환",NA,"439","205","102","5506","1140","88","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","G00~G37, G43~G83","신경계질환",NA,"444","67","236","5117","324","64","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","C00~C97, D00~D09","악성신생물",NA,"405","229","446","7441","1877","660","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","E00~E07","갑상선의 장애",NA,"","","","1","14","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","B18, B19, K70~K77","간의 질환",NA,"215","40","262","999","151","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","N18","만성신부전증",NA,"53","","3","1538","145","140","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I10~I13, I15","고혈압",NA,"738","576","1108","10978","1742","406","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E10~E14","당뇨병",NA,"899","850","1507","17862","2339","358","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","F00~F99, G40~G41","정신 및 행동장애",NA,"1431","580","1090","13003","2789","782","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","A15, A16, A19","호흡기결핵",NA,"15","13","14","78","17","","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I05~I09, I20~I27, I30~I52","심장질환",NA,"361","438","971","15037","2334","562","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I60~I69","대뇌혈관질환",NA,"534","379","360","8946","1382","309","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","G00~G37, G43~G83","신경계질환",NA,"566","359","427","6361","642","127","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","C00~C97, D00~D09","악성신생물",NA,"187","144","368","10550","1481","241","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E00~E07","갑상선의 장애",NA,"253","177","279","1823","230","44","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","B18, B19, K70~K77","간의 질환",NA,"474","250","368","2386","269","19","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","N18","만성신부전증",NA,"716","466","589","8872","1635","534","부산",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I10~I13, I15","고혈압",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"1","1","1","39","4","3",NA,NA,NA
"입원(실인원)","E10~E14","당뇨병",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"10","3","11","172","23","2",NA,NA,NA
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"0","0","0","3","1","1",NA,NA,NA
"입원(실인원)","A15, A16, A19","호흡기결핵",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"0","0","0","0","0","0",NA,NA,NA
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"7","3","8","110","24","6",NA,NA,NA
"입원(실인원)","I60~I69","대뇌혈관질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"3","4","3","73","22","10",NA,NA,NA
"입원(실인원)","G00~G37, G43~G83","신경계질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"12","2","2","42","7","1",NA,NA,NA
"입원(실인원)","C00~C97, D00~D09","악성신생물",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"47","21","23","180","79","20",NA,NA,NA
"입원(실인원)","E00~E07","갑상선의 장애",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"0","0","0","1","1","0",NA,NA,NA
"입원(실인원)","B18, B19, K70~K77","간의 질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"4","2","4","27","5","2",NA,NA,NA
"입원(실인원)","N18","만성신부전증",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"2","3","1","82","23","15",NA,NA,NA
"입원(연인원)","I10~I13, I15","고혈압",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"1","3","9","334","37","26",NA,NA,NA
"입원(연인원)","E10~E14","당뇨병",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"149","44","177","3153","671","18",NA,NA,NA
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"0","0","0","90","18","215",NA,NA,NA
"입원(연인원)","A15, A16, A19","호흡기결핵",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"0","0","0","0","0","0",NA,NA,NA
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"24","3","32","346","115","54",NA,NA,NA
"입원(연인원)","I60~I69","대뇌혈관질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"375","35","127","3027","1225","320",NA,NA,NA
"입원(연인원)","G00~G37, G43~G83","신경계질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"802","72","12","2897","195","6",NA,NA,NA
"입원(연인원)","C00~C97, D00~D09","악성신생물",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"964","364","437","3490","1960","741",NA,NA,NA
"입원(연인원)","E00~E07","갑상선의 장애",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"0","0","0","7","12","0",NA,NA,NA
"입원(연인원)","B18, B19, K70~K77","간의 질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"22","18","10","329","88","8",NA,NA,NA
"입원(연인원)","N18","만성신부전증",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"2","3","1","1183","343","447",NA,NA,NA
"외래","I10~I13, I15","고혈압",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"934","749","1368","9840","1768","726",NA,NA,NA
"외래","E10~E14","당뇨병",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"1090","1039","1515","14335","1869","470",NA,NA,NA
"외래","F00~F99, G40~G41","정신 및 행동장애",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"990","382","760","8567","2816","1034",NA,NA,NA
"외래","A15, A16, A19","호흡기결핵",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"0","1","3","42","11","2",NA,NA,NA
"외래","I05~I09, I20~I27, I30~I52","심장질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"191","175","443","6409","1165","402",NA,NA,NA
"외래","I60~I69","대뇌혈관질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"379","422","840","10085","2112","562",NA,NA,NA
"외래","G00~G37, G43~G83","신경계질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"819","173","464","5638","788","251",NA,NA,NA
"외래","C00~C97, D00~D09","악성신생물",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"399","166","336","4186","1409","376",NA,NA,NA
"외래","E00~E07","갑상선의 장애",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"293","130","248","1183","147","20",NA,NA,NA
"외래","B18, B19, K70~K77","간의 질환",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"746","240","386","1698","214","45",NA,NA,NA
"외래","N18","만성신부전증",NA,NA,NA,NA,NA,NA,NA,"대전",2022,"794","600","260","4510","1351","575",NA,NA,NA
"입원(실인원)","I10~I13, I15","고혈압","36","2","0","4","18","8","4","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E10~E14","당뇨병","208","10","7","6","159","22","4","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","3","0","0","0","1","2","0","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","A15, A16, A19","호흡기결핵","7","0","0","0","3","0","4","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","985","30","30","53","683","131","58","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I60~I69","대뇌혈관질환","54","2","2","4","31","13","2","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","G00~G37, G43~G83","신경계질환","61","2","1","1","53","4","0","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","C00~C97, D00~D09","악성신생물","206","1","3","11","151","29","11","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E00~E07","갑상선의 장애","1","0","0","0","1","0","0","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","B18, B19, K70~K77","간의 질환","27","1","0","1","15","4","6","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","N18","만성신부전증","85","2","1","9","47","20","6","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I10~I13, I15","고혈압","1136","4","0","35","720","261","116","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","E10~E14","당뇨병","9472","354","332","89","6466","2167","64","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","109","0","0","0","24","85","0","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","A15, A16, A19","호흡기결핵","242","0","0","0","75","0","167","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","10797","80","171","187","7347","1848","1164","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I60~I69","대뇌혈관질환","1961","21","19","60","1476","325","60","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","G00~G37, G43~G83","신경계질환","3690","841","7","7","2519","316","0","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","C00~C97, D00~D09","악성신생물","5222","1","11","338","3580","996","296","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","E00~E07","갑상선의 장애","1","0","0","0","1","0","0","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","B18, B19, K70~K77","간의 질환","992","16","0","9","566","55","346","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","N18","만성신부전증","5824","163","43","244","2822","961","1591","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I10~I13, I15","고혈압","19513","1081","1133","1969","12035","2377","918","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E10~E14","당뇨병","25068","1395","1277","2203","16739","2777","677","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","F00~F99, G40~G41","정신 및 행동장애","15437","953","495","934","7559","3650","1846","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","A15, A16, A19","호흡기결핵","43","0","0","0","19","20","4","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I05~I09, I20~I27, I30~I52","심장질환","23358","746","698","1364","16450","3138","962","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I60~I69","대뇌혈관질환","13569","308","367","906","8938","2255","795","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","G00~G37, G43~G83","신경계질환","16923","1280","596","829","12393","1475","350","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","C00~C97, D00~D09","악성신생물","9269","178","97","437","6599","1474","484","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E00~E07","갑상선의 장애","5575","505","349","720","3448","416","137","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","B18, B19, K70~K77","간의 질환","3397","639","292","382","1876","189","19","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","N18","만성신부전증","9759","977","598","579","5962","1064","579","대구",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I10~I13, I15","고혈압",NA,"11","5","7","69","26","3","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E10~E14","당뇨병",NA,"9","8","4","104","13","2","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애",NA,"2","1","4","27","8","14","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","A15, A16, A19","호흡기결핵",NA,"0","0","0","2","2","1","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환",NA,"31","41","54","691","173","65","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I60~I69","대뇌혈관질환",NA,"19","12","23","212","49","26","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","G00~G37, G43~G83","신경계질환",NA,"25","14","12","134","21","2","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","C00~C97, D00~D09","악성신생물",NA,"96","54","56","590","227","36","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E00~E07","갑상선의 장애",NA,"0","0","0","7","0","0","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","B18, B19, K70~K77","간의 질환",NA,"12","4","4","41","9","4","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","N18","만성신부전증",NA,"9","6","6","41","21","4","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I10~I13, I15","고혈압",NA,"84","26","34","583","353","23","광주",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
