"구분","분류","명칭","코드","비고","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사-체위변환","51800","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기 안진 자발안진검사(Spontaneous Nystagmus)","50000","","","","",""
"[행위]검사료","감염증 혈청검사","MERS-CoV","LZW0047","","129285","","","","",""
"[행위]검사료","내분비검사","B-HCG","LWZ0016","","6276","","","","",""
"[행위]검사료","내분비검사","PAPP-A 검사","CZ212","","30066","","","","","LWZ0015"
"[행위]검사료","내분비검사","TS Ab(Thyroid stimulating)","CZ213","","29573","","","","",""
"[행위]검사료","내분비검사","INTERFERON-감마","LWZ0046","","138450","","","","",""
"[행위]검사료","분자병리검사","HLA-B51 유전자","CZ909","","19750","","","","","위탁검사"
"[행위]검사료","세포유전검사","FISH(XY)","LZW0049","","265850","","","","",""
"[행위]검사료","세포유전검사","광범위 선천성대사이상검사(NST + 43종)-Y","LWCZ338","","23950","","","","",""
"[행위]검사료","약물 및 독물검사","Amphetamine(나450가2)","","","8130","","","","",""
"[행위]검사료","자가면역질환검사","항GM1항체 [IgG]","CZ261","Anti GM1 Ab IgG","19750","","","","","위탁검사"
"[행위]검사료","자가면역질환검사","항GM1항체 [IgM]","CZ262","Anti GM1 Ab IgM","19750","","","","","위탁검사"
"[행위]검사료","자가면역질환검사","항GD1b항체 [IgG]","CZ425","Anti GD1b Ab IgG","11507","","","","","위탁검사"
"[행위]검사료","자가면역질환검사","항GD1b항체 [IgM]","CZ425","Anti GD1b Ab IgM","11507","","","","","위탁검사"
"[행위]검사료","자가면역질환검사","항MAG항체","CZ427","Anti MAG Ab","53628","","","","","위탁검사"
"[행위]검사료","신경계기능검사","신경인지기능검사-카드분류검사(Card Sorting Test)","FZ453","신경인지기능검사","20000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-단기기억력검사[시각]","FZ413","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-단기기억력검사 CORSI","FZ411","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-자서전적 기억평가면접","FZ413","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-캘리포니아 언어학습검사","FZ414","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-단어색채검사","FZ452","신경인지기능검사","20000","","","","",""
"[행위]검사료","감염증혈청검사","Entamoeba histolytica IgG","LZW0051","","73622","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-페그보드검사","FZ441","신경인지기능검사","15000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-구성능력검사","FZ432","신경인지기능검사","20000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-어휘력검사","FZ424","신경인지기능검사","15000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-성인 진단적 이해력 검사","FZ421","신경인지기능검사","20000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-성인 진단적 언어능력 검사","FZ421","신경인지기능검사","20000","","","","",""
"[행위]검사료","신경계기능검사","언어능력평가/기본30분까지","FZ421","신경인지기능검사","20000","","","","",""
"[행위]검사료","신경계기능검사","자율신경계이상검사(심박변이도검사)","SZ11200","","30000","","","","","19.5.17 30000원으로 수가 상향 조정(기존10000원)"
"약제","소화제","크레온캡슐250000","644206290","","442","","","","",""
"약제","수면진정제 및 신경안정제","서카딘서방정","646802660","","721","","","","",""
"[행위]검사료","신경계기능검사","언어능력평가 [기본30분 초과 10분당]","FZ421","신경인지기능검사","10000","","","","",""
"약제","외용 항진균제","주블리아외용액","642507391","","506","","","","",""
"약제","예방접종-DTaP＆Imovax & Hib 혼합","펜탁심주","665900210","","68590","","","","Y",""
"약제","예방접종-디프테리아,파상풍,백일해","디티에이피 백신주","670500610","","32000","","","","Y",""
"약제","예방접종-폐렴구균","프로디악스-23","655500610","","40000","","","","Y",""
"약제","예방접종-폴리오","코박스폴리오PF주(프리필드시린지)","647400280","","25000","","","","Y",""
"약제","","그로트로핀투주사액카트리지30iu/2.7ml","642505130","","99355","","","","",""
"약제","","스카이셀플루프리필드시린지","644704290","","25000","","","","",""
"[행위]검사료","분자병리검사","호흡기바이러스","CZ994","","54669","","","","","CZ994~7"
"[행위]검사료","감염증 혈청검사","Influensa A(신종플루확진검사)H1N1","LWC6095","","44742","","","","","LWCZ998"
"약제","","하이알라제주(히알우로니다제)","670602610","","15202","","","","",""
"약제","예방접종-일본뇌염백신-사백신","보령세포배양일본뇌염백신주0.7ml","670500530","","36500","","","","Y",""
"약제","","농글리세린","-","","3","","","","",""
"약제","","액상하이랙스주1ml","654802040","","12910","","","","",""
"약제","","레졸로정 1mg","646901810","","735","","","","",""
"약제","예방접종-일본뇌염백신-사백신","세포배양일본뇌염백신0.4ml-사백신","670500570","","30250","","","","",""
"약제","","파이브로베인주1%","684900040","","23382","","","","",""
"약제","","이소바이드액","652602860","","39854","","","","",""
"약제","","미레나","641100600","","85222","","","Y","Y",""
"약제","","SonoVue inj(소노뷰주)","621400210","","92579","","","","",""
"약제","","파자임95 이중정(부광)","642202290","","70","","","","",""
"약제","","자이데나 200mg(동아)","642503030","","2640","","","","",""
"약제","","복합써스펜좌약","643501140","","266","","","","",""
"약제","","마이드린캅셀(녹십자)","643601020","","89","","","","",""
"약제","","유락신연고 50g","643601400","","1200","","","","",""
"약제","","액티피드정 60mg(삼일)","643900900","","17","","","","",""
"약제","","Coverject 20mcg(파마시아앤업죤)","648901020","","10687","","","","",""
"약제","","예나스테론주 250mg(제이텍바이오젠)","659600290","","4560","","","","",""
"약제","","구구정20mg","643507040","","1467","","","","",""
"약제","","오메크린크림 30g","641605990","","9500","","","","",""
"[행위]검사료","감염증 혈청검사","Influensa A(신종플루확진검사)H1N1","LWCZ998","Influensa A(신종플루확진검사)H1N1","44742","","","","",""
"[행위]검사료","검체검사(위탁)","CHROMOSOM(AF)양수검사","LWZ0014","","177893","","","","",""
"약제","","타스나정(탄산수소나트륨)","662501680","","18","","","","",""
"약제","","레졸로정 2mg","646901820","","1336","","","","",""
"[행위]검사료","검체검사(위탁","인플루엔자바이러스 A&B","LWCZ996","인플루엔자바이러스 A&B","114495","","","","",""
"[행위]검사료","조직병리검사(분자병리)","핵산증폭-유전자형그룹1　-인유두종바이러스(Human Papillomavirus, HPV)","PWD6592036","핵산증폭-유전자형그룹1　-인유두종바이러스(Human Papillomavirus, HPV)","46770","","","","",""
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-슬관절(편측)Knee","SEB464","","71900","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-고관절(편측)Hip","SEB465","","90050","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-견관절(편측)Shoulder","SEB466","","90050","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-손목관절(편측)Wrist","SEB467","","90050","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-발목관절(편측)Ankle","SEB468","","90050","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-류마티스성질환3부위이상관절종합","SEB469","","139680","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-연부조직-일반","SEB470","","65260","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-연부조직-정밀","SEB471","","83840","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-뇌혈류","SEB481","","129580","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(경동맥)두개외 혈관 도플러","SEB482","","110620","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(기타 동맥)두개외 혈관 도플러","SEB483","","58060","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(상지-동맥)사지혈관 도플러 (양측)","SEB484","","89120","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]검사료","감염증 혈청검사","지카바이러스","LZW0048","","75190","","","","",""
"[행위]초음파 검사료","초음파","진단초음파-흉부-유방·액와부 제외한 흉부 초음파(F/U)","SEB42204","진단초음파-흉부-유방·액와부 제외한 흉부 초음파(F/U)","42990","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(하지-정맥)사지혈관 도플러 (양측)","SEB488","","141140","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러","SEB489","","158510","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-심장-(전문)경흉부심초음파","SEB433","","258480","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-복부-(일반)간·담낭·담도·비장·췌장","122430","","120140","","","","","본인희망으로 시행한경우 건강검진으로 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-복부-직장·항문 Rectum·Anus","SEB446","","131620","","","","","급여 인정기준 외 실시한경우 비급여"
"제증명수수료","","방문간호지시서","AQA00201","방문간호지시서","18920","","","","",""
"[행위]검사료","내시경","진정내시경 환자관리료Ⅰ","SEA001","","53790","","","","",""
"[행위]검사료","내시경","진정내시경 환자관리료 Ⅱ","SEA002","","78050","","","","",""
"[행위]검사료","내시경","진정내시경 환자관리료 Ⅲ","SEA003","","119620","","","","",""
"[행위]검사료","내시경","진정내시경 환자관리료 Ⅳ","SEA004","","165440","","","","",""
"[행위]초음파 검사료","초음파 검사료","기본초음파-단순초음파(Ⅰ) One Point Ultrasonography","SEB401","","15580","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","기본초음파-단순초음파(Ⅱ) Simple Ultrasonography","SEB402","","31170","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-안-안구 (양측)","SEB411","","91900","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-안-안와 Orbit(양측)","SEB412","","91900","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-안-계측 (양측)","SEB413","","91900","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-경부- 갑상선·부갑상선","SEB414","","92260","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-경부-갑상선·부갑상선 제외한 경부","SEB415","","92260","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-비·부비동 초음파","SEB416","","60940","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-흉부-유방·액와부 초음파","SEB421","","124340","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-흉부-유방·액와부 제외한 흉부 초음파","SEB422","","86000","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파","SEB430","","35460","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-심장-(단순)경흉부심초음파","SEB431","","112300","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-심장-(일반)경흉부심초음파","SEB432","","177260","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-심장-(약물)부하심초음파","SEB434","","307550","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-심장-(운동)부하심초음파","SEB435","","292420","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-심장-태아정밀 심초음파","SEB436","","388420","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-복부-(정밀)간·담낭·담도·비장·췌장","SEB442","","181820","","","","","본인희망으로 시행한경우 건강검진으로 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-복부-충수 Appendix","SEB443","","111740","","","","","본인희망으로 시행한경우 건강검진으로 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-복부-소장·대장 Small Bowel·Colon","SEB444","","111840","","","","","본인희망으로 시행한경우 건강검진으로 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-복부-서혜부 Inguinal region","SEB445","","77220","","","","","본인희망으로 시행한경우 건강검진으로 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-복부-항문초음파만 시행한 경우","SEB447","","109680","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-비뇨기계-신장·부신·방광","SEB448","","98500","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-비뇨기계-신장·부신","SEB449","","89010","","","","","본인희망으로 시행한경우 건강검진으로 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-비뇨기계-방광 Bladder","SEB450","","80290","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-남성생식기-전립선·정낭(경직장으로 실시)","SEB451","","115500","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-남성생식기-전립선·정낭(경복부로 실시)","SEB452","","64220","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-남성생식기-음경 Penis","SEB453","","90770","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-남성생식기-(도플러)음경 Penis","SEB45301","","99840","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-남성생식기-음낭 Scrotum","SEB454","","89070","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-여성생식기-일반","SEB455","","103870","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우","SEB456","","132860","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-여성생식기-정밀","SEB457","","152210","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-손가락(편측)","SEB461","","65260","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-발가락(편측)Toe","SEB462","","65260","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-관절-주관절(편측)Elbow","SEB463","","71900","","","","","급여 인정기준 외 실시한경우 비급여"
"제증명수수료","","장애진단서(간단)","AQA02002","장애진단서(간단)","15000","","","","",""
"[행위]초음파 검사료","초음파","진단초음파-비뇨기계-(도플러)신장·부신","SEB44901","진단초음파-비뇨기계-(도플러)신장·부신","97910","","","","",""
"[행위]초음파 검사료","초음파 검사료","특수초음파-심장-경식도 심초음파","SEB611","","290960","","","","","급여 인정기준 외 실시한경우 비급여"
"약제","예방접종-자궁경부예방접종","가다실--자궁경부예방접종","655500020","","170000","","","","Y",""
"제증명수수료","","병무용진단서","AQA00301","병무용진단서","20000","","","","","20180101"
"제증명수수료","","사산(사태)증명서","AQA00701","사산(사태)증명서","2000","","","","","20180101"
"제증명수수료","","사체검안서","AQA00801","사체검안서","30000","","","","","20180101"
"제증명수수료","","사체부검료","AQA00901","사체부검료","20000","","","","","20180101"
"제증명수수료","","성별감정서","AQA01101","성별감정서","10000","","","","","20180101"
"제증명수수료","신체적장애","장애진단서(신체적 장애)","AQA01301","장애진단서(신체적 장애)","15000","","","","","20180101"
"제증명수수료","정신적장애","장애진단서(정신적 장애)","AQA01304","장애진단서(정신적 장애)","40000","","","","","20180101"
"제증명수수료","","연령감정서","AQA01401","연령감정서","20000","","","","","20180101"
"제증명수수료","","연령감정서 치과용","AQA01402","연령감정서 치과용","150000","","","","","20180101"
"제증명수수료","","일반소견서(보험회사 제출용)","AQA01501","일반소견서(보험회사 제출용)","10000","","","","","20180101"
"제증명수수료","","영문일반소견서(보험회사 제출용)","AQA01503","영문일반소견서(보험회사 제출용)","15000","","","","","20180101"
"제증명수수료","","일반진단서","AQA01601","일반진단서","10000","","","","","20180101"
"제증명수수료","후유장애","장애진단서","AQA02001","장애진단서","100000","","","","","20180101"
"제증명수수료","","정신감정서","AQA02101","정신감정서","100000","","","","","20180101"
"제증명수수료","","영문 등 외국어 일반진단서","AQA02201","영문 등 외국어 일반진단서","15000","","","","","20180101"
"제증명수수료","","출생증명서","AQA02501","출생증명서","3000","","","","","20180101"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-대동맥 도플러","SEB490","","85970","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계","SEB501","","198210","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-신경-(만1세미만소아 척수)중추신경계","SEB502","","198210","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-신경- 말초신경(편측)","SEB503","","59120","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-신경-(사지신경 종합검사)말초신경 초음파","SEB504","","154210","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(일반)제1삼분기","SEB511","","81330","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(임신여부만 확인)제1삼분기","SEB512","","55200","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(정밀)제1삼분기","SEB513","","145140","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(기형아정밀계측)제1삼분기","SEB514","","186130","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(일반)제2,3삼분기","SEB515","","115140","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(고위험임신)제2,3삼분기","SEB516","","149660","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(정밀)제2,3삼분기","SEB517","","246740","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(기형아정밀계측)제2,3삼분기","SEB518","","289060","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","유도초음파-유도초음파(Ⅰ) : 천자, 배액 시 시술부위 확인","SEB561","","53200","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","유도초음파-유도초음파(Ⅱ) : 조직생검, 새침흡인","SEB562","","106400","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","유도초음파-유도초음파(Ⅲ)","SEB563","","127680","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","유도초음파-유도초음파(Ⅳ)","SEB564","","319180","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","특수초음파-심장-(선천성심질환에검사)경식도 심초음파","SEB610","","35460","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","특수초음파-심장-심장내 초음파","SEB612","","320060","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(상지-정맥)사지혈관 도플러 (양측)","SEB485","","89120","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러","SEB486","","45890","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파 검사료","진단초음파-혈관-(하지-동맥)사지혈관 도플러 (양측)","SEB487","","141140","","","","","급여 인정기준 외 실시한경우 비급여"
"[행위]초음파 검사료","초음파검사료","(건강검진 목적 비급여) 진단초음파-복부-(일반)간·담낭·담도·비장·췌장","","","122430","","","","","본인희망으로 시행한경우 건강검진으로 비급여"
"[행위]초음파 검사료","초음파검사료","제한적초음파-복부-(일반)간·담낭·담도·비장·췌장","SEB441001","","61220","","","","",""
"제증명수수료","","건강진단서","AW400101","건강진단서","20000","","","","",""
"제증명수수료","","입퇴원확인서","AQA01403","입,퇴원확인서","3000","","","","","20180101"
"제증명수수료","","사망진단서","AQA00501","사망진단서","10000","","","","","20180101"
"제증명수수료","","국민연금장애심사용 진단서","AQA00101","국민연금장해진단서","6000","","","","","20180101"
"[행위]이학요법료(물리치료료)","전산화 인지재활치료","전산화 인지재활치료","MZ009","","35000","","","","",""
"제증명수수료","의무기록사본발급","제증명료 사본","AQW01200","제증명료 사본","1000","","","","","20180101"
"[행위]자기공명영상진단료(MRI)","척추","MRI Spine, SAG","170000","","","170000","170000","","","급여 기준외 비급여"
"약제","","MRI 급여조영제 프리모비스트10ml","641100931","","131475","","","","",""
"약제","","프로핸스주프리필드시린지(가도테리돌)--","621400021","","47275","","","","",""
"약제","","도타렘 15ML Meglumine gadoteratev5653.5mg","654900051","","34979","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-종합검사-서울신경심리검사(SNSB)","FB001","신경인지기능검사","315380","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-종합검사-한국판 CERAD 평가집(CERAD-K)","FB002","신경인지기능검사","138080","","","","",""
"[행위]기타","종합검진","종합검진(여자) 직원소개+수면내시경","AW901808GA","종합검진(여자) 직원소개+수면내시경","310800","","","","",""
"[행위]기타","종합검진","종합검진(여자) 단체협약+수면내시경","AW901806GA","종합검진(여자) 단체협약+수면내시경","276270","","","","",""
"[행위]기타","종합검진","종합검진(남자) 직원본인+수면내시경","AW901803GA","종합검진(남자) 직원본인+수면내시경","227730","","","","",""
"[행위]기타","종합검진","종합검진(여자) 직원본인+수면내시경","AW901807GA","종합검진(여자) 직원본인+수면내시경","241730","","","","",""
"[행위]기타","종합검진","종합검진(고급형추가) 단체협약","AW901811","종합검진(고급형추가) 단체협약","163100","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(여자)","AW91005F10","VIP 숙박형(1박2일) 종합검진(여자)","2887200","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(여자) 직원소개","AW91005F20","VIP 숙박형(1박2일) 종합검진(여자) 직원소개","2566400","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(여자) 단체협약","AW91005F30","VIP 숙박형(1박2일) 종합검진(여자) 단체협약","2245600","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(여자) 직원본인","AW91005F40","VIP 숙박형(1박2일) 종합검진(여자) 직원본인","1924800","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(남자) 직원소개","AW91005M20","VIP 숙박형(1박2일) 종합검진(남자) 직원소개","2431200","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(남자) 단체협약","AW91005M30","VIP 숙박형(1박2일) 종합검진(남자) 단체협약","2127300","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(여자)","AW91004F10","심/뇌혈관포함 종합검진(여자)","1557900","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(여자)　직원소개","AW91004F20","심/뇌혈관포함 종합검진(여자)　직원소개","1384800","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(여자)　단체협약","AW91004F30","심/뇌혈관포함 종합검진(여자)　단체협약","1211700","","","","",""
"[행위]기타","종합검진","종합검진(고급형추가) 직원소개","AW901810","종합검진(고급형추가) 직원소개","186400","","","","",""
"[행위]기타","종합검진","종합검진(고급형추가) 직원본인","AW901812","종합검진(고급형추가) 직원본인","139800","","","","",""
"[행위]기타","종합검진","종합검진(남자) 일반+수면내시경","AW901801GA","종합검진(남자) 일반+수면내시경","325340","","","","",""
"[행위]기타","종합검진","종합검진(여자) 일반+수면내시경","AW901805GA","종합검진(여자) 일반+수면내시경","325340","","","","",""
"[행위]기타","종합검진","종합검진(남자) 직원소개+수면내시경","AW901804GA","종합검진(남자) 직원소개+수면내시경","292800","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(남자)","AW91004M10","심/뇌혈관포함 종합검진(남자)","1539900","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(남자)　단체협약","AW91004M30","심/뇌혈관포함 종합검진(남자)　단체협약","1197700","","","","",""
"[행위]기타","종합검진","종합검진(고급형추가) 일반","AW901809","종합검진(고급형추가) 일반","209790","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(여자) 직원본인","AW91004F40","심/뇌혈관포함 종합검진(여자) 직원본인","1038600","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(남자)","AW91005M10","VIP 숙박형(1박2일) 종합검진(남자)","2735100","","","","",""
"[행위]기타","종합검진","VIP 숙박형(1박2일) 종합검진(남자) 직원본인","AW91005M40","VIP 숙박형(1박2일) 종합검진(남자) 직원본인","1823400","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(남자)　직원소개","AW91004M20","심/뇌혈관포함 종합검진(남자)　직원소개","1368800","","","","",""
"[행위]기타","종합검진","심/뇌혈관포함 종합검진(남자) 직원본인","AW91004M40","심/뇌혈관포함 종합검진(남자) 직원본인","1026600","","","","",""
"[행위]기타","종합검진","종합검진(남자) 단체협약+수면내시경","AW901802GA","종합검진(남자) 단체협약+수면내시경","260270","","","","",""
"[행위]기타","종합검진","심장초음파(종합검진용)","SF90105","심장초음파(종합검진용)","100000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사- 개별검사 유형1 (3 ~5개 검사)","FB011","신경인지기능검사","29090","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사 -개별검사 유형1 (6-8개 검사)","FB012","신경인지기능검사","49680","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사- 개별검사 유형1 (9개 이상 검사)","FB013","신경인지기능검사","87420","","","","",""
"[행위]검사료","신경계기능검사","정량적감각기능검사(전류인지역치)","FY883","","30000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사 - 개별검사 유형2 (1 ~3개 검사)","FB021","신경인지기능검사","29100","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사 - 개별검사 유형2 (4개 이상 검사)","FB022","신경인지기능검사","70290","","","","",""
