"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비포함여부"
"부산","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사-인지기능평가","FZ046","신규","20000","","","",""
"부산","신경계기능검사","신경인지기능검사-감각운동협응검사-손가락 두드리기검사","FZ048","신규","13000","","","",""
"부산","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[시각]","FZ051","-","22750","","","",""
"부산","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[청각]","FZ052","-","24500","","","",""
"부산","신경계기능검사","신경인지기능검사-감각운동협응검사-시청각-운동 협응검사","FZ054","-","31025","","","",""
"부산","신경계기능검사","신경인지기능검사-감각운동협응검사-논리적 사고력 검사(Reasoning Test)","FZ056","-","25000","","","",""
"부산","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-스트룹검사","FZ060","-","20000","","","",""
"부산","내분비검사","체성분 분석검사","SZ05300","-","15000","","","",""
"부산","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-성인 진단적 계산력검사","FZ061","-","22000","","","",""
"부산","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-보속성검사","FZ063","-","18000","","","",""
"부산","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-실행증검사","FZ064","-","18000","","","",""
"부산","신경계기능검사","신경인지기능검사-증상 및 행동 평가척도-한국판 성격척도","FY739","-","30000","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","자발 및 주시 안진검사","31010","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","두위 및 두위변환 안진검사","31010","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","두진후 안진검사","31010","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","시운동성 안진 및 시운동후 안진검사","50000","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","급속안구 운동검사","50000","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","시표추적검사","50000","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","체위변환","51800","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","안진검사(정밀), 안진 안구 운동검사(정밀)","100000","","","",""
"부산","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기 안진검사 (체위변환 및 이석정복술)","103500","","","",""
"부산","시기능검사","안구광학단층촬영","EZ796","각막 안구광화학단층촬영(편측)","100000","","","",""
"부산","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영(OCT)녹내장(시신경) 단순 단안","100000","","","",""
"부산","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영(OCT)망막(황반부) 단순 단안","100000","","","",""
"부산","시기능검사","눈의 계측검사 (레이저간섭계 이용)","EZ797","-","50000","","","",""
"부산","순환기 기능검사","동맥경화도검사(맥파전달속도측정)","EZ868","1부위,2부위","","30000","50000","",""
"부산","치아검사","구취측정검사","EZ917","-","30000","","","",""
"부산","초음파 검사료","비·부비동 초음파Nasal·Paranasal Sinus Ultrasonography","EB416","-","57780","","","",""
"부산","초음파 검사료","단순초음파(Ⅰ) One Point Ultrasonography","EB401","-","14770","","","",""
"부산","초음파 검사료","갑상선·부갑상선 Thyroid·Parathyroid gland","EB414","-","87460","","","",""
"부산","초음파 검사료","갑상선·부갑상선 제외한 경부Neck Except Thyroid·Parathyroid gland","EB415","-","87460","","","",""
"부산","초음파 검사료","유방·액와부 초음파 Breast·Axilla Ultrasonography","EB421","-","117860","","","",""
"부산","초음파 검사료","경흉부 심초음파 전문 Advanced","EB433","-","245020","","","",""
"부산","초음파 검사료","복부 초음파 직장·항문 Rectum·Anus","EB446","-","124770","","","",""
"부산","초음파 검사료","음경 Penis","EB453","-","86030","","","",""
"부산","초음파 검사료","음낭 Scrotum","EB454","-","86030","","","",""
"부산","초음파 검사료","관절 초음파 발목관절(편측)Ankle(Unilateral)","EB468","-","61870","","","",""
"부산","초음파 검사료","연부조직 초음파 정밀 Detailed","EB471","-","79470","","","",""
"부산","초음파 검사료","뇌혈류 초음파 Transcranial Doppler Ultrasonography","EB481","-","122850","","","",""
"부산","초음파 검사료","중추신경계 초음파 척수 Spinal Cord","EB502","-","187890","","","",""
"부산","초음파 검사료","사지혈관 도플러 초음파 상지-동맥 Upper Extremity - Artery","EB484","-","84480","","","",""
"부산","초음파 검사료","중추신경계 초음파 경천문 뇌 Brain(Transfontanelle)","EB501","-","187890","","","",""
"부산","초음파 검사료","응급·중환자 단일 표적 초음파(1일당) 1부위","EB521","-","29540","","","",""
"부산","두경부","측두골-조영제 주입 전&nbsp;후 촬영판독","HE206","-","470000","","","","N"
"부산","초음파 검사료","임산부 제2,3삼분기 Second, Third Trimester 고위험 임신의 경우","EB516","-","141870","","","",""
"부산","초음파 검사료","임산부 제2,3삼분기 Second, Third Trimester 정밀 Detailed","EB517","-","233890","","","",""
"부산","척추","흉추-조영제 주입 전&nbsp;후 촬영판독","HE210","-","470000","","","","N"
"부산","척추","척추강-경추, 흉추, 요천추와 동시 촬영-조영제 주입 전&nbsp;후 촬영판독","HE214","-","470000","","","","N"
"부산","근골격계","고관절-일반","HE118","-","470000","","","",""
"부산","근골격계","발목관절-일반","HE121","-","470000","","","",""
"부산","물리치료료","기립경사훈련","MZ002","-","6000","","","",""
"부산","물리치료료","연하재활 기능적전기자극치료","MZ008","-","50000","","","",""
"부산","물리치료료","전산화 인지재활치료[주의·기억]","MZ009","-","35000","","","",""
"부산","물리치료료","체외자기장 요실금치료 [1일당]","MX033","-","","20000","30000","",""
"부산","물리치료료","도수치료","MX122","-","20000","","","",""
"부산","피부 및 연부조직","화학적박피술","SZ031","-","","30000","100000","",""
"부산","신경","경피적 경막외강 신경성형술","SZ634","-","500000","","","N","N"
"부산","감각기-시기(눈)","안구표면의 양막이식술","SZ667","-","250000","","","","N"
"부산","감각기-시기(눈)","유리체주입술","S5070","-","84300","","","","N"
"부산","성형","색소 레이저(소)","N1131","-","10000","","","",""
"부산","성형","IPL(얼굴전체)","-","-","300000","","","",""
"부산","성형","IPL(이마제외-얼굴전체)","-","-","200000","","","",""
"부산","성형","IPL(코주변)","-","-","100000","","","",""
"부산","성형","IPL(겨드랑이 양측-제모)","-","-","150000","","","",""
"부산","성형","IPL(허벅지 양측-제모)","-","-","300000","","","",""
"부산","성형","피부화학박피술 (대)","-","-","100000","","","",""
"부산","성형","피부화학박피술 (중)","-","-","50000","","","",""
"부산","성형","피부화학박피술 (소)","-","-","30000","","","",""
"부산","성형","여드름 제거(대)","-","-","10000","","","",""
"부산","성형","여드름 제거(중)","-","-","5000","","","",""
"부산","성형","여드름 제거(소)","-","-","3000","","","",""
"부산","성형","비만치료(주사)","-","-","8000","","","",""
"부산","성형","쌍거풀수술(대)","-","-","300000","","","",""
"부산","성형","쌍거풀수술(소)","-","-","250000","","","",""
"부산","기타","난관결찰술(양측)","-","-","300000","","","",""
"부산","기타","미레나삽입술","-","-","90000","","","","N"
"부산","기타","자궁내장치(IUD)삽입술","-","-","30000","","","",""
"부산","기타","산부인과 충수절제술","-","-","100000","","","",""
"부산","기타","기타보형물제거술(대)","-","-","500000","","","",""
"부산","기타","기타보형물제거술(중)","-","-","300000","","","",""
"부산","기타","기타보형물제거술(소1)","-","-","200000","","","",""
"부산","기타","레이저치료 [Tiny]","-","-","10000","","","",""
"부산","기타","고환삽입술","-","-","500000","","","",""
"부산","기타","약물유도사정술","-","-","100000","","","",""
"부산","기타","음경 이물질 제거술 A","-","-","500000","","","",""
"부산","기타","음경바셀린종제거술(대)","-","-","700000","","","",""
"부산","기타","음경바셀린종제거술(소)","-","-","400000","","","",""
"부산","기타","음경보형물 삽입술 A [굽은형 보형물]","-","인상","1000000","","","",""
"부산","기타","음경보형물 삽입술 C[팽창형(3-piece)인 경우에 산정)]","-","-","2000000","","","",""
"부산","기타","음경확대술","-","-","2000000","","","",""
"부산","기타","인공 괄약근 설치술","-","-","1000000","","","",""
"부산","기타","정관복원술","-","-","500000","","","",""
"부산","초음파 검사료","복부 초음파 서혜부 Inguinal region","EB445","-","73200","","","",""
"부산","초음파 검사료","복부 초음파 일반 General","EB441","-","116060","","","",""
"부산","초음파 검사료","복부 초음파 소장·대장 Small Bowel·Colon","EB444","-","106020","","","",""
"부산","초음파 검사료","신장·부신·방광 Kidney·Adrenal Gland·Bladder","EB448","-","93360","","","",""
"부산","초음파 검사료","방광 Bladder","EB450","-","76110","","","",""
"부산","초음파 검사료","전립선·정낭 경복부(Transabdomen)","EB452","-","60880","","","",""
"부산","초음파 검사료","여성생식기 초음파 일반 General 정밀 Detailed","EB457","-","144270","","","",""
"부산","초음파 검사료","관절 초음파 손가락(편측)Finger","EB461","-","61870","","","",""
"부산","초음파 검사료","관절 초음파 고관절(편측)Hip","EB465","-","61870","","","",""
"부산","초음파 검사료","사지혈관 도플러 초음파 하지 정맥류 검사","EB489","-","150260","","","",""
"부산","초음파 검사료","말초신경 초음파(편측)Peripheral Nerve Ultrasonography","EB503　","-","56030","","","",""
"부산","초음파 검사료","사지신경 모두를 종합적으로 검사한 경우","EB504","-","146180","","","",""
"부산","초음파 검사료","응급·중환자 단일 표적 초음파(1일당) 2부위 이상","EB522","-","59070","","","",""
"부산","초음파 검사료","유도초음파(Ⅲ)","EB563","-","121020","","","",""
"부산","초음파 검사료","유도초음파(Ⅳ)","EB564","-","302560","","","",""
"부산","뇌[뇌, 해마]","뇌-조영제 주입 전&nbsp;후 촬영판독","HE201","-","470000","","","","N"
"부산","뇌[뇌, 해마]","해마-일반","HE102","-","470000","","","",""
"부산","두경부","안면-일반","HE103","-","470000","","","",""
"부산","두경부","안면-조영제 주입 전&nbsp;후 촬영판독","HE203","-","470000","","","","N"
"부산","두경부","측두하악관절-일반","HE107","-","470000","","","",""
"부산","두경부","경부-일반","HE108","-","470000","","","",""
"부산","두경부","경부-조영제 주입 전&nbsp;후 촬영판독","HE208","-","470000","","","","N"
"부산","척추","요천추-일반","HE111","-","470000","","","",""
"부산","척추","요천추-흉추와 동시 촬영-일반","HE113","-","235000","","","",""
"부산","척추","척추강-경추, 흉추, 요천추와 동시 촬영-일반","HE114","-","705000","","","",""
"부산","근골격계","수관절-일반","HE117","-","470000","","","",""
"부산","근골격계","천장골관절-일반","HE119","-","470000","","","",""
"부산","근골격계","천장골관절-조영제 주입 전&nbsp;후 촬영판독","HE219","-","470000","","","","N"
"부산","근골격계","관절외 상지-조영제 주입 전&nbsp;후 촬영판독","HE222","-","470000","","","","N"
"부산","근골격계","관절외 하지-조영제 주입 전&nbsp;후 촬영판독","HE223","-","470000","","","","N"
"부산","흉부","심장-일반","HE124","-","470000","","","",""
"부산","흉부","흉부-일반","HE125","-","470000","","","",""
"부산","-","채용신체검사(노동청)","AW400603","-","33000","","","",""
"부산","-","채용신체검사(다면인성검사)","AW400604","-","42000","","","",""
"부산","-","채용신체검사-임산부","AW400606","-","34810","","","",""
"부산","-","채용신체검사서(경찰및공무원)","AW400608","-","34000","","","",""
"부산","-","채용신체검사(재발행)","AQW00102","-","1000","","","",""
"부산","-","자동차운전면허신체검사(특수,대형)","AW400500","-","5000","","","",""
"부산","-","자동차운전면허신체검사(1종보통,2종)","AW400501","-","4000","","","",""
"부산","-","자동차운전면허신체검사(재발행)","AQW00202","-","500","","","",""
"부산","-","개인택시면허용건강진단서<인성검사포함>(재발행)","AQW00402","-","1000","","","",""
"부산","-","총포및도검소지허가신체검사<인성검사포함>","AW400700","-","28500","","","",""
"부산","-","총포및도검소지허가신체검사<인성검사포함>(재발행)","AQW00502","-","1000","","","",""
"부산","-","선원신체검사(일반)","AW401001P","-","46840","","","",""
"부산","-","선원신체검사(특별)","AW401002P","-","46840","","","",""
"부산","-","건강진단","AW400101","-","20000","","","",""
"부산","-","건강진단(조리사,영양사)","AW400104","-","26770","","","",""
"부산","-","건강진단(조리사,영양사)-임산부","AW400105","-","26770","","","",""
"부산","-","건강진단(이.미용사)","AW400106","-","41000","","","",""
"부산","-","건강진단(이.미용사)-임산부","AW400107","-","41000","","","",""
"부산","-","잠수기능사 신체검사","AW400301","-","29000","","","",""
"부산","-","영문신체검사","AW401100P","-","35000","","","",""
"부산","-","중문신체검사","AW401201P","-","35000","","","",""
"부산","-","신체검사<인성검사+일반뇌파검사포함>","AW400302","-","63560","","","",""
"부산","-","신체검사<인성검사포함>","AW400303","-","42000","","","",""
"부산","-","위생사조리사건강진단(재발행","AQW01000","-","1000","","","",""
"부산","-","방사선작업종사자건강진단","AW400103","-","16470","","","",""
"부산","-","혼인전 건강진단(남자)","AW400801","-","50000","","","",""
"부산","-","혼인전 건강진단(여자)","AW400802","-","60000","","","",""
"부산","-","보호자 식대","WZ00100","일반식","6000","","","",""
"부산","식대","보호자 식대","WZ00200","공기밥","1000","","","",""
"부산","기타","환의 상하 한벌(귀가용)","-","-","19690","","","",""
"부산","기타","수면내시경의 환자관리료(상하부동시실시)","-","-","60000","","","",""
"부산","기타","수면내시경의 환자관리료(치료내시경)","-","-","100000","","","",""
"부산","기타","수면내시경의 환자관리료","-","-","50000","","","",""
"부산","기타","원폭피해자1세 건강검진(남)GFS","-","-","350000","","","",""
"부산","기타","원폭피해자1세 건강검진(여)GFS","-","-","350000","","","",""
"부산","기타","원폭피해자1세 건강검진(남)UGI","-","-","350000","","","",""
"부산","기타","원폭피해자1세 건강검진(여)UGI","-","-","350000","","","",""
"부산","기타","원폭피해자2세 건강검진(남)GFS","-","-","130000","","","",""
"부산","기타","원폭피해자2세 건강검진(여)GFS","-","-","130000","","","",""
"부산","기타","원폭피해자2세 건강검진(남)UGI","-","-","130000","","","",""
"부산","기타","원폭피해자2세 건강검진(여)UGI","-","-","130000","","","",""
"부산","기타","원폭피해자1세 건강검진(남)GFS","-","-","350000","","","",""
"부산","기타","건강진단 및 신체검사(마약검사확인서,E-9,비전문취업)","-","-","50000","","","",""
"부산","기타","(100% 감면)장기복무 제대군인(10년이상) 건강검진","-","-","41740","","","",""
"부산","기타","장기복무 제대군인(10년이상) 건강검진","-","-","55660","","","",""
"부산","기타","종합검진17종(C급)","-","-","76000","","","",""
"부산","기타","종합검진20종(B급/남)","-","-","114000","","","",""
"부산","기타","종합검진20종(B급/여)","-","-","114000","","","",""
"부산","기타","종합검진24종(A급/남)","-","-","163000","","","",""
"부산","기타","종합검진24종(A급/여)","-","-","163000","","","",""
"부산","기타","종합검진28종(S급/남)","-","-","199000","","","",""
"부산","기타","종합검진28종(S급/여)","-","-","199000","","","",""
"부산","근골","추간판내 고주파 열치료술","SZ083","추가","500000","","","N","N"
"부산","비뇨기","요실금수술-인공물질 또는 자가지방주입","R3563","추가","219390","","","N",""
"부산","배액관 고정용판","Tube fix 수술당 1개 사용","BJ1001XV","-","15400","","","",""
"부산","-","케프라주","-","-","31850","","","",""
"부산","-","크레온캡슐 25000","-","-","570","","","",""
"부산","외피, 근골기능검사","체온열검사:적외선체열진단(전신)","EZ776","전신","100000","","","",""
"부산","외피, 근골기능검사","체온열검사:적외선체열진단(기타 부분)","EZ776","부분,기타","50000","","","",""
"부산","치아질환 처치","임플란트 2차 수술, 복잡","-","-","","300000","500000","",""
"부산","근골","체외충격파치료[근골격계질환]","SZ084","추가","50000","","","",""
"부산","비뇨기","요실금수술-개복에 의한 수술","R3562","추가","463320","","","N",""
"부산","비뇨기","요실금수술-질강을 통한 수술-기타의 경우","R3565","추가","243430","","","N",""
"부산","-","스카이셀플루프리필드시린지0.5ml-예방접종","644704290","-","25000","","","",""
"부산","-","장애진단서","PDZ07","후유장애진단서","100000","","","",""
"부산","상급병실료 차액","2인실","ABZ02","일반","40000","","","",""
"부산","출혈, 혈전 검사","혈소판 약물 반응검사 (아스피린) [현장검사]","BZ071","-","80000","","","",""
"부산","출혈, 혈전 검사","혈소판 약물 반응검사 (P2Y12) [현장검사]","BZ072","-","120000","","","",""
"부산","지질, 영양 관련검사","호모시스테인검사","CZ133","-","24000","","","",""
"부산","내분비검사","PAPP-A 검사","CZ212","-","12567","","","",""
"부산","상급병실료 차액","1인실","ABZ01","일반","70000","","","",""
"부산","-","그린관장약(주)그린제약)","648300040","-","5","","","",""
"부산","-","베스타제당의정","642502030","-","4","","","",""
"부산","-","일본뇌염 불활성화 백신(베로세포 유래)-예방접종","-","-","29450","","","",""
"부산","초음파 검사료","관절 초음파 슬관절(편측)Knee(Unilateral)","EB464","-","61870","","","",""
"부산","초음파 검사료","관절 초음파 견관절(편측)Shoulder","EB466","-","61870","","","",""
"부산","초음파 검사료","관절 초음파 손목관절(편측)Wrist","EB467","-","61870","","","",""
"부산","초음파 검사료","연부조직 초음파 일반 General","EB470","-","61870","","","",""
"부산","초음파 검사료","두개외 혈관 도플러 초음파 경동맥 Carotid Artery","EB482","-","104860","","","",""
"부산","초음파 검사료","두개외 혈관 도플러 초음파 기타 동맥","EB483","-","55040","","","",""
"부산","초음파 검사료","사지혈관 도플러 초음파 상지-정맥 Upper Extremity - Vein","EB485","-","84480","","","",""
"부산","초음파 검사료","동정맥루의 혈류 및 협착 측정시","EB486","-","43490","","","",""
"부산","초음파 검사료","사지혈관 도플러 초음파 하지-동맥 Lower Extremity - Artery","EB487","-","133790","","","",""
"부산","초음파 검사료","임산부 제1삼분기 First Trimester 일반 General","EB511","-","77100","","","",""
"부산","초음파 검사료","임산부 제1삼분기임신 여부만을 확인한 경우","EB512","-","52320","","","",""
"부산","초음파 검사료","임산부 제1삼분기 First Trimester 정밀 Detailed","EB513","-","137580","","","",""
"부산","초음파 검사료","임산부 제1삼분기 기형아(Anomaly)를 정밀 계측한 경우","EB514","-","176450","","","",""
"부산","초음파 검사료","임산부 제2,3삼분기 Second, Third Trimester ) 일반 General","EB515","-","109140","","","",""
"부산","초음파 검사료","유도초음파(Ⅱ)","EB562","-","100850","","","",""
"부산","초음파 검사료","응급·중환자 복합 표적 초음파","EB523","-","152020","","","",""
"부산","초음파 검사료","유도초음파(Ⅰ)","EB561","-","50430","","","",""
"부산","초음파 검사료","심장 초음파 선천성 심질환에 검사를 실시한 경우","EB610","-","33620","","","",""
"부산","뇌[뇌, 해마]","해마-조영제 주입 전&nbsp;후 촬영판독","HE202","-","470000","","","","N"
"부산","두경부","부비동-일반","HE104","-","470000","","","",""
"부산","두경부","부비동-조영제 주입 전&nbsp;후 촬영판독","HE204","-","470000","","","",""
"부산","두경부","안와-조영제 주입 전&nbsp;후 촬영판독","HE205","-","470000","","","","N"
"부산","두경부","측두골-일반","HE106","-","470000","","","",""
"부산","두경부","측두하악관절-조영제 주입 전&nbsp;후 촬영판독","HE207","-","470000","","","","N"
"부산","척추","경추-일반","HE109","-","470000","","","","N"
"부산","척추","경추-조영제 주입 전&nbsp;후 촬영판독","HE209","-","470000","","","","N"
"부산","척추","흉추-일반","HE110","-","470000","","","",""
"부산","척추","요천추-조영제 주입 전&nbsp;후 촬영판독","HE211","-","470000","","","","N"
"부산","척추","요천추-흉추와 동시 촬영-조영제 주입 전&nbsp;후 촬영판독","HE213","-","235000","","","","N"
"부산","척추","척추강-일반","HE112","-","470000","","","",""
"부산","척추","척추강-조영제 주입 전&nbsp;후 촬영판독","HE212","-","470000","","","","N"
"부산","근골격계","견관절-일반","HE115","-","470000","","","",""
"부산","근골격계","견관절-조영제 주입 전&nbsp;후 촬영판독","HE215","-","470000","","","","N"
"부산","근골격계","주관절-조영제 주입 전&nbsp;후 촬영판독","HE216","-","470000","","","","N"
"부산","근골격계","수관절-조영제 주입 전&nbsp;후 촬영판독","HE217","-","470000","","","","N"
"부산","근골격계","고관절-조영제 주입 전&nbsp;후 촬영판독","HE218","-","470000","","","","N"
"부산","근골격계","슬관절-일반","HE120","-","470000","","","",""
"부산","초음파 검사료","임산부 제2,3삼분기 Second, Third Trimester 기형아(Anomaly)를 정밀 계측한 경우","EB518","-","274020","","","",""
"부산","두경부","안와-일반","HE105","-","470000","","","",""
"부산","근골격계","주관절-일반","HE116","-","470000","","","",""
"부산","근골격계","슬관절-조영제 주입 전&nbsp;후 촬영판독","HE220","-","470000","","","","N"
"부산","근골격계","관절외 하지-일반","HE123","-","470000","","","",""
"부산","흉부","심장-조영제 주입 전&nbsp;후 촬영판독","HE224","-","470000","","","","N"
"부산","초음파 검사료","복부 초음파 충수 Appendix","EB443","-","105940","","","",""
"부산","초음파 검사료","사지혈관 도플러 초음파 하지-정맥 Lower Extremity - Vein","EB488","-","133790","","","",""
"부산","초음파 검사료","경식도 심초음파Transesophageal Echocardiography","EB611","-","275810","","","",""
"부산","초음파 검사료","심장내 초음파 Intracardiac Echocardiography","EB612","-","303390","","","",""
"부산","근골격계","발목관절-조영제 주입 전&nbsp;후 촬영판독","HE221","-","470000","","","","N"
"부산","뇌[뇌, 해마]","뇌-일반","HE101","-","470000","","","",""
"부산","근골격계","관절외 상지-일반","HE122","-","470000","","","",""
"부산","초음파 검사료","계측 Ophthalmic Biometry","EB413","-","87120","","","",""
"부산","초음파 검사료","유방·액와부 제외한 흉부 초음파Chest Ultrasonography Except Breast·Axilla","EB422","-","81520","","","",""
"부산","초음파 검사료","경흉부 심초음파 Transthoracic Echocardiography (선천성 심질환)","EB430","-","33620","","","",""
"부산","초음파 검사료","경흉부 심초음파 단순 Simple","EB431","-","106460","","","",""
"부산","초음파 검사료","경흉부 심초음파 일반 General","EB432","-","168050","","","",""
"부산","초음파 검사료","부하 심초음파 운동부하 Exercise","EB435","-","277180","","","",""
"부산","초음파 검사료","단순초음파(Ⅱ) Simple Ultrasonography","EB402","-","29540","","","",""
"부산","초음파 검사료","안구 Oculus","EB411","-","87120","","","",""
"부산","초음파 검사료","안와 Orbit","EB412","-","87120","","","",""
"부산","초음파 검사료","부하 심초음파 약물부하 Pharmacologic Stress","EB434","-","291540","","","",""
"부산","초음파 검사료","태아정밀 심초음파 Detailed Fetal Echocardiography","EB436","-","368190","","","",""
"부산","초음파 검사료","복부 초음파 정밀 Detailed","EB442","-","172350","","","",""
"부산","초음파 검사료","복부 초음파 항문 초음파만","EB447","-","103970","","","",""
"부산","초음파 검사료","신장·부신 Kidney·Adrenal Gland","EB449","-","84370","","","",""
"부산","초음파 검사료","전립선·정낭 Prostate·Seminal Vesicle(Transrectum)","EB451","-","109500","","","",""
"부산","초음파 검사료","여성생식기 초음파 일반 General","EB455","-","98460","","","",""
"부산","초음파 검사료","여성생식기 초음파 자궁내 생리식염수를 주입하여 검사한 경우","EB456","-","125950","","","",""
"부산","초음파 검사료","관절 초음파 Joint Ultrasonography 류마티스성 질환에 의한 다발성 관절염을 진단 또는 평가하기 위하여 3부위 이상의 관절을 종합적으로 검사한 경우","EB469","-","132420","","","",""
"부산","초음파 검사료","관절 초음파 발가락(편측)Toe","EB462","-","61870","","","",""
"부산","초음파 검사료","관절 초음파 주관절(편측)Elbow","EB463","-","61870","","","",""
