"순번","행위구분","분류","명칭","코드","표준코드","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항","최종변경일"
"209","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [기타]","EZ776","SZ05109","50000","","","","","","2020-01-31"
"210","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [두부 및 부비동]","EZ776","SZ05101","50000","","","","","","2020-01-31"
"211","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [요천추 및 하지]","EZ776","SZ05104","50000","","","","","","2020-01-31"
"212","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [전신]","EZ776","SZ05110","100000","","","","","","2020-01-31"
"213","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [족부]","EZ776","SZ05108","50000","","","","","","2020-01-31"
"214","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [흉추]","EZ776","SZ05105","50000","","","","","","2020-01-31"
"215","[행위]검사료","기능 검사료(신경계기능검사)","정량적 발한 축삭 반사검사","SZ11202","SZ11202","100000","","","","","","2020-01-31"
"216","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅰ","EA001","SEA001","57250","","","","","","2023-01-01"
"217","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅱ","EA002","SEA002","83060","","","","","","2023-01-01"
"218","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅲ","EA003","SEA003","127280","","","","","","2023-01-01"
"219","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅳ","EA004","SEA004","176030","","","","","","2023-01-01"
"220","[행위]검사료","","타액검사[분비율, 점조도, PH, 완충기능검사]","EZ919","JM0088T","10000","","","","","","2020-01-31"
"221","[행위]검사료","","항GD1b항체 [IgG]","CZ425","LWZ0006","23503","","","","","Anti GD1b Ab IgG","2021-08-01"
"222","[행위]검사료","","항GD1b항체 [IgM]","CZ425","LWZ0006","23503","","","","","Anti GD1b Ab IgM","2021-08-01"
"223","[행위]검사료","","항GM1항체 [IgG]","CZ261","LWZ0002","23502","","","","","Anti GM1 Ab IgG","2021-08-01"
"224","[행위]검사료","검사료","항GM1항체 [IgM]","CZ262","LWZ0003","23503","","","","","Anti GM1 Ab IgM","2021-08-01"
"225","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","회전검사 [회전의자검사(정현파회전 및 등속회전검사,Rotatory Chair Test)]","FZ732","SZ01709","90000","","","","","","2023-06-15"
"226","[행위]검사료","기능검사료","후각기능검사(인지및역치)","FZ671","SZ09700","20000","","","","","","2020-01-31"
"227","[행위]상급병실차액","상급병실료","1인실 병실차액","ABZ010001","A2Z00102,A2Z0010201-2","","100000","192540","","","(기존) 병실차액(100,000원) + 각 병원 등급별 기본입원료/호스피스,자보(기존)병실차액만 산정/간호간병1인실 미운영","2023-01-01"
"228","[행위]상급병실차액","상급병실료","특실 병실차액","","A2Z00101,A2Z0010101-6","","200000","411430","","","(기존) 병실차액(200,000원) + 각 병원 등급별 기본입원료/호스피스 자보는 (기존)병실차액만 산정","2020-01-31"
"229","[행위]기본진료료","교육상담료","교육 및 상담료[당뇨병 교육]","AZ001","HZGT00102","20000","","","","","","2020-03-20"
"230","[행위]정신요법료","정신요법료","기타 행동치료-신경발달중재치료Ⅰ-Ⅱ","NZ009","GZ00900,GZ0090001","","30000","50000","X","","Ⅰ:25분이내 , Ⅱ50분 이내","2021-02-05"
"231","[행위]정신요법료","정신요법료","기타 행동치료-심리적 재활중재치료Ⅰ Ⅱ","NZ010","GZ01000,GZ010001","","30000","50000","X","X","Ⅰ:25분이내 , Ⅱ50분 이내","2021-02-05"
"232","[행위]정신요법료","정신요법료","기타 행동치료-정신 분석적 정신치료Ⅰ,Ⅱ","NZ011","GZ01100,GZ0110001","","50000","100000","","","Ⅰ:25분이내 , Ⅱ50분 이내","2021-02-05"
"233","[행위]자기공명영상진단료(MRI)","MRI-특수검사","Dynamic","HF105+HB021","RMHF105","419610","","","","","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"234","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI227+HJ227+HB021","RMHI227+RMHJ227","553020","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"235","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen 조영제사용 [테슬라3.0이상+품질관리적합]","HI227+HJ227+HB021","RMHI22701+RMHJ227","585900","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"236","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen　[테슬라1.5-3.0미만+품질관리적합]","HI127+HJ127+HB021","RMHI127+RMHJ127","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"237","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen　[테슬라3.0이상+품질관리적합]","HI127+HJ127+HB021","RMHI12701+RMHJ127","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"238","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio 조영제사용[테슬라1.5-3.0미만+품질관리적합]","HI238+HJ238+HB021","RMHI238+RMHJ238","554690","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"239","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio 조영제사용[테슬라3.0이상+품질관리적합]","HI238+HJ238+HB021","RMHI23801+RMHJ238","587670","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"240","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio　[테슬라1.5-3.0미만+품질관리적합]","HI138+HJ138+HB021","RMHI138+RMHJ138","418180","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"241","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio　[테슬라3.0이상+품질관리적합]","HI138+HJ138+HB021","RMHI13801+RMHJ138","443000","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"242","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast [테슬라1.5-3.0미만+품질관리적합]","HI126+HJ126+HB021","RMHI126+RMHJ126","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"243","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI226+HJ226+HB021","RMHI226+RMHJ226","553040","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"244","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast　[테슬라3.0이상+품질관리적합]","HI126+HJ126+HB021","RMHI12601+RMHJ126","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"245","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast　조영제사용 [테슬라3.0이상+품질관리적합]","HI226+HJ226+HB021","RMHI22601+RMHJ226","585940","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"246","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest [테슬라1.5-3.0미만+품질관리적합]","HI125+HJ125+HB021","RMHI125+RMHJ125","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"247","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI225+HJ225+HB021","RMHI225+RMHJ225","553040","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"248","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest 조영제사용 [테슬라3.0이상+품질관리적합]","HI225+HJ225+HB021","RMHI22501+RMHJ225","585940","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"249","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest　[테슬라3.0이상+품질관리적합]","HI125+HJ125+HB021","RMHI12501+RMHJ125","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"250","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram 조영제사용[테슬라1.5-3.0미만+품질관리적합] +도타렘조영제 포함","HI233+HJ233+HB021","RMHI233+RMHJ233","553020","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"251","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram 조영제사용[테슬라3.0이상+품질관리적합]+도타렘조영제 포함","HI233+HJ233+HB021","RMHI23301+RMHJ233","585900","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"252","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram　[테슬라1.5-3.0미만+품질관리적합]","HI133+HJ133+HB021","RMHI133+RMHJ133","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"253","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram　[테슬라3.0이상+품질관리적합]","HI133+HJ133+HB021","RMHI13301+RMHJ133","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"254","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI230+HJ230+HB021","RMHI230+RMHJ230","553020","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"255","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal 조영제사용 [테슬라3.0이상+품질관리적합]","HI230+HJ230+HB021","RMHI23001+RMHJ230","585900","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"256","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal　[테슬라1.5-3.0미만+품질관리적합]","HI130+HJ130+HB021","RMHI130+RMHJ130","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"257","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal　[테슬라3.0이상+품질관리적합]","HI130+HJ130+HB021","RMHI13001+RMHJ130","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"258","[행위]자기공명영상진단료(MRI)","복부-간","MRI Liver　[테슬라1.5-3.0미만+품질관리적합]","HI132+HJ132+HB021","RMHI132+RMHJ132","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"259","[행위]자기공명영상진단료(MRI)","복부-간","MRI Liver　[테슬라3.0이상+품질관리적합]","HI132+HJ132+HB021","RMHI13201+RMHJ132","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"260","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas 조영제사용 [테슬라1.5-3.0미만+품질관리적합]+도타렘조영제 포함","HI229+HJ229+HB021","RMHI229+RMHJ229","553020","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"261","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas 조영제사용 [테슬라3.0이상+품질관리적합]+도타렘조영제 포함","HI229+HJ229+HB021","RMHI22901+RMHJ229","585900","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"262","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas　[테슬라1.5-3.0미만+품질관리적합]","HI129+HJ129+HB021","RMHI129+RMHJ129","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"263","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas　[테슬라3.0이상+품질관리적합]","HI129+HJ129+HB021","RMHI12901+RMHJ129","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"264","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI228+HJ228+HB021","RMHI228+RMHJ228","553020","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"265","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis 조영제사용 [테슬라3.0이상+품질관리적합]","HI228+HJ228+HB021","RMHI22801+RMHJ228","585900","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"266","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis　[테슬라1.5-3.0미만+품질관리적합]","HI128+HJ128+HB021","RMHI128+RMHJ128","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"267","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis　[테슬라3.0이상+품질관리적합]","HI128+HJ128+HB021","RMHI12801+RMHJ128","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"268","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum 조영제사용 [테슬라3.0이상+품질관리적합]","HI231+HJ231+HB021","RMHI23101+RMHJ231","585900","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"269","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum 조영제사용[테슬라1.5-3.0미만+품질관리적합]","HI231+HJ231+HB021","RMHI231+RMHJ231","553020","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"270","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum　[테슬라1.5-3.0미만+품질관리적합]","HI131+HJ131+HB021","RMHI131+RMHJ131","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"271","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum　[테슬라3.0이상+품질관리적합]","HI131+HJ131+HB021","RMHI13101+RMHJ131","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"272","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate 조영제사용[테슬라1.5-3.0미만+품질관리적합]","HI234+HJ234+HB021","RMHI234+RMHJ234","553020","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"273","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate 조영제사용[테슬라3.0이상+품질관리적합]","HI234+HJ234+HB021","RMHI23401+RMHJ234","585900","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"274","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate　[테슬라1.5-3.0미만+품질관리적합]","HI134+HJ134+HB021","RMHI134+RMHJ134","417050","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"275","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate　[테슬라3.0이상+품질관리적합]","HI134+HJ134+HB021","RMHI13401+RMHJ134","441800","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"276","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI237+HJ237+HB021","RMHI237+RMHJ237","554690","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"277","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio 조영제사용 [테슬라3.0이상+품질관리적합]","HI237+HJ237+HB021","RMHI23701+RMHJ237","587670","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"278","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio　[테슬라1.5-3.0미만+품질관리적합]","HI137+HJ137+HB021","RMHI137+RMHJ137","418180","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"279","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio　[테슬라3.0이상+품질관리적합]","HI137+HJ137+HB021","RMHI13701+RMHJ137","443000","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"280","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck /촬영+판독/조영제 사용[테슬라1.5-3.0미만+품질관리적합]","HI208+HJ208+HB021","RMHI208+RMHJ208","553060","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"281","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck /촬영+판독/조영제 사용[테슬라3.0이상+품질관리적합]","HI208+HJ208+HB021","RMHI20801+RMHJ208","585940","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"282","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck 촬영+판독 [테슬라1.5-3.0미만+품질관리적합]","HI108+HJ108+HB021","RMHI108+RMHJ108","417050","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"283","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck 촬영+판독료[테슬라3.0이상+품질관리적합]","HI108+HJ108+HB021","RMHI10801+RMHJ108","441800","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"284","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-일반 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI136+HJ136+HB021","RMHI136+RMHJ136","418180","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"285","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-일반 촬영+판독[테슬라3.0이상+품질관리적합]","HI136+HJ136+HB021","RMHI13601+RMHJ136","443000","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"286","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-조영제 주입 전/후 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI236+HJ236+HB021","RMHI236+RMHJ236","554690","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"287","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-조영제 주입 전/후 촬영+판독[테슬라3.0이상+품질관리적합]","HI236+HJ236+HB021","RMHI23601+RMHJ236","587670","","","X","X","조영제 별도 산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"288","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-일반 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI101+HJ101+HB021","RMHI101+RMHJ101","384060","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"289","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-일반촬영+판독[테슬라3.0이상+품질관리적합]","HI101+HJ101+HB021","RMHI10101+RMHJ101","406820","","","X","X","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함","2023-01-01"
"290","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-조영제 주입 전/후 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI201+HJ201+HB021","RMHI201+RMHJ201","509350","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"291","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-조영제 주입 전/후 촬영+판독[테슬라3.0이상+품질관리적합","HI201+HJ201+HB021","RMHI20101+RMHJ201","539620","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"292","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-일반 촬영+판독[테슬라3.0이상+품질관리적합]","HI135+HJ135+HB021","RMHI13501+RMHJ135","443000","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"293","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-일반+촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI135+HJ135+HB021","RMHI135+RMHJ135","418180","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"294","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-조영제 주입 전/후 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI235+HJ235+HB021","RMHI235+RMHJ235","554690","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"295","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-조영제 주입 전/후 촬영+판독[테슬라3.0이상+품질관리적합]","HI235+HJ235+HB021","RMHI23501+RMHJ235","587670","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"296","[행위]자기공명영상진단료(MRI)","두경부-부비동","MRI 부비동 PNS /촬영+판독/조영제 사용 [테슬라1.5-3.0미만+품질관리적합]","HI204+HJ204+HB021","RMHI204+RMHJ204","553060","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"297","[행위]자기공명영상진단료(MRI)","두경부-부비동","MRI 부비동 PNS /촬영+판독/조영제 사용 [테슬라3.0이상+품질관리적합]","HI204+HJ204+HB021","RMHI20401+RMHJ204","585940","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"298","[행위]자기공명영상진단료(MRI)","두경부-부비동","MRI 부비동 PNS 촬영+판독[테슬라1.5-3.0미만+품질관리적합","HI104+HJ104+HB021","RMHI104+RMHJ104","417050","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"299","[행위]자기공명영상진단료(MRI)","두경부-부비동","MRI 부비동 PNS 촬영+판독[테슬라3.0이상+품질관리적합]","HI104+HJ104+HB021","RMHI10401+RMHJ104","441800","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"300","[행위]자기공명영상진단료(MRI)","혈관-심혈관","MRI 심혈관Cardiovascular MRA 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI240+HJ240+HB021","RMHI240+RMHJ240","554690","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"301","[행위]자기공명영상진단료(MRI)","혈관-심혈관","MRI 심혈관Cardiovascular MRA 조영제사용 [테슬라3.0이상+품질관리적합]","HI240+HJ240+HB021","RMHI24001+RMHJ240","587670","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"302","[행위]자기공명영상진단료(MRI)","혈관-심혈관","MRI 심혈관Cardiovascular MRA　[테슬라1.5-3.0미만+품질관리적합]","HI140+HJ140+HB021","RMHI140+RMHJ140","418180","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"303","[행위]자기공명영상진단료(MRI)","혈관-심혈관","MRI 심혈관Cardiovascular MRA　[테슬라3.0이상+품질관리적합]","HI140+HJ140+HB021","RMHI14001+RMHJ140","443000","","","X","X","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"304","[행위]자기공명영상진단료(MRI)","두경부-안면","MRI 안면 Face /촬영+판독/조영제 사용 [테슬라3.0이상+품질관리적합]","HI203+HJ203+HB021","RMHI20301+RMHJ203","585940","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"305","[행위]자기공명영상진단료(MRI)","두경부-안면","MRI 안면 Face /촬영+판독/조영제 사용[테슬라1.5-3.0미만+품질관리적합]","HI203+HJ203+HB021","RMHI203+RMHJ203","553060","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"306","[행위]자기공명영상진단료(MRI)","두경부-안면","MRI 안면 Face 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI103+HJ103+HB021","RMHI103+RMHJ103","417050","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"307","[행위]자기공명영상진단료(MRI)","두경부-안면","MRI 안면 Face 촬영+판독[테슬라3.0이상+품질관리적합]","HI103+HIJ03+HB021","RMHI10301+RMHJ103","441800","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"308","[행위]자기공명영상진단료(MRI)","두경부-안와","MRI 안와 Orbit /촬영+판독/조영제 사용　[테슬라1.5-3.0미만+품질관리적합]","HI205+HJ205+HB021","RMHI205+RMHJ205","553060","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"309","[행위]자기공명영상진단료(MRI)","두경부-안와","MRI 안와 Orbit /촬영+판독/조영제 사용　[테슬라3.0이상+품질관리적합]","HI205+HJ205+HB021","RMHI20501+RMHJ205","585940","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
"310","[행위]자기공명영상진단료(MRI)","두경부-안와","MRI 안와 Orbit　촬영+판독 [테슬라1.5-3.0미만+품질관리적합]","HI105+HJ105+HB021","RMHI105+RMHJ105","417050","","","X","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함","2023-01-01"
