"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함","약제비포함여부","특이사항"
"서울","초음파 검사료","진단초음파-임산부","EB518","진단초음파-3태아임산부-(기형아정밀계측)제2,3삼분기","854940","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-응급중환자","EB521","진단초음파-응급·중환자-(1부위)단일 표적 초음파(1일당)","30720","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-응급중환자","EB522","진단초음파-응급·중환자-(2부위 이상)단일 표적 초음파(1일당)","61430","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-응급중환자","EB523","진단초음파-응급·중환자-복합 표적 초음파","158100","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","유도초음파-유도초음파","EB561","유도초음파-유도초음파(Ⅰ)","52450","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","유도초음파-유도초음파","EB562","유도초음파-유도초음파(Ⅱ)","104880","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","유도초음파-유도초음파","EB563","유도초음파-유도초음파(Ⅲ)","125860","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","유도초음파-유도초음파","EB564","유도초음파-유도초음파(Ⅳ)","314660","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","특수초음파-심장","EB610","특수초음파-심장-(선천성심질환에검사 별도산정)경식도 심초음파","34960","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","특수초음파-심장","EB611","특수초음파-심장-경식도 심초음파","286840","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","특수초음파-심장","EB612","특수초음파-심장-심장내 초음파","315530","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","특수초음파-기관지내시경초음파","EZ991","기관지내시경초음파검사","300000","","","","","-"
"서울","초음파 검사료","특수초음파-기관지내시경초음파","EZ991","기관지내시경초음파를 이용한 세침흡인술","500000","","","X","","재료대별도산정"
"서울","초음파 검사료","특수초음파-내시경초음파","EZ992","초음파 내시경검사","200000","","","","","-"
"서울","초음파 검사료","특수초음파-내시경초음파","EZ992","초음파 내시경검사 [Miniprobe 이용]","250000","","","","","-"
"서울","초음파 검사료","특수초음파-내시경초음파","EZ992","초음파 내시경검사 직장 [상부]","100000","","","","","-"
"서울","초음파 검사료","특수초음파-내시경초음파","EZ992","초음파 내시경검사 직장 [중부]","80000","","","","","-"
"서울","초음파 검사료","특수초음파-내시경초음파","EZ992","초음파 내시경검사 직장 [하부]","60000","","","","","-"
"서울","초음파 검사료","특수초음파-내시경초음파","EZ992","초음파 내시경검사/항문","40000","","","","","-"
"서울","초음파 검사료","특수초음파-혈관내초음파","EZ994","초음파 IVUS","200000","","","","","-"
"서울","방사선치료료","세기변조 방사선치료 [1회당]","HZ271","세기변조 방사선치료 [1회당]","297650","","","","","-"
"서울","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파하양수천자술","90000","","","","","-"
"서울","초음파영상료","초음파영상-검사 유도목적","HZ161","근골격계초음파,간단","50000","","","","","-"
"서울","초음파영상료","초음파영상-검사 유도목적","HZ161","근골격계초음파,복잡","120000","","","","","-"
"서울","뇌[뇌, 해마]","뇌-일반","HE101","MRI Brain","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","뇌[뇌, 해마]","뇌-조영제 주입 전후 촬영판독","HE201","MRI Brain 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","뇌[뇌, 해마]","해마-일반","HE102","MRI Hippocampus","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","뇌[뇌, 해마]","해마-조영제 주입 전후 촬영판독","HE202","MRI Hippocampus 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","안면-일반","HE103","MRI Face","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","안면-조영제 주입 전후 촬영판독","HE203","MRI Face 조영제사용 |조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","부비동-일반","HE104","MRI PNS [Paranasal Sinus]","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","부비동-조영제 주입 전후 촬영판독","HE204","MRI PNS 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","안와-일반","HE105","MRI Orbit","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","안와-조영제 주입 전후 촬영판독","HE205","MRI Orbit 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","측두골-일반","HE106","MRI Temporal bone","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","측두골-조영제 주입 전후 촬영판독","HE206","MRI Temporal bone 조영제사용 -MRI IAC(internal auditory canals)","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","측두하악관절-일반","HE107","MRI TM joint","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","측두하악관절-조영제 주입 전후 촬영판독","HE207","MRI TM joint 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","경부-일반","HE108","MRI Neck","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","두경부","경부-조영제 주입 전후 촬영판독","HE208","MRI Neck 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","척추","경추-일반","HE109","MRI C-Spine","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","척추","경추-조영제 주입 전후 촬영판독","HE209","MRI Cervical 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","척추","흉추-일반","HE110","MRI T-Spine","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","척추","흉추-조영제 주입 전후 촬영판독","HE210","MRI Thoracic 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","척추","요천추-일반","HE111","MRI L-Spine","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","척추","요천추-조영제 주입 전후 촬영판독","HE211","MRI Lumbosacral spine 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","척추","요천추-흉추와 동시 촬영-일반","HE113","MRI L-Spine(흉추 동시)","235000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","척추","요천추-흉추와 동시 촬영-조영제 주입 전후 촬영판독","HE213","MRI Thoracic+Lumbosacral spine동시,조영제사용","235000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","척추","척추강-일반","HE112","MRI Spine Myelogram","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","척추","척추강-조영제 주입 전후 촬영판독","HE212","MRI Myelogram 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","척추","척추강-경추, 흉추, 요천추와 동시 촬영-일반","HE114","MRI Spine Myelogram(경추, 흉추, 요천추 동시 촬영)","705000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","척추","척추강-경추, 흉추, 요천추와 동시 촬영-조영제 주입 전후 촬영판독","HE214","MRI Myelogram동시,조영제사용","235000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","견관절-일반","HE115","MRI Shoulder","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","견관절-조영제 주입 전후 촬영판독","HE215","MRI Shoulder 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","주관절-일반","HE116","MRI Elbow","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","주관절-조영제 주입 전후 촬영판독","HE216","MRI Elbow 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","수관절-일반","HE117","MRI Wrist","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","수관절-조영제 주입 전후 촬영판독","HE217","MRI Wrist 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","고관절-일반","HE118","MRI Hip","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","고관절-조영제 주입 전후 촬영판독","HE218","MRI Hip 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","천장골관절-일반","HE119","MRI Sacrum","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","천장골관절-조영제 주입 전후 촬영판독","HE219","MRI Sacroiliac 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","슬관절-일반","HE120","MRI Knee","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","슬관절-조영제 주입 전후 촬영판독","HE220","MRI Knee 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","발목관절-일반","HE121","MRI Ankle joint","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","발목관절-조영제 주입 전후 촬영판독","HE221","MRI Ankle joint 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","관절외 상지-일반","HE122","MRI Upper extremity","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","관절외 상지-조영제 주입 전후 촬영판독","HE222","MRI Upper extremity 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","관절외 하지-일반","HE123","MRI Lower extremity","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","근골격계","관절외 하지-조영제 주입 전후 촬영판독","HE223","MRI Lower extremity 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","흉부","심장-일반","HE124","MRI Heart","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","흉부","심장-조영제 주입 전후 촬영판독","HE224","MRI Heart 조영제사용 |조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","흉부","흉부-일반","HE125","MRI Chest","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","흉부","흉부-조영제 주입 전후 촬영판독","HE225","MRI Chest 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","흉부","유방-일반","HE126","MRI Breast","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","흉부","유방-조영제 주입 전후 촬영판독","HE226","MRI Breast 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","복부-일반","HE127","MRI Abdomen","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","복부-조영제 주입 전후 촬영판독","HE227","MRI Abdomen 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","골반-일반","HE128","MRI Pelvis","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","골반-조영제 주입 전후 촬영판독","HE228","MRI Pelvis 조영제사용 |조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","췌장-일반","HE129","MRI Pancreas","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","췌장-조영제 주입 전후 촬영판독","HE229","MRI Pancreas 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","신장 및 부신-일반","HE130","MRI Kidney and Adrenal","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","신장 및 부신-조영제 주입 전후 촬영판독","HE230","MRI Kidney and Adrenal 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","음낭 및 음경-일반","HE131","MRI Penile and Scrotum","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","음낭 및 음경-조영제 주입 전후 촬영판독","HE231","MRI Penile and Scrotum 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","간-일반","HE132","MRI Liver","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","간-조영제 주입 전후 촬영판독","HE232","MRI  Liver 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","담췌관-일반","HE133","MR Cholangiography [MRCP]","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","담췌관-조영제 주입 전후 촬영판독","HE233","MRI Cholangiogram 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","복부","전립선-일반","HE134","MRI Prostate","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","복부","전립선-조영제 주입 전후 촬영판독","HE234","MRI Prostate 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","뇌혈관-일반","HE135","MRI Brain Angio","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","뇌혈관-조영제 주입 전후 촬영판독","HE235","MRI Brain Angio 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","경부혈관-일반","HE136","MRI Neck Angio","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","경부혈관-조영제 주입 전후 촬영판독","HE236","MRI Neck Angio 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","흉부혈관-일반","HE137","MRI Thoracic Angio","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","흉부혈관-조영제 주입 전후 촬영판독","HE237","MRI Thoracic Angio 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","복부혈관-일반","HE138","MRI Abdominal Angio","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","복부혈관-조영제 주입 전후 촬영판독","HE238","MRI Abdominal Angio 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","사지혈관-일반","HE139","MRI Extremity Angio","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","사지혈관-조영제 주입 전후 촬영판독","HE239","MRI Extremity Angio 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","심혈관-일반","HE140","MRI Cardiovascular MRA","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","혈관","심혈관-조영제 주입 전후 촬영판독","HE240","MRI Cardiovascular MRA 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","전신","일반","HE141","MRI Whole body","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","전신","조영제 주입 전후 촬영판독","HE241","MRI Whole body 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","확산","HF101","MRI Brain Diffusion  [단독촬영]","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","확산-기본검사 동시","HF201","MRI Brain Diffusion [기본MRI와 동시촬영]","100000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","관류 [3차원자기공명영상 포함]","HF102","MRI Perfusion [단독촬영","300000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","관류 [3차원자기공명영상 포함]-기본검사 동시","HF202","MRI Perfusion [기본MRI와 동시촬영]","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","분광영상","HF103","MRI MR spectroscopy","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","분광영상-기본검사 동시","HF203","MR spectroscopy [기본MRI와 동시촬영]","100000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","영화 [3차원자기공명영상 포함]","HF104","MRI Cine","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","Dynamic","HF105","MRI ,Dynamic","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","이중조영","HF106","MRI Dual contrast","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","특수검사","기능적 [3차원자기공명영상 포함]","HF107","MRI Functional","500000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","기타","자기공명영상-외부필름판독","-","외부필름판독료 MRI [건당]","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영(F-18 FDG)-토르소","HZ331","Torso PET-CT","503658","","","","Y","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영(F-18 FDG)-토르소 + 추가촬영","HZ331+HZ336","Torso PET-CT+추가 PET-CT","712333","","","","Y","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영(F-18 FDG)-심근","HZ332","심근 PET-CT","353851","","","","Y","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영(F-18 FDG)-뇌","HZ333","Brai(뇌) PET","418283","","","","Y","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영(F-18 FDG)-전신","HZ334","전신PET-CT","752020","","","","Y","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영(F-18 FDG)-전신 + 추가촬영","HZ334+HZ336","전신PET-CT+추가 PET-CT","960695","","","","Y","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영(F-18 FDG)-부분","HZ335","부분 PET-CT","338145","","","","Y","급여 인정기준 외 실시한 경우 비급여"
"서울","PET 진단료","양전자단층촬영-외부필름판독","-","외부필름판독료 PET [건당]","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","물리치료료","FIMS(Functional Intramuscular Stimulation)","MZ001","근육내자극요법[IMS] 한부위","5000","","","","","-"
"서울","물리치료료","기립경사훈련","MZ002","기립경사훈련","6000","","","","","-"
"서울","물리치료료","언어치료","MZ006","언어장애치료/기본30분까지","35000","","","","","-"
"서울","물리치료료","언어치료","MZ006","언어장애치료/초과10분당","10000","","","","","-"
"서울","물리치료료","언어치료","MZ006","언어장애치료 (인지장애동반)","10000","","","","","-"
"서울","물리치료료","연하재활 기능적전기자극치료","MZ008","연하재활 기능적전기자극치료","50000","","","","","-"
"서울","물리치료료","심장재활치료","MZ010","Cardiac Rehabilitation Therapy","15000","","","","","-"
"서울","물리치료료","도수치료 [1일당]","MX122","도수치료 [1일당]","20000","","","","","-"
"서울","물리치료료","증식치료(사지관절부위)","MY142","증식치료 [사지관절부위]","6263","","","","","-"
"서울","물리치료료","증식치료(척추부위)","MY143","증식치료 [척추부위]","12513","","","","","-"
"서울","정신요법료","광치료","NZ001","광치료","15000","","","","","-"
"서울","정신요법료","인지치료","NZ003","Knowledge Training","15000","","","","","-"
"서울","정신요법료","안구운동 민감소실 및 재처리요법","NZ005","안구운동 민감소실 및 재처리 요법(EMDR)","150000","","","","","-"
"서울","정신요법료","행동치료","NZ006","Behavior Modification(일당)","8000","","","","","-"
"서울","정신요법료","반복적 경두개 자기자극술","QZ962","repititive Transcranial Magnetic Stimulation(rTMS)","60000","","","","","-"
"서울","피부 및 연부조직","피부암 치료를 위한 국소 광역동 치료","SZ034","Topical Photodynamic Therapy for Skin Cancer E","150000","","","","","-"
"서울","근골","체외충격파치료[근골격계질환]","SZ084","체외충격파 치료 [근골격계질환] 2부위","75000","","","","","-"
"서울","순환기","광투시정맥흡입제거술-교통정맥결찰술을 동반한 경우","OY203","광투시정맥흡입제거술/교통정맥결찰동반","374613","","","","","-"
"서울","순환기","광투시정맥흡입제거술-교통정맥결찰술을 동반하지 않은 경우","OY204","광투시정맥흡입제거술/교통정맥결찰동반하지않은경우","339063","","","","","-"
"서울","입, 이하선","고주파 설근부 축소술","QZ371","EN/고주파 설근부 축소술","100000","","","","","-"
"서울","신경","경피적 경막외강 신경성형술","SZ634","경피적경막외강신경성형술(Neuroplasty)","500000","","","","","-"
"서울","신경","경피적 풍선확장 경막외강 신경성형","SZ641","Epidural Adhesiolysis with Balloon","300000","","","","","-"
"서울","감각기-시기(눈)","안구표면의 양막이식술","SZ667","안구표면의 양막 이식술","250000","","","","","-"
"서울","여성","양수및융모막검사를위한 검사채취(검사료별도)","-","양수및융모막검사를위한 검사채취(검사료별도)","620000","","","","","-"
"서울","치아질환 처치","광중합 복합 레진 충전","-","Composite resin filling (light curing)","80000","","","","","-"
"서울","치아질환 처치","심미 레진 충전","-","Esthetic resin filling","250000","","","","","-"
"서울","치아질환 처치","광중합 G.I 충전","-","Light curing G.I filling","80000","","","","","-"
"서울","치아질환 처치","포세린관 수리","-","P.F.M repair","100000","100000","200000","","","-"
"서울","치아질환 처치","나선형 합정","-","Screw post","70000","","","","","-"
"서울","치아질환 처치","의치수리","-","Denture repair","","50000","100000","","","-"
"서울","치아질환 처치","의치 직접 이장술","-","Direct denture reline","","100000","150000","","","-"
"서울","치아질환 처치","탄성 의치상 이장술","-","Direct denture soft reline","50000","","","","","-"
"서울","치아질환 처치","임시 의치, 단순","-","Flipper (simple)","50000","","","","","-"
"서울","치아질환 처치","레진 가공 의치 (1치당)","-","Resin temporary crown","30000","","","","","-"
"서울","치아질환 처치","안면 체형","-","Face mask impression","200000","","","","","-"
"서울","치아질환 처치","치태조절 및 예방술식","-","plaque control","","10000","30000","","","-"
"서울","치아질환 처치","잇솔질 교습, 회당","-","T.B.I","30000","","","","","-"
"서울","치아질환 처치","치아 표백술","-","Teeth bleaching","","30000","50000","","","-"
"서울","치아질환 처치","유구치 가공 치관","-","S.S crown","150000","","","","","-"
"서울","치아질환 처치","모형 분석용 인상/1악당","-","Study impression/1악당","30000","","","","","-"
"서울","치아질환 처치","교합안정장치(1악당), 단순","-","Occlusal splint (1악당), simple","300000","","","","","-"
"서울","치아질환 처치","교합안정장치 관리","-","Occlusal splint 관리","30000","","","","","-"
"서울","치아질환 처치","불소 도포 (1악당)","-","Fluorid therapy (1악당)","100000","","","","","-"
"서울","치아질환 처치","Resin facing 수리 (1치당)","-","Resin facing repair (1치당)","50000","","","","","-"
"서울","치아질환 처치","구강 검사및 상담","-","Oral exam, consult.","30000","","","","","-"
"서울","치아질환 처치","치아 매식 진단료","-","Dx of implant","","50000","100000","","","-"
"서울","치아질환 처치","피.알.피","-","P.R.P.","100000","","","","","-"
"서울","치아질환 처치","치아지지 가철성 의치 클립 교환","-","Over denture clip 교환","50000","","","","","-"
"서울","치아질환 처치","치아지지 가철성 의치 오-링&이알에이 교환","-","Over denture O-ring & ERA 교환","50000","","","","","-"
"서울","치아질환 처치","치아지지 가철성 의치 자석체 교환","-","Over denture magnetic 교환","200000","","","","","-"
"서울","치아질환 처치","치아매식, 자석체 교환","-","Implant, magnetic change fee","300000","","","","","-"
"서울","치아질환 처치","치아매식, 지대체 교환","-","Implant, abutment change fee","300000","","","","","-"
"서울","치아질환 처치","치아매식, 코핑 스크류 교환","-","Implant, coping screw change fee","50000","","","","","-"
"서울","치아질환 처치","치아매식, 유씨엘에이 스크류 교환","-","Implant, UCLA screw change fee","100000","","","","","-"
"서울","치아질환 처치","치아매식 수리, 단순","-","implant repair, simple","","50000","100000","","","-"
"서울","치아질환 처치","치아매식, 임시 레진치","-","Implant, temporary resin Cr.","50000","50000","200000","","","-"
"서울","치아질환 처치","골 이식술","-","bone graft","","200000","1000000","","","-"
"서울","치아질환 처치","치면 열구 전색","-","Pit & fissure sealant","30000","","","","","-"
"서울","치아질환 처치","교정 월정비","-","Orthodontics, Morthly fee","60000","","","","","-"
"서울","치아질환 처치","Scaling 치석제거","-","Scaling 치석제거","80000","","","","","-"
"서울","치아질환 처치","Laser 충치예방치료(1치당)","-","Laser 충치예방치료(1치당)","10000","","","","","-"
"서울","치아질환 처치","Laser 미백치료(1치당)","-","Laser 미백치료(1치당)","50000","","","","","-"
"서울","치아질환 처치","구취측정검사","-","구취측정검사","30000","","","","","-"
"서울","치아질환 처치","기성금관","-","Sp cr","60000","","","","","-"
"서울","치아질환 처치","Cornus Denture(내관 & 외관)","-","Cornus Denture(내관 & 외관)","500000","","","","","-"
"서울","치아질환 처치","Milling 비","-","Milling 비","100000","","","","","-"
"서울","치아질환 처치","임플란트목적/상악동거상술,측방접근","-","임플란트목적/상악동거상술,측방접근","1000000","1000000","1500000","","","-"
"서울","치아질환 처치","레이져 솔더","-","Laser Solder","60000","","","","","-"
"서울","치아질환 처치","임플란트 주위염 치료","-","Peri implantitis treatment","100000","","","","","-"
"서울","치아질환 처치","임플란트 2차 수술","-","Implant  second surgery","","100000","500000","","","-"
"서울","치아질환 처치","치주 테스트(인공치아 개당)","-","Perio test(인공치아 개당)","50000","","","","","-"
"서울","치아질환 처치","서지컬 스텐트(수술용 스텐트)","-","Surgical stent,(임플란트)","","50000","100000","","","-"
"서울","치아질환 처치","임플란트목적 레이저치료","-","임플란트목적 레이저치료","100000","","","","","-"
"서울","치아질환 처치","임플란트목적/상악동거상술(편측)","-","임플란트목적/상악동거상술(편측)","300000","","","","","-"
"서울","치아질환 처치","임플란트목적/하치조측방전위술(편측)","-","임플란트목적/하치조측방전위술(편측)","1000000","","","","","-"
"서울","치아질환 처치","임플란트목적/하치조측방전위술(양측)","-","임플란트목적/하치조측방전위술(양측)","1500000","","","","","-"
"서울","치아질환 처치","악안면골재건정복술","-","MANDIBULAR RECONSTRUCTION","","1000000","5000000","","","-"
"서울","치아질환 처치","악안면기형안골교정술A","-","FIXED ORTHODONTIC TX A","","1000000","4000000","","","-"
"서울","치아질환 처치","골증대술","-","골증대술","500000","","","","","-"
"서울","치아질환 처치","보철 치료(CHECK UP)중","-","보철 치료(CHECK UP)중","10000","","","","","-"
"서울","치아질환 처치","치관노출술(1치당)SURGICAL UNCOVERING","-","SURGICAL UNCOVERING(1치당)치관노출술","100000","","","","","-"
"서울","치아질환 처치","보격장치(고정식)","-","보격장치(고정식)","50000","","","","","-"
"서울","치아질환 처치","보격장치(가철식)","-","보격장치(가철식)","100000","","","","","-"
"서울","치과보철료","ERA,1ea","-","ERA,1ea","280000","","","","","-"
"서울","치과보철료","F.D. Temporary","-","F.D. Temporary","500000","","","","","-"
"서울","치과보철료","F.D., resin plate,G (완전틀니-레진)","-","F.D., resin plate,G (완전틀니-레진)","800000","","","","","-"
"서울","치과보철료","Locator","-","Locator","500000","","","","","-"
"서울","치과보철료","Magnetic,1ea","-","Magnetic,1ea","350000","","","","","-"
"서울","치과보철료","Spark elosin","-","Spark elosin","160000","","","","","-"
"서울","치과보철료","가철성 국소의치, 고주파 비귀금속","-","R.P.D., electronic non-Prec.,G","1200000","","","","","-"
"서울","치과보철료","가철성 국소의치, 귀금속","-","R.P.D., Prec.,G","2500000","","","","","-"
"서울","치과보철료","가철성 국소의치, 비귀금속","-","R.P.D.,non-Prec.,G","1000000","","","","","-"
"서울","치과보철료","가철성 의치용 금속 교합면 인공치 (S-gold)","-","Atrficial gold crown for RD,G","200000","","","","","-"
"서울","치과보철료","교합안정장치, 복잡","-","Occlusal splint, complex,G","600000","","","","","-"
"서울","치과보철료","금주조관, 메리랜드, 귀금속","-","Crown, Maryland, Prec.,G","370000","","","","","-"
