"대분류","EDI코드","EDI명칭","원내코드","원내명칭","비용"
"행위료","-","-","HZNS00400","추간판내 고주파열 치료술","700000"
"행위료","-","-","HZEN00202","비변형 교정술 [중]","300000"
"행위료","-","-","HZEN00203","비변형 교정술 [소]","200000"
"행위료","-","-","HZEN00501","코골음성형술 [단순]","200000"
"행위료","-","-","HZEN00502","코골음성형술 [복잡]","400000"
"행위료","-","-","HZEN00900","코골이수술-고주파온열이용(Somnoplasty)","100000"
"행위료","-","-","HZEN00201","비변형 교정술 [대]","500000"
"행위료","-","-","HZUR01601","체외골반 자기장 치료(발기능,사정력강화,전림선동통)","30000"
"행위료","-","-","HZUR01603","체외골반자기장치료 [요실금] [1일당]","30000"
"행위료","-","-","HZUR01602","체외골반자기장치료(배뇨통및골반통증)","20000"
"행위료","-","-","HZUR00200","고환삽입술","500000"
"행위료","-","-","HZUR01801","포경수술(환상절개)","200000"
"행위료","-","-","HZUR01800","포경수술(배면절개)","150000"
"행위료","-","-","HZUR01300","정관절제술 [결찰술]","200000"
"행위료","-","-","HZOG00800","자궁내장치(IUD)삽입술","30000"
"행위료","-","-","HZOG00100","난관결찰술(양측)","300000"
"행위료","-","-","HZUR00801","음경보형물 삽입술 A","1000000"
"행위료","-","-","HZUR00502","음경 이물질 제거술 B","800000"
"행위료","-","-","HZUR00501","음경 이물질 제거술 A","500000"
"행위료","-","-","HZUR00503","음경 이물질 제거술 C","1000000"
"행위료","-","-","HZNS00500","경피적 경막외강 신경성형술","700000"
"행위료","-","-","HZOP01700","안구표면의 양막 이식술(재료대 별도산정)","250000"
"행위료","-","-","HZPS02103","모발이식술 [소]","300000"
"행위료","-","-","HZOP01301","쌍거풀수술(대)","300000"
"행위료","-","-","HZOP01302","쌍거풀수술(소)","250000"
"행위료","-","-","HZOP01200A","보톡스주입술(시술건당)(재활미용성형만처방)","100000"
"행위료","-","-","JU0239","우식-1면","80000"
"행위료","-","-","JU0240","우식-2면","80000"
"행위료","-","-","JU0241","우식-3면이상","80000"
"행위료","-","-","JM0081T","FIXED ORTHODONTIC TX D 악안면기형안골교정술 D","4000000"
"행위료","-","-","JM0077T","MANDIBULAR RECONSTRUCTION E 악안면골재건정복술 E","5000000"
"행위료","-","-","JM0080T","FIXED ORTHODONTIC TX C 악안면기형안골교정술 C","3000000"
"행위료","-","-","JM0079T","FIXED ORTHODONTIC TX B 악안면기형안골교정술 B","2000000"
"행위료","-","-","JM0078T","FIXED ORTHODONTIC TX A 악안면기형안골교정술 A","1000000"
"행위료","-","-","JM0073T","MANDIBULAR RECONSTRUCTION A 악안면골재건정복술 A","1000000"
"행위료","-","-","JM0082T","골증대술","500000"
"행위료","-","-","WZ00100","보호자식대 (일반식,1식)","6000"
"행위료","-","-","WZ00200","보호자식대 (공기밥 ,1개)","1000"
"행위료","-","-","JP0005M","Atrficial gold crown for RD, Mat [재료]","100000"
"행위료","-","-","JP0005T","Atrficial gold crown for RD, Tre [행위]","150000"
"행위료","-","-","JP0052M","Attachment, Magnetic, Mat [재료]","140000"
"행위료","-","-","JP0052T","Attachment, Magnetic, Tre [행위]","200000"
"행위료","-","-","JP0055M","Attachment, complex, Mat [재료]","220000"
"행위료","-","-","JP0055T","Attachment, complex, Tre [행위]","220000"
"행위료","-","-","JP0054M","Attachment, medium, Mat [재료]","150000"
"행위료","-","-","JP0054T","Attachment, medium, Tre [행위]","200000"
"행위료","-","-","JP0053M","Attachment, simple, Mat [재료]","150000"
"행위료","-","-","JP0053T","Attachment, simple, Tre [행위]","150000"
"행위료","-","-","JP0116M","CAD-CAM Ceramic crown, Mat [재료]","250000"
"행위료","-","-","JP0116T","CAD-CAM Ceramic crown, Tre [행위]","300000"
"행위료","-","-","JP0118M","CAD-CAM Ceramic crown,임플란트용(complex), Mat [재료]","400000"
"행위료","-","-","JP0118T","CAD-CAM Ceramic crown,임플란트용(complex), Tre [행위]","400000"
"행위료","-","-","JP0117M","CAD-CAM Ceramic crown,임플란트용(simple), Mat [재료]","350000"
"행위료","-","-","JP0117T","CAD-CAM Ceramic crown,임플란트용(simple), Tre [행위]","350000"
"행위료","-","-","JM0001T","Composite resin filling (light curing) 광중합 복합 레진 충전","80000"
"행위료","-","-","JM0052T","Cornus Denture [내관 & 외관]","500000"
"행위료","-","-","JP0120M","Crown, Gold - Pt,Mat(재료)","220000"
"행위료","-","-","JP0120T","Crown, Gold - Pt,Tre(행위)","240000"
"행위료","-","-","JP0013M","Crown, Laminate veneer, Mat [재료]","180000"
"행위료","-","-","JP0013T","Crown, Laminate veneer, Tre [행위]","220000"
"행위료","-","-","JP0015M","Crown, Maryland, Prec., Mat [재료]","140000"
"행위료","-","-","JP0015T","Crown, Maryland, Prec., Tre [행위]","230000"
"행위료","-","-","JP0014M","Crown, Maryland, non-Prec., Mat [재료]","110000"
"행위료","-","-","JP0014T","Crown, Maryland, non-Prec., Tre [행위]","180000"
"행위료","-","-","JP0004M","Crown, Metal, Mat [재료]","100000"
"행위료","-","-","JP0004T","Crown, Metal, Tre [행위]","150000"
"행위료","-","-","JP0008M","Crown, PFG, A, Mat [재료]","230000"
"행위료","-","-","JP0008T","Crown, PFG, A, Tre [행위]","290000"
"행위료","-","-","JP0009M","Crown, PFG, B, Mat [재료]","230000"
"행위료","-","-","JP0009T","Crown, PFG, B, Tre [행위]","220000"
"행위료","-","-","JP0006M","Crown, PFM, A, Mat [재료]","150000"
"행위료","-","-","JP0006T","Crown, PFM, A, Tre [행위]","220000"
"행위료","-","-","JP0007M","Crown, PFM, B, Mat [재료]","150000"
"행위료","-","-","JP0007T","Crown, PFM, B, Tre [행위]","200000"
"행위료","-","-","JP0003M","Crown, Palladium, Mat [재료]","160000"
"행위료","-","-","JP0003T","Crown, Palladium, Tre [행위]","190000"
"행위료","-","-","JP0121M","Crown, Super - Gold, Mat [재료]","200000"
"행위료","-","-","JP0121T","Crown, Super - Gold, Tre [행위]","220000"
"행위료","-","-","JP0012M","Crown, all ceramic, Mat [재료]","200000"
"행위료","-","-","JP0012T","Crown, all ceramic, Tre [행위]","270000"
"행위료","-","-","JP0011M","Crown, collarless PFG, Mat [재료]","260000"
"행위료","-","-","JP0011T","Crown, collarless PFG, Tre [행위]","260000"
"행위료","-","-","JP0010M","Crown, collarless PFM, Mat [재료]","150000"
"행위료","-","-","JP0010T","Crown, collarless PFM, Tre [행위]","230000"
"행위료","-","-","JP0050M","Definitive obturator, metal base, Mat [재료]","700000"
"행위료","-","-","JP0050T","Definitive obturator, metal base, Tre [행위]","800000"
"행위료","-","-","JM0009T","Denture repair, complex 의치수리, 복잡","100000"
"행위료","-","-","JM0008T","Denture repair, simple 의치수리, 단순","50000"
"행위료","-","-","JM0011T","Direct denture reline, complex 의치 직접 이장술, 복잡","150000"
"행위료","-","-","JM0010T","Direct denture reline, simple 의치 직접 이장술, 단순","100000"
"행위료","-","-","JM0012T","Direct denture soft reline 탄성 의치상 이장술","50000"
"행위료","-","-","JM0029T","Dx of implant, complex 치아 매식 진단료, 복잡","100000"
"행위료","-","-","JM0028T","Dx of implant, simple 치아 매식 진단료, 단순","50000"
"행위료","-","-","JP0111M","ERA,1ea, Mat [재료]","130000"
"행위료","-","-","JP0111T","ERA,1ea, Tre [행위]","150000"
"행위료","-","-","JK0012M","Endura resin, ant. Teeth, Mat 경질 레진 전치 [재료]","20000"
"행위료","-","-","JK0013M","Endura resin, post. Teeth, Mat 경질 레진 구치 [재료]","30000"
"행위료","-","-","JM0002T","Esthetic resin filling 심미 레진 충전 미용 목적 시술시 국비/감면 환자 공히 전액 본인부담","250000"
"행위료","-","-","JP0047M","F.D., Immediate, mesh, Mat [재료]","250000"
"행위료","-","-","JP0047T","F.D., Immediate, mesh, Tre [행위]","350000"
"행위료","-","-","JP0048M","F.D., Immediate, resin plate, Mat [재료]","200000"
"행위료","-","-","JP0048T","F.D., Immediate, resin plate, Tre [행위]","300000"
"행위료","-","-","JP0045M","F.D., Mesh or base metal, Mat [재료]","450000"
"행위료","-","-","JP0045T","F.D., Mesh or base metal, Tre [행위]","950000"
"행위료","-","-","JP0044M","F.D., Prec., base metal, Mat [재료]","900000"
"행위료","-","-","JP0044T","F.D., Prec., base metal, Tre [행위]","700000"
"행위료","-","-","JP0049M","F.D., Temporary, Mat [재료]","100000"
"행위료","-","-","JP0049T","F.D., Temporary, Tre [행위]","250000"
"행위료","-","-","JP0046M","F.D., resin plate, Mat [재료]","300000"
"행위료","-","-","JP0046T","F.D., resin plate, Tre [행위]","900000"
"행위료","-","-","JM0015T","Face mask impression 안면 체형","200000"
"행위료","-","-","JP0062M","Flexible denture [재료]","300000"
"행위료","-","-","JP0062T","Flexible denture [행위]","600000"
"행위료","-","-","JP0042T","Flipper, complex,","100000"
"행위료","-","-","JP0042M","Flipper, complex, Mat [재료]","50000"
"행위료","-","-","JM0013T","Flipper, simple 임시 의치, 단순","50000"
"행위료","-","-","JM0025T","Fluorid therapy [1악당] 불소 도포 [1악당] 예방목적시술 국비/감면 환자 공히 감면부담","100000"
"행위료","-","-","JP0110M","Implant crown, A-gold, Mat [재료]","250000"
"행위료","-","-","JP0110T","Implant crown, A-gold, Tre [행위]","320000"
"행위료","-","-","JP0074M","Implant crown, PFG, Mat [재료]","400000"
"행위료","-","-","JP0074T","Implant crown, PFG, Tre [행위]","400000"
"행위료","-","-","JP0074G","Implant crown, PFG,G","800000"
"행위료","-","-","JP0075M","Implant crown, PFM, Mat [재료]","270000"
"행위료","-","-","JP0075T","Implant crown, PFM, Tre [행위]","330000"
"행위료","-","-","JP0072M","Implant crown, Pt-gold, Mat [재료]","320000"
"행위료","-","-","JP0072T","Implant crown, Pt-gold, Tre [행위]","340000"
"행위료","-","-","JP0072G","Implant crown, Pt-gold,G","660000"
"행위료","-","-","JP0073M","Implant crown, Super-gold, Mat [재료]","300000"
"행위료","-","-","JP0073T","Implant crown, Super-gold, Tre [행위]","320000"
"행위료","-","-","JP0073G","Implant crown, Super-gold,G","620000"
"행위료","-","-","JP0077M","Implant overdenture, complex, Mat [재료]","800000"
"행위료","-","-","JP0077T","Implant overdenture, complex, Tre [행위]","1000000"
"행위료","-","-","JP0076M","Implant overdenture, simple, Mat [재료]","700000"
"행위료","-","-","JP0076T","Implant overdenture, simple, Tre [행위]","800000"
"행위료","-","-","JM0060T","Implant second surgery, Complex [경조직] 임플란트 2차 수술, 복잡 [경조직]","500000"
"행위료","-","-","JM0059T","Implant second surgery, Complex [연조직] 임플란트 2차 수술, 복잡 [연조직]","300000"
"행위료","-","-","JM0058T","Implant second surgery,Simple 임플란트 2차 수술, 간단","100000"
"행위료","-","-","JK0008M","Implant, Cr. Remake fee, A, Mat 인공치매식, 크라운 재제작비, A [재료]","100000"
"행위료","-","-","JK0009M","Implant, Cr. Remake fee, B, Mat 인공치매식, 크라운 재제작비, B [재료]","200000"
"행위료","-","-","JP0078M","Implant, Hybrid denture, Mat [재료]","1300000"
"행위료","-","-","JP0078T","Implant, Hybrid denture, Tre [행위]","1200000"
"행위료","-","-","JP0096M","Implant, Hybrid denture,Titanium,Fixture 4ea, Mat [재료]","650000"
"행위료","-","-","JP0096T","Implant, Hybrid denture,Titanium,Fixture 4ea, Tre [행위]","850000"
"행위료","-","-","JP0097M","Implant, Hybrid denture,Titanium,Fixture 5ea, Mat [재료]","850000"
"행위료","-","-","JP0097T","Implant, Hybrid denture,Titanium,Fixture 5ea, Tre [행위]","950000"
"행위료","-","-","JP0098M","Implant, Hybrid denture,Titanium,Fixture 6ea, Mat [재료]","1000000"
"행위료","-","-","JP0098T","Implant, Hybrid denture,Titanium,Fixture 6ea, Tre [행위]","1100000"
"행위료","-","-","JP0086M","Implant, MDI, Mat [재료]","220000"
"행위료","-","-","JP0086T","Implant, MDI, Tre [행위]","240000"
"행위료","-","-","JK0003M","Implant, Magnetic change, Mat 인공치매식, 자석 교환 [재료]","200000"
"행위료","-","-","JP0084M","Implant, Magnetic, Mat [재료]","200000"
"행위료","-","-","JP0084T","Implant, Magnetic, Tre [행위]","300000"
"행위료","-","-","JP0085M","Implant, O-ring, E.R.A., Mat [재료]","220000"
"행위료","-","-","JP0085T","Implant, O-ring, E.R.A., Tre [행위]","230000"
"행위료","-","-","JP0087M","Implant, Tem. MDI, Mat [재료]","110000"
"행위료","-","-","JP0087T","Implant, Tem. MDI, Tre [행위]","120000"
"행위료","-","-","JM0038T","Implant, UCLA screw change fee 치아매식, 유씨엘에이 스크류 교환","100000"
"행위료","-","-","JK0007M","Implant, UCLA screw change, Mat 인공치매식, 유씨엘에이 스크류 교환 [재료]","50000"
"행위료","-","-","JM0036T","Implant, abutment change fee 치아매식, 지대체 교환","300000"
"행위료","-","-","JK0004M","Implant, abutment change, A, Mat 인공치매식, 지대치 교환, A [재료]","200000"
"행위료","-","-","JK0005M","Implant, abutment change, B, Mat 인공치매식, 지대치 교환, B [재료]","400000"
"행위료","-","-","JP0071M","Implant, complex, Mat [재료]","650000"
"행위료","-","-","JP0092M","Implant, complex, Mat [재료]","800000"
"행위료","-","-","JP0092T","Implant, complex, Tre [행위]","700000"
"행위료","-","-","JP0071T","Implant, complex, Tre [행위]","800000"
"행위료","-","-","JM0037T","Implant, coping screw change fee 치아매식, 코핑 스크류 교환","50000"
"행위료","-","-","JK0006M","Implant, coping screw change, Mat 인공치매식, 코핑 스크류 교환 [재료]","30000"
"행위료","-","-","JP0081M","Implant, hader bar(추가), Mat 매식술, 헤더바(추가) [재료]","200000"
"행위료","-","-","JP0080M","Implant, hader bar, Mat [재료]","550000"
"행위료","-","-","JP0080T","Implant, hader bar, Tre [행위]","600000"
"행위료","-","-","JP0099M","Implant, hader bar,Fixture 2ea, Mat [재료]","550000"
"행위료","-","-","JP0099T","Implant, hader bar,Fixture 2ea, Tre [행위]","650000"
"행위료","-","-","JP0100M","Implant, hader bar,Fixture 3ea, Mat [재료]","700000"
"행위료","-","-","JP0100T","Implant, hader bar,Fixture 3ea, Tre [행위]","800000"
"행위료","-","-","JP0101M","Implant, hader bar,Fixture 4ea, Mat [재료]","850000"
"행위료","-","-","JP0101T","Implant, hader bar,Fixture 4ea, Tre [행위]","950000"
"행위료","-","-","JM0035T","Implant, magnetic change fee 치아매식, 자석체 교환","300000"
"행위료","-","-","JP0102M","Implant, milled bar, Gold,Fixture 3ea, Mat [재료]","650000"
"행위료","-","-","JP0102T","Implant, milled bar, Gold,Fixture 3ea, Tre [행위]","850000"
"행위료","-","-","JP0103M","Implant, milled bar, Gold,Fixture 4ea, Mat [재료]","850000"
"행위료","-","-","JP0103T","Implant, milled bar, Gold,Fixture 4ea, Tre [행위]","1050000"
"행위료","-","-","JP0104M","Implant, milled bar, Gold,Fixture 5ea, Mat [재료]","1050000"
"행위료","-","-","JP0104T","Implant, milled bar, Gold,Fixture 5ea, Tre [행위]","1250000"
"행위료","-","-","JP0105M","Implant, milled bar, Gold,Fixture 6ea, Mat [재료]","1250000"
"행위료","-","-","JP0105T","Implant, milled bar, Gold,Fixture 6ea, Tre [행위]","1450000"
"행위료","-","-","JP0106M","Implant, milled bar,Titanium,Fixture 3 [재료]","450000"
"행위료","-","-","JP0106T","Implant, milled bar,Titanium,Fixture 3ea, Tre [행위]","750000"
"행위료","-","-","JP0107M","Implant, milled bar,Titanium,Fixture 4ea, Mat [재료]","600000"
"행위료","-","-","JP0107T","Implant, milled bar,Titanium,Fixture 4ea, Tre [행위]","800000"
"행위료","-","-","JP0108M","Implant, milled bar,Titanium,Fixture 5ea, Mat [재료]","700000"
"행위료","-","-","JP0108T","Implant, milled bar,Titanium,Fixture 5ea, Tre [행위]","900000"
"행위료","-","-","JP0109M","Implant, milled bar,Titanium,Fixture 6ea, Mat [재료]","800000"
"행위료","-","-","JP0109T","Implant, milled bar,Titanium,Fixture 6ea, Tre [행위]","1000000"
"행위료","-","-","JP0070M","Implant, simple, Mat [재료]","600000"
"행위료","-","-","JP0070T","Implant, simple, Tre [행위]","750000"
"행위료","-","-","JM0042T","Implant, temporary resin Cr., complex 치아매식, 임시 레진치, 복잡","200000"
"행위료","-","-","JM0041T","Implant, temporary resin Cr., simple 치아매식, 임시 레진치, 단순","50000"
"행위료","-","-","JP0088M","Implant, 국산, Mat [재료]","320000"
"행위료","-","-","JP0088T","Implant,국산, Tre [행위]","680000"
"행위료","-","-","JP0088G","Implant,국산,G","1000000"
"행위료","-","-","JP0019M","Inlay, Por. or resin, complex, Mat [재료]","120000"
"행위료","-","-","JP0019T","Inlay, Por. or resin, complex, Tre [행위]","160000"
"행위료","-","-","JP0018M","Inlay, Por. or resin, simple,Mat [재료]","120000"
"행위료","-","-","JP0018T","Inlay, Por. or resin, simple,Tre [행위]","150000"
"행위료","-","-","JP0017M","Inlay, Prec. Gold complex, Mat [재료]","140000"
"행위료","-","-","JP0017T","Inlay, Prec. Gold complex, Tre [행위]","210000"
"행위료","-","-","JP0016M","Inlay, Prec. Gold simple, Mat [재료]","140000"
"행위료","-","-","JP0016T","Inlay, Prec. Gold simple, Tre [행위]","160000"
"행위료","-","-","JP0051M","Interrim or immediate obturator, Mat [재료]","170000"
"행위료","-","-","JP0051T","Interrim or immediate obturator, Tre [행위]","230000"
"행위료","-","-","JP0060M","Konus Teles. crown, inner&outer,PFG, Mat [재료]","330000"
"행위료","-","-","JP0060T","Konus Teles. crown, inner&outer,PFG, Tre [행위]","320000"
"행위료","-","-","JP0059M","Konus Teles. crown, inner&outer,PFM, Mat [재료]","220000"
"행위료","-","-","JP0059T","Konus Teles. crown, inner&outer,PFM, Tre [행위]","330000"
"행위료","-","-","JP0056M","Konus Teles. crown, inner&outer,PT.G., Mat [재료]","350000"
"행위료","-","-","JP0056T","Konus Teles. crown, inner&outer,PT.G., Tre [행위]","350000"
"행위료","-","-","JP0058M","Konus Teles. crown, inner&outer,Palladium, Mat [재료]","220000"
"행위료","-","-","JP0058T","Konus Teles. crown, inner&outer,Palladium, Tre [행위]","280000"
"행위료","-","-","JP0057M","Konus Teles. crown, inner&outer,Super G., Mat [재료]","320000"
"행위료","-","-","JP0057T","Konus Teles. crown, inner&outer,Super G., Tre [행위]","280000"
"행위료","-","-","JK0014M","Konus Telescopic Milling fee 코너스 텔레스코픽 크라운 밀링 기공비 [재료]","100000"
"행위료","-","-","JM0056T","Laser Solder 레이져 솔더","60000"
"행위료","-","-","JM0049T","Laser 미백치료 [1치당] 미용목적 국비/감면 환자 공히 본인부담","50000"
"행위료","-","-","JM0048T","Laser 충치예방치료 [1치당] 예방 목적시술 국비/감면 환자 공히 감면 부담","10000"
"행위료","-","-","JM0003T","Light curing G.I filling 광중합 G.I 충전","80000"
"행위료","-","-","JP0063M","Locator, Mat [재료]","250000"
"행위료","-","-","JP0113M","Locator, Mat [재료]","200000"
"행위료","-","-","JP0063T","Locator, Tre [행위]","250000"
"행위료","-","-","JP0113T","Locator, Tre [행위]","200000"
"행위료","-","-","JM0074T","MANDIBULAR RECONSTRUCTION B 악안면골재건정복술 B","2000000"
"행위료","-","-","JM0075T","MANDIBULAR RECONSTRUCTION C 악안면골재건정복술 C","3000000"
"행위료","-","-","JM0076T","MANDIBULAR RECONSTRUCTION D 악안면골재건정복술 D","4000000"
"행위료","-","-","JP0112M","Magnetic,1ea, Mat [재료]","170000"
"행위료","-","-","JP0112T","Magnetic,1ea, Tre [행위]","180000"
"행위료","-","-","JM0053T","Milling 비","100000"
"행위료","-","-","JK0017M","Novel Guide [Finished Surgical Template 1-4 Implants] 노벨가이드 [서지컬 템플레이트,임플란트4개이하]","1000000"
"행위료","-","-","JK0016M","Novel Guide [Finished Surgical Template 5 Implants and more] 노벨가이드 [서지컬템플레이트,임플란트5개이상]","1500000"
"행위료","-","-","JM0024T","Occlusal splint 관리 교합안정장치 관리","30000"
"행위료","-","-","JP0043M","Occlusal splint, complex, Mat [재료]","200000"
"행위료","-","-","JP0043T","Occlusal splint, complex, Tre [행위]","400000"
"행위료","-","-","JM0023T","Occlusal splint, simple [1악당] 교합안정장치, 단순 [1악당]","300000"
"행위료","-","-","JM0027T","Oral exam, consult. 구강 검사 및 상담 치료기간중 1회산정","30000"
"행위료","-","-","JM0046T","Orthodontics, Morthly fee 교정 월정비","60000"
"행위료","-","-","JP0069M","Orthodontics, fixed type, comp., Mat [재료]","500000"
"행위료","-","-","JP0069T","Orthodontics, fixed type, comp., Tre [행위]","1000000"
"행위료","-","-","JP0068M","Orthodontics, fixed type, med., Mat [재료]","300000"
"행위료","-","-","JP0068T","Orthodontics, fixed type, med., Tre [행위]","500000"
"행위료","-","-","JP0067M","Orthodontics, fixed type, simp., Mat [재료]","180000"
"행위료","-","-","JP0067T","Orthodontics, fixed type, simp., Tre [행위]","200000"
"행위료","-","-","JM0033T","Over denture O-ring & ERA 교환 치아지지 가철성 의치 오-링&이알에이 교환","50000"
"행위료","-","-","JM0032T","Over denture clip 교환 치아지지 가철성 의치 클립 교환","50000"
"행위료","-","-","JM0034T","Over denture magnetic 교환 치아지지 가철성 의치 자석체 교환","200000"
"행위료","-","-","JK0011M","Overdenture O-ring change, Mat 오버덴쳐 오-링 교환 [재료]","20000"
"행위료","-","-","JK0010M","Overdenture clip change, Mat 오버덴쳐 클립 교환 [재료]","10000"
"행위료","-","-","JM0005T","P.F.M repair, complex 포세린관 수리, 복잡","200000"
"행위료","-","-","JM0004T","P.F.M repair, simple 포세린관 수리, 단순","100000"
"행위료","-","-","JM0031T","P.R.P . 피.알.피","100000"
"행위료","-","-","JM0057T","Peri implantitis treatment 임플란트 주위염 치료 주: 임플란트 1차 및 2차 수술 기간중 발생된 염증 치료는 별도 산정하지 않는다.","100000"
"행위료","-","-","JM0061T","Perio test [인공치아 개당] 치주 테스트 [인공치아 개당]","50000"
"행위료","-","-","JM0007T","Pin 핀","10000"
"행위료","-","-","JM0045T","Pit & fissure sealant 치면 열구 전색","30000"
"행위료","-","-","JP0022M","Post&Core, Para, Mat [재료]","50000"
"행위료","-","-","JP0022T","Post&Core, Para, Tre [행위]","130000"
"행위료","-","-","JP0023M","Post&Core, glassfiber, Mat [재료]","80000"
"행위료","-","-","JP0023T","Post&Core, glassfiber, Tre [행위]","140000"
"행위료","-","-","JP0021M","Post&Core, gold complex, Mat [재료]","120000"
"행위료","-","-","JP0021T","Post&Core, gold complex, Tre [행위]","140000"
"행위료","-","-","JP0020M","Post&Core, gold simple, Mat [재료]","90000"
"행위료","-","-","JP0020T","Post&Core, gold simple, Tre [행위]","140000"
"행위료","-","-","JK0015M","Pressure Injection Resin System [재료]","100000"
"행위료","-","-","JK0001M","R.D, Attachment Change, Mat 가철성 의치 어테치먼트 교환 [재료]","150000"
"행위료","-","-","JK0002M","R.D, Magnetic change, Mat 가철성 의치, 자석 교환 [재료]","150000"
"행위료","-","-","JP0037M","R.P.D., Attachment, complex, Mat [재료]","500000"
"행위료","-","-","JP0037T","R.P.D., Attachment, complex, Tre [행위]","1100000"
"행위료","-","-","JP0036M","R.P.D., Attachment, simple, Mat [재료]","400000"
"행위료","-","-","JP0036T","R.P.D., Attachment, simple, Tre [행위]","1000000"
"행위료","-","-","JP0028M","R.P.D., Half, non-Prec. Elect., Mat [재료]","250000"
"행위료","-","-","JP0028T","R.P.D., Half, non-Prec. Elect., Tre [행위]","450000"
"행위료","-","-","JP0029M","R.P.D., Half, non-Prec., Mat [재료]","170000"
"행위료","-","-","JP0029T","R.P.D., Half, non-Prec., Tre [행위]","430000"
"행위료","-","-","JP0035M","R.P.D., Overdenture, complex, Mat [재료]","700000"
"행위료","-","-","JP0035T","R.P.D., Overdenture, complex, Tre [행위]","1100000"
"행위료","-","-","JP0034M","R.P.D., Overdenture, simple, Mat [재료]","500000"
"행위료","-","-","JP0034T","R.P.D., Overdenture, simple, Tre [행위]","1100000"
"행위료","-","-","JP0039M","R.P.D., Telescopic, complex, Mat [재료]","550000"
"행위료","-","-","JP0039T","R.P.D., Telescopic, complex, Tre [행위]","550000"
"행위료","-","-","JP0038M","R.P.D., Telescopic, simple, Mat [재료]","350000"
"행위료","-","-","JP0038T","R.P.D., Telescopic, simple, Tre [행위]","530000"
"행위료","-","-","JP0033M","R.P.D., Temporary, Mat [재료]","150000"
"행위료","-","-","JP0033T","R.P.D., Temporary, Tre [행위]","280000"
"행위료","-","-","JP0032M","R.P.D., electronic non-Prec., Mat [재료]","400000"
"행위료","-","-","JP0032T","R.P.D., electronic non-Prec., Tre [행위]","1000000"
"행위료","-","-","JP0031M","R.P.D.,non-Prec., Mat [재료]","400000"
"행위료","-","-","JP0031T","R.P.D.,non-Prec., Tre [행위]","800000"
"행위료","-","-","JP0041M","Rebase, indirect, complex, Mat [재료]","100000"
"행위료","-","-","JP0041T","Rebase, indirect, complex, Tre [행위]","200000"
"행위료","-","-","JP0040M","Rebase, indirect, simple, Mat [재료]","50000"
"행위료","-","-","JP0040T","Rebase, indirect, simple, Tre [행위]","140000"
"행위료","-","-","JM0026T","Resin facing repair [1치당] Resin facing 수리 [1치당]","50000"
"행위료","-","-","JM0014T","Resin temporary crown 레진 가공 의치 [1치당]","30000"
"행위료","-","-","JM0021T","S.S crown 유구치 가공 치관","150000"
"행위료","-","-","JM0084T","SURGICAL UNCOVERING [1치당] 치관노출술 [1치당]","100000"
"행위료","-","-","JM0047T","Scaling 치석제거","80000"
"행위료","-","-","JM0006T","Screw post 나선형 합정","70000"
"행위료","-","-","JP0061M","Semirigid joint, Mat [재료]","70000"
"행위료","-","-","JP0061T","Semirigid joint, Tre [행위]","80000"
"행위료","-","-","JM0051T","Sp cr 기성금관","60000"
"행위료","-","-","JP0114M","Spark elosin, Mat [재료]","60000"
"행위료","-","-","JP0114T","Spark elosin, Tre [행위]","100000"
"행위료","-","-","JM0022T","Study impression [1악당] 모형 분석용 인상 [1악당]","30000"
"행위료","-","-","JM0062T","Surgical stent, 단순 [임플란트3개이하] 서지컬 스텐트(수술용 스텐트), 단순 [임플란트3개이하]","50000"
"행위료","-","-","JM0063T","Surgical stent, 복잡 [임플란트4개이상] 서지컬 스텐트(수술용 스텐트), 복잡 [임플란트4개이상]","100000"
"행위료","-","-","JM0018T","T.B.I 잇솔질 교습 [회당] 예방목적시술 1인 1회(평생) 국비대상자 국비 산정(감면 환자는 최?/td&gt;","30000"
"행위료","-","-","JM0020T","Teeth bleaching, complex 치아 표백술, 복잡 미용 목적시술 국비/감면 환자 공히 전액 본인부담","50000"
"행위료","-","-","JM0019T","Teeth bleaching, simple 치아 표백술, 단순 미용 목적시술 국비/감면 환자 공히 전액 본인부담","30000"
"행위료","-","-","JM0044T","bone graft, complex 골 이식술, 복잡","1000000"
"행위료","-","-","JM0043T","bone graft, simple 골 이식술, 단순","200000"
"행위료","-","-","JM0040T","implant repair, complex 치아매식 수리, 복잡","100000"
"행위료","-","-","JM0039T","implant repair, simple 치아매식 수리, 단순","50000"
"행위료","-","-","JM0017T","plaque control, complex 치태조절 및 예방술식, 복잡","30000"
"행위료","-","-","JM0016T","plaque control,simple 치태조절 및 예방술식, 단순","10000"
"행위료","-","-","JP0120G","골드크라운(금니)","460000"
"행위료","-","-","JP0121G","골드크라운(금니)","420000"
"행위료","-","-","JM0050T","구취측정 검사 구취 측정기 사용 측정시 적용, 치료기간중 1회 산정","30000"
"행위료","-","-","JM0086T","보격장치 [가철식]","100000"
"행위료","-","-","JM0085T","보격장치 [고정식]","50000"
"행위료","-","-","JM0083T","보철 치료(CHECK UP)중 주: 보철 장착 당일에는 산정하지 않는다.","10000"
"행위료","-","-","JM0064T","임플란트목적 레이저치료","100000"
"행위료","-","-","JM0065T","임플란트목적 상악동거상술 [편측]","300000"
"행위료","-","-","JM0054T","임플란트목적 상악동거상술,측방접근 [단순]","1000000"
"행위료","-","-","JM0055T","임플란트목적 상악동거상술,측방접근 [복잡]","1500000"
