"구분","코드","명 ","국비","사비","계"
"질병","H830"," 미로염 ","","1","1"
"질병","H831"," 미로루 ","3","","3"
"질병","H838"," 내이의 기타 명시된 장애 ","1","1","2"
"질병","H901"," 한쪽 전음성 청력소실, 반대편 청력은 정상 ","2","1","3"
"질병","H902"," 상세불명의 전음성 청력소실 ","1","","1"
"질병","H903"," 양쪽 감각신경성 청력소실 ","108","75","183"
"질병","H904"," 한쪽 감각신경성 청력소실, 반대편 청력은 정상 ","10","5","15"
"질병","H905"," 상세불명의 감각신경성 청력소실 ","7","5","12"
"질병","H906"," 전음성 및 감각신경성이 혼합된 양쪽 청력소실 ","3","2","5"
"질병","H907"," 전음성 및 감각신경성이 혼합된 한쪽 청력소실, 반대편 청력은 정상 ","4","2","6"
"질병","H9110"," 노년난청, 한쪽 ","1","","1"
"질병","H9111"," 노년난청, 양쪽 ","2","3","5"
"질병","H9119"," 노년난청, 상세불명 쪽 ","","1","1"
"질병","H9120"," 돌발성 특발성 청력소실, 한쪽 ","14","19","33"
"질병","H9180"," 기타 명시된 청력소실, 한쪽 ","1","","1"
"질병","H9190"," 상세불명의 청력소실, 한쪽 ","","1","1"
"질병","H9191"," 상세불명의 청력소실, 양쪽 ","1","1","2"
"질병","H920"," 귀통증 ","4","","4"
"질병","H931"," 이명 ","14","11","25"
"질병","H932"," 기타 청각의 이상 ","1","1","2"
"질병","H938"," 귀의 기타 명시된 장애 ","","1","1"
"질병","H940"," 달리 분류된 감염성 및 기생충성 질환에서의 청신경염 ","1","1","2"
"질병","H950"," 유돌절제후공동의 재발성 진주종 ","3","3","6"
"질병","I019"," 상세불명의 급성 류마티스심장병 ","1","","1"
"질병","I060"," 류마티스성 대동맥판협착 ","","1","1"
"질병","I062"," 기능부전이 있는 류마티스성 대동맥판협착 ","1","","1"
"질병","I071"," 삼첨판기능부전 ","5","","5"
"질병","I080"," 승모판 및 대동맥판의 장애 ","1","","1"
"질병","I081"," 승모판 및 삼첨판의 장애 ","5","2","7"
"질병","I082"," 대동맥판 및 삼첨판의 장애 ","2","","2"
"질병","I109"," 기타 및 상세불명의 원발성 고혈압 ","6612","4,936","11548"
"질병","I119"," (울혈성) 심부전이 없는 고혈압성 심장병 ","1","1","2"
"질병","I120"," 신부전을 동반한 고혈압성 신장병 ","2","","2"
"질병","I132"," (울혈성) 심부전 및 신부전을 동반한 고혈압성 심장 및 신장병 ","2","1","3"
"질병","I150"," 신장혈관성 고혈압 ","1","","1"
"질병","I1520"," 부신종양에 의한 고알도스테론증 ","1","","1"
"질병","I200"," 불안정협심증 ","70","43","113"
"질병","I201"," 연축의 기재가 있는 협심증 ","8","10","18"
"질병","I2080"," 비정형협심증 ","2","3","5"
"질병","I2088"," 기타 형태의 협심증 ","81","35","116"
"질병","I209"," 상세불명의 협심증 ","110","31","141"
"질병","I210"," 전벽의 급성 전층심근경색증 ","1","6","7"
"질병","I211"," 하벽의 급성 전층심근경색증 ","3","2","5"
"질병","I213"," 상세불명 부위의 급성 전층심근경색증 ","1","4","5"
"질병","I214"," 급성 심내막하심근경색증 ","71","49","120"
"질병","I219"," 상세불명의 급성 심근경색증 ","10","5","15"
"질병","I238"," 급성 심근경색증 후 기타 현존 합병증 ","1","","1"
"질병","I240"," 심근경색증을 유발하지 않은 관상동맥혈전증 ","","2","2"
"질병","I249"," 상세불명의 급성 허혈심장병 ","","2","2"
"질병","I250"," 죽상경화성 심혈관질환으로 기술된 것 ","1","","1"
"질병","I251"," 죽상경화성 심장병 ","490","241","731"
"질병","I252"," 오래된 심근경색증 ","1","2","3"
"질병","I254"," 관상동맥류 및 박리 ","2","","2"
"질병","I255"," 허혈심근병증 ","17","7","24"
"질병","I256"," 무증상성 심근허혈 ","2","","2"
"질병","I258"," 기타 형태의 만성 허혈심장병 ","1","","1"
"질병","I259"," 상세불명의 만성 허혈심장병 ","27","16","43"
"질병","I260"," 급성 폐심장증에 대한 언급이 있는 폐색전증 ","1","2","3"
"질병","I269"," 급성 폐심장증에 대한 언급이 없는 폐색전증 ","23","30","53"
"질병","I270"," 원발성 폐동맥고혈압 ","1","","1"
"질병","I272"," 기타 이차성 폐동맥고혈압 ","23","20","43"
"질병","I279"," 상세불명의 폐성 심장병 ","","1","1"
"질병","I309"," 상세불명의 급성 심장막염 ","1","2","3"
"질병","I311"," 만성 협착성 심장막염 ","2","1","3"
"질병","I312"," 달리 분류되지 않은 혈심낭 ","","1","1"
"질병","I313"," 심낭삼출액(비염증성) ","27","14","41"
"질병","I318"," 심장막의 기타 명시된 질환 ","1","","1"
"질병","I319"," 심장막의 상세불명의 질환 ","1","","1"
"질병","I320"," 달리 분류된 세균성 질환에서의 심장막염 ","1","","1"
"질병","I330"," 급성 및 아급성 감염성 심내막염 ","4","","4"
"질병","I340"," 승모판기능부전 ","8","10","18"
"질병","I341"," 승모판탈출 ","1","4","5"
"질병","I342"," 비류마티스성 승모판협착 ","1","2","3"
"질병","I348"," 기타 비류마티스성 승모판장애 ","","1","1"
"질병","I350"," 대동맥판협착 ","63","29","92"
"질병","I351"," 대동맥판기능부전 ","7","6","13"
"질병","I352"," 기능부전을 동반한 대동맥판협착 ","5","","5"
"질병","I358"," 기타 대동맥판장애 ","1","2","3"
"질병","I360"," 비류마티스성 삼첨판협착 ","","1","1"
"질병","I361"," 비류마티스성 삼첨판기능부전 ","11","11","22"
"질병","I362"," 기능부전을 동반한 비류마티스성 삼첨판협착 ","","1","1"
"질병","I400"," 감염성 심근염 ","1","","1"
"질병","I420"," 확장성 심근병증 ","12","7","19"
"질병","I4220"," 비폐색성 비대성 심근병증 ","2","1","3"
"질병","I4221"," 심첨부 비대성 심근병증 ","1","2","3"
"질병","I4228"," 기타 비대성 심근병증 ","","1","1"
"질병","I427"," 약물 및 기타 외부요인에 의한 심근병증 ","","1","1"
"질병","I4280"," 부정맥 유발성 심실 심근병증 ","2","1","3"
"질병","I4288"," 기타 심근병증 ","13","14","27"
"질병","I429"," 상세불명의 심근병증 ","","1","1"
"질병","I431"," 대사질환에서의 심근병증 ","","1","1"
"질병","I438"," 달리 분류된 기타 질환에서의 심근병증 ","","1","1"
"질병","I440"," 방실차단, 1도 ","3","1","4"
"질병","I441"," 방실차단, 2도 ","5","3","8"
"질병","I442"," 완전방실차단 ","19","26","45"
"질병","I443"," 기타 및 상세불명의 심방실차단 ","","1","1"
"질병","I447"," 상세불명의 좌각차단 ","2","","2"
"질병","I455"," 기타 명시된 심장차단 ","1","","1"
"질병","I456"," 조기흥분증후군 ","","1","1"
"질병","I460"," 인공소생에 성공한 심장정지 ","12","16","28"
"질병","I469"," 상세불명의 심장정지 ","","1","1"
"질병","I471"," 상심실성 빈맥 ","23","10","33"
"질병","I472"," 심실성 빈맥  ","11","4","15"
"질병","I479"," 상세불명의 발작성 빈맥 ","","1","1"
"질병","I480"," 발작성 심방세동 ","59","66","125"
"질병","I481"," 지속성 심방세동 ","19","22","41"
"질병","I482"," 만성 심방세동 ","5","","5"
"질병","I483"," 전형적 심방조동 ","7","13","20"
"질병","I484"," 비전형심방조동 ","6","4","10"
"질병","I489"," 상세불명의 심방세동 및 심방조동 ","","1","1"
"질병","I4890"," 상세불명의 심방세동 ","279","228","507"
"질병","I4891"," 상세불명의 심장조동 ","12","16","28"
"질병","I490"," 심실세동 및 조동 ","4","3","7"
"질병","I491"," 심방조기탈분극 ","1","","1"
"질병","I493"," 심실조기탈분극 ","3","1","4"
"질병","I495"," 동기능부전증후군 ","12","20","32"
"질병","I499"," 상세불명의 심장부정맥 ","3","8","11"
"질병","I500"," 울혈성 심부전 ","","1","1"
"질병","I5003"," 우심부전 ","","1","1"
"질병","I5004"," 수축기능부전을 동반한 울혈성 심부전 ","125","96","221"
"질병","I5005"," 수축기능이 정상인 울혈성 심부전 ","84","88","172"
"질병","I5008"," 기타 및 상세불명의 울혈성 심부전 ","39","23","62"
"질병","I501"," 좌심실부전 ","60","48","108"
"질병","I509"," 상세불명의 심부전 ","1","5","6"
"질병","I511"," 달리 분류되지 않은 건삭파열 ","","1","1"
"질병","I513"," 달리 분류되지 않은 심장내혈전증 ","1","","1"
"질병","I517"," 심장비대 ","","1","1"
"질병","I601"," 중대뇌동맥에서 기원한 거미막하출혈 ","","3","3"
"질병","I602"," 전교통동맥에서 기원한 거미막하출혈 ","","1","1"
"질병","I603"," 후교통동맥에서 기원한 거미막하출혈 ","","1","1"
"질병","I606"," 기타 두개내동맥의 거미막하출혈 ","","1","1"
"질병","I607"," 상세불명의 두개내동맥의 거미막하출혈 ","","2","2"
"질병","I609"," 상세불명의 거미막하출혈 ","7","5","12"
"질병","I610"," 대뇌반구 피질하의 뇌내출혈 ","5","6","11"
"질병","I611"," 대뇌반구 피질의 뇌내출혈 ","4","4","8"
"질병","I612"," 상세불명 대뇌반구의 뇌내출혈 ","1","","1"
"질병","I613"," 뇌간의 뇌내출혈 ","2","2","4"
"질병","I614"," 소뇌의 뇌내출혈 ","3","2","5"
"질병","I615"," 뇌실내 뇌내출혈 ","6","10","16"
"질병","I616"," 다발 부위에 국한된 뇌내출혈 ","2","2","4"
"질병","I619"," 상세불명의 뇌내출혈 ","10","7",""
"질병","I620"," 비외상성 경막하출혈 ","12","6",""
"질병","I629"," 상세불명의 두개내출혈(비외상성) ","7","8",""
"질병","I6301"," 기저동맥의 혈전증에 의한 뇌경색증 ","1","",""
"질병","I6302"," 경동맥의 혈전증에 의한 뇌경색증 ","2","",""
"질병","I6320"," 척추동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증 ","1","",""
"질병","I6321"," 기저동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증 ","1","",""
"질병","I6322"," 경동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증 ","4","2",""
"질병","I6341"," 전대뇌동맥의 색전증에 의한 뇌경색증 ","1","",""
"질병","I6342"," 후대뇌동맥의 색전증에 의한 뇌경색증 ","1","",""
"질병","I6349"," 상세불명의 대뇌동맥의 색전증에 의한 뇌경색증 ","1","3",""
"질병","I6350"," 중대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증 ","21","18",""
"질병","I6351"," 전대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증 ","","1",""
"질병","I6352"," 후대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증 ","","2",""
"질병","I638"," 기타 뇌경색증 ","5","3",""
"질병","I639"," 상세불명의 뇌경색증 ","330","250",""
"질병","I650"," 척추동맥의 폐쇄 및 협착 ","41","13",""
"질병","I651"," 뇌기저동맥의 폐쇄 및 협착 ","","1",""
"질병","I652"," 경동맥의 폐쇄 및 협착 ","226","93",""
"질병","I660"," 중대뇌동맥의 폐쇄 및 협착 ","19","8",""
"질병","I661"," 전대뇌동맥의 폐쇄 및 협착 ","1","2",""
"질병","I662"," 후대뇌동맥의 폐쇄 및 협착 ","4","2",""
"질병","I663"," 소뇌동맥의 폐쇄 및 협착 ","","3",""
"질병","I67"," 기타 뇌혈관질환 ","","1",""
"질병","I670"," 파열되지 않은 대뇌동맥의 박리 ","","1",""
"질병","I671"," 파열되지 않은 대뇌동맥류 ","52","121",""
"질병","I672"," 대뇌죽상경화증 ","","1",""
"질병","I674"," 고혈압성 뇌병증 ","1","",""
"질병","I676"," 두개내정맥계통의 비화농성 혈전증 ","","1",""
"질병","I678"," 기타 명시된 뇌혈관질환 ","","1",""
"질병","I690"," 지주막하출혈의 후유증 ","","1",""
"질병","I691"," 뇌내출혈의 후유증 ","5","5",""
"질병","I692"," 기타 비외상성 두개내출혈의 후유증 ","8","3",""
"질병","I693"," 뇌경색증의 후유증 ","92","45",""
"질병","I694"," 출혈 또는 경색증으로 명시되지 않은 뇌졸중의 후유증 ","8","5",""
"질병","I7000"," 괴저를 동반하지 않은 대동맥의 죽상경화증 ","2","1",""
"질병","I7010"," 괴저를 동반하지 않은 신장동맥의 죽상경화증 ","","2",""
"질병","I7022"," 간헐성 파행을 동반한 사지동맥의 죽상경화증 ","66","17",""
"질병","I7023"," 휴식통을 동반한 사지동맥의 죽상경화증 ","5","3",""
"질병","I7024"," 궤양을 동반한 사지동맥의 죽상경화증 ","5","",""
"질병","I7025"," 괴저를 동반한 사지동맥의 죽상경화증 ","37","15",""
"질병","I7029"," 사지동맥의 상세불명 죽상경화증 ","68","16",""
"질병","I70830"," 괴저를 동반하지 않은 쇄골하동맥의 죽상경화증 ","2","1",""
"질병","I70831"," 괴저를 동반한 쇄골하동맥의 죽상경화증 ","1","",""
"질병","I70990"," 괴저를 동반하지 않은 상세불명의 죽상경화증 ","1","1",""
"질병","I7101"," 복부대동맥박리 ","5","3",""
"질병","I7103"," 흉부대동맥박리, 상행부위 ","2","",""
"질병","I7104"," 흉부대동맥박리, 하행부위 ","9","2",""
"질병","I7105"," 상세불명의 흉부대동맥박리 ","1","",""
"질병","I7110"," 파열된 흉부대동맥동맥류, 상행부위 ","2","",""
"질병","I7111"," 파열된 흉부대동맥동맥류, 하행부위 ","1","",""
"질병","I7119"," 파열된 상세불명의 흉부대동맥동맥류 ","1","",""
"질병","I7120"," 파열에 대한 언급이 없는 흉부대동맥동맥류, 상행부위 ","8","2",""
"질병","I7121"," 파열에 대한 언급이 없는 흉부대동맥동맥류, 하행부위 ","15","5",""
"질병","I7129"," 파열에 대한 언급이 없는 상세불명의 흉부대동맥동맥류 ","10","6",""
"질병","I713"," 파열된 복부대동맥동맥류 ","3","1",""
"질병","I714"," 파열에 대한 언급이 없는 복부대동맥동맥류 ","65","44",""
"질병","I715"," 파열된 흉복부대동맥동맥류 ","","1",""
"질병","I716"," 파열에 대한 언급이 없는 흉복부대동맥동맥류 ","1","2",""
"질병","I720"," 경동맥의 동맥류 및 박리 ","20","40",""
"질병","I723"," 장골동맥의 동맥류 및 박리 ","7","9",""
"질병","I726"," 척추동맥의 동맥류 및 박리 ","6","3",""
"질병","I7280"," 내장동맥의 동맥류 및 박리 ","2","",""
"질병","I729"," 상세불명 부위의 동맥류 및 박리 ","2","",""
"질병","I731"," 폐색혈전혈관염[버거병] ","1","",""
"질병","I738"," 기타 명시된 말초혈관질환 ","","2",""
"질병","I739"," 상세불명의 말초혈관병 ","1","",""
"질병","I740"," 복부대동맥의 색전증 및 혈전증 ","1","",""
"질병","I741"," 대동맥의 기타 및 상세불명 부위의 색전증 및 혈전증 ","1","2",""
"질병","I7431"," 무릎위 색전증 및 혈전증 ","1","",""
"질병","I749"," 상세불명 동맥의 색전증 및 혈전증 ","1","",""
"질병","I770"," 후천성 동정맥루 ","1","1",""
"질병","I771"," 동맥의 협착 ","7","1",""
"질병","I776"," 상세불명의 동맥염 ","5","",""
"질병","I7782"," 하지를 침범한 말초동맥폐쇄질환 ","1","3",""
"질병","I7789"," 동맥 및 세동맥의 기타 명시된 장애 ","1","",""
"질병","I781"," 모반, 비신생물성 ","1","",""
"질병","I788"," 기타 모세혈관질환 ","1","2",""
"질병","I790"," 달리 분류된 질환에서의 대동맥류 ","1","",""
"질병","I792"," 달리 분류된 질환에서의 말초맥관병증 ","8","5",""
"질병","I800"," 하지의 표재 혈관의 정맥염 및 혈전정맥염 ","2","1",""
"질병","I801"," 대퇴정맥의 정맥염 및 혈전정맥염 ","9","2",""
"질병","I802"," 하지의 기타 심부혈관의 정맥염 및 혈전정맥염 ","19","15",""
"질병","I803"," 상세불명의 하지의 정맥염 및 혈전정맥염 ","2","",""
"질병","I808"," 기타 부위의 정맥염 및 혈전정맥염 ","2","1",""
"질병","I809"," 상세불명 부위의 정맥염 및 혈전정맥염 ","1","1",""
"질병","I81"," 문맥혈전증 ","4","2",""
"질병","I822"," 대정맥의 색전증 및 혈전증 ","3","",""
"질병","I828"," 기타 명시된 정맥의 색전증 및 혈전증 ","2","1",""
"질병","I829"," 상세불명 정맥의 색전증 및 혈전증 ","1","",""
"질병","I831"," 염증을 동반한 하지의 정맥류 ","5","4",""
"질병","I832"," 궤양과 염증을 동반한 하지의 정맥류 ","1","",""
"질병","I839"," 궤양 또는 염증이 없는 하지의 정맥류 ","67","112",""
"질병","I850"," 출혈이 있는 식도정맥류 ","","1",""
"질병","I859"," 출혈이 없는 식도정맥류 ","4","4",""
"질병","I861"," 음낭정맥류 ","2","1",""
"질병","I8649"," 출혈이 없는 위정맥류 ","2","2",""
"질병","I871"," 정맥의 압박 ","1","1",""
"질병","I872"," 정맥기능부전(만성)(말초성) ","2","1",""
"질병","I878"," 정맥의 기타 명시된 장애 ","1","",""
"질병","I879"," 정맥의 상세불명 장애 ","","2",""
"질병","I881"," 장간막을 제외한 만성 림프절염 ","","1",""
"질병","I888"," 기타 비특이성 림프절염 ","1","",""
"질병","I890"," 달리 분류되지 않은 림프부종 ","7","4",""
"질병","I898"," 기타 명시된 림프관 및 림프절의 비감염성 장애 ","2","3",""
"질병","I950"," 특발성 저혈압 ","1","",""
"질병","I951"," 기립성 저혈압 ","52","25",""
"질병","I952"," 약물에 의한 저혈압 ","7","",""
"질병","I958"," 기타 저혈압 ","1","1",""
"질병","I959"," 상세불명의 저혈압 ","17","11",""
"질병","I971"," 심장수술후의 기타 기능장애 ","6","1",""
"질병","I972"," 유방절제후림프부종증후군 ","","1",""
"질병","I978"," 달리 분류되지 않은 순환계통의 기타 처치후 장애 ","1","",""
"질병","I979"," 순환계통의 상세불명의 처치후 장애 ","","1",""
"질병","I982"," 달리 분류된 질환에서의 출혈을 동반하지 않은 식도정맥류 ","19","12",""
"질병","I983"," 달리 분류된 질환에서의 출혈을 동반한 식도정맥류 ","6","",""
"질병","I99"," 순환계통의 기타 및 상세불명의 장애 ","2","1",""
"질병","J00"," 급성 비인두염[감기] ","3","3","6"
"질병","J0100"," 재발성으로 명시되어 있지 않은 급성 상악동염 ","","1","1"
"질병","J0101"," 재발성 급성 상악동염 ","1","","1"
"질병","J0141"," 재발성 급성 범부비동염 ","1","","1"
"질병","J0180"," 재발성으로 명시되어 있지 않은 기타 급성 부비동염 ","","1","1"
"질병","J0190"," 재발성으로 명시되어 있지 않은 상세불명의 급성 부비동염 ","","2","2"
"질병","J0191"," 재발성 상세불명의 급성 부비동염 ","","1","1"
"질병","J029"," 상세불명의 급성 인두염 ","1","2","3"
"질병","J0390"," 재발성으로 명시되어 있지 않은 상세불명의 급성 편도염 ","","3","3"
"질병","J040"," 급성 후두염 ","10","6","16"
"질병","J0510"," 폐색을 동반하지 않은 급성 후두개염 ","2","","2"
"질병","J060"," 급성 후두인두염 ","2","1","3"
"질병","J069"," 상세불명의 급성 상기도감염 ","2","3","5"
"질병","J100"," 계절성 인플루엔자바이러스가 확인된, 폐렴을 동반한 인플루엔자 ","4","1","5"
"질병","J101"," 계절성 인플루엔자바이러스가 확인된, 기타 호흡기 증상을 동반한 인플루엔자 ","1","","1"
"질병","J108"," 계절성 인플루엔자바이러스가 확인된, 기타 증상을 동반한 인플루엔자 ","1","","1"
"질병","J111"," 바이러스가 확인되지 않은, 기타 호흡기증상을 동반한 인플루엔자 ","","3","3"
"질병","J122"," 파라인플루엔자바이러스폐렴 ","1","","1"
"질병","J1288"," 기타 바이러스폐렴 ","59","47","106"
"질병","J129"," 상세불명의 바이러스폐렴 ","1","1","2"
"질병","J13"," 폐렴연쇄알균에 의한 폐렴 ","2","","2"
"질병","J14"," 인플루엔자균에 의한 폐렴 ","1","2","3"
"질병","J150"," 폐렴막대균에 의한 폐렴 ","83","55","138"
"질병","J151"," 슈도모나스에 의한 폐렴 ","43","34","77"
"질병","J152"," 포도알균에 의한 폐렴 ","107","82","189"
"질병","J153"," 연쇄알균B군에 의한 폐렴 ","","1","1"
"질병","J154"," 기타 연쇄알균에 의한 폐렴 ","2","","2"
"질병","J155"," 대장균에 의한 폐렴 ","21","13","34"
"질병","J156"," 그람음성균에 의한 기타 폐렴 ","48","36","84"
"질병","J158"," 기타 세균성 폐렴 ","8","4","12"
"질병","J159"," 상세불명의 세균성 폐렴 ","14","19","33"
"질병","J171"," 달리 분류된 바이러스질환에서의 폐렴 ","2","","2"
"질병","J172"," 진균증에서의 폐렴 ","9","3","12"
"질병","J180"," 상세불명의 기관지폐렴 ","56","18","74"
"질병","J181"," 상세불명의 대엽성 폐렴 ","3","8","11"
"질병","J188"," 상세불명 병원체의 기타 폐렴 ","","1","1"
"질병","J189"," 상세불명의 폐렴 ","301","273","574"
"질병","J2088"," 기타 명시된 병원체에 의한 급성 기관지염 ","","1","1"
"질병","J209"," 상세불명의 급성 기관지염 ","2","2","4"
"질병","J219"," 상세불명의 급성 세기관지염 ","5","4","9"
"질병","J300"," 혈관운동성 비염 ","21","14","35"
"질병","J304"," 상세불명의 알레르기비염 ","5","3","8"
"질병","J310"," 만성 비염 ","3","3","6"
"질병","J311"," 만성 비인두염 ","1","","1"
"질병","J312"," 만성 인두염 ","1","1","2"
"질병","J320"," 만성 상악동염 ","25","22","47"
"질병","J321"," 만성 전두동염 ","","2","2"
"질병","J322"," 만성 사골동염 ","1","2","3"
"질병","J323"," 만성 접형동염 ","","1","1"
"질병","J324"," 만성 범부비동염 ","20","17","37"
"질병","J328"," 기타 만성 부비동염 ","17","9","26"
"질병","J329"," 상세불명의 만성 부비동염 ","4","5","9"
"질병","J330"," 비강의 폴립 ","10","10","20"
"질병","J338"," 부비동의 기타 폴립 ","3","1","4"
"질병","J339"," 상세불명의 코폴립 ","","1","1"
"질병","J341"," 코 및 비동의 낭 및 점액류 ","6","1","7"
"질병","J342"," 편위된 비중격 ","32","25","57"
"질병","J343"," 코선반의 비대 ","1","","1"
"질병","J348"," 코 및 비동의 기타 명시된 장애 ","3","2","5"
"질병","J350"," 만성 편도염 ","1","1","2"
"질병","J351"," 편도의 비대 ","6","3","9"
"질병","J358"," 편도 및 아데노이드의 기타 만성 질환 ","1","","1"
"질병","J36"," 편도주위농양 ","3","3","6"
"질병","J370"," 만성 후두염 ","15","2","17"
"질병","J3800"," 성대 및 후두의 마비, 한쪽 ","16","6","22"
"질병","J3801"," 성대 및 후두의 마비, 양쪽 ","4","6","10"
"질병","J3809"," 성대 및 후두의 마비, 상세불명 쪽 ","1","","1"
"질병","J3810"," 성대의 폴립 ","4","2","6"
"질병","J3811"," 후두의 폴립 ","1","","1"
"질병","J382"," 성대의 소결절 ","2","1","3"
"질병","J383"," 성대의 기타 질환 ","18","11","29"
"질병","J3840"," 라인케부종 ","1","2","3"
"질병","J387"," 후두의 기타 질환 ","24","13","37"
"질병","J390"," 인두뒤 및 인두옆 농양 ","1","1","2"
"질병","J392"," 인두의 기타 질환 ","2","2","4"
"질병","J398"," 상기도의 기타 명시된 질환 ","1","","1"
"질병","J40"," 급성인지 만성인지 명시되지 않은 기관지염 ","9","1","10"
"질병","J42"," 상세불명의 만성 기관지염 ","5","6","11"
"질병","J439"," 상세불명의 폐기종 ","38","27","65"
"질병","J4400"," 급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 경도 ","8","3","11"
"질병","J4401"," 급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 중등도 ","27","16","43"
"질병","J4402"," 급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 중증 ","27","19","46"
"질병","J4409"," 급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 상세불명 ","18","11","29"
"질병","J4411"," 급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 중등도 ","2","1","3"
"질병","J4412"," 급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 중증 ","10","2","12"
"질병","J4419"," 급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 상세불명 ","4","4","8"
"질병","J448"," 기타 명시된 만성 폐쇄성 폐질환 ","1","","1"
"질병","J4480"," 기타 명시된 만성 폐쇄성 폐질환, 경도 ","13","6","19"
"질병","J4481"," 기타 명시된 만성 폐쇄성 폐질환, 중등도 ","55","25","80"
"질병","J4482"," 기타 명시된 만성 폐쇄성 폐질환, 중증 ","33","17","50"
"질병","J4489"," 기타 명시된 만성 폐쇄성 폐질환, 상세불명 ","12","4","16"
"질병","J4490"," 상세불명의 만성 폐쇄성 폐질환, 경도 ","44","29","73"
"질병","J4491"," 상세불명의 만성 폐쇄성 폐질환, 중등도 ","159","74","233"
"질병","J4492"," 상세불명의 만성 폐쇄성 폐질환, 중증 ","42","24","66"
"질병","J4499"," 상세불명의 만성 폐쇄성 폐질환, 상세불명 ","21","4","25"
"질병","J4502"," 기타 알레르기천식, 중등도 지속성 ","","1","1"
"질병","J4509"," 상세불명의 주로 알레르기성 천식 ","2","1","3"
"질병","J459"," 상세불명의 천식 ","199","121","320"
"질병","J47"," 기관지확장증 ","11","18","29"
"질병","J60"," 탄광부진폐증 ","2","4","6"
"질병","J61"," 석면 및 기타 광섬유에 의한 진폐증 ","","1","1"
"질병","J64"," 상세불명의 진폐증 ","2","3","5"
"질병","J690"," 음식 또는 구토물에 의한 폐렴 ","200","149","349"
"질병","J700"," 방사선에 의한 급성 폐증상 ","7","1","8"
"질병","J701"," 방사선에 의한 만성 및 기타 폐증상 ","1","","1"
"질병","J702"," 급성 약물유발 간질성 폐장애 ","2","","2"
"질병","J704"," 상세불명의 약물유발 간질성 폐장애 ","8","2","10"
"질병","J80"," 성인호흡곤란증후군 ","9","10","19"
"질병","J81"," 폐부종 ","24","11","35"
"질병","J828"," 기타 폐호산구증가 ","","1","1"
"질병","J841"," 섬유증을 동반한 기타 간질성 폐질환 ","74","40","114"
"질병","J848"," 기타 명시된 간질성 폐질환 ","1","1","2"
"질병","J849"," 상세불명의 간질성 폐질환 ","8","5","13"
"질병","J850"," 폐의 괴저 및 괴사 ","4","6","10"
"질병","J851"," 폐렴을 동반한 폐의 농양 ","3","1","4"
"질병","J852"," 폐렴을 동반하지 않은 폐의 농양 ","2","","2"
"질병","J860"," 누공이 있는 농흉 ","6","3","9"
"질병","J869"," 누공이 없는 농흉 ","19","10","29"
"질병","J90"," 달리 분류되지 않은 흉막삼출액 ","164","169","333"
"질병","J930"," 자발성 긴장기흉 ","3","2","5"
"질병","J938"," 기타 기흉 ","","3","3"
"질병","J939"," 상세불명의 기흉 ","32","32","64"
"질병","J941"," 섬유흉(纖維胸) ","3","2","5"
"질병","J942"," 혈흉 ","","1","1"
"질병","J948"," 기타 명시된 흉막병태 ","13","7","20"
"질병","J950"," 기관절개 기능부전 ","4","","4"
"질병","J958"," 기타 처치후 호흡장애 ","27","12","39"
"질병","J9600"," 급성 호흡부전, I형[저산소성] ","23","20","43"
"질병","J9601"," 급성 호흡부전, II형[고탄산성] ","25","33","58"
"질병","J9609"," 급성 호흡부전, 상세불명형 ","63","33","96"
"질병","J9610"," 만성 호흡부전, I형[저산소성] ","","3","3"
"질병","J9611"," 만성 호흡부전, II형[고탄산성] ","15","5","20"
"질병","J9619"," 만성 호흡부전, 상세불명형 ","19","6","25"
"질병","J9691"," 상세불명의 호흡부전, II형[고탄산성] ","2","2","4"
"질병","J9699"," 상세불명의 호흡부전, 상세불명형 ","7","1","8"
"질병","J9810"," 무기폐 ","10","21","31"
"질병","J9818"," 기타 폐허탈 ","1","","1"
"질병","J982"," 간질성 폐기종 ","9","7","16"
"질병","J9840"," 고립성 폐결절 ","99","62","161"
"질병","J9848"," 폐의 기타 장애 ","9","3","12"
"질병","J985"," 달리 분류되지 않은 종격의 질환 ","","2","2"
"질병","J988"," 기타 명시된 호흡장애 ","3","1","4"
"질병","J990"," 류마티스폐질환(M05.1+) ","1","","1"
"질병","J991"," 기타 미만성 결합조직장애에서의 호흡장애 ","","1","1"
"질병","J998"," 달리 분류된 기타 질환에서의 호흡장애 ","5","3","8"
"질병","K028"," 기타 치아우식 ","","1","1"
"질병","K029"," 상세불명의 치아우식 ","28","22","50"
"질병","K0310"," 치아의 쐐기결손 NOS ","","1","1"
"질병","K0319"," 치아의 상세불명 마모 ","2","2","4"
