"상병코드","상병명","국비","사비",""
"J849","상세불명의 간질성 폐질환","4","2",""
"J851","폐렴을 동반한 폐의 농양","1","0",""
"J869","누공이 없는 농흉","1","0",""
"J90","달리 분류되지 않은 흉막삼출액","21","26",""
"J938","기타 기흉","1","0",""
"J939","상세불명의 기흉","7","1",""
"J9601","급성 호흡부전, II형[고탄산성]","1","0",""
"J9611","만성 호흡부전, II형[고탄산성]","1","0",""
"J9619","만성 호흡부전, 상세불명형","1","0",""
"J9699","상세불명의 호흡부전, 상세불명형","1","0",""
"J9810","무기폐","2","2",""
"J9840","고립성 폐결절","2","0",""
"K0532","만성 치관주위염","3","0",""
"K081","사고, 추출 또는 국한성 치주병에 의한 치아상실","1","0",""
"K1129","상세불명의 타액선염","1","0",""
"K210","식도염을 동반한 위0식도역류병","81","38",""
"K219","식도염을 동반하지 않은 위0식도역류병","16","1",""
"K2210","출혈을 동반하지 않은 식도의 궤양","1","0",""
"K222","식도폐색","3","0",""
"K226","위0식도열상0출혈증후군","1","0",""
"K2500","출혈이 있는 급성 위미란","4","0",""
"K2501","출혈이 있는 급성 위궤양","11","4",""
"K2531","출혈 또는 천공이 없는 급성 위궤양","23","17",""
"K2541","출혈이 있는 만성 또는 상세불명 위궤양","6","0",""
"K2571","출혈 또는 천공이없는 만성 위궤양","5","1",""
"K2590","출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위미란","1","0",""
"K260","출혈이 있는 급성 십이지장궤양","1","0",""
"K269","출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 십이지장궤양","1","0",""
"K279","출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 상세불명 부위의 소화성 궤양","2","0",""
"K291","기타 급성 위염","1","0",""
"K293","만성 표재성 위염","12","0",""
"K294","만성 위축성 위염","6","0",""
"K295","상세불명의 만성 위염","7","1",""
"K296","기타 위염","2","0",""
"K297","상세불명의 위염","20","11",""
"K298","십이지장염","1","0",""
"K30","기능성 소화불량","49","19",""
"K311","성인 비대성 유문협착","1","1",""
"K317","위 및 십이지장의 폴립","8","1",""
"K3181","출혈을 동반한 위 및 십이지장의 혈관형성이상","2","0",""
"K352","범복막염을 동반한 급성 충수염","1","1",""
"K353","국소복막염을 동반한 급성 충수염","2","1",""
"K358","기타 및 상세불명의 급성 충수염","4","8",""
"K388","충수의 기타 명시된 질환","1","0",""
"K4020","재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 양쪽 사타구니탈장","2","1",""
"K4030","재발성으로 명시되어 있지 않은, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장","1","0",""
"K4031","재발성, 폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장","1","0",""
"K4090","재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장","35","19",""
"K4091","재발성, 폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장","1","0",""
"K432","폐색 또는 괴저가 없는 절개탈장","1","0",""
"K519","상세불명의 궤양성 대장염","2","1",""
"K5521","출혈을 동반한 결장의 혈관형성이상","1","0",""
"K559","장의 상세불명의 혈관장애","3","1",""
"K560","마비성 장폐색증","2","1",""
"K564","장의 기타 감입","2","0",""
"K565","폐색을 동반한 장유착[띠]","2","0",""
"K566","기타 및 상세불명의 장폐색","2","1",""
"K567","상세불명의 장폐색증","5","3",""
"K5730","출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실증","3","1",""
"K5732","출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실염","4","1",""
"K5790","출혈을 동반하지 않은 천공 또는 농양이 없는 상세불명 부분의 장의 게실병, 게실증","1","0",""
"K5792","출혈을 동반하지 않은 천공 또는 농양이 없는 상세불명 부분의 장의 게실병, 게실염","1","0",""
"K581","설사 위주의 과민대장증후군 [IBS0D]","5","1",""
"K588","기타 및 상세불명 유형의 과민대장 증후군","3","0",""
"K5900","서행성 변비","46","34",""
"K5909","기타 및 상세불명 변비","57","36",""
"K591","기능성 설사","10","3",""
"K599","상세불명의 기능성 장장애","2","0",""
"K602","상세불명의 항문열창","1","0",""
"K603","항문루","4","0",""
"K610","항문농양","2","0",""
"K611","직장농양","2","0",""
"K612","항문직장농양","1","0",""
"K620","항문폴립","1","0",""
"K621","직장폴립","1","1",""
"K621","직장폴립","1","0",""
"K625","항문 및 직장의 출혈","2","1",""
"K629","항문 및 직장의 상세불명 질환","1","0",""
"K6322","장0결장루","1","0",""
"K635","결장의 폴립","13","3",""
"K638","장의 기타 명시된 질환","2","0",""
"K642","3도 치핵","2","1",""
"K648","기타 명시된 치핵","1","2",""
"K650","급성 복막염","1","0",""
"K658","기타 복막염","1","0",""
"K7010","복수를 동반하지 않은 알코올성 간염","1","0",""
"K7030","복수를 동반하지 않은 알코올성 간경변증","3","1",""
"K7031","복수를 동반한 알코올성 간경변증","1","0",""
"K709","상세불명의 알코올성 간질환","3","1",""
"K710","담즙정체를 동반한 독성간질환","4","0",""
"K7150","복수를 동반하지 않은 만성 활동성 간염을 동반한 독성 간질환","2","0",""
"K716","달리 분류되지 않은 간염을 동반한 독성간질환","15","1",""
"K719","상세불명의 독성간질환","2","1",""
"K7290","혼수를 동반하지 않은 상세불명의 간부전","1","2",""
"K739","상세불명의 만성 간염","2","0",""
"K7423","간경화증을 동반한 간섬유증, 대상성","3","1",""
"K7429","간경화증을 동반한 간섬유증, 상세불명","2","1",""
"K7464","간의 기타 및 상세불명의 경변증, 비대상성","2","0",""
"K7469","간의 기타 및 상세불명의 경변증,상세불명","6","1",""
"K750","간의 농양","2","2",""
"K759","상세불명의 염증성 간질환","8","0",""
"K760","달리 분류되지 않은 지방(변화성)간","1","0",""
"K761","간의 만성 수동울혈","1","0",""
"K767","간신증후군","1","0",""
"K769","상세불명의 간질환","1","1",""
"K8000","폐색의 언급이 없는 급성 담낭염을 동반한 담낭의 결석","8","3",""
"K8010","폐색의 언급이 없는 기타 담낭염을 동반한 담낭의 결석","19","27",""
"K8020","폐색의 언급이 없는 담낭염이 없는 담낭의 결석","2","0",""
"K8030","폐색의 언급이 없는 담관염을 동반한 담관 결석","1","9",""
"K8031","폐색을 동반한 담관염을 동반한 담관 결석","1","0",""
"K8050","폐색의 언급이 없는 담관염 또는 담낭염이 없는 담관결석","1","0",""
"K810","급성 담낭염","4","2",""
"K811","만성 담낭염","4","0",""
"K819","상세불명의 담낭염","2","0",""
"K8280","담낭 또는 담낭관의 폴립","1","4",""
"K830","담관염","7","1",""
"K838","담도의 기타 명시된 질환","1","0",""
"K8521","알코올유발 급성 췌장염, 중등 중증","1","0",""
"K8580","기타 급성 췌장염, 경증","1","0",""
"K8589","기타 급성 췌장염, 상세불명","1","2",""
"K8590","상세불명의 급성 췌장염, 경증","1","1",""
"K8591","상세불명의 급성 췌장염, 중도 중증","1","0",""
"K860","알코올유발 만성 췌장염","1","0",""
"K861","기타 만성 췌장염","4","2",""
"K862","췌장의 낭","1","0",""
"K869","췌장의 상세불명의 질환","2","0",""
"K910","위장수술후의 구토","1","0",""
"K920","토혈","1","1",""
"K921","흑색변","1","4",""
"K922","상세불명의 위장출혈","9","4",""
"L0230","둔부의 피부농양","1","1",""
"L0231","둔부의 종기","1","0",""
"L0240","사지의 피부농양","1","1",""
"L0290","상세불명의 피부농양","1","0",""
"L0300","손가락의 연조직염","1","0",""
"L0310","팔의 연조직염","2","0",""
"L0311","다리의 연조직염","11","4",""
"L0335","둔부의 연조직염","3","0",""
"L039","상세불명의 연조직염","3","4",""
"L281","결절성 가려움발진","1","0",""
"L500","알레르기성 두드러기","1","0",""
"L600","내향성 손발톱","2","2",""
"L720","표피낭","6","1",""
"L721","털집낭","1","0",""
"L84","티눈 및 굳은살","2","0",""
"L892","욕창궤양 및 압박부위 제3단계","1","2",""
"L899","상세불명의 욕창궤양 및 압박부위","5","2",""
"L97","달리 분류되지 않은 다리의 궤양","1","0",""
"L984","달리 분류되지 않은 피부의 만성 궤양","1","0",""
"L987","과잉 및 중복 피부와 피하조직","2","0",""
"M0092","상세불명의 화농성 관절염, 위팔","1","0",""
"M0095","상세불명의 화농성 관절염, 골반 부분 및 대퇴","1","0",""
"M0096","상세불명의 화농성 관절염, 아래다리","3","3",""
"M0530","기타 기관 및 계통의 침범을 동반한 류마티스관절염, 여러 부위","3","1",""
"M05801","중등도 기타 혈청검사양성 류마티스관절염, 여러 부위","1","0",""
"M1003","특발성 통풍, 아래팔","1","0",""
"M1006","특발성 통풍, 아래다리","2","0",""
"M1008","특발성 통풍, 기타 부분","1","0",""
"M1009","특발성 통풍, 상세불명 부분","2","0",""
"M1094","상세불명의 통풍, 손","1","0",""
"M1097","상세불명의 통풍, 발목 및 발","4","0",""
"M1099","상세불명의 통풍, 상세불명 부분","1","1",""
"M1189","기타 명시된 결정관절병증, 상세불명 부분","1","0",""
"M150","원발성 전신(골)관절증","2","0",""
"M170","양쪽 원발성 무릎관절증","5","3",""
"M171","기타 원발성 무릎관절증","1","0",""
"M179","상세불명의 무릎관절증","44","86",""
"M1901","기타 관절의 원발성 관절증, 어깨부분","3","1",""
"M1990","상세불명의 관절증, 여러 부위","1","0",""
"M1991","상세불명의 관절증, 어깨부분","3","0",""
"M1995","상세불명의 관절증, 골반 부분 및 대퇴","3","0",""
"M1996","상세불명의 관절증, 아래다리","3","0",""
"M1997","상세불명의 관절증, 발목 및 발","5","1",""
"M1998","상세불명의 관절증, 기타 부분","1","0",""
"M1999","상세불명의 관절증, 상세불명 부분","1","1",""
"M201","외반무지(후천성)","17","7",""
"M205","발가락의 기타 변형(후천성)","3","1",""
"M2117","달리 분류되지 않은 내반변형, 발목 및 발","1","0",""
"M224","무릎뼈의 연골연화","1","0",""
"M2302","낭성 반달연골, 외측반달연골","1","0",""
"M2321","오래된 찢김 또는 손상으로 인한 반달연골의 장애, 내측반달연골","7","1",""
"M2322","오래된 찢김 또는 손상으로 인한 반달연골의 장애, 외측반달연골","3","2",""
"M2332","기타 반달연골장애, 외측반달연골","1","0",""
"M2389","무릎의 기타 내부장애, 상세불명의 연골 또는 인대","1","0",""
"M2391","무릎의 상세불명의 내부장애, 내측반달연골","1","2",""
"M2456","관절의 구축, 아래다리","1","0",""
"M2537","관절의 기타 불안정, 발목 및 발","1","0",""
"M2555","관절통, 골반 부분 및 대퇴","2","0",""
"M2556","관절통, 아래다리","5","0",""
"M2558","관절통, 기타 부분","2","0",""
"M2595","상세불명의 관절장애, 골반 부분 및 대퇴","1","0",""
"M2596","상세불명의 관절장애, 아래다리","1","0",""
"M303","점막피부림프절증후군[가와사키]","1","0",""
"M4039","편평등증후군, 상세불명의 부위","1","0",""
"M4316","척추전방전위증, 요추부","8","7",""
"M4317","척추전방전위증, 요천부","2","1",""
"M4319","척추전방전위증, 상세불명의 부위","2","8",""
"M4655","기타 감염성 척추병증, 흉요추부","1","0",""
"M4656","기타 감염성 척추병증, 요추부","5","0",""
"M4657","기타 감염성 척추병증, 요천부","1","0",""
"M4659","기타 감염성 척추병증, 상세불명의 부위","1","0",""
"M4782","기타 척추증, 경부","1","0",""
"M4790","상세불명의 척추증, 척추의 여러 부위","2","0",""
"M4796","상세불명의 척추증, 요추부","2","0",""
"M4799","상세불명의 척추증, 상세불명의 부위","1","0",""
"M4800","척추협착, 척추의 여러 부위","2","0",""
"M4802","척추협착, 경부","8","2",""
"M4804","척추협착, 흉추부","2","0",""
"M4806","척추협착, 요추부","131","58",""
"M4807","척추협착, 요천부","9","2",""
"M4808","척추협착, 천추 및 천미추부","4","1",""
"M4809","척추협착, 상세불명의 부위","4","2",""
"M4840","척추의 피로골절, 척추의 여러 부위","1","0",""
"M4844","척추의 피로골절, 흉추부","1","0",""
"M4846","척추의 피로골절, 요추부","3","0",""
"M4850","달리 분류되지 않은 허탈척추, 척추의 여러 부위","1","0",""
"M4854","달리 분류되지 않은 허탈척추, 흉추부","3","3",""
"M4855","달리 분류되지 않은 허탈척추, 흉요추부","2","0",""
"M4856","달리 분류되지 않은 허탈척추, 요추부","10","12",""
"M4858","달리 분류되지 않은 허탈척추, 천추 및 천미추부","1","0",""
"M4859","달리 분류되지 않은 허탈척추, 상세불명의 부위","1","2",""
"M4880","기타 명시된 척추병증, 척추의 여러 부위","1","0",""
"M4882","기타 명시된 척추병증, 경부","1","4",""
"M4886","기타 명시된 척추병증, 요추부","5","0",""
"M4887","기타 명시된 척추병증, 요천부","4","0",""
"M4889","기타 명시된 척추병증, 상세불명의 부위","6","1",""
"M4929","엔테로박터척추염(A010A04†), 상세불명의 부위","1","0",""
"M500","척수병증을 동반한 경추간판장애(G99.2*)","3","0",""
"M501","신경뿌리병증을 동반한 경추간판장애","18","2",""
"M502","기타 경추간판전위","4","4",""
"M509","상세불명의 경추간판장애","5","0",""
"M510","척수병증을 동반한 요추 및 기타 추간판장애(G99.2*)","4","0",""
"M511","신경뿌리병증을 동반한 요추 및 기타 추간판장애(G55.1*)","150","20",""
"M512","기타 명시된 추간판전위","92","30",""
"M5455","요통, 흉요추부","5","2",""
"M5456","요통, 요추부","3","2",""
"M5459","요통, 상세불명의 부위","5","0",""
"M6099","상세불명의 근염, 상세불명 부분","1","0",""
"M6288","근육의 기타 명시된 장애, 기타 부분","1","0",""
"M6534","방아쇠손가락, 손","3","0",""
"M6539","결절성 힘줄병, 상세불명 부분","1","0",""
"M654","요골붓돌기힘줄윤활막염[드퀘르벵]","1","0",""
"M6595","상세불명의 윤활막염 및 힘줄윤활막염, 골반 부분 및 대퇴","1","0",""
"M6743","결절종, 아래팔","1","0",""
"M6747","결절종, 발목 및 발","1","0",""
"M702","주두윤활낭염","1","0",""
"M705","무릎의 기타 윤활낭염","1","0",""
"M707","고관절의 기타 윤활낭염","1","0",""
"M7116","기타 감염성 윤활낭염, 아래다리","1","0",""
"M7119","기타 감염성 윤활낭염, 상세불명 부분","1","0",""
"M712","오금의 윤활막낭[베이커]","1","0",""
"M7157","달리 분류되지 않은 기타 윤활낭염, 발목 및 발","1","0",""
"M720","손바닥근막성 섬유종증(뒤퓌트랑)","1","0",""
"M722","발바닥근막성 섬유종증","3","0",""
"M7265","괴사성 근막염, 골반 부분 및 대퇴","1","0",""
"M7269","괴사성 근막염, 상세불명 부분","1","0",""
"M7285","기타 섬유모세포장애, 골반 부분 및 대퇴","1","0",""
"M7288","기타 섬유모세포장애, 기타 부분","1","0",""
"M750","어깨의 유착성 관절낭염","4","2",""
"M751","회전근개증후군","47","42",""
"M753","어깨의 석회성 힘줄염","3","1",""
"M7687","발을 제외한 다리의 기타 골부착부병증, 발목 및 발","1","0",""
"M7689","발을 제외한 다리의 기타 골부착부병증, 상세불명 부분","1","0",""
"M79108","기타 근통, 여러 부위","3","0",""
"M7938","상세불명의 지방층염, 기타 부분","1","0",""
"M7959","연조직내의 잔류이물, 상세불명 부분","1","0",""
"M7979","섬유근통, 상세불명 부분","3","1",""
"M8009","병적 골절을 동반한 폐경후골다공증, 상세불명 부분","3","0",""
"M8098","병적 골절을 동반한 상세불명의 골다공증, 기타 부분","2","1",""
"M8159","특발성 골다공증, 상세불명 부분","1","0",""
"M8199","상세불명의 골다공증, 상세불명 부분","1","1",""
"M8404","골절의 부정유합, 손","1","0",""
"M8435","달리 분류되지 않은 스트레스골절, 골반 부분 및 대퇴","1","0",""
"M8626","아급성 골수염, 아래다리","1","0",""
"M8627","아급성 골수염, 발목 및 발","4","0",""
"M8667","기타 만성 골수염, 발목 및 발","1","0",""
"M8669","기타 만성 골수염, 상세불명 부분","1","0",""
"M8695","상세불명의 골수염, 골반 부분 및 대퇴","1","0",""
"M8697","상세불명의 골수염, 발목 및 발","1","0",""
"M8698","상세불명의 골수염, 기타 부분","1","0",""
"M8785","기타 골괴사, 골반 부분 및 대퇴","2","0",""
"M8795","상세불명의 골괴사, 골반 부분 및 대퇴","2","3",""
"M8797","상세불명의 골괴사, 발목 및 발","1","0",""
"M8799","상세불명의 골괴사, 상세불명 부분","1","0",""
"M925","경골 및 비골의 연소성 골연골증","1","0",""
"M932","이단성 골연골염","1","0",""
"M939","상세불명의 골연골병증","1","0",""
"M9429","연골연화, 상세불명 부분","1","0",""
"M961","달리 분류되지 않은 척추후궁절제후증후군","42","5",""
"M966","정형외과적 삽입물, 인공관절 또는 골판의 삽입에 따른 뼈의 골절","1","0",""
"N039","상세불명의 만성 신염증후군","1","0",""
"N083","당뇨병에서의 사구체장애(4단위 .20에 해당되는 E100E14†)","23","3",""
"N10","급성 세뇨관0간질신장염","5","12",""
"N12","급성 또는 만성으로 명시되지 않은 세뇨관0간질신장염","1","0",""
"N132","신장 및 요관의 결석성 폐색을 동반한 수신증","1","0",""
"N1338","기타 및 상세불명의 수신증","1","0",""
"N151","신장 및 신장주위 농양","1","0",""
"N179","상세불명의 급성 신부전","19","19",""
"N183","만성 신장병(3기)","13","2",""
"N184","만성 신장병(4기)","20","7",""
"N185","만성 신장병(5기)","65","25",""
"N189","상세불명의 만성 신장병","5","3",""
"N19","상세불명의 신부전","1","2",""
"N201","요관의 결석","2","2",""
"N210","방광의 결석","4","5",""
"N211","요도결석","1","0",""
"N289","신장 및 요관의 상세불명 장애","2","1",""
"N300","급성 방광염","1","0",""
"N301","간질성 방광염(만성)","3","0",""
"N302","기타 만성 방광염","6","2",""
"N304","방사선방광염","1","0",""
"N308","기타 방광염","2","0",""
"N309","상세불명의 방광염","1","1",""
"N310","달리 분류되지 않은 비억제성 신경병성 방광","4","1",""
"N319","방광의 상세불명의 신경근육기능장애","9","8",""
"N320","방광경부폐색","2","0",""
"N329","방광의 상세불명 장애","1","0",""
"N359","상세불명의 요도협착","8","1",""
"N390","부위가 명시되지 않은 요로감염","46","39",""
"N3948","기타 명시된 요실금","2","0",""
"N400","합병증을 동반하지 않은 전립선증식증","109","54",""
"N401","요로 폐색을 동반한 전립선증식증","7","0",""
"N401","요로 폐색을 동반한 전립선증식증","5","0",""
"N402","혈뇨를 동반한 전립선증식증","2","1",""
"N411","만성 전립선염","3","0",""
"N433","상세불명의 음낭수종","4","1",""
"N4500","농양을 동반한 부고환염","2","0",""
"N4590","농양을 동반하지 않은 부고환염","1","0",""
"N47","과잉포피, 포경 및 감돈포경","1","0",""
"N4820","음경의 농양","1","0",""
"N499","상세불명의 남성생식기관의 염증성 장애","1","0",""
"N511","달리 분류된 질환에서의 고환 및 부고환의 장애","1","0",""
"Q742","골반대를 포함한 다리의 기타 선천기형","1","0",""
"R000","상세불명의 빈맥","1","0",""
"R002","두근거림","5","4",""
"R02","달리 분류되지 않은 괴저","3","3",""
"R042","객혈","5","2",""
"R05","기침","2","3",""
"R060","호흡곤란","5","3",""
"R073","기타 흉통","19","21",""
"R074","상세불명의 흉통","74","51",""
"R100","급성 복증","1","0",""
"R1012","명치통증","1","0",""
"R102","골반 및 회음부 통증","3","0",""
"R1049","상세불명의 복통","7","2",""
"R111","구역","6","2",""
"R112","구토","1","0",""
"R113","구토를 동반한 구역","2","4",""
"R13","삼킴곤란","4","1",""
"R18","복수","2","1",""
"R190","복강내 및 골반의 부기, 종괴 및 덩이","1","0",""
"R229","상세불명의 국소적 부기, 종괴 및 덩이","1","0",""
"R268","보행 및 이동의 기타 및 상세불명 이상","4","1",""
"R310","육안적 혈뇨","5","0",""
"R318","기타 및 상세불명의 혈뇨","1","0",""
"R32","상세불명의 요실금","1","0",""
"R33","소변정체","3","0",""
"R352","기타 야간뇨","1","0",""
"R418","인지기능 및 자각에 관련된 기타 및 상세불명의 증상 및 징후","1","0",""
"R42","어지럼증 및 어지럼","4","3",""
"R471","구음장애 및 무조음증","1","1",""
"R5090","불명열[FUO]","6","3",""
"R5099","상세불명의 열","6","4",""
"R51","두통","1","2",""
"R529","상세불명의 통증","1","2",""
"R53","병감 및 피로","18","18",""
"R550","혈관미주신경성 실신","1","0",""
"R558","기타 실신 및 허탈","8","4",""
"R568","기타 및 상세불명의 경련","3","1",""
"R572","패혈성 쇼크","4","0",""
"R590","국소림프절비대","1","0",""
"R600","국소부종","1","0",""
"R601","전신부종","1","0",""
"R609","상세불명의 부종","4","6",""
"R630","식욕부진","1","5",""
"R634","이상체중감소","3","0",""
"R636","음식 및 물의 불충분한 섭취","1","0",""
"R638","음식 및 수액 섭취에 관계된 기타 증상 및 징후","1","0",""
"R64","카켁시아","1","0",""
"R650","기관의 부전을 동반하지 않은 감염성 기원의 전신염증반응증후군","2","0",""
"R688","기타 명시된 전신 증상 및 징후","1","0",""
"R739","상세불명의 고혈당증","1","0",""
"R935","후복막을 포함한 기타 복부의 진단영상검사상 이상소견","1","0",""
"R945","간기능검사의 이상결과","2","0",""
"S010","두피의 열린상처","2","0",""
"S018","머리의 기타 부분의 열린상처","2","0",""
"S0291","두개골 및 안면골의 상세불명 부분의 골절, 개방성","1","0",""
"S0600","열린 두개내상처가 없는 진탕","2","0",""
"S0650","열린 두개내상처가 없는 외상성 경막하출혈","4","2",""
"S0651","열린 두개내상처가 있는 외상성 경막하출혈","1","1",""
"S0660","열린 두개내상처가 없는 외상성 거미막하출혈","2","1",""
"S0670","열린 두개내상처가 없는 지속적 혼수를 동반한 두개내손상","1","0",""
"S0680","열린 두개내상처가 없는 기타 두개내손상","1","1",""
"S099","머리의 상세불명 손상","1","0",""
"S1270","경추의 다발성 골절, 폐쇄성","1","0",""
"S1315","C6/C7 경추의 탈구","1","0",""
"S134","경추의 염좌 및 긴장","3","0",""
"S22020","T1 및 T2 부위의 골절, 폐쇄성","1","0",""
"S22050","T7 및 T8 부위의 골절, 폐쇄성","1","0",""
"S22060","T9 및 T10 부위의 골절, 폐쇄성","1","1",""
"S22070","T11 및 T12 부위의 골절, 폐쇄성","6","8",""
"S22090","상세불명 부위의 흉추의 골절, 폐쇄성","3","9",""
"S2220","흉골의 골절,폐쇄성","1","1",""
"S22320","제1늑골의 골절 골절,폐쇄성","1","0",""
"S22330","제1늑골 이외 단일 늑골의 골절,폐쇄성","2","1",""
"S22420","제1늑골을 침범한 다발골절, 폐쇄성","1","0",""
"S22460","제1늑골을 침범하지 않은 다발골절, 폐쇄성","15","6",""
"S22490","상세불명 늑골의 다발골절, 폐쇄성","1","0",""
"S2710","흉강내로의 열린상처가 없는 외상성 혈흉","1","0",""
"S2720","흉강내로의 열린상처가 없는 외상성 혈기흉","2","0",""
"S301","복벽의 타박상","1","0",""
"S32020","L1 부위의 골절, 폐쇄성","16","12",""
"S32030","L2 부위의 골절, 폐쇄성","14","4",""
"S32040","L3 부위의 골절, 폐쇄성","6","1",""
"S32050","L4 부위의 골절, 폐쇄성","12","1",""
"S32060","L5 부위의 골절, 폐쇄성","4","0",""
"S32090","요추의 상세불명 부위의 골절, 폐쇄성","6","20",""
"S3210","천골(薦骨)의 골절, 폐쇄성","2","3",""
"S3220","미추의 골절, 폐쇄성","1","0",""
"S3240","절구의 골절, 폐쇄성","1","1",""
"S3250","치골의 폐골절, 폐쇄성","1","4",""
"S3270","요추 및 골반의 다발성 골절, 폐쇄성","1","0",""
"S32880","기타 골반의 골절, 폐쇄성","1","1",""
"S32890","골반의 상세불명 부분의 골절, 폐쇄성","1","0",""
"S32890","골반의 상세불명 부분의 골절, 폐쇄성","3","0",""
"S3350","요추의 염좌 및 긴장","1","4",""
"S355","장골혈관의 손상","1","0",""
"S42040","쇄골 몸통의 골절, 폐쇄성","1","0",""
"S42050","쇄골 견봉단의 골절, 폐쇄성","1","2",""
"S42090","쇄골의 상세불명 부분의 골절, 폐쇄성","6","2",""
"S42160","견갑골 관절강과 목의 골절, 폐쇄성","1","0",""
"S42230","상완골 외과목의 골절, 폐쇄성","1","0",""
"S4230","상완골 몸통의 골절, 폐쇄성","1","1",""
"S431","견쇄관절의 탈구","2","1",""
"S4608","어깨의 회전근개의 근육 및 힘줄의 손상, 기타 및 상세불명의 손상","3","2",""
"S500","팔꿈치의 타박상","1","0",""
"S52020","척골 주두돌기의 골절, 폐쇄성","2","0",""
"S52190","요골 상단의 상세불명 부분의 골절, 폐쇄성","2","0",""
"S5220","척골 몸통의 골절, 폐쇄성","1","0",""
"S52520","등쪽 경사를 동반한 요골 하단의 골절, 폐쇄성","4","0",""
"S52540","바닥쪽 경사와 관절내골절을 동반한 요골 하단의 골절, 폐쇄성","1","0",""
"S52590","요골 하단의 상세불명 골절, 폐쇄성","2","9",""
"S610","손톱의 손상이 없는 손가락의 열린상처","1","1",""
"S617","손목 및 손의 다발성 열린상처","1","0",""
"S62320","기타 중수골 바닥의 골절, 폐쇄성","1","1",""
"S62330","기타 중수골 몸통의 골절, 폐쇄성","1","0",""
"S62640","기타 손가락의 원위지골 골절, 폐쇄성","1","0",""
"S62641","기타 손가락의 원위지골 골절, 개방성","1","0",""
"S6271","손가락의 다발골절, 개방성","1","0",""
"S634","중수지골 및 지골간 관절에서 손가락인대의 외상성 파열","1","0",""
"S6638","손목 및 손 부위의 기타 손가락의 신근 및 힘줄의 손상, 기타 및 상세불명의 손상","1","0",""
"S700","엉덩이의 타박상","1","0",""
"S72060","대퇴골 경부바닥의 골절, 폐쇄성","1","1",""
"S72080","기타 대퇴골 경부 부분의 골절, 폐쇄성","2","8",""
"S72090","대퇴골 경부의 상세불명 부분의 골절, 폐쇄성","3","1",""
"S72120","대퇴골전자간골절, 폐쇄성","7","11",""
"S72190","대퇴골전자부의 상세불명 골절, 폐쇄성","3","0",""
"S7240","대퇴골 하단의 골절, 폐쇄성","1","0",""
"S7290","대퇴골의 상세불명 부분의 골절, 폐쇄성","1","0",""
"S7319","고관절의 상세불명 부위의 염좌 및 긴장","1","0",""
"S810","무릎의 열린상처","1","0",""
"S818","아래다리의 기타 부분의 열린상처","1","0",""
"S8200","무릎뼈의 골절, 폐쇄성","1","5",""
"S82120","비골골절(모든 부분)을 동반한 경골상단의 골절, 폐쇄성","2","0",""
"S82180","경골 상단의 기타 골절, 폐쇄성","1","0",""
"S82220","비골골절(모든 부분)을 동반한 경골 몸통의 골절, 폐쇄성","1","0",""
"S82320","비골 골절(모든 부분)을 동반한 경골 하단의 골절, 폐쇄성","1","0",""
"S82380","기타 경골 하단의 골절, 폐쇄성","1","0",""
"S82420","비골 상단의 골절, 폐쇄성","1","0",""
"S82480","비골의 기타 및 상세불명 부분의 골절, 폐쇄성","1","0",""
"S8250","안쪽복사의 골절, 폐쇄성","3","0",""
"S8260","외측복사의 골절의 골절, 폐쇄성","6","1",""
"S82831","삼복사 골절, 발목, 개방성","1","0",""
"S82880","아래다리의 기타 부분의 골절, 폐쇄성","1","0",""
"S8320","내측반달연골의 찢김","3","0",""
"S8321","외측반달연골의 찢김","2","0",""
"S8340","외측측부인대의 염좌 및 긴장","1","0",""
"S8343","내측측부인대의 파열","2","1",""
"S837","무릎의 다발성 구조의 손상","1","0",""
"S8608","아킬레스힘줄의 손상, 기타 및 상세불명의 손상","1","0",""
"S907","발목 및 발의 다발성 표재성 손상","1","0",""
"S908","발목 및 발의 기타 표재성 손상","1","0",""
"S9200","종골의 골절, 폐쇄성","1","2",""
"S9230","중족골의 골절, 폐쇄성","3","2",""
"S9240","엄지발가락 골절, 폐쇄성","2","0",""
"S9250","기타 발가락의 골절, 폐쇄성","1","0",""
"S9251","기타 발가락의 골절, 개방성","2","0",""
"S9600","발목 및 발 부위 발가락의 장굴근의 근육 및 힘줄의 손상, 열상","3","0",""
"T009","상세불명의 여러 부위의 표재성 손상","1","0",""
"T080","상세불명 부위의 척추의 골절, 폐쇄성","1","0",""
"T130","다리의 상세불명 부위의 표재성 손상","1","0",""
"T140","상세불명의 신체부위의 표재성 손상","1","0",""
"T141","상세불명의 신체부위의 열린상처","2","0",""
"T212","몸통의 2도 화상","1","0",""
"T2420","발목 및 발을 제외한 엉덩이 및 다리의 2도 화상, 대퇴부","1","0",""
