상병코드,상    병    명,국비,사비
K567 ,"Ileus, unspecified",3,3
K5722 ,"Diverticular disease of large intestine with perforation and abscess, diverticulitis, without bleeding",1,
K5732 ,"Diverticular disease of large intestine without perforation or abscess, diverticulitis, without bleeding",,1
K5733 ,"Diverticular disease of large intestine without perforation or abscess, diverticulitis, with bleeding",1,
K5792 ,"Diverticular disease of intestine, part unspecified, without perforation or abscess, diverticulitis, without bleeding",2,8
K581 ,Irritable bowel syndrome with predominant diarrhoea [IBS-D],1,1
K588 ,Other and unspecified irritable bowel syndrome,2,
K5900 ,Slow transit constipation,2,
K5909 ,Other and unspecified constipation,11,1
K591 ,Functional diarrhoea,3,2
K5988 ,Other specified functional intestinal disorders,2,
K599 ,"Functional intestinal disorder, unspecified",9,13
K601 ,Chronic anal fissure,1,
K602 ,"Anal fissure, unspecified",1,1
K603 ,Anal fistula,3,1
K605 ,Anorectal fistula,,1
K610 ,Anal abscess,5,2
K623 ,Rectal prolapse,1,3
K625 ,Haemorrhage of anus and rectum,1,2
K628 ,Other specified diseases of anus and rectum,,2
K629 ,"Disease of anus and rectum, unspecified",1,
K631 ,Perforation of intestine(nontraumatic),,3
K6320 ,Entero-cutaneous fistula,1,
K633 ,Ulcer of intestine,1,
K635 ,Polyp of colon,3,3
K639 ,"Disease of intestine, unspecified",1,1
K641 ,Second degree haemorrhoids,3,
K642 ,Third degree haemorrhoids,7,3
K643 ,Fourth degree haemorrhoids,,2
K648 ,Other specified haemorrhoids,,1
K649 ,"Haemorrhoids, unspecified",8,8
K659 ,"Peritonitis, unspecified",,2
K7030 ,"Alcoholic cirrhosis of liver, without ascites",4,4
K7031 ,"Alcoholic cirrhosis of liver, with ascites",,2
K709 ,"Alcoholic liver disease, unspecified",2,2
K7290 ,"Hepatic failure, unspecified, without coma",1,1
K7439 ,"Primary biliary cirrhosis, unspecified",1,
K7463 ,"Other and unspecified cirrhosis of liver, Compansated",1,
K7464 ,"Other and unspecified cirrhosis of liver, Uncompansated",4,5
K7469 ,"Other and unspecified cirrhosis of liver, unspecified",12,12
K750 ,Abscess of liver,1,7
K754 ,Autoimmune hepatitis,,1
K759 ,"Inflammatory liver disease, unspecified",6,
K769 ,"Liver disease, unspecified",4,1
K8000 ,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",1,1
K8010 ,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",4,16
K8020 ,"Calculus of gallbladder without cholecystitis, without mention of obstruction",4,8
K8030 ,"Calculus of bile duct with cholangitis, without mention of obstruction",10,13
K8031 ,"Calculus of bile duct with cholangitis, with obstruction ",1,
K8040 ,"Calculus of bile duct with cholecystitis, without mention of obstruction",1,5
K8050 ,"Calculus of bile duct without cholangitis or cholecystitis, without mention of obstruction",13,20
K8080 ,"Other cholelithiasis, without mention of obstruction",5,18
K810 ,Acute cholecystitis,19,27
K811 ,Chronic cholecystitis,3,3
K819 ,"Cholecystitis, unspecified",10,12
K829 ,"Disease of gallbladder, unspecified",1,
K830 ,Cholangitis,8,10
K8589 ,"Other acute pancreatitis, unspecified",,1
K8590 ,"Acute pancreatitis, unspecified, mild",,2
K8591 ,"Acute pancreatitis, unspecified, moderately severe",1,
K8599 ,"Acute pancreatitis, unspecified, unspecified",2,3
K861 ,Other chronic pancreatitis,7,2
K862 ,Cyst of pancreas,,1
K869 ,"Disease of pancreas, unspecified",1,
K921 ,Melaena,3,2
K922 ,"Gastrointestinal haemorrhage, unspecified",4,6
L0230 ,Cutaneous abscess of buttock,2,
L0240 ,Cutaneous abscess of limb,,1
L0290 ,"Cutaneous abscess, unspecified",3,4
L0301 ,Cellulitis of toe,2,5
L0310 ,Cellulitis of upper limb,1,3
L0311 ,Cellulitis of lower limb,11,6
L0335 ,Cellulitis of buttock,1,
L039 ,"Cellulitis, unspecified",7,6
L059 ,Pilonidal cyst without abscess,1,
L512 ,Toxic epidermal necrolysis [Lyell],,1
L720 ,Epidermal cyst,1,2
L738 ,Other specified follicular disorders,,1
L892 ,Stage III decubitus ulcer and pressure area,3,2
L893 ,Stage IV decubitus ulcer and pressure area,,1
L899 ,"Decubitus ulcer and pressure area, unspecified",6,1
L910 ,Hypertrophic scar,,1
L929 ,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",1,
L97 ,"Ulcer of lower limb, NEC",3,
L984 ,"Chronic ulcer of skin, NEC",3,
L989 ,"Disorder of skin and subcutaneous tissue, unspecified",,4
M0529 ,"Rheumatoid vasculitis, site unspecified",,1
M1007 ,"Idiopathic gout, ankle and foot",2,
M1009 ,"Idiopathic gout, site unspecified",1,
M1096 ,"Gout, unspecified, lower leg",1,
M1097 ,"Gout, unspecified, ankle and foot",3,1
M1099 ,"Gout, unspecified, site unspecified",1,1
M1286 ,"Other specified arthropathies, NEC, lower leg",,1
M1381 ,"Other specified arthritis, shoulder region",,1
M1385 ,"Other specified arthritis, pelvic region and thigh",2,
M1386 ,"Other specified arthritis, lower leg",9,6
M1391 ,"Arthritis, unspecified, shoulder region",1,
M1394 ,"Arthritis, unspecified, hand",1,
M1399 ,"Arthritis, unspecified, site unspecified",,2
M154 ,Erosive (osteo)arthrosis,1,
M170 ,"Primary gonarthrosis, bilateral",,3
M171 ,Other primary gonarthrosis,1,1
M179 ,"Gonarthrosis, unspecified",16,38
M1989 ,"Other specified arthrosis, site unspecified",1,
M1993 ,"Arthrosis, unspecified, forearm",1,
M1994 ,"Arthrosis, unspecified, hand",1,
M1996 ,"Arthrosis, unspecified, lower leg",4,3
M1998 ,"Arthrosis, unspecified, other",1,
M1999 ,"Arthrosis, unspecified, site unspecified",7,4
M201 ,Hallux valgus (acquired),,1
M205 ,Other deformities of toe(s) (acquired),1,
M2137 ,"Wrist or foot drop (acquired), ankle and foot",,1
M2139 ,"Wrist or foot drop (acquired), site unspecified",,1
M2329 ,"Derangement of meniscus due to old tear or injury, unspecified meniscus or ligament",2,1
M2389 ,"Other internal derangements of knee, unspecified meniscus or ligament",1,1
M2399 ,"Internal derangement of knee, unspecified, unspecified meniscus or ligament",,1
M2506 ,"Haemarthrosis, lower leg",1,2
M2509 ,"Haemarthrosis, site unspecified",1,1
M4319 ,"Spondylolisthesis, site unspecified",1,
M4646 ,"Discitis, unspecified, lumbar region",1,
M4649 ,"Discitis, unspecified, site unspecified",2,
M4712 ,"Other spondylosis with myelopathy, cervical region",1,
M4781 ,"Other spondylosis, occipito-atlanto-axial region",,1
M4789 ,"Other spondylosis, site unspecified",3,1
M4796 ,"Spondylosis, unspecified, lumbar region",4,2
M4800 ,"Spinal stenosis, multiple sites in spine",1,
M4802 ,"Spinal stenosis, cervical region",12,2
M4806 ,"Spinal stenosis, lumbar region",221,46
M4807 ,"Spinal stenosis, lumbosacral region",1,1
M4809 ,"Spinal stenosis, site unspecified",36,8
M4854 ,"Collapsed vertebra, NEC, thoracic region",1,2
M4855 ,"Collapsed vertebra, NEC, thoracolumbar region",,1
M4856 ,"Collapsed vertebra, NEC, lumbar region",2,2
M4859 ,"Collapsed vertebra, NEC, site unspecified",7,4
M4889 ,"Other specified spondylopathies, site unspecified",1,1
M500 ,Cervical disc disorder with myelopathy(G99.2*),1,
M501 ,Cervical disc disorder with radiculopathy,5,1
M502 ,Other cervical disc displacement,1,2
M511 ,Lumbar and other intervertebral disc disorders with radiculopathy(G55.1*),55,22
M512 ,Other specified intervertebral disc displacement,30,7
M519 ,"Intervertebral disc disorder, unspecified",3,
M5416 ,"Radiculopathy, lumbar region",5,
M5417 ,"Radiculopathy, lumbosacral region",1,
M5419 ,"Radiculopathy, site unspecified",2,
M5429 ,"Cervicalgia, site unspecified",1,1
M5449 ,"Lumbago with sciatica, site unspecified",1,
M5459 ,"Low back pain, site unspecified",11,3
M6009 ,"Infective myositis, site unspecified",1,
M6269 ,"Muscle strain, site unspecified",,1
M6289 ,"Other specified disorders of muscle, site unspecified",1,2
M6516 ,"Other infective (teno)synovitis, lower leg",2,3
M6534 ,"Trigger finger, hand",6,1
M6539 ,"Nodular tendinous disease, site unspecified",3,2
M6595 ,"Synovitis and tenosynovitis, unspecified, pelvic region and thigh",,1
M6719 ,"Other contracture of tendon (sheath), site unspecified",1,
M702 ,Olecranon bursitis,2,1
M707 ,Other bursitis of hip,1,
M7107 ,"Abscess of bursa, ankle and foot",3,1
M7109 ,"Abscess of bursa, site unspecified",,1
M7155 ,"Other bursitis, NEC, pelvic region and thigh",,1
M7157 ,"Other bursitis, NEC, ankle and foot",1,
M7158 ,"Other bursitis, NEC, other",,2
M7159 ,"Other bursitis, NEC, site unspecified",2,2
M722 ,Plantar fascial fibromatosis,1,
M72960 ,"Fasciitis NOS, lower leg",,1
M750 ,Adhesive capsulitis of shoulder,2,5
M751 ,Rotator cuff syndrome,20,15
M754 ,Impingement syndrome of shoulder,1,
M755 ,Bursitis of shoulder,1,
M758 ,Other shoulder lesions,,1
M760 ,Gluteal tendinitis,1,1
M7687 ,"Other enthesopathies of lower limb, excluding foot, ankle and foot",1,1
M7979 ,"Fibromyalgia, site unspecified",2,
M8198 ,"Osteoporosis, unspecified, other",1,
M8597 ,"Disorder of bone density and structure, unspecified, ankle and foot",3,
M8607 ,"Acute haematogenous osteomyelitis, ankle and foot",1,
M8609 ,"Acute haematogenous osteomyelitis, site unspecified",,2
M8629 ,"Subacute osteomyelitis, site unspecified",1,
M8645 ,"Chronic osteomyelitis with draining sinus, pelvic region and thigh",2,
M8696 ,"Osteomyelitis, unspecified, lower leg",,1
M8699 ,"Osteomyelitis, unspecified, site unspecified",2,1
M8725 ,"Osteonecrosis due to previous trauma, pelvic region and thigh",1,
M8785 ,"Other osteonecrosis, pelvic region and thigh",,1
M8789 ,"Other osteonecrosis, site unspecified",1,
M8795 ,"Osteonecrosis, unspecified, pelvic region and thigh",2,1
M932 ,Osteochondritis dissecans,,2
M9497 ,"Disorder of cartilage, unspecified, ankle and foot",,2
M960 ,Pseudarthrosis after fusion or arthrodesis,1,
M961 ,"Postlaminectomy syndrome, NEC",14,
M9973 ,"Connective tissue and disc stenosis of intervertebral foramina, lumbar region",1,
N049 ,Unspecified nephrotic syndrome,,2
N088 ,Glomerular disorders in other diseases classified elsewhere,1,
N10 ,Acute tubulo-interstitial nephritis,3,24
N12 ,"Tubulo-interstitial nephritis, not specified as acute or chronic",,1
N1330 ,Hydronephrosis with ureterovesical junction obstruction,1,
N151 ,Renal and perinephric abscess,1,
N179 ,"Acute renal failure, unspecified",4,5
N183 ,"Chronic kidney disease, stage 3",2,1
N184 ,"Chronic kidney disease, stage 4",3,1
N185 ,"Chronic kidney disease, stage 5",44,23
N189 ,"Chronic kidney disease, unspecified",18,7
N200 ,Calculus of kidney,3,1
N201 ,Calculus of ureter,9,37
N210 ,Calculus in bladder,5,5
N281 ,"Cyst of kidney, acquired",1,2
N300 ,Acute cystitis,,4
N302 ,Other chronic cystitis,1,2
N304 ,Irradiation cystitis,,1
N308 ,Other cystitis,4,2
N309 ,"Cystitis, unspecified",2,1
N319 ,"Neuromuscular dysfunction of bladder, unspecified",5,2
N320 ,Bladder-neck obstruction,4,3
N359 ,"Urethral stricture, unspecified",5,
N361 ,Urethral diverticulum,1,
N390 ,"Urinary tract infection, site not specified",21,27
N393 ,Stress incontinence,1,5
N400 ,Hyperplasia of prostate without complication,212,87
N401 ,Hyperplasia of prostate with urinary tract obstruction,18,6
N402 ,Hyperplasia of prostate with hematuria,,1
N408 ,Hyperplasia of prostate with other complication,169,214
N410 ,Acute prostatitis,5,7
N411 ,Chronic prostatitis,1,1
N433 ,"Hydrocele, unspecified",3,3
N4500 ,Epididymitis with abscess,1,1
N4590 ,Epididymitis without abscess,5,5
N4592 ,Epididymo-orchitis without abscess,1,1
N481 ,Balanoposthitis,1,
N4828 ,Other inflammatory disorder of penis,1,
N5088 ,Other specified disorders of male genital organs,,1
N62 ,Hypertrophy of breast,2,
Q231 ,Congenital insufficiency of aortic valve,1,
Q245 ,Malformation of coronary vessels,1,1
Q273 ,Peripheral arteriovenous malformation,1,1
Q282 ,Arteriovenous malformation of cerebral vessels,1,
Q613 ,"Polycystic kidney, unspecified",1,1
Q668 ,Other congenital deformities of feet,1,
R02 ,"Gangrene, NEC",6,1
R030 ,"Elevated blood-pressure reading, without diagnosis of hypertension",,3
R042 ,Haemoptysis,1,1
R05 ,Cough,,1
R060 ,Dyspnoea,9,14
R074 ,"Chest pain, unspecified",14,12
R090 ,Asphyxia,1,2
R1010 ,Right upper quadrant abdominal pain,,1
R1012 ,Epigastric pain,1,2
R1019 ,"Upper abdominal pain, unspecified",1,
R1039 ,"Lower abdominal pain, unspecified",2,
R1049 ,Unspecified abdominal pain,9,3
R112 ,Vomiting alone,1,1
R13 ,Dysphagia,1,1
R15 ,Faecal incontinence,1,
R170 ,"Hyperbilirubinaemia with mention of jaundice, not elsewhere classified",,1
R201 ,Hypoaesthesia of skin,,1
R21 ,Rash and other nonspecific skin eruption,,1
R223 ,"Localized swelling, mass and lump, upper limb",1,
R251 ,"Tremor, unspecified",5,2
R270 ,"Ataxia, unspecified",1,1
R300 ,Dysuria,,1
R310 ,Gross hematuria,2,2
R311 ,Microscopic hematuria,,1
R318 ,Other and unspecified hematuria,1,1
R418 ,Other and unspecified symptoms and signs involving cognitive functions and awareness,10,1
R42 ,Dizziness and giddiness,65,52
R448 ,Other and unspecified symptoms and signs involving general sensations and perceptions,,1
R508 ,Other specified fever,,1
R5090 ,Fever of unknown origin,3,2
R5099 ,"Fever, unspecified",4,14
R51 ,Headache,7,16
R522 ,Other chronic pain,,1
R529 ,"Pain, unspecified",1,
R53 ,Malaise and fatigue,22,11
R550 ,Vasovagal  syncope,1,
R558 ,Other syncope and collapse,21,11
R568 ,Other and unspecified convulsions,2,4
R590 ,Localized enlarged lymph nodes,2,
R601 ,Generalized oedema,,1
R609 ,"Oedema, unspecified",7,3
R634 ,Abnormal weight loss,1,
R739 ,"Hyperglycaemia, unspecified",,1
R749 ,Abnormal level of unspecified serum enzyme,3,
R808 ,Other and unspecified isolated proteinuria,2,
R91 ,Abnormal findings on diagnostic imaging of lung,,1
R945 ,Abnormal results of liver function studies,1,6
S010 ,Open wound of scalp,2,
S0211 ,"Fracture of base of skull, open",,1
S0220 ,"Fracture of nasal bone, closed",,1
S0600 ,"Concussion, without open intracranial wound",3,4
S0601 ,"Concussion, with open intracranial wound",,1
S0641 ,"Epidural haemorrhage, with open intracranial wound",,1
S0650 ,"Traumatic subdural haemorrhage, without open intracranial wound",4,1
S0651 ,"Traumatic subdural haemorrhage, with open intracranial wound",16,2
S0660 ,"Traumatic subarachnoid haemorrhage, without open intracranial wound",,1
S0661 ,"Traumatic subarachnoid haemorrhage, with open intracranial wound",1,
S0680 ,"Other intracranial injuries, without open intracranial wound",1,
S0681 ,"Other intracranial injuries, with open intracranial wound",2,1
S092 ,Traumatic rupture of ear drum,,1
S099 ,Unspecified injury of head,1,
S1290 ,"Fracture of neck,part unspecified, closed",,2
S134 ,Sprain and strain of cervical spine,1,2
S143 ,Injury of brachial plexus,2,
S146 ,Injury of other and unspecified nerves of neck,4,5
S200 ,Contusion of breast,,1
S22020 ,"Fracture of T1 and T2 level, closed",,1
S22040 ,"Fracture of T5 and T6 level, closed",,1
S22050 ,"Fracture of T7 and T8 level, closed",2,1
S22060 ,"Fracture of T9 and T10 level, closed",,1
S22070 ,"Fracture of T11 and T12 level, closed",15,15
S22090 ,"Fracture of thoracic vertebra, level unspecified, closed",3,3
S2220 ,"Fracture of sternum, closed",1,
S22320 ,"Fracture of first rib, closed",4,2
S22321 ,"Fracture of first rib, open",7,5
S22330 ,"Fracture of rib, other than first rib, closed",1,3
S22420 ,"Multiple fracture of involving first rib, closed",,1
S22460 ,"Multiple fracture of ribs, other than first rib, closed",2,1
S22490 ,"Multiple fracture of unspecified ribs, closed",5,4
S2340 ,Sprain and strain of ribs,,1
S246 ,Injury of unspecified nerve of thorax,,2
S300 ,Contusion of lower back and pelvis,1,
S301 ,Contusion of abdominal wall,,1
S32020 ,"Fracture of L1 level, closed",6,11
S32030 ,"Fracture of L2 level, closed",3,5
S32040 ,"Fracture of L3 level, closed",4,2
S32050 ,"Fracture of L4 level, closed",,2
S32060 ,"Fracture of L5 level, closed",1,2
S32090 ,"Fracture of lumbar vertebra, level unspecified, closed",2,2
S3210 ,"Fracture of sacrum, closed",1,4
S3220 ,"Fracture of coccyx, closed",1,
S3230 ,"Fracture of ilium, closed",,1
S3250 ,"Fracture of pubis, closed",,2
S32880 ,"Other pelvic fracture, closed",1,1
S32890 ,"Fracture of pelvis, part unspecified, closed",,2
S330 ,Traumatic rupture of lumbar intervertebral disc,,1
S3350 ,Sprain and strain of lumbar spine,6,8
S341 ,Other injury of lumbar spinal cord,1,
S42040 ,"Fracture of shaft of clavicle, closed",1,
S42050 ,"Fracture of acromial end of clavicle, closed",,3
S42090 ,"Fracture of clavicle, part unspecified, closed",,2
S42190 ,"Fracture of scapula, part unspecified, closed",,1
S42230 ,"Fracture of surgical neck of humerus, closed",1,2
S42240 ,"Fracture of anatomical neck of humerus, closed",,1
S42290 ,"Fracture of upper end of humerus, part unspecified, closed",5,
S42420 ,"Supracondylar fracture of humerus, closed",1,
S42430 ,"Fracture of lateral condyle of humerus, closed",,1
S42460 ,"T-shape fracture of distal humerus, closed",,1
S4290 ,"Fracture of shoulder girdle, part unspecified, closed",,1
S4600 ,"Injury of muscle(s) and tendon(s) of the rotator cuff of shoulder, laceration",1,5
S4608 ,"Injury of muscle(s) and tendon(s) of the rotator cuff of shoulder, other and unspecified injury",2,
S52020 ,"Fracture of olecranon process of ulna, closed",,1
S5230 ,"Fracture of shaft of radius, closed ",1,
S52520 ,"Fracture of lower end of radius with dorsal angulation, closed",1,6
S52580 ,"Other and multiple fracture of lower end of radius, closed",1,2
S52590 ,"Fracture of lower end of radius, unspecified, closed",1,2
S5260 ,"Fracture of lower end of both ulna and radius, closed",2,7
S5270 ,"Multiple fracture of forearm, closed",2,3
S5341 ,Sprain and strain of ulnar collateral ligament,,1
S5349 ,"Sprain and strain of elbow, part unspecified",,1
S5630 ,"Injury of extensor or abductor muscles and tendons of thumb at forearm level, laceration",1,
S581 ,Traumatic amputation at level between elbow and wrist,2,
S597 ,Multiple injuries of forearm,,1
S610 ,Open wound of finger(s) without damage to nail,1,1
S617 ,Multiple open wounds of wrist and hand,1,
S618 ,Open wound of other parts of wrist and hand,,3
S6200 ,"Fracture of navicular [scaphoid] bone of hand, close",,1
S62290 ,"Fracture of first metacarpal bone, part unspecified, close",1,
S62341 ,"Fracture of neck of other metacarpal bone, open",,1
S62390 ,"Fracture of metacarpal bone, part unspecified, close",1,1
S62630 ,"Fracture of middle phalanx of other finger, close",,1
S62670 ,"Multiple fracture of phalanx, close",,1
S62691 ,"Fracture of phalanx, part unspecified, open",3,
S657 ,Injury of multiple blood vessels at wrist and hand level,1,
S6650 ,"Injury of intrinsic muscle and tendon of other finger at wrist and hand level, laceration",1,
S6658 ,"Injury of intrinsic muscle and tendon of other finger at wrist and hand level, other and unspecified injury",1,
S682 ,Traumatic amputation of two or more fingers alone (complete)(partial),2,
S700 ,Contusion of hip,,3
S72060 ,"Fracture of base of neck of femur, closed",1,3
S72080 ,"Fracture of other parts of neck of femur, closed",,4
S72090 ,"Fracture of neck of femur, part unspecified, closed",7,9
S72091 ,"Fracture of neck of femur, part unspecified, open",1,
S72120 ,"Fracture of intertrochanteric section of femur, closed",6,27
S72190 ,"Fracture of trochanteric section of femur, unspecified, closed",1,4
S7220 ,"Subtrochanteric fracture of femur, closed",,1
S7230 ,"Fracture of shaft of femur, closed",,3
S7280 ,"Fracture of other parts of femur, closed",3,1
S7290 ,"Fracture of femur,part unspecified, closed",1,
S730 ,Dislocation of hip,1,1
S7319 ,Sprain and strain of unspecified site of hip,2,2
S757 ,Injury of multiple blood vessels at hip and thigh level,1,
S7608 ,"Injury of muscle and tendon of hip, other and unspecified injury",1,
S7620 ,"Injury of adductor muscle and tendon of thigh, laceration",,1
S800 ,Contusion of knee,,2
S801 ,Contusion of other and unspecified parts of lower leg,1,
S809 ,"Superficial injury of lower leg, unspecified",1,
S818 ,Open wound of other parts of lower leg,1,
S819 ,"Open wound of lower leg, part unspecified",1,
S8200 ,"Fracture of patella, closed",1,7
S82180 ,"Other fracture of upper end of tibia, closed",1,1
S82220 ,"Fracture of shaft of tibia of fracture of fibula(any part), closed",1,1
S82280 ,"Other fracture of shaft of tibia, closed",1,2
S82320 ,"Fracture of lower end of tibia with fracture of fibula(any part), closed",2,3
S82380 ,"Other fracture of lower end of tibia, closed",1,1
S82430 ,"Fracture of shaft, fibula , closed",1,
S82480 ,"Fracture of fibular, other and unspecified part, closed",6,2
S8260 ,"Fracture of lateral malleolus, closed",1,
S82820 ,"Bimalleolar fracture, ankle, closed",,2
S82821 ,"Bimalleolar fracture, ankle, open",1,
S82830 ,"Trimalleolar fracture, ankle, closed",1,1
S8320 ,Tear of medial meniscus,,1
S8321 ,Tear of lateral meniscus,1,
S8329 ,"Tear of meniscus, unspecified",1,
S8341 ,Sprain and strain of medial collateral ligament,,1
S8353 ,Rupture of posterior cruciate ligament,,1
S836 ,Sprain and strain of other and unspecified parts of knee,,4
S837 ,Injury to multiple structures of knee,4,
S857 ,Injury of multiple blood vessels at lower leg level,2,
S8608 ,"Injury of Achilles tendon, other and unspecified injury",,1
S8610 ,"Injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, laceration",2,
S8698 ,"Injury of unspecified muscles and tendons at lower leg level, other and unspecified injury",1,2
S910 ,Open wound of ankle,2,
S911 ,Open wound of toe(s) without damage to nail,1,
S9200 ,"Fracture of calcaneus, closed",1,1
S9230 ,"Fracture of metatarsal bone, closed",2,2
S9250 ,"Fracture of other toe, closed",1,3
S9251 ,"Fracture of other toe, open",,1
S9270 ,"Multiple fracture of foot, closed",1,
S932 ,Rupture of ligaments at ankle and foot level,1,2
S9348 ,Sprain and strain of other part of ankle,2,1
S9349 ,"Sprain and strain of ankle, part unspecified",,1
T009 ,"Multiple superficial injuries, unspecified",2,4
T093 ,"Injury of spinal cord, level unspecified",3,
T131 ,"Open wound of lower limb, level unspecified",1,
T140 ,Superficial injury of unspecified body region,6,3
T141 ,Open wound of unspecified body region,1,2
T181 ,Foreign body in oesophagus,1,
T189 ,"Foreign body in alimentary tract, part unspecified",2,
T2429 ,"Burn of second degree of hip and lower limb, except ankle and foot, unspecified site",,1
T2439 ,"Burn of third degree of hip and lower limb, except ankle and foot, unspecified site",1,
T300 ,"Burn of unspecified body region, unspecified degree",5,1
T634 ,Toxic effects of venom of other arthropods,1,
T782 ,"Anaphylactic-shock, unspecified",,1
T793 ,"Post-traumatic wound infection, NEC",1,
T797 ,Traumatic subcutaneous emphysema,,1
T810 ,"Haemorrhage and haematoma complicating a procedure, NEC",4,3
T814 ,"Infection following a procedure, NEC",1,
T824 ,Mechanical complication of vascular dialysis catheter,,1
T840 ,Mechanical complication of internal joint prosthesis,3,1
T844 ,"Mechanical complication of other internal orthopaedic devices, implants and grafts",2,
T845 ,Infection and inflammatory reaction due to internal joint prosthesis,1,
T847 ,"Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts",1,
T848 ,"Other complications of internal orthopaedic prosthetic devices, implants and grafts",,1
T913 ,Sequelae of injury of spinal cord,1,
Z000 ,General medical examination,3,8
Z038 ,Observation for other suspected diseases and conditions,1,
Z139 ,"Special screening examination, unspecified",1,
Z951 ,Presence of aortocoronary bypass graft,,1
Z952 ,Presence of prosthetic heart valve,1,
Z954 ,Presence of other heart-valve replacement,7,
Z955 ,Presence of coronary angioplasty implant and graft,1,
