"상병코드","상  병  명","국비","사비"
"J4499","상세불명의 만성 폐색성 폐질환, 상세불명","65","39"
"J4500","기침(이)형천식","2","1"
"J459","상세불명의 천식","9","7"
"J47","기관지확장증","5","1"
"J64","상세불명의 진폐증","1","0"
"J690","음식 또는 구토물에 의한 폐렴","5","8"
"J698","기타 고체 및 액체에 의한 폐렴","11","8"
"J704","상세불명의 약물유발 간질성 폐장애","0","1"
"J81","폐부종","0","2"
"J8418","섬유증을 동반한 기타 간질성 폐질환","1","1"
"J849","상세불명의 간질성 폐질환","4","0"
"J869","누공이 없는 농흉","1","0"
"J90","달리 분류되지 않은 흉막삼출액","18","24"
"J931","기타 자발성 기흉","2","1"
"J938","기타 기흉","1","0"
"J939","상세불명의 기흉","4","2"
"J942","혈흉","1","0"
"J9801","기관지의 협착","1","0"
"J9848","폐의 기타 장애","4","3"
"K081","사고, 추출 또는 국한성 치주병에 의한 치아상실","4","0"
"K115","타석증","1","2"
"K140","설염","2","0"
"K20","식도염","1","0"
"K210","식도염을 동반한 위-식도역류병","74","22"
"K219","식도염을 동반하지 않은 위-식도역류병","7","7"
"K2210","출혈을 동반하지 않은 식도의 궤양","1","0"
"K226","위-식도열상-출혈증후군","1","3"
"K2500","출혈이 있는 급성 위미란","0","1"
"K2501","출혈이 있는 급성 위궤양","6","3"
"K2530","출혈 또는 천공이 없는 급성 위미란","0","1"
"K2531","출혈 또는 천공이 없는 급성 위궤양","13","9"
"K2561","출혈 및 천공이 모두 있는 만성 또는 상세불명 위궤양","1","0"
"K2571","출혈 또는 천공이없는 만성 위궤양","2","0"
"K2591","출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위궤양","9","5"
"K260","출혈이 있는 급성 십이지장궤양","5","0"
"K261","천공이 있는 급성 십이지장궤양","0","1"
"K263","출혈 또는 천공이 없는 급성 십이지장궤양","2","0"
"K267","출혈 또는 천공이 없는 만성 십이지장궤양","1","0"
"K269","출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 십이지장궤양","5","1"
"K270","출혈이 있는 급성 상세불명 부위의 소화성 궤양","1","0"
"K275","천공이 있는 만성 또는 상세불명 부위의 소화성 궤양","1","0"
"K290","급성 출혈성 위염","1","2"
"K291","기타 급성 위염","10","2"
"K293","만성 표재성 위염","10","2"
"K294","만성 위축성 위염","7","3"
"K295","상세불명의 만성 위염","137","39"
"K296","기타 위염","7","2"
"K297","상세불명의 위염","117","44"
"K299","상세불명의 위십이지장염","0","1"
"K30","기능성 소화불량","3","0"
"K317","위 및 십이지장의 폴립","17","8"
"K3188","위 및 십이지장의 기타 명시된 질환","2","0"
"K319","위 및 십이지장의 상세불명 질환","0","1"
"K352","범복막염을 동반한 급성 충수염","1","2"
"K353","국소복막염을 동반한 급성 충수염","1","6"
"K358","기타 및 상세불명의 급성 충수염","5","13"
"K4090","재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장","26","22"
"K439","폐색 또는 괴저가 없는 기타 및 상세불명의 복벽탈장","0","2"
"K449","폐색 또는 괴저가 없는 횡격막탈장","0","1"
"K469","폐색 또는 괴저가 없는 상세불명의 복벽탈장","0","1"
"K519","상세불명의 궤양성 대장염","5","2"
"K520","방사선에 의한 위장염 및 결장염","1","0"
"K528","기타 명시된 비감염성 위장염 및 결장염","3","1"
"K529","상세불명의 비감염성 위장염 및 결장염","7","4"
"K5520","출혈을 동반하지 않은 결장의 혈관형성이상","1","0"
"K559","장의 상세불명의 혈관장애","3","2"
"K560","마비성 장폐색증","6","0"
"K562","장염전","1","0"
"K566","기타 및 상세불명의 장폐색","10","6"
"K567","상세불명의 장폐색증","5","4"
"K5730","출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실증","3","0"
"K5732","출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실염","2","4"
"K5742","출혈을 동반하지 않은 천공 및 농양이 있는 소장과 대장 모두의 게실병, 게실염","0","1"
"K580","설사를 동반한 과민대장증후군","9","6"
"K589","설사를 동반하지 않은 과민대장증후군","11","6"
"K5900","서행성 변비","9","2"
"K5909","기타 및 상세불명 변비","48","13"
"K591","기능성 설사","1","0"
"K592","달리 분류되지 않은 신경성 장","2","0"
"K599","상세불명의 기능성 장장애","50","22"
"K602","상세불명의 항문열창","2","1"
"K603","항문루","8","3"
"K610","항문농양","1","2"
"K620","항문폴립","2","0"
"K621","직장폴립","11","3"
"K623","직장탈출","1","0"
"K624","항문 및 직장의 협착","0","1"
"K626","항문 및 직장의 궤양","1","0"
"K628","항문 및 직장의 기타 명시된 질환","1","0"
"K631","장의 천공(비외상성)","0","4"
"K633","장의 궤양","1","0"
"K634","장하수","0","1"
"K6359","결장의 상세불명 폴립","228","63"
"K639","장의 상세불명 질환","1","0"
"K640","1도 치핵","5","2"
"K641","2도 치핵","3","0"
"K642","3도 치핵","16","16"
"K643","4도 치핵","1","0"
"K644","잔류치핵성 쥐젖","2","0"
"K648","기타 명시된 치핵","1","1"
"K649","상세불명의 치핵","6","1"
"K650","급성 복막염","1","1"
"K658","기타 복막염","2","0"
"K659","상세불명의 복막염","1","1"
"K700","알콜성 지방간","4","0"
"K7010","복수를 동반하지 않은 알코올성 간염","11","4"
"K7030","복수를 동반하지 않은 알콜성 간경변증","11","2"
"K7031","복수를 동반한 알콜성 간경변증","3","0"
"K709","상세불명의 알콜성 간질환","3","3"
"K712","급성 간염을 동반한 독성간질환","0","1"
"K716","달리 분류되지 않은 간염을 동반한 독성간질환","3","0"
"K719","상세불명의 독성간질환","3","4"
"K7200","혼수를 동반하지 않은 급성 및 아급성 간부전","3","0"
"K7290","혼수를 동반하지 않은 상세불명의 간부전","5","0"
"K739","상세불명의 만성 간염","3","1"
"K7452","상세불명의 담즙성 간경변증, 차일드-퍼 C","1","0"
"K7462","간의 기타 및 상세불명의 경변증, 차일드-퍼 C","1","0"
"K7469","간의 기타 및 상세불명의 경변증,상세불명","5","2"
"K750","간의 농양","0","1"
"K752","비특이성 반응성 간염","3","1"
"K759","상세불명의 염증성 간질환","3","1"
"K760","달리 분류되지 않은 지방(변화성)간","4","6"
"K767","간신증후군","0","1"
"K769","상세불명의 간질환","0","1"
"K8000","폐색의 언급이 없는 급성 담낭염을 동반한 담낭의 결석","2","4"
"K8010","폐색의 언급이 없는 기타 담낭염을 동반한 담낭의 결석","4","10"
"K8020","폐색의 언급이 없는 담낭염이 없는 담낭의 결석","5","3"
"K8030","폐색의 언급이 없는 담관염을 동반한 담관 결석","2","1"
"K8040","폐색의 언급이 없는 담낭염을 동반한 담관결석","0","1"
"K8050","폐색의 언급이 없는 담관염 또는 담낭염이 없는 담관결석","3","0"
"K8080","폐색의 언급이 없는 기타 담석증","0","1"
"K810","급성 담낭염","12","3"
"K811","만성 담낭염","7","2"
"K828","담낭의 기타 명시된 질환","0","7"
"K851","담도 급성 췌장염","1","0"
"K858","기타 급성 췌장염","1","0"
"K859","상세불명의 급성 췌장염","4","6"
"K861","기타 만성 췌장염","0","1"
"K862","췌장의 낭","1","0"
"K868","췌장의 기타 명시된 질환","1","1"
"K869","췌장의 상세불명의 질환","0","1"
"K913","수술후 장폐색","2","3"
"K920","토혈","0","1"
"K921","흑색변","1","2"
"K922","상세불명의 위장출혈","5","1"
"L0201","얼굴의 종기","1","0"
"L0210","목의 피부농양","2","0"
"L0240","사지의 피부농양","1","0"
"L0290","상세불명의 피부농양","2","0"
"L0301","발가락의 연조직염","0","1"
"L0310","팔의 연조직염","2","0"
"L0311","다리의 연조직염","14","4"
"L032","얼굴의 연조직염","3","2"
"L039","상세불명의 연조직염","1","1"
"L120","수포성 유사천포창","0","1"
"L129","상세불명의 유사천포창","0","2"
"L209","상세불명의 아토피성 피부염","0","1"
"L210","두피지루","13","5"
"L218","기타 지루피부염","10","2"
"L219","상세불명의 지루피부염","8","4"
"L22","기저귀[냅킨]피부염","1","3"
"L239","상세불명 원인의 앨러지성 접촉피부염","2","4"
"L249","상세불명 원인의 자극물접촉피부염","2","0"
"L259","상세불명 원인의 상세불명의 접촉피부염","0","1"
"L270","약물 및 약제에 의한 전신피부발진","1","0"
"L280","만성 단순태선","8","1"
"L281","결절성 가려움발진","1","0"
"L282","기타 가려움발진","1","0"
"L290","항문가려움","1","0"
"L298","기타 가려움","81","24"
"L299","상세불명의 가려움","23","6"
"L301","발한이상[한포(汗疱)]","2","1"
"L309","상세불명의 피부염","3","0"
"L409","상세불명의 건선","0","1"
"L500","앨러지성 두드러기","1","1"
"L509","상세불명의 두드러기","4","2"
"L570","광선각화증","2","0"
"L599","상세불명의 방사선에 관련된 피부 및 피하조직의 장애","1","0"
"L600","내향성 손발톱","6","7"
"L709","상세불명의 여드름","1","0"
"L720","표피낭","7","2"
"L721","털집낭","1","0"
"L739","상세불명의 모낭장애","3","0"
"L82","지루각화증","6","3"
"L84","티눈 및 굳은살","3","1"
"L853","피부건조증","15","5"
"L891","욕창궤양 및 압박부위 제2단계","1","1"
"L892","욕창궤양 및 압박부위 제3단계","1","1"
"L893","욕창궤양 및 압박부위 제4단계","0","2"
"L899","상세불명의 욕창궤양 및 압박부위","11","8"
"L988","피부 및 피하조직의 기타 명시된 장애","1","0"
"L989","피부 및 피하조직의 상세불명 장애","3","0"
"M0091","상세불명의 화농성 관절염, 어깨부분","1","0"
"M0096","상세불명의 화농성 관절염, 아래다리","2","2"
"M0099","상세불명의 화농성 관절염, 상세불명 부분","2","2"
"M05802","중증 기타 혈청검사양성 류마티스관절염, 여러 부위","1","1"
"M05809","상세불명 기타 혈청검사양성 류마티스관절염, 여러 부위","0","4"
"M05819","상세불명 기타 혈청검사양성 류마티스관절염, 어깨부분","0","1"
"M05890","경도 기타 혈청검사양성 류마티스관절염, 상세불명 부분","0","2"
"M0609","혈청검사음성 류마티스관절염, 상세불명 부분","0","2"
"M06942","중증 상세불명의 류마티스관절염, 손","0","1"
"M1004","특발성 통풍, 손","0","1"
"M1007","특발성 통풍, 발목 및 발","6","0"
"M1008","특발성 통풍, 기타 부분","1","0"
"M1009","특발성 통풍, 상세불명 부분","2","2"
"M1099","상세불명의 통풍, 상세불명 부분","6","2"
"M130","상세불명의 다발관절염","0","1"
"M1381","기타 명시된 관절염, 어깨부분","1","0"
"M1384","기타 명시된 관절염, 손","15","0"
"M1387","기타 명시된 관절염, 발목 및 발","7","2"
"M1389","기타 명시된 관절염, 상세불명 부분","4","0"
"M1396","상세불명의 관절염, 아래다리","0","1"
"M1398","상세불명의 관절염, 기타 부분","1","0"
"M1399","상세불명의 관절염, 상세불명 부분","1","0"
"M154","미란성 (골)관절증","24","3"
"M158","기타 다발관절증","15","1"
"M159","상세불명의 다발관절증","4","1"
"M161","기타 원발성 고관절증","0","2"
"M163","기타 형성이상성 고관절증","1","1"
"M165","기타 외상후 고관절증","0","1"
"M170","양쪽 원발성 무릎관절증","67","57"
"M171","기타 원발성 무릎관절증","31","17"
"M173","기타 외상후 무릎관절증","1","0"
"M179","상세불명의 무릎관절증","1","0"
"M1901","기타 관절의 원발성 관절증, 어깨부분","2","0"
"M1903","기타 관절의 원발성 관절증, 아래팔","1","0"
"M1906","기타 관절의 원발성 관절증, 아래다리","0","1"
"M1991","상세불명의 관절증, 어깨부분","1","0"
"M1993","상세불명의 관절증, 아래팔","0","1"
"M1995","상세불명의 관절증, 골반 부분 및 대퇴","0","1"
"M1996","상세불명의 관절증, 아래다리","0","1"
"M1998","상세불명의 관절증, 기타 부분","2","0"
"M1999","상세불명의 관절증, 상세불명 부분","4","2"
"M201","외반무지(후천성)","2","6"
"M2321","오래된 찢김 또는 손상으로 인한 반달연골의 장애, 내측반달연골","1","0"
"M2329","오래된 찢김 또는 손상으로 인한 반달연골의 장애, 상세불명의 연골 또는 인대","5","1"
"M2331","기타 반달연골장애, 내측반달연골","4","1"
"M2332","기타 반달연골장애, 외측반달연골","0","1"
"M2339","기타 반달연골장애, 상세불명의 연골 또는 인대","8","6"
"M2391","무릎의 상세불명의 내부장애, 내측반달연골","0","1"
"M2398","무릎의 상세불명의 내부장애, 기타 무릎 구조물","1","0"
"M2399","무릎의 상세불명의 내부장애, 상세불명의 연골 또는 인대","0","2"
"M2440","관절의 재발성 탈구 및 불완전탈구, 여러 부위","1","0"
"M2451","관절의 구축, 어깨부분","1","2"
"M2455","관절의 구축, 골반 부분 및 대퇴","0","1"
"M2456","관절의 구축, 아래다리","0","2"
"M2457","관절의 구축, 발목 및 발","1","0"
"M2459","관절의 구축, 상세불명 부분","1","0"
"M2551","관절통, 어깨부분","5","0"
"M2554","관절통, 손","1","0"
"M2558","관절통, 기타 부분","1","0"
"M4025","기타 및 상세불명의 척주후만증, 흉요추부","1","0"
"M4036","편평등증후군, 요추부","4","1"
"M4196","상세불명의 척주측만증, 요추부","0","1"
"M4300","척추분리증, 척추의 여러 부위","1","0"
"M4306","척추분리증, 요추부","1","0"
"M4307","척추분리증, 요천부","0","1"
"M4316","척추전방전위증, 요추부","69","24"
"M4317","척추전방전위증, 요천부","28","8"
"M4319","척추전방전위증, 상세불명의 부위","1","1"
"M4646","상세불명의 추간판염, 요추부","2","1"
"M4647","상세불명의 추간판염, 요천부","1","0"
"M4782","기타 척추증, 경부","0","1"
"M4789","기타 척추증, 상세불명의 부위","1","0"
"M4802","척추협착, 경부","7","1"
"M4805","척추협착, 흉요추부","17","3"
"M4806","척추협착, 요추부","802","103"
"M4807","척추협착, 요천부","0","1"
"M4809","척추협착, 상세불명의 부위","5","1"
"M4854","달리 분류되지 않은 허탈척추, 흉추부","1","0"
"M4855","달리 분류되지 않은 허탈척추, 흉요추부","0","1"
"M4856","달리 분류되지 않은 허탈척추, 요추부","1","0"
"M4859","달리 분류되지 않은 허탈척추, 상세불명의 부위","7","1"
"M4882","기타 명시된 척추병증, 경부","1","0"
"M4889","기타 명시된 척추병증, 상세불명의 부위","1","0"
"M500","척수병증을 동반한 경추간판장애(G992*)","3","1"
"M501","신경뿌리병증을 동반한 경추간판장애","27","3"
"M509","상세불명의 경추간판장애","2","0"
"M511","신경뿌리병증을 동반한 요추 및 기타 추간판장애(G551*)","63","11"
"M512","기타 명시된 추간판전위","100","31"
"M519","상세불명의 추간판장애","2","0"
"M5338","달리 분류되지 않은 천미추장애, 천추 및 천미추부","1","0"
"M5412","신경뿌리병증, 경부","57","5"
"M5414","신경뿌리병증, 흉추부","3","0"
"M5415","신경뿌리병증, 흉요추부","2","0"
"M5417","신경뿌리병증, 요천부","60","13"
"M5419","신경뿌리병증, 상세불명의 부위","2","0"
"M5429","경추통, 상세불명의 부위","4","3"
"M5456","요통, 요추부","7","1"
"M5459","요통, 상세불명의 부위","10","3"
"M5489","기타 등통증, 상세불명의 부위","1","0"
"M5499","상세불명의 등통증, 상세불명의 부위","0","1"
"M6087","기타 근염, 발목 및 발","0","1"
"M6266","근육긴장, 아래다리","1","0"
"M6286","근육의 기타 명시된 장애, 아래다리","0","1"
"M6289","근육의 기타 명시된 장애, 상세불명 부분","1","1"
"M6521","석회성 힘줄염, 어깨부분","1","0"
"M6586","기타 윤활막염 및 힘줄윤활막염, 아래다리","1","0"
"M6595","상세불명의 윤활막염 및 힘줄윤활막염, 골반 부분 및 대퇴","0","1"
"M6743","결절종, 아래팔","2","2"
"M6747","결절종, 발목 및 발","0","1"
"M702","주두윤활낭염","3","0"
"M704","무릎뼈앞윤활낭염","0","1"
"M705","무릎의 기타 윤활낭염","0","1"
"M712","오금의 윤활막낭[베이커]","1","4"
"M7157","달리 분류되지 않은 기타 윤활낭염, 발목 및 발","3","2"
"M7159","달리 분류되지 않은 기타 윤활낭염, 상세불명 부분","1","0"
"M720","손바닥근막성 섬유종증(뒤퓌트랑)","2","1"
"M72909","상세불명의 섬유모세포 장애, 여러 부위","1","0"
"M750","어깨의 유착성 관절낭염","2","2"
"M751","회전근개증후군","97","64"
"M753","어깨의 석회성 힘줄염","0","2"
"M754","어깨의 충격증후군","2","1"
"M755","어깨의 윤활낭염","3","1"
"M758","기타 어깨병변","2","0"
"M771","외측상과염","3","0"
"M7909","상세불명의 류마티스, 상세불명 부분","3","0"
"M79110","근근막통증후군, 어깨부분","1","0"
"M79128","기타 근통, 위팔","2","0"
"M79198","기타 근통, 상세불명 부분","2","0"
"M7966","사지의 통증, 아래다리","3","2"
"M7967","사지의 통증, 발목 및 발","0","1"
"M7970","섬유근통, 여러 부위","1","0"
"M7971","섬유근통, 어깨부분","0","1"
"M7979","섬유근통, 상세불명 부분","6","1"
"M8000","병적 골절을 동반한 폐경후골다공증, 여러 부위","1","1"
"M8088","병적 골절을 동반한 기타 골다공증, 기타 부분","0","1"
"M8089","병적 골절을 동반한 기타 골다공증, 상세불명 부분","0","1"
"M8095","병적 골절을 동반한 상세불명의 골다공증, 골반 부분 및 대퇴","0","1"
"M8098","병적 골절을 동반한 상세불명의 골다공증, 기타 부분","2","3"
"M8100","폐경후골다공증, 여러 부위","0","1"
"M8109","폐경후골다공증, 상세불명 부분","0","1"
"M8158","특발성 골다공증, 기타 부분","1","0"
"M8185","기타 골다공증, 골반 부분 및 대퇴","2","0"
"M8188","기타 골다공증, 기타 부분","1","0"
"M8189","기타 골다공증, 상세불명 부분","5","2"
"M8193","상세불명의 골다공증, 아래팔","2","0"
"M8195","상세불명의 골다공증, 골반 부분 및 대퇴","1","0"
"M8199","상세불명의 골다공증, 상세불명 부분","21","18"
"M8210","내분비장애에서의 골다공증 (E00-E34†), 여러 부위","0","1"
"M8211","내분비장애에서의 골다공증 (E00-E34†), 어깨부분","1","0"
"M8289","달리 분류된 기타 질환에서의 골다공증, 상세불명 부분","8","3"
"M8399","상세불명의 성인골연화증, 상세불명 부분","2","0"
"M8445","달리 분류되지 않은 병적 골절, 골반 부분 및 대퇴","3","0"
"M8446","달리 분류되지 않은 병적 골절, 아래다리","0","1"
"M8448","달리 분류되지 않은 병적 골절, 기타 부분","5","1"
"M8646","배농관을 동반한 만성 골수염, 아래다리","1","0"
"M8665","기타 만성 골수염, 골반 부분 및 대퇴","1","0"
"M8667","기타 만성 골수염, 발목 및 발","1","0"
"M8687","기타 골수염, 발목 및 발","1","0"
"M8697","상세불명의 골수염, 발목 및 발","2","1"
"M8785","기타 골괴사, 골반 부분 및 대퇴","1","0"
"M8795","상세불명의 골괴사, 골반 부분 및 대퇴","11","6"
"M9495","연골의 상세불명 장애, 골반 부분 및 대퇴","2","0"
"M951","콜리플라워귀","1","0"
"M961","달리 분류되지 않은 척추후궁절제후증후군","147","22"
"M963","척추후궁절제후 척주후만증","3","0"
"M966","정형외과적 삽입물, 인공관절 또는 골판의 삽입에 따른 뼈의 골절","4","1"
"N083","당뇨병에서의 사구체장애(4단위 2-에 해당되는 E10-E14†)","41","11"
"N10","급성 세뇨관-간질신장염","6","22"
"N130","요관신우접합부 폐색을 동반한 수신증","1","0"
"N132","신장 및 요관의 결석성 폐색을 동반한 수신증","1","1"
"N1338","기타 및 상세불명의 수신증","2","1"
"N151","신장 및 신장주위 농양","1","0"
"N170","세뇨관괴사를 동반한 급성 신부전","0","1"
"N178","기타 급성 신부전","0","1"
"N179","상세불명의 급성 신부전","17","20"
"N182","만성 신장병(2기)","1","0"
"N183","만성 신장병(3기)","47","13"
"N184","만성 신장병(4기)","32","8"
"N185","만성 신장병(5기)","39","22"
"N189","상세불명의 만성 신장병","38","25"
"N200","신장의 결석","1","0"
"N201","요관의 결석","3","0"
"N209","상세불명의 신장결석","1","0"
"N210","방광의 결석","3","1"
"N211","요도결석","1","0"
"N281","후천성 신장의 낭","1","0"
"N309","상세불명의 방광염","0","1"
"N310","달리 분류되지 않은 비억제성 신경병성 방광","3","0"
"N312","달리 분류되지 않은 이완성 신경병성 방광","2","1"
"N318","방광의 기타 신경근육기능장애","7","1"
"N319","방광의 상세불명의 신경근육기능장애","15","6"
"N328","방광의 기타 명시된 장애","3","8"
"N358","기타 요도협착","1","0"
"N359","상세불명의 요도협착","0","2"
"N390","부위가 명시되지 않은 요로감염","38","27"
"N400","합병증을 동반하지 않은 전립선증식증","329","116"
"N401","요로 폐색을 동반한 전립선증식증","0","3"
"N408","기타 합병증을 동반한 전립선증식증","4","0"
"N410","급성 전립선염","1","2"
"N433","상세불명의 음낭수종","1","0"
"N4500","농양을 동반한 부고환염","0","1"
"N4590","농양을 동반하지 않은 부고환염","3","0"
"N4592","농양을 동반하지 않은 부고환-고환염","2","0"
"N61","유방의 염증성 장애","0","2"
"Q251","대동맥의 축착","0","1"
"Q613","상세불명의 다낭성 신장","0","1"
"Q791","횡격막의 기타 선천기형","0","1"
"R000","상세불명의 빈맥","1","0"
"R001","상세불명의 서맥","1","0"
"R040","코피","2","0"
"R042","객혈","5","3"
"R05","기침","3","2"
"R060","호흡곤란","6","4"
"R073","기타 흉통","4","1"
"R074","상세불명의 흉통","14","13"
"R090","질식","0","1"
"R092","호흡정지","0","1"
"R093","이상가래","16","1"
"R1012","명치통증","1","0"
"R1039","상세불명의 하복부통증","0","1"
"R1049","상세불명의 복통","1","4"
"R111","구역","1","1"
"R113","구토를 동반한 구역","0","2"
"R13","삼킴곤란","5","1"
"R18","복수","2","0"
"R222","몸통의 국소적 부기, 종괴 및 덩이","2","0"
"R223","팔의 국소적 부기, 종괴 및 덩이","2","0"
"R224","다리의 국소적 부기, 종괴 및 덩이","1","0"
"R229","상세불명의 국소적 부기, 종괴 및 덩이","2","0"
"R238","기타 및 상세불명의 피부변화","0","1"
"R251","상세불명의 떨림","2","0"
"R268","보행 및 이동의 기타 및 상세불명 이상","6","1"
"R310","육안적 혈뇨","1","0"
"R311","현미경적 혈뇨","6","5"
"R318","기타 및 상세불명의 혈뇨","1","0"
"R32","상세불명의 요실금","2","0"
"R33","소변정체","1","1"
"R350","빈번한 배뇨","8","3"
"R36","요도분비물","1","0"
"R391","기타 배뇨곤란","2","0"
"R398","비뇨계통의 기타 및 상세불명의 증상 및 징후","0","1"
"R42","어지럼증 및 어지럼","41","19"
"R470","언어장애 및 실어증(失語症)","3","0"
"R509","상세불명의 열","12","10"
"R51","두통","14","8"
"R529","상세불명의 통증","8","3"
"R53","병감 및 피로","19","10"
"R558","기타 실신 및 허탈","6","1"
"R568","기타 및 상세불명의 경련","7","1"
"R572","패혈성 쇼크","4","3"
"R579","상세불명의 쇼크","3","0"
"R600","국소부종","0","1"
"R601","전신부종","1","2"
"R609","상세불명의 부종","5","4"
"R630","식욕부진","5","1"
"R634","이상체중감소","1","1"
"R659","상세불명의 전신염증반응증후군","1","2"
"R688","기타 명시된 전신 증상 및 징후","1","0"
"R739","상세불명의 고혈당증","4","0"
"R942","폐기능검사의 이상결과","1","0"
"S0004","두피의 표재성 손상, 타박상","0","1"
"S0009","두피의 표재성 손상, 상세불명의 손상","4","2"
"S010","두피의 열린상처","0","4"
"S011","눈꺼풀 및 눈주위의 열린상처","1","0"
"S0200","두개원개의 골절, 폐쇄성","1","1"
"S0230","안와 바닥의 골절, 폐쇄성","1","0"
"S0290","두개골 및 안면골의 상세불명 부분의 골절, 폐쇄성","1","1"
"S0600","열린 두개내상처가 없는 진탕","5","7"
"S0630","열린 두개내상처가 없는 초점성 뇌손상","0","4"
"S0641","열린 두개내상처가 있는 경막외출혈","0","2"
"S0650","열린 두개내상처가 없는 외상성 경막하출혈","4","4"
"S0651","열린 두개내상처가 있는 외상성 경막하출혈","11","9"
"S0661","열린 두개내상처가 있는 외상성 지주막하출혈","5","4"
"S0680","열린 두개내상처가 없는 기타 두개내손상","4","2"
"S0681","열린 두개내상처가 있는 기타 두개내손상","2","0"
"S071","두개골의 으깸손상","1","0"
"S1290","목의 상세불명 부분의 골절, 폐쇄성","2","0"
"S1310","C1/C2 경추의 탈구","1","0"
"S134","경추의 염좌 및 긴장","6","10"
"S142","경추 신경근의 손상","1","1"
"S146","목의 기타 및 상세불명 신경손상","3","0"
"S2021","흉곽후벽의 타박상","1","1"
"S22040","T5 및 T6 부위의 골절, 폐쇄성","1","0"
"S22050","T7 및 T8 부위의 골절, 폐쇄성","1","1"
"S22060","T9 및 T10 부위의 골절, 폐쇄성","1","3"
"S22070","T11 및 T12 부위의 골절, 폐쇄성","3","10"
"S22090","상세불명 부위의 흉추의 골절, 폐쇄성","10","23"
"S22330","제1늑골 이외 단일 늑골의 골절,폐쇄성","2","1"
"S22430","두 개의 늑골을 침범한 다발골절, 폐쇄성","2","3"
"S22431","두 개의 늑골을 침범한 다발골절, 개방성","0","1"
"S22440","세 개의 늑골을 침범한 다발골절, 폐쇄성","2","2"
"S22450","네 개 또는 그 이상의 늑골을 침범한 다발골절, 폐쇄성","7","4"
"S22490","상세불명 늑골의 다발골절, 폐쇄성","3","3"
"S27009","흉강내로의 열린상처가 없는 외상성 기흉, 기타 및 상세불명의 손상","0","2"
"S27109","흉강내로의 열린상처가 없는 외상성 혈흉, 기타 및 상세불명의 손상","1","2"
"S27209","흉강내로의 열린상처가 없는 외상성 혈기흉, 기타 및 상세불명의 손상","1","0"
"S3088","복부, 아래등 및 골반의 기타 표재성 손상, 기타 손상","0","1"
"S32020","L1 부위의 골절, 폐쇄성","9","22"
"S32030","L2 부위의 골절, 폐쇄성","11","12"
"S32040","L3 부위의 골절, 폐쇄성","4","7"
"S32050","L4 부위의 골절, 폐쇄성","5","4"
"S32060","L5 부위의 골절, 폐쇄성","0","1"
"S32090","요추의 상세불명 부위의 골절, 폐쇄성","0","5"
"S3210","천골(薦骨)의 골절, 폐쇄성","1","2"
"S3220","미추의 골절, 폐쇄성","2","1"
"S3240","절구의 골절, 폐쇄성","1","2"
"S3250","치골의 폐골절, 폐쇄성","1","3"
"S32890","골반의 상세불명 부분의 골절, 폐쇄성","2","1"
"S3350","요추의 염좌 및 긴장","6","7"
"S3351","요천추[관절][인대]의 염좌 및 긴장","0","1"
"S337","요추 및 골반의 기타 및 상세불명 부분의 염좌 및 긴장","0","1"
"S342","요추 및 천추의 신경근 손상","3","0"
"S37304","강내로의 열린상처가 없는 요도의 손상, 열상","0","1"
"S37309","강내로의 열린상처가 없는 요도의 손상, 기타 및 상세불명의 손상","1","1"
"S410","어깨의 열린상처","1","0"
"S42040","쇄골 몸통의 골절, 폐쇄성","0","1"
"S42050","쇄골 견봉단의 골절, 폐쇄성","4","1"
"S42150","부리돌기의 골절, 폐쇄성","1","0"
"S42230","상완골 외과목의 골절, 폐쇄성","3","1"
"S4230","상완골 몸통의 골절,  폐쇄성","1","2"
"S431","견쇄관절의 탈구","1","1"
"S434","어깨관절의 염좌 및 긴장","1","0"
"S4608","어깨의 회전근개의 근육 및 힘줄의 손상, 기타 및 상세불명의 손상","3","5"
"S4628","이두근 기타 부분의 근육 및 힘줄의 손상, 기타 및 상세불명의 손상","1","0"
"S499","어깨 및 위팔의 상세불명 손상","1","0"
"S519","아래팔의 상세불명 부분의 열린상처","0","1"
"S52020","척골 주두돌기의 골절, 폐쇄성","0","3"
"S52130","요골 목의 골절, 폐쇄성","1","0"
"S52290","척골 몸통의 상세불명 부분의 골절, 폐쇄성","0","2"
"S52390","요골 몸통의 상세불명 부분의 골절, 폐쇄성","2","1"
"S52520","등쪽 경사를 동반한 요골 하단의 골절, 폐쇄성","0","9"
"S52580","요골 하단의 기타 및 다발성 골절, 폐쇄성","2","4"
"S52590","요골 하단의 상세불명 골절, 폐쇄성","1","3"
"S5260","척골과 요골 모두의 하단의 골절, 폐쇄성","2","0"
"S5270","아래팔의 다발골절, 폐쇄성","0","1"
"S5271","아래팔의 다발골절, 개방성","0","1"
"S6088","손목 및 손의 기타 표재성 손상, 기타 손상","0","1"
"S610","손톱의 손상이 없는 손가락의 열린상처","1","0"
"S611","손톱의 손상이 있는 손가락의 열린상처","1","0"
"S6200","손 주상골의 골절, 폐쇄성","1","0"
"S62130","콩알뼈의 골절, 폐쇄성","0","1"
