"대분류","중분류","소분류","명칭","코드","비용","최저비용","최고비용","특이사항"
"행위료","치과 처치·수술료","치아질환 처치","Surgical stent, 복잡 [임플란트4개이상] 서지컬 스텐트(수술용 스텐트), 복잡 [임플란트4개이상]","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","T.B.I 잇솔질 교습 [회당]","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","가철성 의치 어테치먼트 교환 [재료]","","150000","","",""
"행위료","치과 처치·수술료","치아질환 처치","가철성 의치, 자석 교환 [재료]","","150000","","",""
"행위료","치과 처치·수술료","치아질환 처치","경질 레진 구치 [재료]","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","경질 레진 전치 [재료]","","20000","","",""
"행위료","치과 처치·수술료","치아질환 처치","골 이식술, 단순","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","골 이식술, 복잡","","1000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","골증대술","","500000","","",""
"행위료","치과 처치·수술료","치아질환 처치","관리 교합안정장치 관리","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","광중합 복합 레진 충전","","80000","","",""
"행위료","치과 처치·수술료","치아질환 처치","교합안정장치, 단순 [1악당]","","300000","","",""
"행위료","치과 처치·수술료","치아질환 처치","교환 치아지지 가철성 의치 클립 교환","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","구강 검사 및 상담","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","구취측정 검사","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","나선형 합정","","70000","","",""
"행위료","치과 처치·수술료","치아질환 처치","노벨가이드 [서지컬 템플레이트,임플란트4개이하]","","1000000","","",""
"행위료","치과 처치·수술료","치아질환 처치","노벨가이드 [서지컬템플레이트,임플란트5개이상","","1500000","","",""
"행위료","치과 처치·수술료","치아질환 처치","레진 가공 의치  [1치당]","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","모형 분석용 인상 [1악당]","","30000","","",""
"행위료","치과 처치·수술료","치아질환 처치","보격장치 [가철식]","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","보격장치 [고정식]","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","보철 치료(CHECK UP)중","","10000","","",""
"행위료","치과 처치·수술료","치아질환 처치","불소 도포 [1악당]","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","심미 레진 충전","","250000","","",""
"행위료","치과 처치·수술료","치아질환 처치","안면 체형","","200000","","",""
"행위료","치과 처치·수술료","치아질환 처치","오버덴쳐 오링 교환 [재료]","","20000","","",""
"행위료","치과 처치·수술료","치아질환 처치","오버덴쳐 클립 교환 [재료]","","10000","","",""
"행위료","치과 처치·수술료","치아질환 처치","유구치 가공 치관","","150000","","",""
"행위료","치과 처치·수술료","치아질환 처치","의치 직접 이장술, 단순","","100000","","",""
"행위료","치과 처치·수술료","치아질환 처치","의치 직접 이장술, 복잡","","150000","","",""
"행위료","치과 처치·수술료","치아질환 처치","의치수리, 단순","","50000","","",""
"행위료","치과 처치·수술료","치아질환 처치","의치수리, 복잡","","100000","","",""
"행위료","치과 처치·수술료","수술 후 처치, 치주조직의 처치 등","Scaling 치석제거","UW3021047","80000","","",""
"행위료","치과의 보철료","치과의 보철료","ERA,1ea, G","","280000","","",""
"행위료","치과의 보철료","치과의 보철료","F.D., Temporary, G","","350000","","",""
"행위료","치과의 보철료","치과의 보철료","Flexible denture (비귀금속),복잡","","900000","","",""
"행위료","치과의 보철료","치과의 보철료","Locator","","500000","","",""
"행위료","치과의 보철료","치과의 보철료","Locator, G","","400000","","",""
"행위료","치과의 보철료","치과의 보철료","Magnetic,1ea, G","","350000","","",""
"행위료","치과의 보철료","치과의 보철료","Mat 매식술, 헤더바(추가) [재료]","","200000","","",""
"행위료","치과의 보철료","치과의 보철료","Spark elosin, G","","160000","","",""
"행위료","치과의 보철료","치과의 보철료","가철성 국소의치, 고주파 비귀금속","","1400000","","",""
"행위료","치과의 보철료","치과의 보철료","가철성 국소의치, 비귀금속","","1200000","","",""
"행위료","치과의 보철료","치과의 보철료","가철성 의치용 금속 교합면 인공치 (Sgold)","","250000","","",""
"행위료","치과의 보철료","치과의 보철료","교정, Fixed type, 단순","","380000","","",""
"행위료","치과의 보철료","치과의 보철료","교합안정장치, 복잡","","600000","","",""
"행위료","치과의 보철료","치과의 보철료","금주조관, 메리랜드, 귀금속","","370000","","",""
"행위료","치과의 보철료","치과의 보철료","도재소부전장관, 귀금속, A","","520000","","",""
"행위료","치과의 보철료","치과의 보철료","도재소부전장관, 귀금속, B","","450000","","",""
"행위료","치과의 보철료","치과의 보철료","도재소부전장관, 무깃, 귀금속","","520000","","",""
"행위료","치과의 보철료","치과의 보철료","도재소부전장관, 무깃, 비귀금속","","380000","","",""
"행위료","치과의 보철료","치과의 보철료","도재소부전장관, 비귀금속, A","","370000","","",""
"행위료","치과의 보철료","치과의 보철료","도재소부전장관, 비귀금속, B","","350000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, MDI","","460000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바, Gold,Fixture 3ea","","1500000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바, Gold,Fixture 4ea","","1900000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바, Gold,Fixture 5ea","","2300000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바, Gold,Fixture 6ea","","2700000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바,Titanium,Fixture 3ea","","1200000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바,Titanium,Fixture 4ea","","1400000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바,Titanium,Fixture 5ea","","1600000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 밀드바,Titanium,Fixture 6ea","","1800000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 오링, E.R.A.","","450000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 임시 MDI","","230000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 자성체","","500000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 헤더바","","1150000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 헤더바,Fixture 2ea","","1200000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 헤더바,Fixture 3ea","","1500000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 헤더바,Fixture 4ea","","1800000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 혼합형틀니","","2500000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 혼합형틀니 ,Titanium,Fixture 6ea","","2100000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 혼합형틀니,Titanium,Fixture 4ea","","1500000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술, 혼합형틀니,Titanium,Fixture 5ea,","","1800000","","",""
"행위료","치과의 보철료","치과의 보철료","매식술,국산,","","1000000","","",""
"행위료","치과의 보철료","치과의 보철료","매식치  Agold 도재관","","570000","","",""
"행위료","치과의 보철료","치과의 보철료","매식치 귀금속 도재관","","800000","","",""
"행위료","치과의 보철료","치과의 보철료","매식치 비귀금속 도재관","","600000","","",""
"행위료","치과의 보철료","치과의 보철료","매식치금관, 백금가공","","660000","","",""
"행위료","치과의 보철료","치과의 보철료","매식치금관, 슈퍼골드","","620000","","",""
"행위료","치과의 보철료","치과의 보철료","부착장치, 단순","","300000","","",""
"행위료","치과의 보철료","치과의 보철료","부착장치, 보통","","350000","","",""
"행위료","치과의 보철료","치과의 보철료","부착장치, 복잡","","440000","","",""
"행위료","치과의 보철료","치과의 보철료","세미리지드 연결체","","150000","","",""
"행위료","치과의 보철료","치과의 보철료","어태치먼트 국소 의치, 간단","","1400000","","",""
"행위료","치과의 보철료","치과의 보철료","어태치먼트 국소 의치, 복잡","","1600000","","",""
"행위료","치과의 보철료","치과의 보철료","의치 이장술, 간접법, 단순","","190000","","",""
"행위료","치과의 보철료","치과의 보철료","의치 이장술, 간접법, 복잡","","300000","","",""
"행위료","치과의 보철료","치과의 보철료","인레이, 귀금속, 단순","","300000","","",""
"행위료","치과의 보철료","치과의 보철료","인레이, 귀금속, 복잡","","350000","","",""
"행위료","치과의 보철료","치과의 보철료","인레이, 포세라인 or  레진, 단순","","270000","","",""
"행위료","치과의 보철료","치과의 보철료","인레이, 포세라인 or  레진, 복잡","","280000","","",""
"행위료","치과의 보철료","치과의 보철료","임시 가철성 국소의치","","430000","","",""
"행위료","치과의 보철료","치과의 보철료","임시치, 복잡","","150000","","",""
"행위료","치과의 보철료","치과의 보철료","임플란트 지지의치, 단순","","1500000","","",""
"행위료","치과의 보철료","치과의 보철료","임플란트 지지의치, 복잡","","1800000","","",""
"행위료","치과의 보철료","치과의 보철료","자석장치","","340000","","",""
"행위료","치과의 보철료","치과의 보철료","전부도재관, 순면버니어","","400000","","",""
"행위료","치과의 보철료","치과의 보철료","전부도재관, 전세라믹","","470000","","",""
"행위료","치과의 보철료","치과의 보철료","주조관, NC 합금","","250000","","",""
"행위료","치과의 보철료","치과의 보철료","주조관, 메리랜드, 비귀금속","","290000","","",""
"행위료","치과의 보철료","치과의 보철료","주조금관, Pd 합금","","350000","","",""
"행위료","치과의 보철료","치과의 보철료","주조금관, 금합금","","420000","","",""
"행위료","치과의 보철료","치과의 보철료","주조금관, 백금합금","","460000","","",""
"행위료","치과의 보철료","치과의 보철료","즉시 or 임시폐쇄장치","","400000","","",""
"행위료","치과의 보철료","치과의 보철료","즉시총의치,망사","","600000","","",""
"행위료","치과의 보철료","치과의 보철료","즉치총의치,레진상","","500000","","",""
"행위료","치과의 보철료","치과의 보철료","총의치, 귀금속편","","1600000","","",""
"행위료","치과의 보철료","치과의 보철료","총의치, 레진상","","1200000","","",""
"행위료","치과의 보철료","치과의 보철료","총의치, 비귀금속편, 망사","","1400000","","",""
"행위료","치과의 보철료","치과의 보철료","최종폐쇄장치","","1500000","","",""
"행위료","치과의 보철료","치과의 보철료","치아 매식술, 단순","","1350000","","",""
"행위료","치과의 보철료","치과의 보철료","치아 매식술, 복잡, ASTRA","","1450000","","",""
"행위료","치과의 보철료","치과의 보철료","치아 매식술, 복잡, NOBEL","","1500000","","",""
"행위료","치과의 보철료","치과의 보철료","치아지지가철성의치, 간단","","1600000","","",""
"행위료","치과의 보철료","치과의 보철료","치아지지가철성의치, 복잡","","1800000","","",""
"행위료","치과의 보철료","치과의 보철료","캐드캠 세라믹 크라운","","550000","","",""
"행위료","치과의 보철료","치과의 보철료","캐드캠 세라믹 크라운,임플란트용(단순)","","700000","","",""
"행위료","치과의 보철료","치과의 보철료","캐드캠 세라믹 크라운,임플란트용(복잡)","","800000","","",""
"행위료","치과의 보철료","치과의 보철료","코누스 텔레스코픽 내,외관 PD합금","","500000","","",""
"행위료","치과의 보철료","치과의 보철료","코누스 텔레스코픽 내,외관 귀금속","","650000","","",""
"행위료","치과의 보철료","치과의 보철료","코누스 텔레스코픽 내,외관 금합금","","600000","","",""
"행위료","치과의 보철료","치과의 보철료","코누스 텔레스코픽 내,외관 백금합금","","700000","","",""
"행위료","치과의 보철료","치과의 보철료","코누스 텔레스코픽 내,외관 비귀금속","","550000","","",""
"행위료","치과의 보철료","치과의 보철료","테레스코픽 국소 의치, 간단","","880000","","",""
"행위료","치과의 보철료","치과의 보철료","테레스코픽 국소 의치, 복잡","","1100000","","",""
"행위료","치과의 보철료","치과의 보철료","편측가철성국소의치, 고주파비귀금속","","700000","","",""
"행위료","치과의 보철료","치과의 보철료","편측가철성국소의치, 비귀금속","","600000","","",""
"행위료","치과의 보철료","치과의 보철료","포스트관, 귀금속, 단순","","230000","","",""
"약제비","치과의 보철료","치과의 보철료","포스트관, 귀금속, 복잡","","260000","","",""
"약제비","치과의 보철료","치과의 보철료","포스트관, 그래스화이버","","220000","","",""
"약제비","치과의 보철료","치과의 보철료","포스트관, 파라 포스트","","180000","","",""
"약제비","","","(4가성인독감백신)보령플루Ⅷ테트라백신주","670501031","30000","","",""
"약제비","","","(비급여)플로실 헤모스태틱 매트릭스(박스터)","646601401","299144","","",""
"약제비","","","가다실 9 프리필드시린지[인유두종바이러스9가(6, 11, 16, 18, 31, 33, 45, 52, 58형)백신(유전자재조합)] (0.5밀리리터)","655501931","180000","","",""
"약제비","","","가다실주 백신(자궁경부암예방접종)","655500020","120000","","",""
"약제비","","","박타프리필드시린지(A형간염백신)(1밀리리터)","655501740","70000","","",""
"약제비","","","스카이조스터주(대상포진생바이러스백신)(0.5밀리리터)","56400041","140000","","",""
"약제비","","","유박스비프리필드주[B형간염백신](0.02mg/1mL)[성인]","668902161","30000","","",""
"약제비","","","프로디악스23프리필드시린지(폐렴구균백신)(0.5밀리리터)","655501940","50000","","",""
"약제비","","","프리베나 13주(폐렴구균) 0.5ml ","648902270","90000","","",""
"약제비","","","(파상풍백신)녹십자티디백신프리필드시린지주","643605311","30000","","",""
"약제비","","","바네포연고","645101440","1940","","",""
"약제비","","","브리디온주(슈가마덱스나트륨)(2밀리리터)","655501751","92754","","",""
"약제비","","","삐콤정(6밀리그램)","642100700","14","","",""
"약제비","","","신일비사코딜정(5밀리그램)","653801170","17","","",""
"약제비","","","아다셀주 0.5ml(파상풍백신)","665900110","40000","","",""
"약제비","","","아젤리아크림(아젤라산)","674900100","3020","","",""
"약제비","","","액티피드정(60밀리그램)","643900900","22","","",""
"약제비","","","크레온캡슐25000(한국애보트(주))","644206290","412","","",""
"약제비","","","베스타제당의정(동아제약)","642502030","39","","",""
"약제비","","","서카톤피알서방정2mg(멜라토닌)(2mg/1정)","650205740","521","","",""
"약제비","","","예나스테론주(에난토산테스토스테론)(1밀리리터)","659600291","4092","","",""
"약제비","","","유락신연고(크로타미톤)","643601400","550","","",""
"약제비","","","일양실데나필정100밀리그램(100밀리그램)","641704360","3183","","",""
"약제비","","","자이데나정100밀리그람(유데나필)(100밀리그램)","642503020","1884","","",""
"약제비","","","자이데나정200밀리그람(유데나필)(200밀리그램)","642503030","3165","","",""
"약제비","","","주블리아외용액(에피나코나졸)(4밀리리터)","642507391","19971","","",""
"약제비","","","카버젝트주사20마이크로그람(알프로스타딜)(20마이크로그램)","648901021","15004","","",""
"약제비","","","칼라민로션","","8","","",""
"약제비","","","코네티비나겔(히알우론산나트륨)","684400040","27067","","",""
"약제비","","","타스나정(탄산수소나트륨)(500밀리그램)","662501680","21","","",""
"약제비","","","파자임95밀리그램이중정(95밀리그램)","642202290","64","","",""
"약제비","","","프록토세딜연고","652101560","1005","","",""
"약제비","","","푸레파인연고(일동제약)","642905941","2650","","",""
"약제비","","","메디라제주(히알우로니다제)","669803300","7819","","",""
"약제비","","","스텐드로주(1mL/병)(신풍제약(주))","648501751","11723","","",""
"약제비","","","덱스메딘주2ml(덱스메데토미딘염산염)(하나제약(주))","657805981","12000","","",""
"약제비","","","아세트펜프리믹스주100ml(아세트아미노펜)(에이치케이이노엔(주))","640007291","9267","","",""
"치료재료대","인체조직유래 2차 가공뼈","","BONGENER DMP 2.5cc","BC0102QT","855000","","",""
"치료재료대","척추경막외 유착방지제","","큐블럭 (엠티엠메디칼)","BF0101WC","660000","","",""
"치료재료대","시아노아크릴레이트를 이용한 복재정맥 폐색술용","","VENASEAL CLOSURE SYSTEM","BJ4321DU","1639000","","",""
"치료재료대","경막외강 신경박리술 및 감압 신경성형술용","","하나로/ONE MEDTHEH(두웰)","BJ4800TD","673000","","",""
"치료재료대","경막외강 신경박리술 및 감압 신경성형술용","","ABEL EPIDURAL CATHETER","BJ4801GZ","509976","","",""
"치료재료대","경막외강 신경박리술용","","EPISOL","BJ4803GZ","638624","","",""
"치료재료대","경막외강 신경박리술 및 감압 신경성형술용","","Biovision Epidural Catheter","BJ4804XU","700000","","",""
"치료재료대","자착성(탄력)붕대","","COBAN","BK7101EA","1130","","",""
"치료재료대","자착성(탄력)붕대","","PEHAHAFT LATEX FREE","BK7111DQ","","5000","25500","규격에 따라"
"치료재료대","동종진피(IMPLANT용유방재건술용 제외)","","SureDerm Implant (4*5)","BTS01314","1320000","","",""
"치료재료대","","","8자 붕대 (대)","","3300","","",""
"치료재료대","","","시트(대)/ 1장 귀가용","","10265","","",""
"치료재료대","","","환의 한벌(귀가용)","","12959","","",""
"치료재료대","","","ARM SLING","","1170","","",""
"치료재료대","","","BIOOSS 0.251mm 0.25G","","73854","","",""
"치료재료대","","","BIOOSS 0.251mm 0.5G","","113300","","",""
"치료재료대","","","COLLA TAPE","","20636","","",""
"치료재료대","","","CRUTCH(목발)","","","10648","11000","규격에 따라"
"치료재료대","","","Urine bottle with cap 1000ml (소변기)","","1550","","",""
"치료재료대","","","THOMAS COLLAR","","3520","","",""
"치료재료대","","","Cast shoes","","3300","","",""
"치료재료대","","","MINOCLINE DENTAL OINT","","10000","","",""
"치료재료대","","","PRO ROOT MTA 1/2단가","","66362","","",""
"제증명수수료","","","제증명서사본","AQW01200","1000","","",""
"제증명수수료","","","진료기록영상CD COPY","AQF00101","5000","","",""
"제증명수수료","","","진료기록사본6매 이상","AQB00102","100","","",""
"제증명수수료","","","진료기록사본1~5매","AQB00101","1000","","",""
"제증명수수료","","","채용신체검사서(일반)","AW400602","30000","","",""
"제증명수수료","","","채용신체검사서(공무원)","AW400601","40000","","",""
"제증명수수료","","","장애인증명서","AQA01901","1000","","",""
"제증명수수료","","","시체검안서","AQA00801","30000","","",""
"제증명수수료","","","향후진료비추정서천만원이상","AQA02303","100000","","",""
"제증명수수료","","","향후진료비추정서천만원미만","AQA02301","50000","","",""
"제증명수수료","","","진료확인서","AQA02401","3000","","",""
"제증명수수료","","","통원확인서[병명 기재]","AQA02602","3000","","",""
"제증명수수료","","","통원확인서[병명 미기재]","AQA02601","1000","","",""
"제증명수수료","","","입퇴원확인서","AQA01701","3000","","",""
"제증명수수료","","","영문 등 외국어 일반진단서","AQA02201","15000","","",""
"제증명수수료","","","상해진단서3주이상","AQA01003","100000","","",""
"제증명수수료","","","상해진단서3주미만","AQA01001","50000","","",""
"제증명수수료","","","국민연금장애심사용진단서","AQA00101","6000","","",""
"제증명수수료","","","병무용진단서","AQA00301","20000","","",""
"제증명수수료","","","후유장애진단서","AQA02701","100000","","",""
"제증명수수료","","","장애 정도 심사용 진단서정신적 장애","AQA01304","40000","","",""
"제증명수수료","","","장애 정도 심사용 진단서신체적 장애","AQA01301","15000","","",""
"제증명수수료","","","사망진단서","AQA00501","10000","","",""
"제증명수수료","","","근로능력평가용진단서","AQA02801","10000","","",""
"제증명수수료","","","건강진단서","AW400101","20000","","",""
"제증명수수료","","","일반진단서","AQA01601","10000","","",""
"제증명수수료","","","노인장기요양보험 의사소견서","AQA00200","39640","","",""
"제증명수수료","","","노인 장기요양보험(5등급예상 치매진단)의사소견서","AQA00202","55730","","",""
"제증명수수료","","","방문간호지시서(노인장기요양보험용) ","AQA00903","21520","","",""
