"순번","행위구분","분류","명칭","코드","표준코드","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"161","[행위]검사료","기능검사료(시기능검사)","눈의 계측검사[편측]-초음파 이용 by Ultrasonography","E7800","SE7800 [국비정산EDI SZ04000A]","50000","","","","",""
"162","[행위]검사료","","다중수면잠복기검사","FZ702","SZ10806","506360","","","","",""
"163","[행위]검사료","기능검사료(순환기 기능검사)","동맥경화도검사(맥파전달속도측정)-초음파 동맥경화협착폐색검사 [1부위]","EZ868","SZ07201","30000","","","","",""
"164","[행위]검사료","기능검사료(순환기 기능검사)","동맥경화도검사(맥파전달속도측정)-초음파 동맥경화협착폐색검사 [2부위]","EZ868","SZ0098","50000","","","","",""
"165","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","동적체평형검사","FZ731","FZ00300","30000","","","","",""
"166","[행위]검사료","기능 검사료(신경계기능검사)","발음 및 발성검사","FZ688","SZ10802","50000","","","","",""
"167","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 안진 안구 운동검사 [정밀]","FZ733","SZ01503","100000","","","X","X",""
"168","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 안진 자발안진검사(Spontaneous Nystagmus)","FZ733","SZ01601","50000","","","","",""
"169","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 안진검사 급속안구운동(단속운동검사:Saccade test)","FZ733","SZ01602","50000","","","X","X",""
"170","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 안진검사, 두진(두위안진검사 :Positional test)","FZ733","SZ01701","31010","","","","",""
"171","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 안진검사, 시표추적 (시추적검:Smooth pursuit test)","FZ733","SZ01604","50000","","","","",""
"172","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 안진검사, 주시 (주시안진검사:Gaze nystagmus)","FZ733","SZ01702","31010","","","","",""
"173","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 안진검사, 체위변환(체위변환 , 두위변환검사: Dix-Hallpike test , Positioning test)","FZ733","SZ01704","51800","","","","",""
"174","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 온도안진검사 (냉온교대 Caloric test)","FZ733","SZ01707","31010","","","","",""
"175","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사-비디오 전기 온도안진검사 (단일:Caloric test)","FZ733","SZ01708","27000","","","","",""
"176","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사/비디오 전기 안진검사, 체위변환 및 이석 정복술(체(두)위변환 및 이석치환술 :Otolith-repositioning procedure)","FZ733","SZ01705","103500","","","","",""
"177","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","비디오전기안진검사시운동성안진및운동후(시운동성안진 및 후안진 검사Optokinetic nystagmus and Optokinetic after-Nystgmus)","FZ732","SZ01710","50000","","","","",""
"178","[행위]검사료","기능검사료","비디오전기안진검사시운동성안진및운동후(시운동성안진 및 후안진 검사Optokinetic nystagmus and Optokinetic after-Nystgmus)","FZ732","SZ01710","50000","","","","",""
"179","[행위]검사료","기능검사","수면다원검사","F6290","SF6290","647950","","","","",""
"180","[행위]검사료","기능검사료(시기능검사)","안구광학단층촬영OCT [편측]","EZ796","SEZ796","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"181","[행위]검사료","양수염색체검사","양수염색체검사료","3Z2610000(심평원코드)","SZ03200/LWZ0014/SZ08200","859547","","","","",""
"182","[행위]검사료","기능 검사료(신경계기능검사)","언어전반진단검사","FZ689","SZ11500","45000","","","","",""
"183","[행위]검사료","검체검사료","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","LZ00900","25000","","","","",""
"184","[행위]검사료","내시경 천자 및 생검료","입체적 유방절제생검술","CZ977","SCZ00200","1000000","","","X","","재료대별도산정"
"185","[행위]검사료","","자궁경부확대촬영검사","EZ886","SZ04700","25000","","","","",""
"186","[행위]검사료","기능 검사료(신경계기능검사)","자율신경계이상검사(발살바법)","SZ11201","SZ11201","30000","","","","",""
"187","[행위]검사료","기능 검사료(신경계기능검사)","자율신경계이상검사(심박변이도검사)","SZ11200","SZ11200","30000","","","","",""
"188","[행위]검사료","기능검사료(신경계기능검사)-증상 및 행동평가척도-우울척도[신경증우울평가]","신경증 우울평가","FY7130000","SZ11302","35000","","","X","X",""
"189","[행위]검사료","기능검사료(신경계기능검사)-증상및 행동평가척도-기타[한국판성격평가척도(KPAI)]","한국판 성격평가척도","FY7390000","SZ11303","30000","","","X","X",""
"190","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [경추 및 상지]","EZ776","SZ05103","50000","","","","",""
"191","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [경추 및 상지]","EZ776","SZ05103","50000","","","","",""
"192","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [기타]","EZ776","SZ05109","50000","","","","",""
"193","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [두부 및 부비동]","EZ776","SZ05101","50000","","","","",""
"194","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [요천추 및 하지]","EZ776","SZ05104","50000","","","","",""
"195","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [전신]","EZ776","SZ05110","100000","","","","",""
"196","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [족부]","EZ776","SZ05108","50000","","","","",""
"197","[행위]검사료","기능 검사료(외피, 근골 기능 검사)","적외선체열진단 [흉추]","EZ776","SZ05105","50000","","","","",""
"198","[행위]검사료","기능 검사료(신경계기능검사)","정량적 발한 축삭 반사검사","SZ11202","SZ11202","100000","","","","",""
"199","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅰ","EA001","SEA001","56300","","","","",""
"200","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅱ","EA002","SEA002","81700","","","","",""
"201","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅲ","EA003","SEA003","125220","","","","",""
"202","[행위]검사료","내시경, 천자 및 생검료","진정내시경 환자관리료Ⅳ","EA004","SEA004","173170","","","","",""
"203","[행위]검사료","","타액검사[분비율, 점조도, PH, 완충기능검사]","EZ919","JM0088T","10000","","","","",""
"204","[행위]검사료","","항GD1b항체 [IgG]","CZ425","LWZ0006","23503","","","","","Anti GD1b Ab IgG"
"205","[행위]검사료","","항GD1b항체 [IgM]","CZ425","LWZ0006","23503","","","","","Anti GD1b Ab IgM"
"206","[행위]검사료","","항GM1항체 [IgG]","CZ261","LWZ0002","23502","","","","","Anti GM1 Ab IgG"
"207","[행위]검사료","","항GM1항체 [IgM]","CZ262","LWZ0003","23503","","","","","Anti GM1 Ab IgM"
"208","[행위]검사료","기능 검사료(평형 및 청각 기능검사)","회전검사 [회전의자검사(정현파회전 및 등속회전검사,Rotatory Chair Test)]","FZ732","SZ01709","50000","","","","",""
"209","[행위]검사료","기능검사료","후각기능검사(인지및역치)","FZ671","SZ09700","20000","","","","",""
"210","[행위]상급병실차액","상급병실료","1인실 병실차액","ABZ010001","A2Z00102,A2Z0010201-2","","100000","191030","","","(기존) 병실차액(100,000원) + 각 병원 등급별 기본입원료/호스피스,자보(기존)병실차액만 산정/간호간병1인실 미운영"
"211","[행위]상급병실차액","상급병실료","특실 병실차액","","A2Z00101,A2Z0010101-6","","200000","411430","","","(기존) 병실차액(200,000원) + 각 병원 등급별 기본입원료/호스피스 자보는 (기존)병실차액만 산정"
"212","[행위]기본진료료","교육상담료","교육 및 상담료[당뇨병 교육]","AZ001","HZGT00102","20000","","","","",""
"213","[행위]정신요법료","정신요법료","기타 행동치료-신경발달중재치료Ⅰ-Ⅱ","NZ009","GZ00900,GZ0090001","","30000","50000","X","","Ⅰ:25분이내 , Ⅱ50분 이내"
"214","[행위]정신요법료","정신요법료","기타 행동치료-심리적 재활중재치료Ⅰ Ⅱ","NZ010","GZ01000,GZ010001","","30000","50000","X","X","Ⅰ:25분이내 , Ⅱ50분 이내"
"215","[행위]정신요법료","정신요법료","기타 행동치료-정신 분석적 정신치료Ⅰ,Ⅱ","NZ011","GZ01100,GZ0110001","","50000","100000","","","Ⅰ:25분이내 , Ⅱ50분 이내"
"216","[행위]자기공명영상진단료(MRI)","MRI-특수검사","Dynamic","HF105+HB021","RMHF10501","412770","","","","","급여 인정기준 외 실시한 경우 비급여/PACS영상저장및전송비용 포함"
"217","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI227+HJ227+HB021","RMHI22702","544000","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"218","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen 조영제사용 [테슬라3.0이상+품질관리적합]","HI227+HJ227+HB021","RMHI22703","576350","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"219","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen　[테슬라1.5-3.0미만+품질관리적합]","HI127+HJ127+HB021","RMHI12702","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"220","[행위]자기공명영상진단료(MRI)","복부-복부","MRI Abdomen　[테슬라3.0이상+품질관리적합]","HI127+HJ127+HB021","RMHI12703","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"221","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio 조영제사용[테슬라1.5-3.0미만+품질관리적합]","HI238+HJ238+HB021","RMHI23802","545650","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"222","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio 조영제사용[테슬라3.0이상+품질관리적합]","HI238+HJ238+HB021","RMHI23803","578080","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"223","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio　[테슬라1.5-3.0미만+품질관리적합]","HI138+HJ138+HB021","RMHI13802","411370","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"224","[행위]자기공명영상진단료(MRI)","혈관-복부혈관","MRI Abdominal Angio　[테슬라3.0이상+품질관리적합]","HI138+HJ138+HB021","RMHI13803","435780","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"225","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast [테슬라1.5-3.0미만+품질관리적합]","HI126+HJ126+HB021","RMHI12602","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"226","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI226+HJ226+HB021","RMHI22602","544050","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"227","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast　[테슬라3.0이상+품질관리적합]","HI126+HJ126+HB021","RMHI12603","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"228","[행위]자기공명영상진단료(MRI)","흉부-유방","MRI Breast　조영제사용 [테슬라3.0이상+품질관리적합]","HI226+HJ226+HB021","RMHI22603","576390","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"229","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest [테슬라1.5-3.0미만+품질관리적합]","HI125+HJ125+HB021","RMHI12502","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"230","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI225+HJ225+HB021","RMHI22502","544050","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"231","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest 조영제사용 [테슬라3.0이상+품질관리적합]","HI225+HJ225+HB021","RMHI22503","576390","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"232","[행위]자기공명영상진단료(MRI)","흉부-흉부","MRI Chest　[테슬라3.0이상+품질관리적합]","HI125+HJ125+HB021","RMHI12503","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"233","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram 조영제사용[테슬라1.5-3.0미만+품질관리적합] +도타렘조영제 포함","HI233+HJ233+HB021","RMHI23302","544000","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"234","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram 조영제사용[테슬라3.0이상+품질관리적합]+도타렘조영제 포함","HI233+HJ233+HB021","RMHI23303","576350","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"235","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram　[테슬라1.5-3.0미만+품질관리적합]","HI133+HJ133+HB021","RMHI13302","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"236","[행위]자기공명영상진단료(MRI)","복부-담췌관","MRI Cholangiogram　[테슬라3.0이상+품질관리적합]","HI133+HJ133+HB021","RMHI13303","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"237","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI230+HJ230+HB021","RMHI23002","544000","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"238","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal 조영제사용 [테슬라3.0이상+품질관리적합]","HI230+HJ230+HB021","RMHI23003","576350","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"239","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal　[테슬라1.5-3.0미만+품질관리적합]","HI130+HJ130+HB021","RMHI13002","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"240","[행위]자기공명영상진단료(MRI)","복부-신장 및 부신","MRI Kidney and Adrenal　[테슬라3.0이상+품질관리적합]","HI130+HJ130+HB021","RMHI13003","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"241","[행위]자기공명영상진단료(MRI)","복부-간","MRI Liver　[테슬라1.5-3.0미만+품질관리적합]","HI132+HJ132+HB021","RMHI13202","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"242","[행위]자기공명영상진단료(MRI)","복부-간","MRI Liver　[테슬라3.0이상+품질관리적합]","HI132+HJ132+HB021","RMHI13203","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"243","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas 조영제사용 [테슬라1.5-3.0미만+품질관리적합]+도타렘조영제 포함","HI229+HJ229+HB021","RMHI22902","544000","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"244","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas 조영제사용 [테슬라3.0이상+품질관리적합]+도타렘조영제 포함","HI229+HJ229+HB021","RMHI22903","576350","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"245","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas　[테슬라1.5-3.0미만+품질관리적합]","HI129+HJ129+HB021","RMHI12902","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"246","[행위]자기공명영상진단료(MRI)","복부-췌장","MRI Pancreas　[테슬라3.0이상+품질관리적합]","HI129+HJ129+HB021","RMHI12903","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"247","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI228+HJ228+HB021","RMHI22802","544000","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"248","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis 조영제사용 [테슬라3.0이상+품질관리적합]","HI228+HJ228+HB021","RMHI22803","576350","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"249","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis　[테슬라1.5-3.0미만+품질관리적합]","HI128+HJ128+HB021","RMHI12802","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"250","[행위]자기공명영상진단료(MRI)","복부-골반","MRI Pelvis　[테슬라3.0이상+품질관리적합]","HI128+HJ128+HB021","RMHI12803","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"251","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum 조영제사용 [테슬라3.0이상+품질관리적합]","HI231+HJ231+HB021","RMHI23103","576350","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"252","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum 조영제사용[테슬라1.5-3.0미만+품질관리적합]","HI231+HJ231+HB021","RMHI23102","544000","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"253","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum　[테슬라1.5-3.0미만+품질관리적합]","HI131+HJ131+HB021","RMHI13102","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"254","[행위]자기공명영상진단료(MRI)","복부-음낭 및 음경","MRI Penile and Scrotum　[테슬라3.0이상+품질관리적합]","HI131+HJ131+HB021","RMHI13103","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"255","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate 조영제사용[테슬라1.5-3.0미만+품질관리적합]","HI234+HJ234+HB021","RMHI23402","544000","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"256","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate 조영제사용[테슬라3.0이상+품질관리적합]","HI234+HJ234+HB021","RMHI23403","576350","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"257","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate　[테슬라1.5-3.0미만+품질관리적합]","HI134+HJ134+HB021","RMHI13402","410260","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"258","[행위]자기공명영상진단료(MRI)","복부-전립선","MRI Prostate　[테슬라3.0이상+품질관리적합]","HI134+HJ134+HB021","RMHI13403","434590","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"259","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio 조영제사용 [테슬라1.5-3.0미만+품질관리적합]","HI237+HJ237+HB021","RMHI23702","545650","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"260","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio 조영제사용 [테슬라3.0이상+품질관리적합]","HI237+HJ237+HB021","RMHI23703","578080","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"261","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio　[테슬라1.5-3.0미만+품질관리적합]","HI137+HJ137+HB021","RMHI13702","411370","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"262","[행위]자기공명영상진단료(MRI)","혈관-흉부혈관","MRI Thoracic Angio　[테슬라3.0이상+품질관리적합]","HI137+HJ137+HB021","RMHI13703","435780","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"263","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck /촬영+판독/조영제 사용[테슬라1.5-3.0미만+품질관리적합]","HI208+HJ208+HB021","RMHI20802","544050","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"264","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck /촬영+판독/조영제 사용[테슬라3.0이상+품질관리적합]","HI208+HJ208+HB021","RMHI20803","576410","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"265","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck 촬영+판독 [테슬라1.5-3.0미만+품질관리적합]","HI108+HJ108+HB021","RMHI10802","410260","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"266","[행위]자기공명영상진단료(MRI)","두경부-경부","MRI 경부 Neck 촬영+판독료[테슬라3.0이상+품질관리적합]","HI108+HJ108+HB021","RMHI10803","434590","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"267","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-일반 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI136+HJ136+HB021","RMHI13602","411370","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"268","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-일반 촬영+판독[테슬라3.0이상+품질관리적합]","HI136+HJ136+HB021","RMHI13603","435780","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"269","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-조영제 주입 전/후 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI236+HJ236+HB021","RMHI23602","545650","","","","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"270","[행위]자기공명영상진단료(MRI)","혈관-경부혈관","MRI 경부혈관-조영제 주입 전/후 촬영+판독[테슬라3.0이상+품질관리적합]","HI236+HJ236+HB021","RMHI23603","578080","","","","","조영제 별도 산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"271","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-일반 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI101+HJ101+HB021","RMHI10102","377800","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"272","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-일반촬영+판독[테슬라3.0이상+품질관리적합]","HI101+HJ101+HB021","RMHI10103","400200","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"273","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-조영제 주입 전/후 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI201+HJ201+HB021","RMHI20102","501060","","","","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"274","[행위]자기공명영상진단료(MRI)","뇌","MRI 뇌-조영제 주입 전/후 촬영+판독[테슬라3.0이상+품질관리적합","HI201+HJ201+HB021","RMHI20103","530820","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"275","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-일반 촬영+판독[테슬라3.0이상+품질관리적합]","HI135+HJ135+HB021","RMHI13503","435780","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
"276","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-일반+촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI135+HJ135+HB021","RMHI13502","411370","","","","","급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"277","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-조영제 주입 전/후 촬영+판독[테슬라1.5-3.0미만+품질관리적합]","HI235+HJ235+HB021","RMHI23502","545650","","","","X","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라1.5-3.0미만+품질관리적합/PACS영상저장및전송비용 포함"
"278","[행위]자기공명영상진단료(MRI)","혈관-뇌혈관","MRI 뇌혈관-조영제 주입 전/후 촬영+판독[테슬라3.0이상+품질관리적합]","HI235+HJ235+HB021","RMHI23503","578080","","","","","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여/테슬라3.0이상+품질관리적합/PACS영상저장및전송비용 포함"
