"진료과","순위","상병코드","상병명","건수"
"재활의학과","14","M15","진균증","1513"
"재활의학과","15","R26","보행과 이동의 이상","1478"
"재활의학과","16","R13","연하곤란","1256"
"재활의학과","17","G12","척수성 근육위축 및 관련 증후군","915"
"재활의학과","18","I62","기타 비외상성 머리내 출혈","851"
"재활의학과","19","R47","달리 분류되지 않은 언어장애","760"
"재활의학과","20","G95","척수의 기타질환","707"
"정신건강의학과","1","F32","우울증 에피소드","10962"
"정신건강의학과","2","F41","기타 불안장애","3369"
"정신건강의학과","3","G47","수면장애","2770"
"정신건강의학과","4","F51","비기질적 수면 장애","2696"
"정신건강의학과","5","F20","조현병","2685"
"정신건강의학과","6","F00","알츠하이머병에서의 치매(G30.-+)","2145"
"정신건강의학과","7","F03","상세불명의 치매","1318"
"정신건강의학과","8","F10","알콜사용에 의한 정신및 행동장애","1185"
"정신건강의학과","9","F31","양극성 정동장애","948"
"정신건강의학과","10","R41","인지기능 및 자각에 관한 기타 증상 및 징후","892"
"정신건강의학과","11","F43","심한 스트레스에 대한 반응 및 적응장애","846"
"정신건강의학과","12","F06","뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애","753"
"정신건강의학과","13","Z03","의심되는 질병 및 병태를 의학적 관찰 및 평가","473"
"정신건강의학과","14","F33","재발성 우울장애","378"
"정신건강의학과","15","F01","혈관성 치매","353"
"정신건강의학과","16","F40","공포성 불안장애","267"
"정신건강의학과","17","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","224"
"정신건강의학과","18","F29","상세불명의 비기질적 정신병","216"
"정신건강의학과","19","F25","조현정동장애","189"
"정신건강의학과","20","F45","신체형장애","176"
"정형외과","1","M17","윤충증","14980"
"정형외과","2","M48","기타 척추병증","13057"
"정형외과","3","M75","어깨병변","9759"
"정형외과","4","R52","달리 분류되지 않은 통증","6927"
"정형외과","5","M19","연기, 불 및 화염에 노출","1885"
"정형외과","6","M96","달리 분류되지 않은 처치후 근육골격 장애","1547"
"정형외과","7","S72","대퇴골의 골절","1079"
"정형외과","8","M43","기타 변형성 배병증","1017"
"정형외과","9","M23","유독성 물질에 의한 불의의 중독 및 노출","983"
"정형외과","10","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","905"
"정형외과","11","S82","발목을 포함한 아래다리의 골절","882"
"정형외과","12","G56","팔의 단일신경병증","865"
"정형외과","13","M20","외인의 기타 및 상세불명의 영향","783"
"정형외과","14","M81","병적골절이 없는 골다공증","778"
"정형외과","15","M65","활막염 및 건초염","679"
"정형외과","16","E11","인슐린-비의존 당뇨병","613"
"정형외과","17","M77","기타 골부착부병증","611"
"정형외과","18","M51","기타 추간판장애","608"
"정형외과","19","S52","아래팔의 골절","597"
"정형외과","20","S83","무릎의 관절 및 인대의 탈구. 염좌 및 긴장","570"
"치과","1","K05","치은염(잇몸염)및 치주 질환","48564"
"치과","2","K08","치아 및 지지구조의 기타 장애","44028"
"치과","3","K02","치아우식증","14568"
"치과","4","K04","치수 및 치근단주위조직의 질환","10621"
"치과","5","Z46","기타 장치의 부착 및 조정를 위하여 보건서비스와 접하고 있는 사람","2173"
"치과","6","K07","치아얼굴이상[부정교합포함]","1757"
"치과","7","K03","치아경조직의 기타 질환","1690"
"치과","8","S02","머리뼈 및 얼굴뼈의 골절","1443"
"치과","9","K12","입안염 및 관련 병터","197"
"치과","10","K10","턱의 기타 질환","160"
"치과","11","B37","칸디다증","158"
"치과","12","K11","타액선의 질환","156"
"치과","13","M19","연기, 불 및 화염에 노출","153"
"치과","14","K13","입술 및 구강점막의 기타 질환","144"
"치과","15","K01","매몰치 및 매복치","101"
"치과","16","F45","신체형장애","80"
"치과","17","R19","소화기계통 및 복부에 침습한 기타 증상 및 징후","55"
"치과","18","T85","기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증","41"
"치과","19","K14","혀의 질환","39"
"치과","20","L28","만성 단순태선 및 양진","34"
"통증클리닉","1","M48","기타 척추병증","5783"
"통증클리닉","2","R52","달리 분류되지 않은 통증","2243"
"통증클리닉","3","M96","달리 분류되지 않은 처치후 근육골격 장애","1935"
"통증클리닉","4","M89","뼈의 기타 장애","912"
"통증클리닉","5","M51","기타 추간판장애","635"
"통증클리닉","6","G63","달리 분류된 질환에서의 다발신경병증","621"
"통증클리닉","7","G53","달리 분류된 질환에서의 뇌신경장애","575"
"통증클리닉","8","M47","척추증","547"
"통증클리닉","9","M54","배통","525"
"통증클리닉","10","M50","목뼈원판 장애","495"
"통증클리닉","11","M75","어깨병변","259"
"통증클리닉","12","M79","달리 분류되지 않은 기타 연조직장애","125"
"통증클리닉","13","G56","팔의 단일신경병증","114"
"통증클리닉","14","M17","윤충증","106"
"통증클리닉","15","M43","기타 변형성 배병증","91"
"통증클리닉","16","G50","삼차신경의 장애","88"
"통증클리닉","17","M72","섬유모세포장애","82"
"통증클리닉","18","M19","연기, 불 및 화염에 노출","65"
"통증클리닉","19","M13","추 락","61"
"통증클리닉","20","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","58"
"피부과","1","L29","소양증","13285"
"피부과","2","L30","기타 피부염","11745"
"피부과","3","B35","피부사상균증","6338"
"피부과","4","L23","앨러지성 접촉피부염","3868"
"피부과","5","L40","건선","2235"
"피부과","6","L28","만성 단순태선 및 양진","1451"
"피부과","7","L80","백반증","1207"
"피부과","8","L21","지루피부염","1201"
"피부과","9","L20","질병이환 및 사망의 외인","795"
"피부과","10","L50","두드러기","690"
"피부과","11","C44","피부의 기타 악성 신생물","675"
"피부과","12","L82","지루각화증","673"
"피부과","13","L57","비전리성 방사선에 만성 노출에 의한 피부 변화","580"
"피부과","14","D21","결합조직 및 기타 연조직의 기타 양성 신생물","554"
"피부과","15","L84","티눈 및 굳은살","511"
"피부과","16","B02","대상포진","367"
"피부과","17","G53","달리 분류된 질환에서의 뇌신경장애","355"
"피부과","18","B07","바이러스성 사마귀","289"
"피부과","19","L85","기타 표피의 비후","282"
"피부과","20","L24","자극성 접촉피부염","249"
"한의과","1","M48","기타 척추병증","2533"
"한의과","2","M54","배통","736"
"한의과","3","M17","윤충증","664"
"한의과","4","S33","허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장","326"
"한의과","5","M47","척추증","315"
"한의과","6","M62","기타 근장애","304"
"한의과","7","K30","소화불량","289"
"한의과","8","M25","달리 분류되지 않은 기타 관절장애","229"
"한의과","9","M75","어깨병변","203"
"한의과","10","G62","기타 다발신경병증","196"
"한의과","11","S13","목부위의 관절 및 인대의 탈구, 염좌 및 긴장","195"
"한의과","12","U62","기혈음양병증(氣血陰陽病證)","187"
"한의과","13","M50","목뼈원판 장애","176"
"한의과","14","R61","다한증","136"
"한의과","15","S43","팔이음뼈의 관절 및 인대의 탈구, 염좌 및 긴장","128"
"한의과","16","S93","발목 및 발부위에서의 관절 및 인대의 탈구. 염좌 및 긴장","93"
"한의과","17","K29","위염 및 십이지장염","90"
"한의과","18","S63","손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장","66"
"한의과","19","G81","편마비","57"
"한의과","20","J30","혈관운동성 및 앨러지성 비염","57"
"혈액종양내과","1","C34","기관지 및 폐의 악성 신생물","5967"
"혈액종양내과","2","D50","철결핍성 빈혈","1803"
"혈액종양내과","3","C16","위의 악성 신생물","1388"
"혈액종양내과","4","C18","결장의 악성 신생물","1345"
"혈액종양내과","5","C22","간 및 간내담관의 악성 신생물","1083"
"혈액종양내과","6","C61","전립선의 악성 신생물","855"
"혈액종양내과","7","D46","골수형성이상증후군","780"
"혈액종양내과","8","I10","본태성(원발성) 고혈압","752"
"혈액종양내과","9","C85","기타 및 상세불명 형의 비호지킨 림프종","736"
"혈액종양내과","10","C25","췌장의 악성신생물","698"
"혈액종양내과","11","C20","직장의 악성 신생물","652"
"혈액종양내과","12","C90","다발성 골수종 및 악성 형질세포신생물","646"
"혈액종양내과","13","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","612"
"혈액종양내과","14","D47","림프. 조혈 및 관련조직의 행동양식 불명 또는 미상의 기타 신생","602"
"혈액종양내과","15","C50","유방의 악성 신생물","465"
"혈액종양내과","16","E11","인슐린-비의존 당뇨병","464"
"혈액종양내과","17","C92","골수성 백혈병","433"
"혈액종양내과","18","C15","식도의 악성신생물","394"
"혈액종양내과","19","D38","중이. 호흡기. 흉곽내 장기의 행동양식 불명 또는 미상의 신생물","359"
"혈액종양내과","20","C67","방광의 악성 신생물","358"
"호흡기내과","1","J44","기타 만성 폐쇄성 폐질환","8631"
"호흡기내과","2","J45","천식","5342"
"호흡기내과","3","J43","폐기종","2427"
"호흡기내과","4","J84","기타 사이질성 폐질환","1590"
"호흡기내과","5","R05","기침","1484"
"호흡기내과","6","J98","기타 호흡장애","1281"
"호흡기내과","7","J18","상세불명 병원체의 폐렴","1259"
"호흡기내과","8","J82","달리 분류되지 않은 폐호산구증가증","1058"
"호흡기내과","9","J47","기관지확장증","1038"
"호흡기내과","10","C34","기관지 및 폐의 악성 신생물","1028"
"호흡기내과","11","J30","혈관운동성 및 앨러지성 비염","961"
"호흡기내과","12","J42","상세불명의 만성 기관지염","799"
"호흡기내과","13","J96","달리 분류되지 않은 호흡부전","567"
"호흡기내과","14","R06","호흡의 이상","546"
"호흡기내과","15","J32","만성 부비동염","535"
"호흡기내과","16","A31","기타 형태의 미코박테리아에 의한 감염","487"
"호흡기내과","17","B90","결핵의 후유증","481"
"호흡기내과","18","J69","고체 및 액체에 의한 폐염","360"
"호흡기내과","19","R09","순환기계통 및 호흡기계통을 침습한 기타 증상 및 징후","355"
"호흡기내과","20","J34","코 및 코옆굴의 기타 장애","353"
"흉부외과","1","I70","죽상경화증","1419"
"흉부외과","2","I20","협심증","1280"
"흉부외과","3","I25","만성 허혈심장병","1185"
"흉부외과","4","I71","대동맥류 및 박리","1133"
"흉부외과","5","C34","기관지 및 폐의 악성 신생물","1016"
"흉부외과","6","I35","비류마티스성 대동맥판장애","538"
"흉부외과","7","J98","기타 호흡장애","384"
"흉부외과","8","I65","대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착","294"
"흉부외과","9","I05","류마티스승모판질환","286"
"흉부외과","10","I73","기타 말초혈관질환","234"
"흉부외과","11","I83","하지의 정맥류","199"
"흉부외과","12","G25","기타 추체외로 및 운동 장애","198"
"흉부외과","13","R07","인후 및 흉곽의 동통","195"
"흉부외과","14","R60","달리 분류되지 않은 부종","158"
"흉부외과","15","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","150"
"흉부외과","16","I72","기타 동맥류 및 박리","149"
"흉부외과","17","R44","일반적 감각 및 지각에 관한 기타 증상 및 징후","147"
"흉부외과","18","I06","류마티스성 대동맥판질환","125"
"흉부외과","19","I80","정맥염 및 혈전정맥염","119"
"흉부외과","20","I34","비류마티스성 승모판장애","112"
